stock_1,name_1,industry_1,stock_2,name_2,industry_2,pearson,partial,abs_pearson,abs_partial,signed_change,attenuation,retention_ratio,sign_flip,meaningful_sign_flip,relation_type
600519,贵州茅台,食品饮料,600030,中信证券,非银金融,0.457285607201092,0.0367520588063298,0.457285607201092,0.0367520588063298,-0.4205335483947622,0.4205335483947622,0.0803700318303874,False,False,其他
000001,平安银行,银行,600887,伊利股份,食品饮料,0.4950769231532766,0.0868660093794139,0.4950769231532766,0.0868660093794139,-0.4082109137738627,0.4082109137738627,0.17545962115572097,False,False,其他
000001,平安银行,银行,000858,五粮液,食品饮料,0.5398930484379856,0.1323545153127578,0.5398930484379856,0.1323545153127578,-0.4075385331252278,0.4075385331252278,0.24514950821405251,False,False,强相关明显减弱
000001,平安银行,银行,601318,中国平安,非银金融,0.7108717821247011,0.3068538321021976,0.7108717821247011,0.3068538321021976,-0.40401795002250357,0.40401795002250357,0.4316584788118222,False,False,强相关仍部分保留
600036,招商银行,银行,600519,贵州茅台,食品饮料,0.4959943265817617,0.1036356104864553,0.4959943265817617,0.1036356104864553,-0.39235871609530637,0.39235871609530637,0.20894515306390624,False,False,其他
600036,招商银行,银行,600030,中信证券,非银金融,0.3908516439699697,-0.0092912745062151,0.3908516439699697,0.0092912745062151,-0.4001429184761848,0.3815603694637546,0.023771870093321077,True,False,其他
600887,伊利股份,食品饮料,600030,中信证券,非银金融,0.4463587178509358,0.0681741187704102,0.4463587178509358,0.0681741187704102,-0.3781845990805256,0.3781845990805256,0.15273392463049723,False,False,其他
000001,平安银行,银行,601398,工商银行,银行,0.4670932925010673,0.0936527535203694,0.4670932925010673,0.0936527535203694,-0.3734405389806979,0.3734405389806979,0.20050117401365897,False,False,其他
000001,平安银行,银行,601288,农业银行,银行,0.4015861591095257,0.0292755970699821,0.4015861591095257,0.0292755970699821,-0.3723105620395436,0.3723105620395436,0.07289991551227164,False,False,其他
002415,海康威视,电子,600030,中信证券,非银金融,0.4394506681680089,0.0783148211214492,0.4394506681680089,0.0783148211214492,-0.36113584704655965,0.36113584704655965,0.1782107226003994,False,False,其他
000001,平安银行,银行,600519,贵州茅台,食品饮料,0.4882930798441991,-0.139334776221196,0.4882930798441991,0.139334776221196,-0.6276278560653952,0.3489583036230031,0.2853507083607531,True,True,条件关系符号反转
600036,招商银行,银行,601398,工商银行,银行,0.5303492238168543,0.193962146618405,0.5303492238168543,0.193962146618405,-0.33638707719844935,0.33638707719844935,0.3657253332483164,False,False,强相关明显减弱
000858,五粮液,食品饮料,002415,海康威视,电子,0.3739329194804096,0.0412879342820085,0.3739329194804096,0.0412879342820085,-0.3326449851984011,0.3326449851984011,0.11041535027025504,False,False,其他
000568,泸州老窖,食品饮料,002415,海康威视,电子,0.3542572535208644,0.024118675710948,0.3542572535208644,0.024118675710948,-0.3301385778099164,0.3301385778099164,0.06808237649685132,False,False,其他
600519,贵州茅台,食品饮料,002415,海康威视,电子,0.3123986479197574,0.0003097633663572,0.3123986479197574,0.0003097633663572,-0.3120888845534002,0.3120888845534002,0.0009915643630979021,False,False,其他
601398,工商银行,银行,601318,中国平安,非银金融,0.3212953277944682,-0.0097133009327741,0.3212953277944682,0.0097133009327741,-0.3310086287272423,0.31158202686169406,0.030231690574061738,True,False,其他
002460,赣锋锂业,新能源,603501,韦尔股份,电子,0.3339593438945202,0.0235302893634353,0.3339593438945202,0.0235302893634353,-0.3104290545310849,0.3104290545310849,0.07045854471096114,False,False,其他
002415,海康威视,电子,601318,中国平安,非银金融,0.384849693902578,0.0783401534268599,0.384849693902578,0.0783401534268599,-0.3065095404757181,0.3065095404757181,0.2035603890767058,False,False,其他
000568,泸州老窖,食品饮料,002460,赣锋锂业,新能源,0.3084484812688594,-0.0023114524048085,0.3084484812688594,0.0023114524048085,-0.3107599336736679,0.30613702886405086,0.00749380381222795,True,False,其他
600887,伊利股份,食品饮料,002415,海康威视,电子,0.3121764428201656,0.0186069072888199,0.3121764428201656,0.0186069072888199,-0.2935695355313457,0.2935695355313457,0.059603816100687386,False,False,其他
000001,平安银行,银行,600036,招商银行,银行,0.776685302435272,0.4857991994186942,0.776685302435272,0.4857991994186942,-0.2908861030165778,0.2908861030165778,0.6254775233875114,False,False,强相关仍部分保留
000858,五粮液,食品饮料,000568,泸州老窖,食品饮料,0.8757013491334847,0.5863163764238997,0.8757013491334847,0.5863163764238997,-0.2893849727095851,0.2893849727095851,0.6695391950738292,False,False,强相关仍部分保留
000001,平安银行,银行,002415,海康威视,电子,0.2943989801307136,0.008406827097383,0.2943989801307136,0.008406827097383,-0.2859921530333306,0.2859921530333306,0.028555897488674573,False,False,其他
601318,中国平安,非银金融,600030,中信证券,非银金融,0.6162282050965284,0.3319269735708819,0.6162282050965284,0.3319269735708819,-0.2843012315256465,0.2843012315256465,0.53864294238023,False,False,强相关仍部分保留
000858,五粮液,食品饮料,002460,赣锋锂业,新能源,0.3316752196034618,0.0496386720962966,0.3316752196034618,0.0496386720962966,-0.2820365475071652,0.2820365475071652,0.14966047857190745,False,False,其他
002475,立讯精密,电子,600030,中信证券,非银金融,0.3198361262522182,0.0404624673918044,0.3198361262522182,0.0404624673918044,-0.27937365886041376,0.27937365886041376,0.12650999705985772,False,False,其他
002415,海康威视,电子,603501,韦尔股份,电子,0.4581584691952908,0.180871973000757,0.4581584691952908,0.180871973000757,-0.2772864961945338,0.2772864961945338,0.3947803765767779,False,False,其他
002460,赣锋锂业,新能源,002415,海康威视,电子,0.3684925796076267,0.0927393363252175,0.3684925796076267,0.0927393363252175,-0.27575324328240924,0.27575324328240924,0.25167219492985976,False,False,其他
002460,赣锋锂业,新能源,600030,中信证券,非银金融,0.3944353306960627,0.1226273523227454,0.3944353306960627,0.1226273523227454,-0.27180797837331727,0.27180797837331727,0.3108934286042381,False,False,其他
002460,赣锋锂业,新能源,601318,中国平安,非银金融,0.3083126934045332,0.0401011322829823,0.3083126934045332,0.0401011322829823,-0.2682115611215509,0.2682115611215509,0.13006643301048298,False,False,其他
000725,京东方A,电子,600030,中信证券,非银金融,0.3470861459605334,0.0800940307765053,0.3470861459605334,0.0800940307765053,-0.2669921151840281,0.2669921151840281,0.23076124388327693,False,False,其他
002415,海康威视,电子,002475,立讯精密,电子,0.40564492704994,0.1478212252237532,0.40564492704994,0.1478212252237532,-0.25782370182618675,0.25782370182618675,0.3644103879192715,False,False,其他
600519,贵州茅台,食品饮料,002460,赣锋锂业,新能源,0.2653091188990792,-0.0097165395112041,0.2653091188990792,0.0097165395112041,-0.2750256584102833,0.2555925793878751,0.03662346605922795,True,False,其他
000725,京东方A,电子,002475,立讯精密,电子,0.3732381094817173,0.1274537832181444,0.3732381094817173,0.1274537832181444,-0.2457843262635729,0.2457843262635729,0.34148116170432913,False,False,其他
000725,京东方A,电子,603501,韦尔股份,电子,0.4338461679024861,0.1911457097916971,0.4338461679024861,0.1911457097916971,-0.242700458110789,0.242700458110789,0.44058406857856625,False,False,其他
002415,海康威视,电子,000725,京东方A,电子,0.4035858803774892,0.1625080277034417,0.4035858803774892,0.1625080277034417,-0.24107785267404752,0.24107785267404752,0.4026603397310177,False,False,其他
601288,农业银行,银行,601318,中国平安,非银金融,0.2822421614649653,0.0469680089443625,0.2822421614649653,0.0469680089443625,-0.23527415252060277,0.23527415252060277,0.16641032190434327,False,False,其他
600036,招商银行,银行,002415,海康威视,电子,0.2416432148104975,0.0068583669537098,0.2416432148104975,0.0068583669537098,-0.2347848478567877,0.2347848478567877,0.028382203734080836,False,False,其他
603501,韦尔股份,电子,601318,中国平安,非银金融,0.2443813164952231,-0.0116748339455016,0.2443813164952231,0.0116748339455016,-0.2560561504407247,0.2327064825497215,0.047773021738876695,True,False,其他
600887,伊利股份,食品饮料,002460,赣锋锂业,新能源,0.2833654291802954,0.0510659259490272,0.2833654291802954,0.0510659259490272,-0.2322995032312682,0.2322995032312682,0.1802122654720021,False,False,其他
000858,五粮液,食品饮料,603501,韦尔股份,电子,0.239118641330387,-0.0097859782862628,0.239118641330387,0.0097859782862628,-0.24890461961664978,0.2293326630441242,0.0409252002763835,True,False,其他
603501,韦尔股份,电子,600030,中信证券,非银金融,0.4234140062072874,0.1946791140523842,0.4234140062072874,0.1946791140523842,-0.22873489215490322,0.22873489215490322,0.45978430377448753,False,False,其他
002460,赣锋锂业,新能源,000725,京东方A,电子,0.319358706383558,0.0975481083886114,0.319358706383558,0.0975481083886114,-0.22181059799494662,0.22181059799494662,0.3054499734585398,False,False,其他
002460,赣锋锂业,新能源,002475,立讯精密,电子,0.3389244817554701,0.1221876140832421,0.3389244817554701,0.1221876140832421,-0.216736867672228,0.216736867672228,0.3605157510321104,False,False,其他
000725,京东方A,电子,601318,中国平安,非银金融,0.2555699501751565,0.0413090004586301,0.2555699501751565,0.0413090004586301,-0.2142609497165264,0.2142609497165264,0.1616348104709443,False,False,其他
603501,韦尔股份,电子,002475,立讯精密,电子,0.4948357074630691,0.2864220299177501,0.4948357074630691,0.2864220299177501,-0.20841367754531898,0.20841367754531898,0.5788224770321907,False,False,其他
000568,泸州老窖,食品饮料,603501,韦尔股份,电子,0.2350195196048354,0.038086199821814,0.2350195196048354,0.038086199821814,-0.1969333197830214,0.1969333197830214,0.16205547473610954,False,False,其他
600887,伊利股份,食品饮料,603501,韦尔股份,电子,0.2145056926369706,0.0303242446999742,0.2145056926369706,0.0303242446999742,-0.18418144793699642,0.18418144793699642,0.14136801838305962,False,False,其他
002475,立讯精密,电子,601318,中国平安,非银金融,0.2015749769787839,-0.0225161719212177,0.2015749769787839,0.0225161719212177,-0.2240911489000016,0.17905880505756622,0.11170122531422919,True,False,其他
600887,伊利股份,食品饮料,002475,立讯精密,电子,0.1732911144823435,-0.0021198433284461,0.1732911144823435,0.0021198433284461,-0.17541095781078958,0.1711712711538974,0.012232844914054086,True,False,其他
000858,五粮液,食品饮料,000725,京东方A,电子,0.1884948032415844,0.0176146530375321,0.1884948032415844,0.0176146530375321,-0.1708801502040523,0.1708801502040523,0.09344901150911983,False,False,其他
000568,泸州老窖,食品饮料,000725,京东方A,电子,0.1741344856279089,-0.0044763003907003,0.1741344856279089,0.0044763003907003,-0.1786107860186092,0.1696581852372086,0.025705995998203782,True,False,其他
000001,平安银行,银行,002460,赣锋锂业,新能源,0.2361284962150963,0.0693285296387243,0.2361284962150963,0.0693285296387243,-0.166799966576372,0.166799966576372,0.2936050953188256,False,False,其他
000858,五粮液,食品饮料,002475,立讯精密,电子,0.2084407201996539,0.043274877319086,0.2084407201996539,0.043274877319086,-0.1651658428805679,0.1651658428805679,0.20761239587752034,False,False,其他
601398,工商银行,银行,603501,韦尔股份,电子,-0.1650768121977716,0.0027943883997423,0.1650768121977716,0.0027943883997423,0.1678712005975139,0.1622824237980293,0.01692780689509839,True,False,其他
000001,平安银行,银行,603501,韦尔股份,电子,0.1571327457988789,0.0050176225202357,0.1571327457988789,0.0050176225202357,-0.1521151232786432,0.1521151232786432,0.03193237981507671,False,False,其他
000001,平安银行,银行,000725,京东方A,电子,0.1981861500013645,0.0461881940481366,0.1981861500013645,0.0461881940481366,-0.1519979559532279,0.1519979559532279,0.2330546006762763,False,False,其他
