year,window,industry_level,analysis_month_count,market_r2_median,raw_mean_corr,residual_mean_corr,raw_same_cross_gap,residual_same_cross_gap,gap_retention_ratio,raw_top1_same_enrichment,residual_top1_same_enrichment,raw_residual_top1_overlap
2023,120,industry_id2,12,0.18959658128330503,0.1881518602478859,0.002990299020567031,0.1606399896376426,0.18359432623620298,1.1437052794535447,10.493744837423945,14.73556250547953,0.4708333333333334
2023,252,industry_id1,12,0.21083406684804362,0.21021801687745703,0.0019336902182930315,0.12411650101129575,0.14144583931197469,1.1441911902781423,7.452344067633377,10.180266923191772,0.45458333333333334
2023,252,industry_id2,12,0.21083406684804362,0.21021801687745703,0.0019336902182930315,0.1470275527482596,0.16888018876136757,1.1536248070259292,11.97843948943416,17.01093505767768,0.45458333333333334
2024,60,industry_id1,12,0.4812427378301097,0.4334710804604784,0.0029328001669498387,0.08360377796273949,0.1182021639469335,1.4338323794035361,3.339982923916356,4.9712234822087655,0.25833333333333336
2024,60,industry_id2,12,0.4812427378301097,0.4334710804604784,0.0029328001669498387,0.10583401699513077,0.14811378013841223,1.439962316296491,4.7535127023036425,8.552445745765306,0.25833333333333336
2024,120,industry_id1,12,0.4483868495126724,0.41195898215582055,0.0029914257477934615,0.08871965032338104,0.11820562675087881,1.3442328488654223,3.7327054490216907,5.652940354741809,0.28958333333333336
2024,120,industry_id2,12,0.4483868495126724,0.41195898215582055,0.0029914257477934615,0.10830570025822701,0.1497696627020108,1.4016318061588307,5.711068983590683,9.544160666787898,0.28958333333333336
2024,252,industry_id1,12,0.37605316203271144,0.35162109498435806,0.002589331877457673,0.10071111812781153,0.12576254030885745,1.2576180539553303,4.251041684779456,7.346080490226712,0.28291666666666665
2024,252,industry_id2,12,0.37605316203271144,0.35162109498435806,0.002589331877457673,0.12242855777158852,0.1535307906934253,1.2658036291287993,6.554172957509991,12.114446696490832,0.28291666666666665
2025,60,industry_id1,12,0.28928630281502715,0.2722113973132824,0.003227981526930174,0.09119587519718575,0.10239488719280043,1.1251000643353783,3.815766781504593,4.9334951580990385,0.3645833333333333
2025,60,industry_id2,12,0.28928630281502715,0.2722113973132824,0.003227981526930174,0.11140407006112955,0.1364461227889116,1.2332030191907766,5.934237452470473,8.465529978684952,0.3645833333333333
2025,120,industry_id1,12,0.31559820510080583,0.3042474283885808,0.002506445810984415,0.08650938689375709,0.09864421657552802,1.148814043789988,4.3409996647839355,6.164778078934077,0.325
2025,120,industry_id2,12,0.31559820510080583,0.3042474283885808,0.002506445810984415,0.10348705304897582,0.13168095192247362,1.2976551498307396,7.139191154291182,10.60367900823645,0.325
2025,252,industry_id1,12,0.36999351157314614,0.3550307612822398,0.001947455682611456,0.08501984157187363,0.1016105845304297,1.1976872044127826,4.713314010436297,6.992738486576495,0.2783333333333333
2025,252,industry_id2,12,0.36999351157314614,0.3550307612822398,0.001947455682611456,0.10475363025462446,0.13559111747993538,1.2970299356558748,7.7220556105303295,12.65106668870083,0.2783333333333333
2026,60,industry_id1,9,0.24589792547012435,0.232920336780136,0.008395765885562116,0.11226026751702792,0.1277209859756789,1.142586424908468,3.8808596174551266,5.580228676330577,0.49
2026,60,industry_id2,9,0.24589792547012435,0.232920336780136,0.008395765885562116,0.1283261748308958,0.14226430720767885,1.115844079042385,5.419048609846108,8.013184558388966,0.49
2026,120,industry_id1,9,0.2255062513439281,0.2200658471968339,0.0054302077990742,0.1025841903657015,0.11109710178459332,1.0819901926314182,4.977826099489755,6.506800399643688,0.4883333333333334
2026,120,industry_id2,9,0.2255062513439281,0.2200658471968339,0.0054302077990742,0.12434934895099846,0.13458606253797198,1.0811229119795371,7.625916500662155,9.920426830928882,0.4883333333333334
2026,252,industry_id1,9,0.21475000510567221,0.20933158788413342,0.002910675269219776,0.09972359185025335,0.10322200379928775,1.0343246254044776,5.943380098318422,7.8924128595070835,0.46611111111111114
2026,252,industry_id2,9,0.21475000510567221,0.20933158788413342,0.002910675269219776,0.12312280679964045,0.13067029765699995,1.061930229106559,9.353611479557712,13.304413638449644,0.46611111111111114
