resample,valid,converged,reason,n_iter,dual_gap,n_edges
138,True,True,,5,-2.040055284302511e-05,48
139,True,True,,5,3.05701850824569e-05,48
140,True,True,,6,3.6896345191550495e-05,52
141,True,True,,6,5.3991209814086e-07,48
142,True,True,,5,2.0977510247988107e-05,49
143,True,True,,3,6.369596854405302e-06,45
144,True,True,,5,-7.650702860662051e-05,49
145,True,True,,4,2.9812552485353194e-05,46
146,True,True,,3,6.61476717631615e-05,48
147,True,True,,2,-6.3003104252779e-05,45
148,True,True,,6,2.2400816308554283e-05,47
149,True,True,,4,-1.70329748359066e-05,52
150,True,True,,5,6.271104714139497e-05,48
151,True,True,,5,5.5842051398968806e-05,49
152,True,True,,6,4.1662170855438774e-05,49
153,True,True,,4,7.621183455075453e-05,51
154,True,True,,4,-5.5826543257087025e-05,54
155,True,True,,6,5.772797934344709e-05,51
156,True,True,,5,-3.258887584500769e-05,50
157,True,True,,5,3.371921348005458e-05,49
158,True,True,,5,4.136107540375633e-05,48
159,True,True,,6,4.684130399468245e-05,52
160,True,True,,5,8.021235925870229e-05,51
161,True,True,,5,9.040822679917682e-05,52
162,True,True,,4,-1.9885233069949493e-05,52
163,True,True,,4,7.496582445565281e-05,50
164,True,True,,5,-2.215508193970095e-05,46
165,True,True,,5,7.523581075119523e-05,56
166,True,True,,5,4.541773068389432e-05,49
167,True,True,,5,4.435242827982577e-05,47
168,True,True,,4,-4.585024397130155e-05,49
169,True,True,,5,6.813076021794373e-05,50
170,True,True,,5,5.663294167757016e-05,55
171,True,True,,3,4.156228313778598e-05,47
172,True,True,,5,-5.5075411482530257e-05,49
173,True,True,,5,2.4522862325238037e-05,46
174,True,True,,5,5.8112271252408476e-05,49
175,True,True,,5,-3.783304681448385e-05,52
176,True,True,,3,-7.523346168269995e-05,43
177,True,True,,4,7.511883739796943e-05,53
178,True,True,,5,2.1713280590862638e-05,48
179,True,True,,5,2.4444773209175708e-05,42
180,True,True,,5,-4.1232718570149984e-05,51
181,True,True,,5,7.845232222880583e-05,52
182,True,True,,6,4.269065972017927e-05,52
183,True,True,,5,5.269721042511222e-05,51
184,True,True,,5,3.174657416549209e-05,52
185,True,True,,5,4.696600560816222e-05,48
186,True,True,,4,6.173516054808204e-05,54
187,True,True,,4,3.5428005408455476e-05,51
188,True,True,,5,2.8788195747253553e-05,47
189,True,True,,3,4.2641041327673435e-05,50
190,True,True,,4,3.830607980370715e-05,49
191,True,True,,5,4.280393677724703e-05,47
192,True,True,,5,-2.2808077371205826e-05,51
193,True,True,,2,-4.2769221264560286e-05,46
194,True,True,,5,5.521212611414583e-05,54
195,True,True,,5,-4.270170314502053e-05,48
196,True,True,,4,1.9620389901220392e-05,52
197,True,True,,4,4.815108774636201e-05,48
198,True,True,,6,2.0897680634845983e-05,46
199,True,True,,5,2.571214088176177e-05,45
200,True,True,,6,3.273703026351882e-05,53
