date,CSI300_close,CSI300_return,CSI300_volume,CSI500_close,CSI500_return,CSI500_volume,CSI300_return_20,CSI300_volatility_20,CSI300_negative_share_20,CSI300_volume_activity_20_60,CSI500_return_20,CSI500_volatility_20,CSI500_negative_share_20,CSI500_volume_activity_20_60,relative_return_20,relative_volatility_20,relative_volume_activity,event_time,CSI500_vs_CSI300_relative_cumulative_return,CSI300_event_cumulative_return,CSI500_event_cumulative_return,is_first_R4_anchor,is_last_R3_market_date,segment
2025-09-30,4640.694,0.0044676976649402,24798035900,7412.368,0.0084086110446006,22070750200,0.03345787162230662,0.17190774648208826,0.4,0.013216315749495777,0.06473701999615322,0.22501189334705604,0.4,0.07393702885899622,0.0312791483738466,0.05310414686496778,0.060720713109500446,-26,0.02427384416892897,0.04393992394325297,0.06928035897877538,False,False,Pre-R3
2025-10-09,4709.482,0.0148227829716847,34767869600,7548.923,0.0184225877614279,28313078400,0.05597791844083755,0.17481874681227957,0.35,0.020248621749867413,0.09907035956521337,0.22215068086801648,0.35,0.07001027834028495,0.043092441124375824,0.04733193405573691,0.049761656590417536,-25,0.02790717399963194,0.05941401887134079,0.08897927023363317,False,False,Pre-R3
2025-10-10,4616.834,-0.0196726518967479,31902089900,7398.224,-0.0199629801496186,26225664600,0.05764328809914954,0.17207225663939843,0.35,0.014969017847683341,0.10446854323099086,0.21419978089070377,0.35,0.061730487217368735,0.046825255131841326,0.04212752425130534,0.04676146936968539,-24,0.02760275477219931,0.038572535663550234,0.06723999867861274,False,False,Pre-R3
2025-10-13,4593.979,-0.0049503620879588,31501035400,7376.564,-0.0029277296821507,25802781700,0.029965081019881046,0.1587212082063315,0.4,0.024549626618792342,0.06690976927381498,0.19017676821703358,0.4,0.06269951308752875,0.03694468825393393,0.03145556001070207,0.038149886468736405,-23,0.02969155773529697,0.03343122555740585,0.06411540845650299,False,False,Pre-R3
2025-10-14,4539.064,-0.0119536898187823,37295403000,7194.851,-0.0246338268060848,27735887300,0.016002200747475603,0.16576942909168377,0.45,0.034321438780183344,0.028994652120380993,0.2117094126355193,0.45,0.06311941719450553,0.01299245137290539,0.04593998354383552,0.02879797841432219,-22,0.016476964580895315,0.021077909238048642,0.03790217378289906,False,False,Pre-R3
2025-10-15,4606.288,0.0148101018183481,28477185500,7294.001,0.0137806884395521,21755977700,0.038327347056910765,0.17009329796717487,0.4,0.04048730048002325,0.05268261565760546,0.21212282744109692,0.4,0.059285380414566546,0.014355268600694693,0.04202952947392205,0.0187980799345433,-21,0.015445860352919505,0.03620017703833023,0.05220518027053522,False,False,Pre-R3
2025-10-16,4618.422,0.0026342252156184,24823551800,7231.534,-0.008564161151061,19493637000,0.03892976167311346,0.17011107816782253,0.4,0.04264040818447912,0.04319392554271717,0.21574838180869618,0.45,0.05689599981387006,0.00426416386960371,0.04563730364087365,0.01425559162939094,-20,0.004104381284387282,0.038929761673112795,0.04319392554271717,False,True,Pre-R3
2025-10-17,4514.235,-0.0225590039195205,25690561700,7016.066,-0.0297956145957413,20004411300,-0.007431780977938507,0.17207878126111828,0.45,0.03684161624739746,-0.014971699656240345,0.22241619987712244,0.5,0.043957442887974985,-0.007539918678301838,0.05033741861600416,0.007115826640577527,-19,-0.003329635208455306,0.015492541107422486,0.012111321388627916,False,False,R3-R4 Transition
2025-10-20,4538.22,0.0053131926007397,21842040500,7069.641,0.0076360456130257,17683419200,0.0035873523163878485,0.17193843944017922,0.4,0.02527883895685501,-0.010927636099141047,0.22391797653541093,0.5,0.02342803964945861,-0.014514988415528896,0.051979537095231704,-0.0018507993073964002,-18,-0.001026752110777851,0.02088804856294102,0.019839849604211368,False,False,R3-R4 Transition
2025-10-21,4607.872,0.0153478676661775,21571117500,7185.624,0.0164057835468589,20597382900,0.016504539101216187,0.18004698926152843,0.4,0.02262075044207168,0.006761740995938625,0.23169962721020224,0.45,0.016759407415493977,-0.009742798105277561,0.05165263794867381,-0.005861343026577703,-17,1.410265139045741e-05,0.0365565032342674,0.03657112142927921,False,False,R3-R4 Transition
2025-10-22,4592.57,-0.0033208387732993,18533396000,7128.478,-0.0079528235821968,16974325400,0.01530573556646364,0.18035734250393293,0.4,0.014898073091216935,-0.008693514233708899,0.23193983019975473,0.5,0.0069227160964171475,-0.02399924980017254,0.0515824876958218,-0.007975356994799787,-16,-0.004633381024764183,0.033114266207611376,0.028327454170152144,False,False,R3-R4 Transition
