network_date,regime,edge_count,same_edge_ratio,mean_abs_partial,same_cross_strength_ratio,CSI300_future_start_date,CSI300_future_end_date,CSI300_future_return_20,CSI300_future_volatility_20,CSI300_future_mean_abs_return_20,CSI300_future_negative_share_20,CSI300_future_max_drawdown_20,CSI500_future_start_date,CSI500_future_end_date,CSI500_future_return_20,CSI500_future_volatility_20,CSI500_future_mean_abs_return_20,CSI500_future_negative_share_20,CSI500_future_max_drawdown_20,future_relative_return_20,future_relative_volatility_20
2025-03-19,3,56,0.2857142857142857,0.1032060900546195,3.4186067942766747,2025-03-20,2025-04-17,-0.05933566873008833,0.27854437808524674,0.00877151847556679,0.5,-0.09699415747251827,2025-03-20,2025-04-17,-0.08922914388856229,0.3705290867020991,0.011558769736885384,0.5,-0.12747830426541096,-0.02989347515847396,0.09198470861685237
2025-04-17,3,54,0.2777777777777778,0.1048103026360118,3.2050652182465056,2025-04-18,2025-05-20,0.03338854394041557,0.0862193573472491,0.0040417866388978855,0.45,-0.01675436592157975,2025-04-18,2025-05-20,0.03425510584737035,0.12287435786296061,0.0056198139052863715,0.3,-0.014454264518455329,0.000866561906954777,0.03665500051571151
2025-05-20,3,55,0.2727272727272727,0.1013574358275216,3.4560469526671445,2025-05-21,2025-06-18,-0.005951509053860771,0.07202653627148414,0.0037227184300209154,0.55,-0.02046379042284152,2025-05-21,2025-06-18,-0.0002602931046503665,0.10886858667243902,0.0056296129223562955,0.5,-0.020959814849902836,0.005691215949210404,0.03684205040095488
2025-06-18,3,54,0.2592592592592592,0.1018050588425186,3.4452811426261483,2025-06-19,2025-07-16,0.0341243844147483,0.08999167848546025,0.004385743280623916,0.3,-0.009673576147468,2025-06-19,2025-07-16,0.04722069117110461,0.12259167907288072,0.0062603610123620704,0.5,-0.007029708475787322,0.013096306756356313,0.03260000058742048
2025-07-16,3,54,0.2962962962962963,0.1035285263807728,3.4445816385472634,2025-07-17,2025-08-13,0.042267896652078196,0.10042254688558494,0.005202325707860131,0.25,-0.02338521564778595,2025-07-17,2025-08-13,0.08158336234740649,0.11778228710844094,0.007018798635374371,0.3,-0.022487257582557985,0.03931546569532829,0.017359740222855996
2025-08-13,3,55,0.2545454545454545,0.1089444476084889,3.186964630434855,2025-08-14,2025-09-10,0.06435579558193294,0.18846995727235888,0.00975120317587544,0.4,-0.03503804730231441,2025-08-14,2025-09-10,0.06515129305059708,0.24968637489716058,0.013293690546560825,0.4,-0.05792184507856746,0.0007954974686641414,0.061216417624801706
2025-09-10,3,54,0.2592592592592592,0.1053339449007783,3.353269290815703,2025-09-11,2025-10-16,0.03892976167311346,0.17011107816782176,0.008581323841951939,0.4,-0.0361861453127964,2025-09-11,2025-10-16,0.04319392554271717,0.21574838180869593,0.01117967179921425,0.45,-0.046903644400664746,0.00426416386960371,0.04563730364087418
2025-10-16,3,54,0.2777777777777778,0.1086494340649781,3.280212414178752,2025-10-17,2025-11-13,0.01811268004526201,0.16394975287092772,0.008420517427931146,0.45,-0.027199537979181287,2025-10-17,2025-11-13,0.01711351975943165,0.2092802477118226,0.01053090153210093,0.45,-0.036110572336437,-0.0009991602858303583,0.04533049484089488
2025-11-13,4,44,0.3636363636363636,0.0996322344487252,3.9846334060099946,2025-11-14,2025-12-11,-0.031877209929063954,0.13999714682534942,0.006919243874601855,0.6,-0.038912392451394884,2025-11-14,2025-12-11,-0.0370342927288666,0.18677582134807152,0.00911056572242475,0.55,-0.0577782040732161,-0.005157082799802648,0.04677867452272211
2025-12-11,4,42,0.3809523809523809,0.0989651775959356,3.982835001016988,2025-12-12,2026-01-12,0.05222349267439719,0.13460556299239596,0.006953903335263635,0.35,-0.01820473919165211,2025-12-12,2026-01-12,0.16465517691711629,0.17681315664034591,0.01096775289697404,0.2,-0.023497477123112676,0.1124316842427191,0.04220759364794996
2026-01-12,4,42,0.3809523809523809,0.1031206589870285,3.6220109289035887,2026-01-13,2026-02-09,-0.014793578843553257,0.12904329030531145,0.005815530838623126,0.5,-0.03256688885938985,2026-01-13,2026-02-09,0.0075347357926809355,0.25573927567600413,0.011817395867954206,0.4,-0.06558623925784879,0.022328314636234192,0.12669598537069268
2026-02-09,4,40,0.35,0.10154967553337,3.606091908192432,2026-02-10,2026-03-17,-0.01729519632740084,0.12463018988698144,0.00629817932440557,0.5,-0.02813855738926163,2026-02-10,2026-03-17,-0.03552484014802515,0.22698561273856538,0.010301332776830987,0.55,-0.0741961898492225,-0.01822964382062431,0.10235542285158394
2026-03-17,5,44,0.3409090909090909,0.0994240312661018,3.73427496960456,2026-03-18,2026-04-15,0.010308922661840025,0.23417129256082633,0.01121090526235902,0.55,-0.051592501350268605,2026-03-18,2026-04-15,0.0034993648972703184,0.32572233154769026,0.016008921937909593,0.5,-0.08098423156483303,-0.006809557764569707,0.09155103898686393
2026-04-15,5,45,0.3777777777777777,0.11170107256673,3.238208556623135,2026-04-16,2026-05-18,0.0316478579780024,0.13537311656865983,0.00671396395612114,0.5,-0.032974534355591945,2026-04-16,2026-05-18,0.0634205764067155,0.2147557122398881,0.011050364964084066,0.4,-0.04282179475118353,0.0317727184287131,0.07938259567122827
2026-05-18,5,42,0.3333333333333333,0.1141043221238276,3.0148512489914983,2026-05-19,2026-06-15,0.012038628545135488,0.20288426982785054,0.010628687729518315,0.5,-0.04733632736164761,2026-05-19,2026-06-15,-0.017241631252441936,0.2847860817014583,0.013945976321196586,0.5,-0.08506966425356921,-0.029280259797577424,0.08190181187360776
2026-06-15,5,41,0.3170731707317073,0.1145887693778708,2.9577058637714533,2026-06-16,2026-07-14,-0.019463733869913957,0.2766879112503545,0.014024693148241068,0.5,-0.07199597285033887,2026-06-16,2026-07-14,-0.015560000133225449,0.3369316859792881,0.017960428126073145,0.45,-0.0989035007832133,0.0039037337366885083,0.06024377472893355
2026-07-14,5,40,0.4,0.1136661686743124,3.1045286585661214,2026-07-15,2026-08-11,-0.02766870523560705,0.2529706436364368,0.012368785679785149,0.5,-0.05383323204749413,2026-07-15,2026-08-11,-0.037264653593990116,0.4145224009576736,0.0210063613429164,0.55,-0.10285312974565752,-0.009595948358383066,0.16155175732123683
