date,CSI300_close,CSI500_close,SSE_close,CSI300_simple_return,CSI500_simple_return,SSE_simple_return,CSI300_log_return,CSI500_log_return,SSE_log_return,CSI300_volume,CSI500_volume,SSE_volume,main_indices_complete
2024-01-29,3303.96,4927.914,2883.356,-0.008956989592422637,-0.01972889699872271,-0.009231938583400545,-0.008997344577217348,-0.019926109858534602,-0.00927481703324684,18416479500,11687665700,41058131100,True
2024-01-30,3245.039,4814.991,2830.527,-0.017833448346832204,-0.02291496970117579,-0.01832205249715957,-0.01799438047410007,-0.02318159869077796,-0.01849198011665809,14364935000,9967581100,33566122600,True
2024-01-31,3215.352,4696.98,2788.548,-0.009148426259283915,-0.024509080079277545,-0.01483080712531637,-0.00919053009675963,-0.024814427090715796,-0.014941883144802048,15314346900,12109315800,37710396500,True
2024-02-01,3217.711,4678.731,2770.74,0.0007336677290696869,-0.003885262445230686,-0.006386119227641096,0.0007333987264654951,-0.003892829684197352,-0.0064065977189846635,14551679200,11147191000,35288918500,True
2024-02-02,3179.628,4563.222,2730.152,-0.011835432081998554,-0.024688104530908084,-0.014648794184946912,-0.011906028386338363,-0.02499796635026641,-0.014757147233407153,17375808900,13750183200,42623019900,True
2024-02-05,3200.422,4460.264,2702.185,0.006539758739072532,-0.02256256653741584,-0.010243751996225847,0.006518467293753716,-0.022820995859024862,-0.010296580306780712,20304297000,16595833700,47899029200,True
2024-02-06,3311.692,4805.901,2789.486,0.03476729006362289,0.07749249820190007,0.03230755851283318,0.034176560918673715,0.0746365807459135,0.03179664447445152,20271309900,17305833500,50284931300,True
2024-02-07,3343.63,5109.569,2829.696,0.00964401278862903,0.06318648677948224,0.014414842017489882,0.009597806138115672,0.06127051838454811,0.014311935920177987,21664793300,22719893400,54711743900,True
2024-02-08,3364.93,5150.229,2865.903,0.006370322075109902,0.007957618343151784,0.012795367417560044,0.0063501173351756535,0.007926123470756608,0.012714198362519191,18997757800,21367612300,53110889300,True
2024-02-19,3403.808,5141.604,2910.544,0.011553880764235913,-0.0016746828150748794,0.015576591391962769,0.011487644387129237,-0.0016760866638936278,0.015456521539785939,18331980000,16294989300,45896770400,True
2024-02-20,3410.854,5140.958,2922.73,0.002070034502533513,-0.0001256417258117537,0.004186846170338043,0.0020678949332584295,-0.0001256496193935419,0.00417810571803745,14073458100,12164637900,35013873500,True
2024-02-21,3456.871,5139.037,2950.956,0.013491342637357073,-0.00037366576424069375,0.009657409339898004,0.013401144828399936,-0.0003737355946888954,0.00961107463891775,18887936200,15087250100,44424546300,True
2024-02-22,3486.675,5176.343,2988.358,0.008621669712291835,0.007259336720089715,0.012674536658628499,0.008584715371481977,0.007233114562456677,0.012594887027571389,14102078400,11661480600,35413253600,True
2024-02-23,3489.742,5197.712,3004.881,0.0008796346089039453,0.004128204023574389,0.005529123351352139,0.0008792479571049228,0.0041197063680193935,0.005513893860202401,14482127300,13526500400,38008327000,True
2024-02-26,3453.359,5195.464,2977.022,-0.01042569909179536,-0.0004324979914239746,-0.00927124901119214,-0.010480427412238313,-0.0004325915456551144,-0.009314494541230012,15124833100,14401894400,40902655800,True
2024-02-27,3494.787,5307.804,3015.481,0.0119964359338256,0.021622707808195862,0.012918614642417836,0.011925049054552161,0.02139225317925053,0.012835881113491432,13952824600,13897175100,37298468700,True
2024-02-28,3450.26,5184.047,2957.852,-0.01274097677483621,-0.02331604558118583,-0.019111047292289518,-0.012822839100079975,-0.02359216502567385,-0.019296023879498136,18983754800,20256098500,54410909300,True
2024-02-29,3516.083,5346.793,3015.171,0.019077692695622872,0.03139361969519183,0.019378589598127327,0.018897995392668676,0.0309109165531396,0.019193215758495086,15594453200,16079016500,40969637400,True
2024-03-01,3537.804,5379.048,3027.02,0.006177612985813985,0.006032588132736771,0.003929793699926298,0.006158609757614286,0.00601446492299651,0.0039220922308604855,16270957000,14229839500,37913218400,True
2024-03-04,3540.869,5388.82,3039.306,0.0008663566438389392,0.001816678341594935,0.004058777279304371,0.0008659815735363452,0.001815030177318988,0.0040505626628331015,16324461300,14392846900,38776000200,True
2024-03-05,3565.514,5351.827,3047.793,0.006960155826154502,-0.006864768168170277,0.002792413794465043,0.006936045750201458,-0.0068884390815942,0.0027885222499168805,16642238900,14081647900,38350995500,True
2024-03-06,3551.048,5350.102,3039.931,-0.004057199046196502,-0.000322319835824314,-0.002579571512894785,-0.00406545180787532,-0.00032237179202709854,-0.002582904340235004,14307661300,12109956400,34098273900,True
2024-03-07,3529.72,5277.299,3027.401,-0.006006114251342121,-0.013607777945168098,-0.0041218040804216205,-0.006024223502773651,-0.013701212346756364,-0.004130322129404007,14811051000,13983134200,37715439100,True
2024-03-08,3544.91,5349.595,3046.019,0.004303457498045171,0.013699432228494235,0.006149829507224203,0.0042942241056902475,0.013606443307898175,0.006130996479571493,12579266400,12146797800,31920439200,True
2024-03-11,3589.264,5441.051,3068.455,0.012512024282703926,0.017095873612862356,0.007365679596877062,0.012434395762809913,0.016951383628954986,0.007338685451356852,14820282500,14298173200,36160882100,True
2024-03-12,3597.494,5423.718,3055.935,0.002292949195155325,-0.0031855977824873927,-0.004080229301065219,0.002290324398732224,-0.003190682600765271,-0.00408857614907987,18068556000,14707253600,41574391400,True
2024-03-13,3572.361,5415.113,3043.835,-0.006986252096598422,-0.001586550038184087,-0.003959508301060066,-0.0070107702156807505,-0.0015878099414710078,-0.00396736790769836,14459059000,12974630100,36504745300,True
2024-03-14,3562.223,5392.927,3038.234,-0.0028378990813078264,-0.004097052083677721,-0.0018401128839112824,-0.002841933551660958,-0.004105467996387446,-0.0018418079713775626,14096272200,13188735700,36407229000,True
2024-03-15,3569.993,5454.146,3054.636,0.002181222231174118,0.01135172050354094,0.005398530857070316,0.0021788468195378385,0.011287773210499452,0.00538401102310182,13831604400,13640503000,36026846300,True
2024-03-18,3603.528,5528.447,3084.926,0.009393575841745383,0.013622847646542757,0.009916075106821243,0.00934973057025168,0.013530890858495681,0.00986723344703222,16037943800,15986263800,40665350800,True
2024-03-19,3577.63,5478.225,3062.756,-0.007186845780024376,-0.009084287142483216,-0.007186558121653475,-0.007212795562294261,-0.009125800885355417,-0.00721250582164501,14557178600,14677724000,38412368000,True
2024-03-20,3585.384,5493.414,3079.686,0.0021673566019961843,0.0027726133921113227,0.005527701194610435,0.0021650112728401893,0.002768776789574545,0.0055124795225012235,12952896600,12627326200,34918772900,True
2024-03-21,3581.09,5465.829,3077.113,-0.0011976401969774342,-0.0050214675245666696,-0.0008354747854165678,-0.0011983579411207756,-0.00503411745787119,-0.0008358239889894037,13074337700,12948945800,36687796800,True
2024-03-22,3545.002,5384.566,3048.034,-0.01007737867520786,-0.01486746109327608,-0.00945009169309019,-0.010128499186162543,-0.014979089596355522,-0.009495027129661437,13922735800,13709602900,39474048600,True
2024-03-25,3525.763,5294.746,3026.306,-0.00542707733310166,-0.01668101013154999,-0.007128529406168038,-0.005441857416650819,-0.01682170499722524,-0.007154058768804816,13701572400,13077825400,38748538900,True
2024-03-26,3543.747,5284.419,3031.481,0.0051007398965841055,-0.001950424061890832,0.0017100055314962503,0.005087775190544264,-0.001952328615761445,0.0017085451366565252,12620953500,11646811200,34592878700,True
2024-03-27,3502.787,5156.684,2993.139,-0.011558387209922194,-0.02417200452878543,-0.012647943364975767,-0.011625704590334962,-0.024468942248454084,-0.012728609496205578,12862676300,11010714200,34319801000,True
2024-03-28,3520.965,5223.806,3010.664,0.005189581895787665,0.013016504404768536,0.0058550571824429465,0.005176162423271791,0.012932517734780546,0.00583798294979232,14333471700,11631819200,35320002600,True
2024-03-29,3537.484,5286.161,3041.167,0.004691611532633644,0.011936699027490727,0.010131652020949344,0.00468064022527237,0.011866018540825252,0.010080670894129895,12864329000,10904714900,33482278500,True
2024-04-01,3595.647,5401.225,3077.379,0.016441911822074662,0.02176702525708163,0.011907271123223317,0.01630820717261905,0.021533506163731175,0.011836937342172504,16277656100,13673485400,37539364000,True
2024-04-02,3580.676,5381.229,3074.959,-0.004163645652646153,-0.0037021231294752655,-0.0007863834776282719,-0.004172337760836697,-0.003708992947824896,-0.0007866928393109873,14127297200,13214864200,36730426200,True
2024-04-03,3567.803,5374.595,3069.296,-0.003595131198689816,-0.0012328038817898124,-0.0018416505716011278,-0.00360160921372632,-0.001233564409613308,-0.001843348494990238,13559233100,13362805300,36321138000,True
2024-04-08,3536.408,5298.591,3047.053,-0.00879953293385316,-0.014141344603639916,-0.0072469387116784745,-0.008838477454496285,-0.014242286180303765,-0.007273325330784175,15530428300,14858855900,40293674000,True
2024-04-09,3533.487,5342.898,3048.537,-0.0008259793553232475,0.008362034359700399,0.0004870279578332859,-0.0008263206642258325,0.008327266237410313,0.00048690939821049994,12967094200,11330074500,33348996500,True
2024-04-10,3504.709,5275.473,3027.335,-0.008144362778184866,-0.012619555903930824,-0.006954811439060737,-0.008177709281483203,-0.012699858806138664,-0.006979108861667527,12879027400,11790861800,34899172100,True
2024-04-11,3504.245,5301.809,3034.246,-0.00013239330283909556,0.004992158996927953,0.002282865953057822,-0.00013240206760656292,0.004979739487495749,0.0022802641735015783,12653439500,12774514300,34089439200,True
2024-04-12,3475.839,5277.219,3019.474,-0.008106168375784262,-0.004638039582338771,-0.004868425302365087,-0.008139201997165557,-0.004648828660963389,-0.004880314688916698,12892111600,11852493300,33422977100,True
2024-04-15,3549.076,5339.722,3057.378,0.021070308492424417,0.011843927644465735,0.01255317979224202,0.020851399194018683,0.011774337276692748,0.01247504187085724,18394125000,15921762400,46123924400,True
2024-04-16,3511.115,5191.554,3007.068,-0.010696023415672218,-0.02774826105179251,-0.01645527638388189,-0.010753637067056232,-0.02814051736653944,-0.01659216825086851,17615306500,16258397300,44807047300,True
2024-04-17,3565.403,5339.747,3071.381,0.015461755026537238,0.02854501754195371,0.02138727823913511,0.0153434401046173,0.028145199247259,0.021161779934665503,16846639800,14759455200,41335836800,True
2024-04-18,3569.802,5349.836,3074.225,0.0012338016207424918,0.0018894153599411379,0.0009259678301063445,0.0012330411130019314,0.0018876326598942228,0.0009255393863565331,17857410500,15349768200,41632134900,True
2024-04-19,3541.662,5314.867,3065.261,-0.007882790137940465,-0.006536462052294745,-0.0029158568419682673,-0.007914023574144835,-0.006557918269985308,-0.0029201162343959197,14728150500,14213421600,37554385500,True
2024-04-22,3530.905,5267.581,3044.595,-0.003037274590291128,-0.008896930064289488,-0.0067420033726329764,-0.0030418964697442874,-0.008936744070780378,-0.006764833348412935,15057904200,13526688200,35721639900,True
2024-04-23,3506.225,5208.271,3021.978,-0.00698970943709909,-0.011259437681167217,-0.007428574243864894,-0.007014251886026557,-0.011323305008954065,-0.007456303512819673,14311350400,12580112000,32559512800,True
2024-04-24,3521.622,5263.039,3044.822,0.004391332558520977,0.010515581850483624,0.007559287327703945,0.004381718792254574,0.010460677683754582,0.0075308590901776995,12173985100,11729722000,30526409300,True
2024-04-25,3530.281,5259.335,3052.9,0.0024588101732667678,-0.0007037758982975095,0.0026530286499506506,0.0024557922455290537,-0.0007040236648094833,0.0026495155815844385,11518772200,11083392900,29228014800,True
2024-04-26,3584.269,5372.121,3088.636,0.01529283362995737,0.021444916515110712,0.011705591404893578,0.015177076923253097,0.021218209705194724,0.011637610956446665,19721613300,17377770100,43938256300,True
2024-04-29,3623.912,5478.491,3113.043,0.011060274772903389,0.019800373074247535,0.007902193719169226,0.01099955722549062,0.019606895469648222,0.007871134900950594,22272138100,19093605500,50692544500,True
