analysis_date,window,factor_order,factor_name,method,sort_status,turnover_status,gross_spread_status,gross_q5_minus_q1,q1_sort_n,q5_sort_n,q1_return_n,q5_return_n,q1_future_excess_return,q5_future_excess_return,gross_q5_minus_q1_bps,q1_target_turnover,q5_target_turnover,q1_drift_turnover,q5_drift_turnover,q1_drift_return_weight_coverage,q5_drift_return_weight_coverage,long_short_half_l1_turnover_sum,roundtrip_traded_notional_ratio
2015-07-31,60,3,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,PASS,NO_PREVIOUS_FORMATION,PASS,-0.010396953142663885,292.0,292.0,292.0,292.0,0.010886449360222166,0.0004894962175582806,-103.96953142663885,,,,,,,,
2015-07-31,60,4,cross_industry_degree_ratio,RAW_COMMON,FEWER_THAN_5_PORTFOLIOS,SORT_FAILURE,SORT_FAILURE,,,,,,,,,,,,,,,,
2015-07-31,60,4,cross_industry_degree_ratio,INDUSTRY_SIZE_COMMON,PASS,NO_PREVIOUS_FORMATION,PASS,-0.003034168046325657,256.0,255.0,256.0,255.0,0.006133760981937977,0.0030995929356123202,-30.341680463256573,,,,,,,,
2015-07-31,60,4,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,PASS,NO_PREVIOUS_FORMATION,PASS,-0.002327448093544999,256.0,255.0,256.0,255.0,0.005746057443457679,0.00341860934991268,-23.274480935449994,,,,,,,,
2015-07-31,60,5,delta_residual_degree_percentile_1m,RAW_COMMON,PASS,NO_PREVIOUS_FORMATION,PASS,-0.0021283844628328433,278.0,268.0,278.0,268.0,0.005544170495416889,0.003415786032584046,-21.283844628328435,,,,,,,,
2015-07-31,60,5,delta_residual_degree_percentile_1m,INDUSTRY_SIZE_COMMON,PASS,NO_PREVIOUS_FORMATION,PASS,-0.010208498585906582,273.0,273.0,273.0,273.0,0.01054909038289285,0.00034059179698626757,-102.08498585906582,,,,,,,,
2015-07-31,60,5,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,PASS,NO_PREVIOUS_FORMATION,PASS,0.0005116435222800144,273.0,273.0,273.0,273.0,0.006683420060948734,0.007195063583228748,5.116435222800144,,,,,,,,
2015-07-31,60,6,delta_cross_industry_degree_percentile_1m,RAW_COMMON,PASS,NO_PREVIOUS_FORMATION,PASS,-0.008784938986320183,276.0,272.0,276.0,272.0,0.006580966529092704,-0.0022039724572274788,-87.84938986320182,,,,,,,,
2015-07-31,60,6,delta_cross_industry_degree_percentile_1m,INDUSTRY_SIZE_COMMON,PASS,NO_PREVIOUS_FORMATION,PASS,-0.0022903087127370096,273.0,273.0,273.0,273.0,0.0058667031089686406,0.003576394396231631,-22.903087127370096,,,,,,,,
2015-07-31,60,6,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,PASS,NO_PREVIOUS_FORMATION,PASS,0.005339137341686839,273.0,273.0,273.0,273.0,0.005020605981408939,0.010359743323095779,53.39137341686839,,,,,,,,
2015-07-31,60,7,neighbor_jaccard_1m,RAW_COMMON,FEWER_THAN_5_PORTFOLIOS,SORT_FAILURE,SORT_FAILURE,,,,,,,,,,,,,,,,
2015-07-31,60,7,neighbor_jaccard_1m,INDUSTRY_SIZE_COMMON,PASS,NO_PREVIOUS_FORMATION,PASS,0.02445932449000406,271.0,271.0,271.0,271.0,-0.00312761302637985,0.021331711463624208,244.5932449000406,,,,,,,,
2015-07-31,60,7,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,PASS,NO_PREVIOUS_FORMATION,PASS,0.01178979092639371,271.0,271.0,271.0,271.0,0.008666155698688692,0.0204559466250824,117.8979092639371,,,,,,,,
2015-07-31,60,8,neighbor_retention_1m,RAW_COMMON,FEWER_THAN_5_PORTFOLIOS,SORT_FAILURE,SORT_FAILURE,,,,,,,,,,,,,,,,
2015-07-31,60,8,neighbor_retention_1m,INDUSTRY_SIZE_COMMON,PASS,NO_PREVIOUS_FORMATION,PASS,0.018350991838353523,267.0,267.0,267.0,267.0,-0.00440625585842739,0.013944735979926133,183.50991838353522,,,,,,,,
2015-07-31,60,8,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,PASS,NO_PREVIOUS_FORMATION,PASS,0.006327425114033386,267.0,267.0,267.0,267.0,0.00906749897173186,0.015394924085765246,63.27425114033386,,,,,,,,
2015-07-31,60,9,outside_community_degree_percentile,RAW_COMMON,FEWER_THAN_5_PORTFOLIOS,SORT_FAILURE,SORT_FAILURE,,,,,,,,,,,,,,,,
2015-07-31,60,9,outside_community_degree_percentile,INDUSTRY_SIZE_COMMON,PASS,NO_PREVIOUS_FORMATION,PASS,0.0014740331612342968,292.0,292.0,292.0,292.0,0.0032080376989421316,0.004682070860176428,14.740331612342969,,,,,,,,
2015-07-31,60,9,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,PASS,NO_PREVIOUS_FORMATION,PASS,-0.01879001581676864,292.0,292.0,292.0,292.0,0.013303484221917591,-0.005486531594851046,-187.90015816768639,,,,,,,,
