factor_order,factor_name,method,window,turnover_month_count,mean_q1_target_turnover,mean_q5_target_turnover,mean_q1_drift_turnover,median_q1_drift_turnover,mean_q5_drift_turnover,median_q5_drift_turnover,mean_long_short_half_l1_turnover_sum,mean_roundtrip_traded_notional_ratio,annualized_q1_drift_turnover,annualized_q5_drift_turnover
6,delta_cross_industry_degree_percentile_1m,INDUSTRY_SIZE_COMMON,60,131,0.8569060196428102,0.8543076158312292,0.8618772242467667,0.8597241789621867,0.8594497137540205,0.8561118995074197,1.7213269380007874,3.442653876001575,10.3425266909612,10.313396565048246
6,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,60,131,0.8543889594617207,0.8536902259464987,0.8596194635621771,0.8593480673186014,0.8586707268627847,0.8594363222260784,1.7182901904249617,3.4365803808499233,10.315433562746126,10.304048722353416
7,neighbor_jaccard_1m,INDUSTRY_SIZE_COMMON,60,130,0.6756423158731472,0.656895875615027,0.6856342786191216,0.6925314359699184,0.6689857968350369,0.6713626214635587,1.3546200754541584,2.709240150908317,8.227611343429459,8.027829562020443
7,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,60,129,0.6694105033230112,0.653224548148236,0.6828387705262403,0.6880739328229758,0.663790131984093,0.6656943113339611,1.3466289025103333,2.6932578050206666,8.194065246314883,7.965481583809115
8,neighbor_retention_1m,INDUSTRY_SIZE_COMMON,60,128,0.7221327024699602,0.722454285200576,0.7301343979742032,0.7316633594101452,0.7320733522980716,0.7324114443229887,1.4622077502722748,2.9244155005445496,8.761612775690438,8.78488022757686
8,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,60,129,0.7183672719415035,0.7233204569527963,0.7287838257463369,0.7295235463144427,0.731391698340035,0.7283446034548297,1.4601755240863719,2.9203510481727437,8.745405908956043,8.77670038008042
9,outside_community_degree_percentile,INDUSTRY_SIZE_COMMON,60,127,0.5860819563528689,0.5332791213445361,0.6030635744619867,0.6049740063088286,0.5464447203621382,0.5466397973243927,1.1495082948241249,2.2990165896482497,7.23676289354384,6.557336644345659
9,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,128,0.6014192285309405,0.5604488141312907,0.6160970025428769,0.6133028705502743,0.5741806628271763,0.5756389273859484,1.1902776653700533,2.3805553307401066,7.393164030514523,6.890167953926115
1,residual_degree_percentile,INDUSTRY_SIZE_COMMON,120,124,0.293974932450548,0.24805831380272195,0.3204193669636951,0.3115004825794306,0.2719962552606194,0.2648570163067911,0.5924156222243144,1.1848312444486289,3.8450324035643413,3.2639550631274323
1,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,123,0.3213204586872762,0.2751947575624315,0.34624170335577653,0.33511203109925686,0.2990754412285804,0.290495457007602,0.6453171445843567,1.2906342891687135,4.154900440269318,3.5889052947429647
2,delta_degree_percentile,RAW_COMMON,120,132,0.28279631396718863,0.30462421224977304,0.30184190587449805,0.2899304717515446,0.3282564676506605,0.3222701033565152,0.6300983735251584,1.2601967470503168,3.6221028704939764,3.9390776118079263
2,delta_degree_percentile,INDUSTRY_SIZE_COMMON,120,129,0.31206572992965853,0.3507694346225926,0.3321825893349984,0.3268312715660992,0.3763616487211667,0.3650084949197598,0.7085442380561651,1.4170884761123301,3.986191072019981,4.516339784654
2,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,128,0.34228004981492366,0.37654630791927146,0.36318202383575793,0.35900999085299695,0.3982859208032147,0.39178555164194706,0.7614679446389727,1.5229358892779454,4.358184286029095,4.779431049638577
3,cross_industry_degree_percentile,INDUSTRY_SIZE_COMMON,120,126,0.339590416607481,0.2658120328804814,0.3642286440182785,0.3546225288668588,0.28942330823875356,0.2787650992086157,0.6536519522570319,1.3073039045140638,4.370743728219342,3.4730796988650425
3,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,125,0.36082570727773206,0.28886050436720906,0.38420786588897626,0.3728520683225497,0.31254864474322896,0.3025385943158109,0.6967565106322051,1.3935130212644102,4.610494390667715,3.7505837369187476
4,cross_industry_degree_ratio,INDUSTRY_SIZE_COMMON,120,128,0.34142823637873454,0.3250786511417836,0.3628797652062393,0.35251285097709184,0.34762268208159913,0.33526757610925223,0.7105024472878385,1.421004894575677,4.354557182474872,4.17147218497919
4,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,120,128,0.3461693662572677,0.3366473137006356,0.36718288035386015,0.35766253500441636,0.3589168269953667,0.34425886947992623,0.7260997073492268,1.4521994146984536,4.406194564246322,4.307001923944401
9,outside_community_degree_percentile,INDUSTRY_SIZE_COMMON,120,125,0.45377032657864674,0.39170303596589584,0.4750810841006553,0.4762205119107284,0.4091300085743768,0.41180191768977426,0.8842110926750321,1.7684221853500641,5.700973009207864,4.909560102892522
9,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,128,0.4805875828966972,0.41927176475737293,0.499050691456107,0.5006952139530403,0.43776118451228624,0.4336736472635674,0.9368118759683932,1.8736237519367864,5.9886082974732835,5.253134214147435
5,delta_residual_degree_percentile_1m,RAW_COMMON,120,126,0.7774914440655479,0.7809448728091398,0.7849168543540713,0.7824168991840612,0.7884160162622412,0.7876752612320364,1.5733328706163123,3.1466657412326247,9.419002252248855,9.460992195146895
5,delta_residual_degree_percentile_1m,INDUSTRY_SIZE_COMMON,120,125,0.7807238218477907,0.7837363661877894,0.7882514522454407,0.782893213662094,0.7914349094225682,0.7876024900081647,1.5796863616680086,3.159372723336017,9.459017426945287,9.49721891307082
5,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,120,124,0.7834326459747162,0.7871898378274714,0.7910983941355099,0.7873480596757492,0.7946825006712741,0.7944075749105202,1.5857808948067837,3.1715617896135675,9.493180729626118,9.53619000805529
6,delta_cross_industry_degree_percentile_1m,RAW_COMMON,120,124,0.7949728019510183,0.7997450257173054,0.8015041861068298,0.8003536687791943,0.806444021240036,0.8061440345462508,1.6079482073468656,3.215896414693731,9.618050233281958,9.677328254880432
6,delta_cross_industry_degree_percentile_1m,INDUSTRY_SIZE_COMMON,120,126,0.7988339207294346,0.8026048848481006,0.8059164131629434,0.8015932898761735,0.8095802367648487,0.8069149847738258,1.615496649927792,3.230993299855584,9.670996957955321,9.714962841178185
6,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,120,126,0.8016380522708098,0.80375441154513,0.8086479610313441,0.8072997631557655,0.8107233245757045,0.8083691168530681,1.6193712856070488,3.2387425712140976,9.70377553237613,9.728679894908455
7,neighbor_jaccard_1m,INDUSTRY_SIZE_COMMON,120,127,0.6292494354463749,0.5833525524567852,0.6407042644906896,0.6379954678613273,0.5969097365905444,0.5944425649096299,1.2376140010812338,2.4752280021624675,7.688451173888275,7.162916839086533
7,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,120,127,0.6278896804662207,0.5951718856756328,0.6412337062098845,0.6371779560549587,0.6065775512924692,0.607352733797176,1.2478112575023539,2.4956225150047078,7.694804474518614,7.27893061550963
8,neighbor_retention_1m,RAW_COMMON,120,118,0.6820757882940068,0.6536389257076136,0.6900906793211598,0.6824626634322941,0.6641416711644711,0.6650423469511035,1.354232350485631,2.708464700971262,8.281088151853917,7.9697000539736536
8,neighbor_retention_1m,INDUSTRY_SIZE_COMMON,120,125,0.6975238203204448,0.6773077788096957,0.7066484229367421,0.6983719276649919,0.6880340270257508,0.6828860001785129,1.394682449962493,2.789364899924986,8.479781075240906,8.25640832430901
8,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,120,125,0.6953294226455321,0.6876135322646728,0.7057234499921978,0.6958611932062052,0.6962282012960482,0.6916977435413553,1.4019516512882457,2.8039033025764915,8.468681399906373,8.354738415552578
1,residual_degree_percentile,RAW_COMMON,120,118,0.29281222845784227,0.20503467246897827,0.3100366191588682,0.3002139213341704,0.22807076757287736,0.2136176326206578,0.5381073867317454,1.0762147734634908,3.7204394299064187,2.7368492108745284
1,residual_degree_percentile,INDUSTRY_SIZE_COMMON,252,113,0.19608358861150438,0.15230900195895544,0.22367039468569835,0.20731440082550553,0.17813900234778254,0.16920816380402542,0.4018093970334809,0.8036187940669618,2.68404473622838,2.1376680281733904
1,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,252,116,0.22603542088995862,0.18582656448141915,0.25279543590067227,0.23675844809758403,0.21159212536845945,0.20050310420055703,0.4643875612691317,0.9287751225382634,3.033545230808067,2.5391055044215136
