factor_priority,factor_name,factor_orientation,target_name,target_role,window,ic_month_count,first_ic_date,last_ic_date,mean_rank_ic,median_rank_ic,std_rank_ic,icir_monthly,icir_annualized,positive_ic_share,negative_ic_share,zero_ic_share,p05_rank_ic,p25_rank_ic,p75_rank_ic,p95_rank_ic,lag1_ic_autocorrelation,mean_pair_n,min_pair_n,mean_pair_share_of_label_valid,naive_mean_ic_se,naive_mean_ic_t_stat,hac_lag,hac_mean_ic_se,hac_mean_ic_t_stat,outcome_based_sign_flip,outcome_based_window_selection
90,cross_industry_degree_ratio,ORIGINAL,future_excess_return,PRIMARY_ALPHA,120,133,2015-07-31,2026-07-31,0.008566537115641338,0.010967132925715235,0.07530996115185785,0.1137503855348889,0.3940428942539509,0.556390977443609,0.44360902255639095,0.0,-0.11641738322714956,-0.03735228110044604,0.05676077519432654,0.12302449487730516,0.1163227695010946,3706.654135338346,1161,0.9585558960033781,0.006530201811925012,1.311833441349042,4,0.006296733045754261,1.3604732888299198,False,False
90,cross_industry_degree_ratio,ORIGINAL,future_excess_return,PRIMARY_ALPHA,252,127,2016-01-29,2026-07-31,0.0016210473300158736,1.6932501386339568e-05,0.06926558399298295,0.023403359021416697,0.08107161378573831,0.5039370078740157,0.49606299212598426,0.0,-0.11818807022556316,-0.05116517691419353,0.0482727864628951,0.10595577848649737,0.14459476887393224,3456.2913385826773,906,0.9118646242244256,0.0061463266834682,0.26374246171717675,4,0.006281233063088344,0.25807788275553023,False,False
110,delta_residual_degree_percentile_1m,ORIGINAL,future_excess_return,PRIMARY_ALPHA,60,135,2015-05-29,2026-07-31,0.008511481167577977,0.00505300830425896,0.051417387692478625,0.1655370206375351,0.5734370605555771,0.5333333333333333,0.4666666666666667,0.0,-0.07777477905841357,-0.022202727810042983,0.04276668055799963,0.08929935263551204,0.035081028824490344,3839.8962962962964,1423,0.9790747262579438,0.004425304138632443,1.9233663723299006,4,0.004772410669440526,1.7834762674721338,False,False
110,delta_residual_degree_percentile_1m,ORIGINAL,future_excess_return,PRIMARY_ALPHA,120,132,2015-08-31,2026-07-31,0.006457960470612786,0.010281800379974563,0.050428636465195346,0.12806137391935865,0.4436176122308102,0.5606060606060606,0.4393939393939394,0.0,-0.07524778652350872,-0.02546704120479132,0.04198732264814045,0.07994596352662788,0.17078643102510288,3828.780303030303,1437,0.9839286318609036,0.004389249414451617,1.4713131701629742,4,0.004955407284221533,1.3032148722014272,False,False
110,delta_residual_degree_percentile_1m,ORIGINAL,future_excess_return,PRIMARY_ALPHA,252,126,2016-02-29,2026-07-31,0.0017470135578395779,0.008661534322029327,0.05312264088073802,0.03288642147444585,0.1139219057457288,0.5476190476190477,0.4523809523809524,0.0,-0.09012889105358865,-0.024808484909244134,0.03361939922957322,0.08706426648840199,0.005851463768957574,3737.5079365079364,1461,0.9861132187962641,0.004732540991817923,0.36914916550326443,4,0.00438916065421185,0.3980290755962963,False,False
140,delta_cross_industry_degree_percentile_1m,ORIGINAL,future_excess_return,PRIMARY_ALPHA,60,135,2015-05-29,2026-07-31,0.010319540785240475,0.012320123094697584,0.04828026811958151,0.21374240838267167,0.7404254221018464,0.6,0.4,0.0,-0.07361471771272765,-0.018531277730775765,0.043497469546430474,0.0813337090880009,0.053106300751719265,3839.8962962962964,1423,0.9790747262579438,0.004155303875057068,2.483462364133056,4,0.004602728996959738,2.242048313523757,False,False
140,delta_cross_industry_degree_percentile_1m,ORIGINAL,future_excess_return,PRIMARY_ALPHA,120,132,2015-08-31,2026-07-31,0.00880883224934801,0.012785039916142382,0.046331925697719045,0.19012445774041453,0.6586104411357597,0.5757575757575758,0.42424242424242425,0.0,-0.06723752234993124,-0.026600261776916823,0.03735817006944407,0.08541176709534498,0.15051682978345132,3828.780303030303,1437,0.9839286318609036,0.004032676510686246,2.1843637162577663,4,0.00447430408691226,1.9687602984148158,False,False
140,delta_cross_industry_degree_percentile_1m,ORIGINAL,future_excess_return,PRIMARY_ALPHA,252,126,2016-02-29,2026-07-31,0.002500401661542386,0.003583074717480778,0.046301593610516424,0.054002496816318496,0.18707013644288034,0.5317460317460317,0.46825396825396826,0.0,-0.06911616738759296,-0.02341178332009106,0.030609301968628808,0.06500009932890878,0.06368356637704553,3737.5079365079364,1461,0.9861132187962641,0.004124873803623664,0.6061765233510431,4,0.003951719342174069,0.6327376630362548,False,False
160,neighbor_jaccard_1m,ORIGINAL,future_excess_return,PRIMARY_ALPHA,60,135,2015-05-29,2026-07-31,0.0009102697031392186,0.0030459423555580767,0.07880846052698723,0.011550405845416879,0.04001177954460517,0.5185185185185185,0.48148148148148145,0.0,-0.13240419640160914,-0.045986652081840614,0.045130965379888956,0.11705749031347681,-0.005830903006655657,3818.296296296296,1394,0.9738109455907039,0.006782752336917025,0.1342035884437091,4,0.0062861162685666555,0.14480637395954116,False,False
160,neighbor_jaccard_1m,ORIGINAL,future_excess_return,PRIMARY_ALPHA,120,132,2015-08-31,2026-07-31,0.005229172999009267,0.00031202477913236154,0.08911343525545377,0.058679962050831605,0.2032733513165079,0.5,0.5,0.0,-0.13037492610441107,-0.05380586236528294,0.06865310406685077,0.13809744472033147,-0.06454095914219367,3751.2348484848485,1202,0.9623571641854609,0.007756328961714618,0.6741814361949525,4,0.005992944578040356,0.8725548736376206,False,False
160,neighbor_jaccard_1m,ORIGINAL,future_excess_return,PRIMARY_ALPHA,252,126,2016-02-29,2026-07-31,0.01490626047167526,0.019958051447473344,0.08004249756599209,0.1862293272318945,0.6451173132500231,0.5873015873015873,0.4126984126984127,0.0,-0.11458992002533742,-0.03364379837278496,0.06598737925837223,0.1437586193576517,-0.1359054794877035,3519.0793650793653,934,0.9233316321040189,0.007130752435086417,2.090419013613479,4,0.006292112380463061,2.369039135085863,False,False
170,neighbor_retention_1m,ORIGINAL,future_excess_return,PRIMARY_ALPHA,60,135,2015-05-29,2026-07-31,0.005112226131812953,0.0011370171807636895,0.0771137054974059,0.06629465020306835,0.22965140484344154,0.5185185185185185,0.48148148148148145,0.0,-0.1266849117700359,-0.04235159705465684,0.05583967345233751,0.11116178121709384,-0.10558030534977002,3775.8814814814814,1269,0.9629104088463182,0.0066368910479065865,0.7702742285373896,4,0.005305209807003478,0.9636237430354282,False,False
170,neighbor_retention_1m,ORIGINAL,future_excess_return,PRIMARY_ALPHA,120,132,2015-08-31,2026-07-31,0.008270288950840591,0.0005684516538063057,0.07951035410411733,0.10401524485742827,0.3603193777095663,0.5075757575757576,0.49242424242424243,0.0,-0.111612801430048,-0.046903460540672806,0.05990376682551518,0.1212790815617131,-0.1107180844286001,3685.7045454545455,1114,0.9444245147477095,0.006920488033326122,1.1950441805569785,4,0.005069300323993018,1.631445845040445,False,False
170,neighbor_retention_1m,ORIGINAL,future_excess_return,PRIMARY_ALPHA,252,126,2016-02-29,2026-07-31,0.009201149692294677,0.013933118778152403,0.06941185263412586,0.13255876832440278,0.45919704345323503,0.5714285714285714,0.42857142857142855,0.0,-0.11367815973210331,-0.02659990164670585,0.05335483021269368,0.10787845179585903,-0.17769116248679862,3440.753968253968,896,0.9003978438048011,0.0061836993128128875,1.4879684840479717,4,0.004671831655781467,1.9694951295832988,False,False
220,outside_community_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,60,136,2015-04-30,2026-07-31,0.012553241272110235,0.013701220608172691,0.1207390576401691,0.1039700120032563,0.36016268650637184,0.5514705882352942,0.4485294117647059,0.0,-0.18399706668982446,-0.06324209370937034,0.08330201056317532,0.2098593177283007,-0.11135443333049821,3885.051470588235,1572,1.0,0.01035328877836441,1.212488276994952,4,0.008675565033220022,1.4469652667050523,False,False
220,outside_community_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,120,133,2015-07-31,2026-07-31,0.007086863271454523,0.007118556548732583,0.12291541338160412,0.057656424662158465,0.1997277137952514,0.5263157894736842,0.47368421052631576,0.0,-0.17724813743835577,-0.08213640283611978,0.07868542660038086,0.19471108044856902,-0.038561118281769814,3855.872180451128,1506,1.0,0.010658118035136735,0.6649263264012636,4,0.00922565473164575,0.7681691411174574,False,False
220,outside_community_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,252,127,2016-01-29,2026-07-31,0.012519981552235186,0.011914711649213717,0.11551129019200723,0.10838751373501239,0.37546536139022196,0.5511811023622047,0.44881889763779526,0.0,-0.18305538067138624,-0.05215072729538152,0.08841995340402625,0.17858972033822923,-0.15230270874628712,3758.251968503937,1487,1.0,0.010249969526293132,1.2214652463228344,4,0.008509399466855949,1.471312000453196,False,False
10,residual_degree_percentile,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,60,136,2015-04-30,2026-07-31,0.0015983272712993513,0.00016755602190517594,0.1027815196019807,0.015550726215070962,0.053869295798192336,0.5,0.5,0.0,-0.15094358395873889,-0.06812247933101363,0.07240613654865016,0.1339794290828032,-0.06216858014549891,3885.051470588235,1572,1.0,0.008813442595268364,0.18135107297997705,4,0.007858228926799885,0.20339535615313767,False,False
10,residual_degree_percentile,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,120,133,2015-07-31,2026-07-31,-0.0009589676408470577,0.013751632620372161,0.10682479083515463,-0.00897701398102316,-0.03109728863077653,0.5338345864661654,0.46616541353383456,0.0,-0.16153912785970428,-0.0829169804110467,0.06986621163790038,0.15402751740682294,-0.06091844461343141,3855.872180451128,1506,1.0,0.009262884112549141,-0.10352797564938447,4,0.0076367877387456,-0.12557212189906636,False,False
10,residual_degree_percentile,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,252,127,2016-01-29,2026-07-31,0.002342508972666661,0.01768144949530838,0.10866984281004391,0.02155620098541407,0.07467287064980693,0.5590551181102362,0.4409448818897638,0.0,-0.17233000525305275,-0.0726829143856181,0.06626388360240532,0.1581284107163648,-0.0943901503416453,3758.251968503937,1487,1.0,0.009642889239471835,0.2429260478361531,4,0.007977262619160473,0.293648220511159,False,False
30,delta_degree_percentile,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,60,136,2015-04-30,2026-07-31,-0.050779991108739125,-0.04831453735436157,0.0955881159443712,-0.5312374933542077,-1.8402606587500427,0.3088235294117647,0.6911764705882353,0.0,-0.20495491575453903,-0.12534906490918585,0.021499401594438784,0.10009155956476164,-0.04370859511194193,3885.051470588235,1572,1.0,0.008196613320448874,-6.195240536973171,4,0.007864044006974458,-6.457236386737333,False,False
30,delta_degree_percentile,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,120,133,2015-07-31,2026-07-31,-0.046124715497759594,-0.04158910467855452,0.10769858682766818,-0.4282759584539876,-1.4835914394051282,0.3157894736842105,0.6842105263157895,0.0,-0.22122869756888683,-0.12189339295875175,0.022376341266024263,0.14409783053386524,-0.03575087825914836,3855.872180451128,1506,1.0,0.009338651834193015,-4.9391192986632415,4,0.00900536474280815,-5.12191530438516,False,False
30,delta_degree_percentile,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,252,127,2016-01-29,2026-07-31,-0.03895037421297558,-0.03457218340313869,0.11775077278033733,-0.3307865697462304,-1.145878290523794,0.3858267716535433,0.6141732283464567,0.0,-0.23923316065386005,-0.12229639898051839,0.04443197180812649,0.13550512298117398,-0.05273271066227198,3758.251968503937,1487,1.0,0.010448691471541007,-3.7277753218251597,4,0.009948830378883921,-3.9150706896809213,False,False
70,cross_industry_degree_percentile,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,60,136,2015-04-30,2026-07-31,0.006199519017329352,0.0058649191075401865,0.1012538991928838,0.06122745955214591,0.21209814152537018,0.5147058823529411,0.4852941176470588,0.0,-0.14806828052885354,-0.0581878223714246,0.07906692812869957,0.16092543570101497,0.01727690556025214,3885.051470588235,1572,1.0,0.008682450225870894,0.7140287425842984,4,0.008331981943866132,0.744062944338632,False,False
70,cross_industry_degree_percentile,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,120,133,2015-07-31,2026-07-31,0.002830999467732026,0.011404012802207398,0.10232301094337684,0.027667280718494836,0.09584227182340761,0.5413533834586466,0.45864661654135336,0.0,-0.1550514612355278,-0.07264816487942626,0.07196255716048637,0.15714578776644245,0.011790889085200068,3855.872180451128,1506,1.0,0.008872530290072768,0.3190746467103701,4,0.007851803314926936,0.360554047800721,False,False
70,cross_industry_degree_percentile,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,252,127,2016-01-29,2026-07-31,0.003840336475875186,0.009756636783559407,0.10090878494092217,0.03805750389446806,0.1318350607089382,0.5433070866141733,0.4566929133858268,0.0,-0.13980383008620542,-0.06883151877938987,0.08148799302759765,0.16627075425762894,-0.029922329630283736,3758.251968503937,1487,1.0,0.008954206717459801,0.42888628742364376,4,0.007773407042378017,0.49403517079949044,False,False
90,cross_industry_degree_ratio,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,60,136,2015-04-30,2026-07-31,0.009637552056270175,0.010346026046730182,0.0728244695594653,0.13233947482996178,0.4584373885049528,0.5441176470588235,0.45588235294117646,0.0,-0.10272364390477276,-0.04188351435546502,0.058390109164531225,0.11814807889845595,0.02949171227735382,3813.176470588235,1374,0.9820679583702516,0.006244646746601001,1.543330223045195,4,0.005779916314755469,1.66742069113814,False,False
90,cross_industry_degree_ratio,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,120,133,2015-07-31,2026-07-31,0.008567456384096244,0.010942982520623794,0.0753090524612496,0.11376396467748208,0.39408993378374013,0.556390977443609,0.44360902255639095,0.0,-0.11640428277798776,-0.03735705488430367,0.05676254239483498,0.1230453101111242,0.11631350358568995,3706.654135338346,1161,0.9585558960033781,0.006530123018456449,1.3119900436609795,4,0.006296700878996104,1.3606262309004857,False,False
90,cross_industry_degree_ratio,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,252,127,2016-01-29,2026-07-31,0.0016167960895999377,1.8233485673996276e-05,0.06925978774077797,0.02334393653718952,0.08086576826215146,0.5039370078740157,0.49606299212598426,0.0,-0.11817846501153122,-0.0511454544032679,0.04824483728599602,0.10594953460975341,0.1445348867586206,3456.2913385826773,906,0.9118646242244256,0.006145812349255769,0.2630728043292315,4,0.006280073158101961,0.25744860750771653,False,False
110,delta_residual_degree_percentile_1m,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,60,135,2015-05-29,2026-07-31,0.008510963629491311,0.005064369670220877,0.0514179434355998,0.16552516613487595,0.5733959953537688,0.5333333333333333,0.4666666666666667,0.0,-0.07775106661645284,-0.02221380242177548,0.04276262186861331,0.08939119167334834,0.03497606811493027,3839.8962962962964,1423,0.9790747262579438,0.004425351969384733,1.9232286354557715,4,0.004772169856208464,1.7834578160328425,False,False
110,delta_residual_degree_percentile_1m,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,120,132,2015-08-31,2026-07-31,0.006461995859884953,0.010325757948406143,0.05042664725882092,0.12814645056051358,0.4439123263608455,0.5606060606060606,0.4393939393939394,0.0,-0.07523062017486071,-0.02546152749135155,0.04203056781689896,0.07993956242919323,0.17084624918708013,3828.780303030303,1437,0.9839286318609036,0.004389076276260181,1.4722906263527171,4,0.004955371617245706,1.3040385987189915,False,False
110,delta_residual_degree_percentile_1m,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,252,126,2016-02-29,2026-07-31,0.0017455039137534202,0.00862443373944205,0.05312565567518053,0.03285613874444644,0.11381700329182706,0.5476190476190477,0.4523809523809524,0.0,-0.09016590045685707,-0.024764237986692663,0.033601168074061126,0.08708508272946067,0.005894878711652432,3737.5079365079364,1461,0.9861132187962641,0.004732809571053528,0.3688092427020826,4,0.004389956614707855,0.3976130214830337,False,False
140,delta_cross_industry_degree_percentile_1m,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,60,135,2015-05-29,2026-07-31,0.010319952776799157,0.012333118547009515,0.0482812462468304,0.21374661134553144,0.7404399815922773,0.6,0.4,0.0,-0.07360697625379115,-0.018538113861229832,0.04350881084218303,0.08138075764436643,0.053005435085243614,3839.8962962962964,1423,0.9790747262579438,0.004155388058846967,2.4835111981485376,4,0.004602470517321324,2.242263744647615,False,False
140,delta_cross_industry_degree_percentile_1m,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,120,132,2015-08-31,2026-07-31,0.008813780060504208,0.012786799722164009,0.04633016964092902,0.19023845862886574,0.6590053517975707,0.5757575757575758,0.42424242424242425,0.0,-0.06723274714121835,-0.026583768127628738,0.03735771081503965,0.08541231179376144,0.15057869349441844,3828.780303030303,1437,0.9839286318609036,0.00403252366556138,2.1856734867487044,4,0.004474283876451316,1.9698750244462968,False,False
140,delta_cross_industry_degree_percentile_1m,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,252,126,2016-02-29,2026-07-31,0.002497879565554026,0.003595441899528865,0.04630270233675934,0.0539467339808152,0.1868769683143487,0.5317460317460317,0.46825396825396826,0.0,-0.06906970828403793,-0.023418992474405136,0.030604116688532378,0.06501006073168417,0.06377448630200169,3737.5079365079364,1461,0.9861132187962641,0.004124972576807872,0.6055505870749379,4,0.003952248789729027,0.6320147587989482,False,False
160,neighbor_jaccard_1m,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,60,135,2015-05-29,2026-07-31,0.0009148221965164269,0.003053217429970021,0.07880769810551418,0.011608284704516915,0.04021227779389593,0.5185185185185185,0.48148148148148145,0.0,-0.13242391517980082,-0.046020810622838484,0.04513857502647796,0.11705640420379264,-0.005818681345893943,3818.296296296296,1394,0.9738109455907039,0.006782686718124405,0.13487608001588489,4,0.006286204327634568,0.14552854931787823,False,False
160,neighbor_jaccard_1m,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,120,132,2015-08-31,2026-07-31,0.005234162257281688,0.0003088205950857782,0.08911103661730942,0.058737530792734326,0.20347277528831456,0.5,0.5,0.0,-0.13037024282501783,-0.05380222532408692,0.06866876812318257,0.13810107156926016,-0.06452679327265931,3751.2348484848485,1202,0.9623571641854609,0.0077561201870617906,0.6748428506836377,4,0.005992858688578994,0.873399913009261,False,False
160,neighbor_jaccard_1m,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,252,126,2016-02-29,2026-07-31,0.014916132053128882,0.019965653274992307,0.08005067672757049,0.18633361594045803,0.6454785799337986,0.5873015873015873,0.4126984126984127,0.0,-0.11457369179961621,-0.03363983173072435,0.06598493180901838,0.14376371568315544,-0.135930508655106,3519.0793650793653,934,0.9233316321040189,0.0071314810927134995,2.09158965146374,4,0.006293254994524956,2.3701776054054235,False,False
170,neighbor_retention_1m,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,60,135,2015-05-29,2026-07-31,0.0051154825828891495,0.0011431957745386483,0.07711405151836734,0.06633658175346581,0.2297966599948986,0.5185185185185185,0.48148148148148145,0.0,-0.1266785923103498,-0.042351456889791694,0.05584418874750236,0.1111859435862161,-0.10554806741784788,3775.8814814814814,1269,0.9629104088463182,0.006636920828649278,0.7707614291264996,4,0.005305600245092822,0.9641666063364813,False,False
170,neighbor_retention_1m,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,120,132,2015-08-31,2026-07-31,0.008275627735395662,0.0005627019986810623,0.07950749711644559,0.104086130686208,0.3605649334235325,0.5075757575757576,0.49242424242424243,0.0,-0.11162424175313608,-0.04690205847129678,0.05994133303211702,0.12128498793661929,-0.11064201088416996,3685.7045454545455,1114,0.9444245147477095,0.006920239364467626,1.1958585967253323,4,0.00506948122423469,1.6324407507091587,False,False
170,neighbor_retention_1m,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,252,126,2016-02-29,2026-07-31,0.009210760887572188,0.013936377674070992,0.06942131101667012,0.13267915504160402,0.459614075274733,0.5714285714285714,0.42857142857142855,0.0,-0.1136760671634337,-0.026602538201847506,0.05337172697042278,0.1078784036860718,-0.17767150946510846,3440.753968253968,896,0.9003978438048011,0.006184541932501309,1.489319821597028,4,0.00467300521159071,1.971057268398981,False,False
220,outside_community_degree_percentile,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,60,136,2015-04-30,2026-07-31,0.012566588258468656,0.013716780593606552,0.12073799453415522,0.10408147250544011,0.36054879701201087,0.5514705882352942,0.4485294117647059,0.0,-0.18398727471363818,-0.06318387563449898,0.08331699373583136,0.20986826070223424,-0.11137091210621729,3885.051470588235,1572,1.0,0.010353197617775792,1.2137881186477704,4,0.008675349310835676,1.4485397426905622,False,False
220,outside_community_degree_percentile,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,120,133,2015-07-31,2026-07-31,0.007101420536609986,0.0071326914140662934,0.12291078572089013,0.057777033113563574,0.20014551372656308,0.5263157894736842,0.47368421052631576,0.0,-0.17720912755601081,-0.08212489225921513,0.0786989485403397,0.19472752627205545,-0.038594872915940694,3855.872180451128,1506,1.0,0.010657716766062668,0.6663172509165393,4,0.009224601732117579,0.7698349200144601,False,False
220,outside_community_degree_percentile,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,252,127,2016-01-29,2026-07-31,0.012533061727950946,0.011946816129479041,0.11551211226064698,0.10849997876993847,0.3758549516993559,0.5511811023622047,0.44881889763779526,0.0,-0.18304207199977424,-0.05215685681990784,0.0884295561172285,0.17860255691156857,-0.15238854312631941,3758.251968503937,1487,1.0,0.010250042473089,1.222732662899291,4,0.00850760583138848,1.4731596616419043,False,False
