analysis,alpha,bootstrap_id,D_star,success,convergence_warning
equal_length_R3late_vs_R4,0.04439426559183951,177,0.004744067352659798,True,False
equal_length_R3late_vs_R4,0.04439426559183951,178,0.0036941432767237854,True,False
equal_length_R3late_vs_R4,0.04439426559183951,179,0.003377723283559756,True,False
equal_length_R3late_vs_R4,0.04439426559183951,180,0.00411024261049031,True,False
equal_length_R3late_vs_R4,0.04439426559183951,181,0.00420736905971074,True,False
equal_length_R3late_vs_R4,0.04439426559183951,182,0.0033124564039637727,True,False
equal_length_R3late_vs_R4,0.04439426559183951,183,0.0038599493949072936,True,False
equal_length_R3late_vs_R4,0.04439426559183951,184,0.003606861876170492,True,False
equal_length_R3late_vs_R4,0.04439426559183951,185,0.0037751393499879564,True,False
equal_length_R3late_vs_R4,0.04439426559183951,186,0.0037289218170447292,True,False
equal_length_R3late_vs_R4,0.04439426559183951,187,0.00499529662451994,True,False
equal_length_R3late_vs_R4,0.04439426559183951,188,0.002540843355964244,True,False
equal_length_R3late_vs_R4,0.04439426559183951,189,0.004514945006983131,True,False
equal_length_R3late_vs_R4,0.04439426559183951,190,0.003762336077977159,True,False
equal_length_R3late_vs_R4,0.04439426559183951,191,0.0040196581023533495,True,False
equal_length_R3late_vs_R4,0.04439426559183951,192,0.005792001325542253,True,False
equal_length_R3late_vs_R4,0.04439426559183951,193,0.0035361851963303255,True,False
equal_length_R3late_vs_R4,0.04439426559183951,194,0.0033313779660658267,True,False
equal_length_R3late_vs_R4,0.04439426559183951,195,0.00283755854293758,True,False
equal_length_R3late_vs_R4,0.04439426559183951,196,0.004415036345670394,True,False
equal_length_R3late_vs_R4,0.04439426559183951,197,0.0053845171652574745,True,False
equal_length_R3late_vs_R4,0.04439426559183951,198,0.0036861146235604146,True,False
equal_length_R3late_vs_R4,0.04439426559183951,199,0.0034050998374679686,True,False
equal_length_R3late_vs_R4,0.04439426559183951,200,0.004036170367802884,True,False
equal_length_R3late_vs_R4,0.04439426559183951,201,0.004793906446518562,True,False
equal_length_R3late_vs_R4,0.04439426559183951,202,0.0046480797953711355,True,False
equal_length_R3late_vs_R4,0.04439426559183951,203,0.003968464224002849,True,False
equal_length_R3late_vs_R4,0.04439426559183951,204,0.004054689586559295,True,False
equal_length_R3late_vs_R4,0.04439426559183951,205,0.00310168818864591,True,False
equal_length_R3late_vs_R4,0.04439426559183951,206,0.0029058337675631446,True,False
equal_length_R3late_vs_R4,0.04439426559183951,207,0.0030743872248327896,True,False
equal_length_R3late_vs_R4,0.04439426559183951,208,0.0027501999008834564,True,False
equal_length_R3late_vs_R4,0.04439426559183951,209,0.0025910303670705005,True,False
equal_length_R3late_vs_R4,0.04439426559183951,210,0.0028402016349275113,True,False
equal_length_R3late_vs_R4,0.04439426559183951,211,0.005165294376611522,True,False
equal_length_R3late_vs_R4,0.04439426559183951,212,0.005015549963880796,True,False
equal_length_R3late_vs_R4,0.04439426559183951,213,0.005057460627936921,True,False
equal_length_R3late_vs_R4,0.04439426559183951,214,0.004376106531203471,True,False
equal_length_R3late_vs_R4,0.04439426559183951,215,0.00399547023874602,True,False
equal_length_R3late_vs_R4,0.04439426559183951,216,0.0032929406705545935,True,False
equal_length_R3late_vs_R4,0.04439426559183951,217,0.0034515610985883047,True,False
equal_length_R3late_vs_R4,0.04439426559183951,218,0.004204498468913959,True,False
equal_length_R3late_vs_R4,0.04439426559183951,219,0.003948029082003204,True,False
equal_length_R3late_vs_R4,0.04439426559183951,220,0.0028320875770978028,True,False
equal_length_R3late_vs_R4,0.04439426559183951,221,0.003711760580673883,True,False
equal_length_R3late_vs_R4,0.04439426559183951,222,0.004125848993983226,True,False
equal_length_R3late_vs_R4,0.04439426559183951,223,0.00394318344252835,True,False
equal_length_R3late_vs_R4,0.04439426559183951,224,0.0036336164994794492,True,False
equal_length_R3late_vs_R4,0.04439426559183951,225,0.003551601227394215,True,False
equal_length_R3late_vs_R4,0.04439426559183951,226,0.002877993387164058,True,False
equal_length_R3late_vs_R4,0.04439426559183951,227,0.004995309106191436,True,False
equal_length_R3late_vs_R4,0.04439426559183951,228,0.005398360418439343,True,False
equal_length_R3late_vs_R4,0.04439426559183951,229,0.0029915668755395803,True,False
equal_length_R3late_vs_R4,0.04439426559183951,230,0.003185289178060228,True,False
equal_length_R3late_vs_R4,0.04439426559183951,231,0.0032694069870516014,True,False
equal_length_R3late_vs_R4,0.04439426559183951,232,0.003543033353813377,True,False
equal_length_R3late_vs_R4,0.04439426559183951,233,0.002933242228311802,True,False
equal_length_R3late_vs_R4,0.04439426559183951,234,0.0028043260451548115,True,False
equal_length_R3late_vs_R4,0.04439426559183951,235,0.0029926143540140874,True,False
equal_length_R3late_vs_R4,0.04439426559183951,236,0.004405437401930713,True,False
equal_length_R3late_vs_R4,0.04439426559183951,237,0.004567600458466175,True,False
equal_length_R3late_vs_R4,0.04439426559183951,238,0.003113489304224528,True,False
equal_length_R3late_vs_R4,0.04439426559183951,239,0.0038891976248247215,True,False
equal_length_R3late_vs_R4,0.04439426559183951,240,0.004115478878754727,True,False
equal_length_R3late_vs_R4,0.04439426559183951,241,0.003926965685552594,True,False
equal_length_R3late_vs_R4,0.04439426559183951,242,0.0042081830386222225,True,False
equal_length_R3late_vs_R4,0.04439426559183951,243,0.003589079317465583,True,False
equal_length_R3late_vs_R4,0.04439426559183951,244,0.0034190017672794054,True,False
equal_length_R3late_vs_R4,0.04439426559183951,245,0.003378797804732875,True,False
equal_length_R3late_vs_R4,0.04439426559183951,246,0.004657914816762653,True,False
equal_length_R3late_vs_R4,0.04439426559183951,247,0.003269783677652518,True,False
equal_length_R3late_vs_R4,0.04439426559183951,248,0.002867369904683454,True,False
equal_length_R3late_vs_R4,0.04439426559183951,249,0.002952830954973117,True,False
equal_length_R3late_vs_R4,0.04439426559183951,250,0.004456945272028461,True,False
equal_length_R3late_vs_R4,0.04439426559183951,251,0.002703731591021518,True,False
equal_length_R3late_vs_R4,0.04439426559183951,252,0.0035174553538089553,True,False
equal_length_R3late_vs_R4,0.04439426559183951,253,0.0031085385813294643,True,False
equal_length_R3late_vs_R4,0.04439426559183951,254,0.0035568253092946324,True,False
equal_length_R3late_vs_R4,0.04439426559183951,255,0.003992475834471598,True,False
equal_length_R3late_vs_R4,0.04439426559183951,256,0.004645845095129846,True,False
equal_length_R3late_vs_R4,0.04439426559183951,257,0.0021947739147713937,True,False
equal_length_R3late_vs_R4,0.04439426559183951,258,0.0050951152828664255,True,False
equal_length_R3late_vs_R4,0.04439426559183951,259,0.004480137910214677,True,False
equal_length_R3late_vs_R4,0.04439426559183951,260,0.003628822071323526,True,False
equal_length_R3late_vs_R4,0.04439426559183951,261,0.0021768139837127247,True,False
equal_length_R3late_vs_R4,0.04439426559183951,262,0.005385209500165142,True,False
equal_length_R3late_vs_R4,0.04439426559183951,263,0.003168431694794476,True,False
equal_length_R3late_vs_R4,0.04439426559183951,264,0.0028047227166158664,True,False
