factor_order,factor_name,neutralization,window,full_sample_alpha_ic,full_sample_alpha_spread,full_sample_alpha_spread_bps,full_sample_mean_risk_ic,full_sample_ivol_ic,alpha_ic_overall_same_sign_share,alpha_ic_time_same_sign_share,alpha_ic_trend_same_sign_share,alpha_ic_vol_same_sign_share,alpha_ic_joint_same_sign_share,alpha_ic_mean_abs_retention,alpha_spread_overall_same_sign_share,alpha_spread_time_same_sign_share,alpha_spread_trend_same_sign_share,alpha_spread_vol_same_sign_share,alpha_spread_joint_same_sign_share,alpha_spread_mean_abs_retention,risk_ic_overall_same_sign_share,risk_ic_time_same_sign_share,risk_ic_trend_same_sign_share,risk_ic_vol_same_sign_share,risk_ic_joint_same_sign_share,risk_ic_mean_abs_retention,ivol_ic_overall_same_sign_share,ivol_ic_time_same_sign_share,ivol_ic_trend_same_sign_share,ivol_ic_vol_same_sign_share,ivol_ic_joint_same_sign_share,ivol_ic_mean_abs_retention,factor_sign_flipped,window_selected_from_regime_results,factor_removed_from_regime_results
4,cross_industry_degree_ratio,RAW,60,0.009637533096226194,0.0011862544551528768,11.862544551528769,-0.016493912588758257,-0.017451512839204125,0.8181818181818182,1.0,0.5,1.0,0.75,1.102102794503992,0.625,0.5,0.5,1.0,0.5,2.3231012792911185,0.9090909090909091,0.6666666666666666,1.0,1.0,1.0,1.3344740214039428,0.9090909090909091,0.6666666666666666,1.0,1.0,1.0,1.1808297149368612,False,False,False
4,cross_industry_degree_ratio,RAW,120,0.008566537115641325,0.0015435086863436088,15.435086863436087,-0.02081756284966206,-0.02315369555552341,0.9090909090909091,1.0,1.0,1.0,0.75,1.1001263850698875,0.5,0.5,0.5,0.5,0.5,1.65201790493581,0.9090909090909091,0.6666666666666666,1.0,1.0,1.0,1.2677348029328899,0.9090909090909091,0.6666666666666666,1.0,1.0,1.0,1.0942376267400866,False,False,False
4,cross_industry_degree_ratio,RAW,252,0.0016210473300158716,-0.0014395273941908164,-14.395273941908163,-0.03199786125140135,-0.029838607067473613,0.6363636363636364,0.6666666666666666,0.5,1.0,0.5,,0.625,0.5,0.5,0.5,1.0,1.9364524871057789,0.9090909090909091,0.6666666666666666,1.0,1.0,1.0,1.01553261704177,0.9090909090909091,0.6666666666666666,1.0,1.0,1.0,0.9548446809736345,False,False,False
5,delta_residual_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,60,0.007306474945740254,0.0016813565716216165,16.813565716216164,-0.012881879439703774,-0.01659593471594819,0.9090909090909091,0.6666666666666666,1.0,1.0,1.0,1.133911285328712,0.9090909090909091,0.6666666666666666,1.0,1.0,1.0,1.0722320962310172,0.8636363636363636,0.75,1.0,1.0,0.8125,1.0598943679097526,1.0,1.0,1.0,1.0,1.0,1.0006900675747719,False,False,False
5,delta_residual_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,120,0.006257083985748023,0.0005950878489229938,5.950878489229938,-0.01565257917725799,-0.022442829013299085,1.0,1.0,1.0,1.0,1.0,0.8788512008524217,0.45454545454545453,0.6666666666666666,0.5,0.5,0.25,,0.9318181818181818,0.75,1.0,1.0,1.0,1.0509419346956526,1.0,1.0,1.0,1.0,1.0,1.0018409034943492,False,False,False
5,delta_residual_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,252,0.007600057369464336,0.0008943641168809802,8.943641168809801,-0.01236277907657837,-0.01768997458803387,1.0,1.0,1.0,1.0,1.0,0.9849835154890839,0.7272727272727273,0.6666666666666666,1.0,0.5,0.75,,0.9318181818181818,0.75,1.0,1.0,1.0,0.9855507167976155,1.0,1.0,1.0,1.0,1.0,0.9706501025444522,False,False,False
5,delta_residual_degree_percentile_1m,RAW,60,0.008511481167577974,0.002132714298083756,21.32714298083756,-0.012650574553637316,-0.01373920729133942,0.9090909090909091,0.6666666666666666,1.0,1.0,1.0,1.2210634128302855,0.9090909090909091,0.6666666666666666,1.0,1.0,1.0,1.0594960406873934,0.8409090909090909,0.75,0.875,1.0,0.8125,1.0688401077448573,1.0,1.0,1.0,1.0,1.0,0.9798650276888936,False,False,False
5,delta_residual_degree_percentile_1m,RAW,120,0.006457960470612781,0.0009924005951173478,9.924005951173479,-0.014528164832859198,-0.01808024629954834,0.8181818181818182,0.6666666666666666,1.0,1.0,0.75,0.9799079446156952,0.7272727272727273,0.6666666666666666,1.0,1.0,0.5,,0.8636363636363636,0.75,1.0,1.0,0.8125,1.0984553397824957,1.0,1.0,1.0,1.0,1.0,0.9800558533432987,False,False,False
5,delta_residual_degree_percentile_1m,RAW,252,0.0017470135578395688,-0.00031918572488286715,-3.1918572488286716,-0.009217689216958654,-0.01201589438926743,0.5454545454545454,0.6666666666666666,0.5,0.5,0.5,,0.6363636363636364,0.6666666666666666,1.0,0.5,0.5,,0.75,0.6666666666666666,0.625,1.0,0.75,0.9696823351415393,0.8181818181818182,0.6666666666666666,1.0,1.0,0.75,0.9696823351415393,False,False,False
6,delta_cross_industry_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,60,0.008119385314345235,0.0021402266003796903,21.402266003796903,-0.013298257179425399,-0.01578930256579136,0.9090909090909091,0.6666666666666666,1.0,1.0,1.0,1.0510417481208802,1.0,1.0,1.0,1.0,1.0,0.8666329791655788,0.9090909090909091,0.75,1.0,1.0,0.9375,1.0100873217503898,1.0,1.0,1.0,1.0,1.0,1.007849266372284,False,False,False
