analysis_date,market_return_sum,market_valid_stock_count,unresolved_open_stock_count,suspension_zero_stock_count,panel_stock_count,market_holding_return_ew,market_trailing_return_60d,market_trailing_vol_60d,market_vol_threshold_pit,market_trend_regime,market_vol_regime,joint_market_regime,time_subsample
2016-05-31,116.38653233215024,2856,0,302,2856,0.040751586951032995,0.13330458505054082,0.29600498188883667,0.4889882108961533,BULL,LOW_VOL,BULL_LOW_VOL,P1_2015_2018
2016-06-30,0.4915780085896806,2869,0,286,2869,0.00017134123687336374,0.06188273227496009,0.27012409115890035,0.4889882108961533,BULL,LOW_VOL,BULL_LOW_VOL,P1_2015_2018
2016-07-29,-17.584187642850797,2882,0,238,2882,-0.00610138363735281,0.027599637797154918,0.24960622787965078,0.4667365010087296,BULL,LOW_VOL,BULL_LOW_VOL,P1_2015_2018
2016-08-31,6.766785671429752,2911,1,227,2912,0.0023245570839676238,0.10248405480226222,0.19871578494709094,0.4316000552084927,BULL,LOW_VOL,BULL_LOW_VOL,P1_2015_2018
2016-09-30,14.690934036504279,2931,3,231,2934,0.005012259991983719,0.030476803047537988,0.16420044076168536,0.410597889531552,BULL,LOW_VOL,BULL_LOW_VOL,P1_2015_2018
2016-10-31,0.12236851000813931,2955,1,206,2956,4.141066328532633e-05,0.10429788941211326,0.1427826239965783,0.37043224802458496,BULL,LOW_VOL,BULL_LOW_VOL,P1_2015_2018
2016-11-30,-7.371422011548451,2989,1,218,2990,-0.0024661833427729847,0.09818829654889524,0.12949417884311754,0.31901586607941895,BULL,LOW_VOL,BULL_LOW_VOL,P1_2015_2018
2016-12-30,4.2351648734658145,3033,2,203,3035,0.001396361646378442,0.05636178303260757,0.1538276370276559,0.2733526602279907,BULL,LOW_VOL,BULL_LOW_VOL,P1_2015_2018
2017-01-26,21.461070532967454,3085,3,197,3088,0.006956586882647473,-0.015195953121569001,0.17581143208406197,0.24440724256563068,BEAR,LOW_VOL,BEAR_LOW_VOL,P1_2015_2018
2017-02-28,16.914247807861525,3119,1,225,3120,0.00542297140361062,-0.006051467792883097,0.17779977583670212,0.21507783223545357,BEAR,LOW_VOL,BEAR_LOW_VOL,P1_2015_2018
2017-03-31,4.584693639544809,3165,3,224,3168,0.0014485603916413298,0.0433826553289773,0.14459690661461658,0.17707942690258782,BULL,LOW_VOL,BULL_LOW_VOL,P1_2015_2018
