signal_type,factor_order,factor_name,neutralization,window,target_name,regime_type,regime_value,month_count,sufficient_regime_months,first_date,last_date,mean_alpha_ic,median_alpha_ic,std_alpha_ic,positive_share,negative_share,naive_se,naive_t_stat,calendar_hac_lag,calendar_hac_se,calendar_hac_t_stat,mean_pair_n,full_sample_alpha_ic,same_sign_as_full_sample,abs_retention_vs_full
ALPHA_IC,9,outside_community_degree_percentile,INDUSTRY_SIZE_NEUTRAL,252,future_excess_return,JOINT_MARKET_REGIME,BEAR_LOW_VOL,20,True,2016-01-29,2024-08-30,0.017045617796070545,0.026996267925743,0.04698767079895656,0.75,0.25,0.010506762601084872,1.6223472865286312,2,0.010579130302809516,1.611249441888783,3310.8,0.02367503883229097,True,0.719982675290129
ALPHA_IC,1,residual_degree_percentile,RAW,252,future_excess_return,MARKET_VOL,HIGH_VOL,61,True,2016-02-29,2026-07-31,-0.006294024026527831,-0.0027896407083994,0.12315852092201239,0.4918032786885246,0.5081967213114754,0.01576883275600476,-0.39914330527293285,3,0.014713464465863628,-0.42777308098513794,3986.2131147540986,0.0023324799223115897,False,
ALPHA_IC,1,residual_degree_percentile,RAW,252,future_excess_return,JOINT_MARKET_REGIME,BEAR_HIGH_VOL,40,True,2016-02-29,2026-07-31,0.00802221180704535,0.012917294463946499,0.11851476696643168,0.525,0.475,0.018738829998900416,0.4281063336140031,3,0.015862147100287407,0.5057456444153134,3782.4,0.0023324799223115897,True,
ALPHA_IC,1,residual_degree_percentile,INDUSTRY_SIZE_NEUTRAL,252,future_excess_return,MARKET_VOL,HIGH_VOL,61,True,2016-02-29,2026-07-31,0.010834081436752772,0.0049881343613558,0.06639061575869296,0.5573770491803278,0.4426229508196721,0.008500447298566801,1.274530745997264,3,0.007908794206852029,1.3698777782542793,3986.2131147540986,0.014605529179785779,True,0.7417794523835032
ALPHA_IC,1,residual_degree_percentile,INDUSTRY_SIZE_NEUTRAL,252,future_excess_return,JOINT_MARKET_REGIME,BEAR_HIGH_VOL,40,True,2016-02-29,2026-07-31,0.014986880880608677,0.0096302776483918,0.06251043500860237,0.575,0.425,0.009883767607755532,1.5163125515869949,3,0.007713302827436146,1.9429913768328249,3782.4,0.014605529179785779,True,1.0261100913310757
ALPHA_IC,2,delta_degree_percentile,RAW,252,future_excess_return,MARKET_VOL,HIGH_VOL,61,True,2016-02-29,2026-07-31,-0.05689677498745277,-0.0566007217971974,0.13401201033828433,0.36065573770491804,0.639344262295082,0.017158479677248924,-3.3159566615272067,3,0.013729361685885528,-4.144167535912868,3986.2131147540986,-0.038938242958748606,True,1.4612055055419304
ALPHA_IC,2,delta_degree_percentile,RAW,252,future_excess_return,JOINT_MARKET_REGIME,BEAR_HIGH_VOL,40,True,2016-02-29,2026-07-31,-0.04277004115564181,-0.03820945136423945,0.12736904843707597,0.4,0.6,0.02013881482347348,-2.1237615783521546,3,0.01376348456367848,-3.1075009353743863,3782.4,-0.038938242958748606,True,1.0984070647705555
ALPHA_IC,2,delta_degree_percentile,INDUSTRY_SIZE_NEUTRAL,252,future_excess_return,MARKET_VOL,HIGH_VOL,61,True,2016-02-29,2026-07-31,-0.03908259695854248,-0.041954851142422,0.0528727339191329,0.2786885245901639,0.7213114754098361,0.006769659884527976,-5.7731994849350645,3,0.005513905387487795,-7.088006451331042,3986.2131147540986,-0.03233989826791829,True,1.2084947402977162
ALPHA_IC,2,delta_degree_percentile,INDUSTRY_SIZE_NEUTRAL,252,future_excess_return,JOINT_MARKET_REGIME,BEAR_HIGH_VOL,40,True,2016-02-29,2026-07-31,-0.0359908151259417,-0.041483876445592,0.05551283374197755,0.3,0.7,0.00877734969974485,-4.100419415554096,3,0.007257860653156616,-4.958873812256018,3782.4,-0.03233989826791829,True,1.1128920328622423
ALPHA_IC,3,cross_industry_degree_percentile,RAW,252,future_excess_return,MARKET_VOL,HIGH_VOL,61,True,2016-02-29,2026-07-31,-0.00650277609239387,-0.0029432427966852,0.11362980281848765,0.4918032786885246,0.5081967213114754,0.014548805420269349,-0.4469628883299397,3,0.013832553315193773,-0.4701067072881748,3986.2131147540986,0.0038334242211345844,False,
