stock_1,name_1,stock_2,name_2,same_industry,episode_number,episode_start_window,episode_end_window,episode_start_date,episode_end_date,episode_length
600030,中信证券,600887,伊利股份,False,3,30,31,2026-06-15,2026-07-14,2
600030,中信证券,601288,农业银行,False,1,1,4,2024-01-16,2024-04-19,4
600030,中信证券,601318,中国平安,True,1,1,31,2024-01-16,2026-07-14,31
600030,中信证券,601398,工商银行,False,1,1,3,2024-01-16,2024-03-20,3
600030,中信证券,603501,韦尔股份,False,1,8,31,2024-08-15,2026-07-14,24
600036,招商银行,600519,贵州茅台,False,1,1,31,2024-01-16,2026-07-14,31
600036,招商银行,600887,伊利股份,False,1,1,6,2024-01-16,2024-06-20,6
600036,招商银行,601288,农业银行,True,1,1,7,2024-01-16,2024-07-18,7
600036,招商银行,601288,农业银行,True,2,13,31,2025-01-14,2026-07-14,19
600036,招商银行,601318,中国平安,False,1,1,31,2024-01-16,2026-07-14,31
600036,招商银行,601398,工商银行,True,1,1,31,2024-01-16,2026-07-14,31
600519,贵州茅台,600887,伊利股份,True,1,1,31,2024-01-16,2026-07-14,31
600519,贵州茅台,601318,中国平安,False,1,1,31,2024-01-16,2026-07-14,31
600887,伊利股份,601288,农业银行,False,1,6,6,2024-06-20,2024-06-20,1
600887,伊利股份,601318,中国平安,False,1,1,8,2024-01-16,2024-08-15,8
600887,伊利股份,601318,中国平安,False,2,10,27,2024-10-21,2026-03-17,18
600887,伊利股份,601318,中国平安,False,3,29,31,2026-05-18,2026-07-14,3
600887,伊利股份,603501,韦尔股份,False,1,1,1,2024-01-16,2024-01-16,1
600887,伊利股份,603501,韦尔股份,False,2,8,8,2024-08-15,2024-08-15,1
601288,农业银行,601318,中国平安,False,1,1,1,2024-01-16,2024-01-16,1
601288,农业银行,601318,中国平安,False,2,3,3,2024-03-20,2024-03-20,1
601288,农业银行,601398,工商银行,True,1,1,31,2024-01-16,2026-07-14,31
601288,农业银行,603501,韦尔股份,False,1,9,11,2024-09-12,2024-11-18,3
601288,农业银行,603501,韦尔股份,False,2,22,22,2025-10-16,2025-10-16,1
601288,农业银行,603501,韦尔股份,False,3,29,31,2026-05-18,2026-07-14,3
601398,工商银行,603501,韦尔股份,False,1,27,31,2026-03-17,2026-07-14,5
