stock_1,name_1,industry_1,stock_2,name_2,industry_2,same_industry,persistence_W126,persistence_W252,persistence_W504,mean_abs_partial_W126,mean_abs_partial_W252,mean_abs_partial_W504,selected_windows_W126,selected_windows_W252,selected_windows_W504,min_persistence,max_persistence,mean_persistence,sd_persistence,persistence_range,n_scales_persistent,n_scales_always_persistent,multi_scale_persistent,multi_scale_always_persistent,scale_dependent_persistent,persistence_pattern,multi_scale_class,mean_abs_partial_across_scales
600030,中信证券,非银金融,600887,伊利股份,食品饮料,False,0.5555555555555556,0.6666666666666666,1.0,0.0402298874290357,0.0186003606026235,0.0448180132716579,10,12,18,0.5555555555555556,1.0,0.7407407407407408,0.18885257457751053,0.4444444444444444,1,1,False,False,True,Non-decreasing with W,Persistent at 1 scale,0.03454942043443904
000001,平安银行,银行,000725,京东方A,电子,False,0.5555555555555556,0.6111111111111112,0.9444444444444444,0.0582869441791001,0.0772063492125184,0.0428807118024779,10,11,17,0.5555555555555556,0.9444444444444444,0.7037037037037037,0.171733675842513,0.38888888888888884,1,0,False,False,True,Non-decreasing with W,Persistent at 1 scale,0.05945800173136547
000568,泸州老窖,食品饮料,600030,中信证券,非银金融,False,0.5,0.9444444444444444,1.0,0.0520400748909913,0.0510098238570913,0.0552133048951844,9,17,18,0.5,1.0,0.8148148148148149,0.2237601106221217,0.5,2,1,False,False,True,Non-decreasing with W,Persistent at 2 scales,0.052754401214422326
000001,平安银行,银行,000568,泸州老窖,食品饮料,False,0.5,0.8333333333333334,1.0,0.0326133296935539,0.0394761798875731,0.0396900540735581,9,15,18,0.5,1.0,0.7777777777777778,0.20786985482077452,0.5,2,1,False,False,True,Non-decreasing with W,Persistent at 2 scales,0.0372598545515617
002460,赣锋锂业,新能源,603501,韦尔股份,电子,False,0.4444444444444444,0.6666666666666666,1.0,0.0967731682080747,0.0782644157706766,0.0718394887912922,8,12,18,0.4444444444444444,1.0,0.7037037037037037,0.2283116297395917,0.5555555555555556,1,1,False,False,True,Non-decreasing with W,Persistent at 1 scale,0.0822923575900145
002415,海康威视,电子,601318,中国平安,非银金融,False,0.4444444444444444,0.5555555555555556,1.0,0.0872553933258177,0.1202294029723466,0.0963690039214068,8,10,18,0.4444444444444444,1.0,0.6666666666666666,0.24002743327436518,0.5555555555555556,1,1,False,False,True,Non-decreasing with W,Persistent at 1 scale,0.10128460007319036
000858,五粮液,食品饮料,002415,海康威视,电子,False,0.3888888888888889,0.8333333333333334,1.0,0.023712156601198,0.0336902904221726,0.0495196509884233,7,15,18,0.3888888888888889,1.0,0.7407407407407408,0.25793311624415033,0.6111111111111112,2,1,False,False,True,Non-decreasing with W,Persistent at 2 scales,0.03564069933726463
000858,五粮液,食品饮料,002460,赣锋锂业,新能源,False,0.3888888888888889,0.6666666666666666,1.0,0.0410901757183116,0.0254456907788958,0.0460629736751751,7,12,18,0.3888888888888889,1.0,0.6851851851851851,0.24982847339318595,0.6111111111111112,1,1,False,False,True,Non-decreasing with W,Persistent at 1 scale,0.0375329467241275
002415,海康威视,电子,600887,伊利股份,食品饮料,False,0.3888888888888889,0.3888888888888889,0.9444444444444444,0.0337468267733365,0.0287345313706755,0.0248768987408417,7,7,17,0.3888888888888889,0.9444444444444444,0.5740740740740741,0.261891400439462,0.5555555555555556,1,0,False,False,True,Non-decreasing with W,Persistent at 1 scale,0.0291194189616179
000568,泸州老窖,食品饮料,002460,赣锋锂业,新能源,False,0.3333333333333333,0.5,1.0,0.0363459023180473,0.0617230554301448,0.0398375568267124,6,9,18,0.3333333333333333,1.0,0.611111111111111,0.28327886186626583,0.6666666666666667,1,1,False,False,True,Non-decreasing with W,Persistent at 1 scale,0.04596883819163483
000725,京东方A,电子,600887,伊利股份,食品饮料,False,0.2222222222222222,0.5,0.8888888888888888,0.0306126337425891,0.012110587853279,0.0158296599601054,4,9,16,0.2222222222222222,0.8888888888888888,0.5370370370370371,0.27342264926358145,0.6666666666666666,1,0,False,False,True,Non-decreasing with W,Persistent at 1 scale,0.0195176271853245
