window_size,stock_1,name_1,industry_1,stock_2,name_2,industry_2,same_industry,windows_selected,total_windows,mean_partial_all_windows,mean_abs_partial_all_windows,persistence,mean_partial_when_selected,mean_abs_partial_when_selected
126,600030,中信证券,非银金融,601398,工商银行,银行,False,0,18,0.0,0.0,0.0,,
126,600030,中信证券,非银金融,603501,韦尔股份,电子,False,18,18,0.11703640387676766,0.11703640387676766,1.0,0.11703640387676766,0.11703640387676766
126,600036,招商银行,银行,600519,贵州茅台,食品饮料,False,18,18,0.06212668185173496,0.06212668185173496,1.0,0.06212668185173496,0.06212668185173496
126,600036,招商银行,银行,600887,伊利股份,食品饮料,False,3,18,0.0027135871687763587,0.0027135871687763587,0.16666666666666666,0.01628152301265815,0.01628152301265815
126,600036,招商银行,银行,601288,农业银行,银行,True,14,18,0.05734917568037328,0.05734917568037328,0.7777777777777778,0.07373465444619422,0.07373465444619422
126,600036,招商银行,银行,601318,中国平安,非银金融,False,18,18,0.11465729081997306,0.11465729081997306,1.0,0.11465729081997306,0.11465729081997306
126,600036,招商银行,银行,601398,工商银行,银行,True,18,18,0.2368939177504249,0.2368939177504249,1.0,0.2368939177504249,0.2368939177504249
126,600036,招商银行,银行,603501,韦尔股份,电子,False,3,18,-0.008194289676049842,0.008194289676049842,0.16666666666666666,-0.049165738056299056,0.049165738056299056
126,600519,贵州茅台,食品饮料,600887,伊利股份,食品饮料,True,18,18,0.13743550197480014,0.13743550197480014,1.0,0.13743550197480014,0.13743550197480014
126,600519,贵州茅台,食品饮料,601288,农业银行,银行,False,0,18,0.0,0.0,0.0,,
126,600519,贵州茅台,食品饮料,601318,中国平安,非银金融,False,18,18,0.12263236190369324,0.12263236190369324,1.0,0.12263236190369324,0.12263236190369324
126,600519,贵州茅台,食品饮料,601398,工商银行,银行,False,0,18,0.0,0.0,0.0,,
126,600519,贵州茅台,食品饮料,603501,韦尔股份,电子,False,1,18,0.0007599997439983702,0.0007599997439983702,0.05555555555555555,0.013679995391970665,0.013679995391970665
126,600887,伊利股份,食品饮料,601288,农业银行,银行,False,0,18,0.0,0.0,0.0,,
126,600887,伊利股份,食品饮料,601318,中国平安,非银金融,False,14,18,0.035555120593518764,0.035555120593518764,0.7777777777777778,0.04571372647738127,0.04571372647738127
126,600887,伊利股份,食品饮料,601398,工商银行,银行,False,1,18,0.001618450205162414,0.001618450205162414,0.05555555555555555,0.02913210369292345,0.02913210369292345
126,600887,伊利股份,食品饮料,603501,韦尔股份,电子,False,0,18,0.0,0.0,0.0,,
126,601288,农业银行,银行,601318,中国平安,非银金融,False,1,18,2.24335776640027e-05,2.24335776640027e-05,0.05555555555555555,0.0004038043979520486,0.0004038043979520486
126,601288,农业银行,银行,601398,工商银行,银行,True,18,18,0.5240004445315374,0.5240004445315374,1.0,0.5240004445315374,0.5240004445315374
126,601288,农业银行,银行,603501,韦尔股份,电子,False,11,18,-0.0431265993891178,0.0431265993891178,0.6111111111111112,-0.07057079900037458,0.07057079900037458
126,601318,中国平安,非银金融,601398,工商银行,银行,False,0,18,0.0,0.0,0.0,,
126,601318,中国平安,非银金融,603501,韦尔股份,电子,False,0,18,0.0,0.0,0.0,,
