window_size,sensitivity_window_id,baseline_window_id,window_start,window_end,network_date,alpha,n_observations,n_nodes,n_edges,density,mean_degree,max_degree,n_components,n_isolated,mean_abs_partial,median_abs_partial,same_industry_edges,cross_industry_edges,same_industry_edge_ratio
126,13,26,2025-08-06,2026-02-09,2026-02-09,0.2169100494343441,126,15,40,0.38095238095238093,5.333333333333333,10,1,0,0.12711288325873804,0.07541468710630586,16,24,0.4
126,14,27,2025-09-03,2026-03-17,2026-03-17,0.2169100494343441,126,15,41,0.3904761904761905,5.466666666666667,11,1,0,0.12140993478789094,0.06797255269545363,16,25,0.3902439024390244
126,15,28,2025-10-09,2026-04-15,2026-04-15,0.2169100494343441,126,15,39,0.37142857142857144,5.2,9,1,0,0.1346484792259209,0.08525279160139593,17,22,0.4358974358974359
126,16,29,2025-11-06,2026-05-18,2026-05-18,0.2169100494343441,126,15,45,0.42857142857142855,6.0,10,1,0,0.11028263029577964,0.0670251077617011,19,26,0.4222222222222222
126,17,30,2025-12-04,2026-06-15,2026-06-15,0.2169100494343441,126,15,39,0.37142857142857144,5.2,9,1,0,0.12591874073539547,0.0771514967309342,17,22,0.4358974358974359
126,18,31,2026-01-05,2026-07-14,2026-07-14,0.2169100494343441,126,15,41,0.3904761904761905,5.466666666666667,9,1,0,0.12745325390282575,0.09102719830678313,18,23,0.43902439024390244
252,1,14,2024-01-29,2025-02-19,2025-02-19,0.2169100494343441,252,15,57,0.5428571428571428,7.6,10,1,0,0.11096022394936549,0.06298409031517971,19,38,0.3333333333333333
252,2,15,2024-03-05,2025-03-19,2025-03-19,0.2169100494343441,252,15,56,0.5333333333333333,7.466666666666667,10,1,0,0.11290336194841799,0.06567079267497498,19,37,0.3392857142857143
252,3,16,2024-04-02,2025-04-17,2025-04-17,0.2169100494343441,252,15,54,0.5142857142857142,7.2,10,1,0,0.11809787555995711,0.08465745290567514,19,35,0.35185185185185186
252,4,17,2024-05-07,2025-05-20,2025-05-20,0.2169100494343441,252,15,55,0.5238095238095238,7.333333333333333,10,1,0,0.11600079383453078,0.07776678041952367,19,36,0.34545454545454546
252,5,18,2024-06-04,2025-06-18,2025-06-18,0.2169100494343441,252,15,54,0.5142857142857142,7.2,10,1,0,0.11836337415796629,0.07493480162868435,19,35,0.35185185185185186
