stock_1,name_1,industry_1,stock_2,name_2,industry_2,same_industry,persistence_W126,persistence_W252,persistence_W504,mean_abs_partial_W126,mean_abs_partial_W252,mean_abs_partial_W504,selected_windows_W126,selected_windows_W252,selected_windows_W504,min_persistence,max_persistence,mean_persistence,sd_persistence,persistence_range,n_scales_persistent,n_scales_always_persistent,multi_scale_persistent,multi_scale_always_persistent,scale_dependent_persistent,persistence_pattern,multi_scale_class,mean_abs_partial_across_scales,industry_relation
600030,中信证券,非银金融,600519,贵州茅台,食品饮料,False,0.7777777777777778,0.8333333333333334,1.0,0.0359161204590927,0.0272150358654511,0.0241671679116029,14,15,18,0.7777777777777778,1.0,0.8703703703703703,0.09442628728875527,0.2222222222222222,2,1,False,False,True,Non-decreasing with W,Persistent at 2 scales,0.0290994414120489,Cross industry
000858,五粮液,食品饮料,601318,中国平安,非银金融,False,0.7222222222222222,1.0,1.0,0.0927806598851592,0.076360554388273,0.0657025578654326,13,18,18,0.7222222222222222,1.0,0.9074074074074074,0.13094570021973104,0.2777777777777778,2,2,False,False,True,Non-decreasing with W,Persistent at 2 scales,0.0782812573796216,Cross industry
000725,京东方A,电子,002460,赣锋锂业,新能源,False,0.7222222222222222,0.8888888888888888,1.0,0.0871564274083847,0.0877908643521001,0.1017214324921319,13,16,18,0.7222222222222222,1.0,0.8703703703703703,0.11415581486979585,0.2777777777777778,2,1,False,False,True,Non-decreasing with W,Persistent at 2 scales,0.09222290808420557,Cross industry
002415,海康威视,电子,002475,立讯精密,电子,True,0.7222222222222222,0.8888888888888888,1.0,0.0481395707990314,0.0559666195964933,0.0777194131015506,13,16,18,0.7222222222222222,1.0,0.8703703703703703,0.11415581486979585,0.2777777777777778,2,1,False,False,True,Non-decreasing with W,Persistent at 2 scales,0.06060853449902511,Same industry
000001,平安银行,银行,000858,五粮液,食品饮料,False,0.5555555555555556,0.9444444444444444,1.0,0.0525305307201818,0.0238568355940182,0.0556273870137807,10,17,18,0.5555555555555556,1.0,0.8333333333333334,0.19772367133391316,0.4444444444444444,2,1,False,False,True,Non-decreasing with W,Persistent at 2 scales,0.04400491777599356,Cross industry
000725,京东方A,电子,601318,中国平安,非银金融,False,0.5555555555555556,0.7777777777777778,0.9444444444444444,0.0292573029672943,0.0379467226213778,0.0556521690373951,10,14,17,0.5555555555555556,0.9444444444444444,0.7592592592592592,0.15930231976004863,0.38888888888888884,1,0,False,False,True,Non-decreasing with W,Persistent at 1 scale,0.040952064875355736,Cross industry
000568,泸州老窖,食品饮料,601318,中国平安,非银金融,False,0.5555555555555556,0.6666666666666666,1.0,0.0539692496486114,0.0771995058281807,0.0633009688410208,10,12,18,0.5555555555555556,1.0,0.7407407407407408,0.18885257457751053,0.4444444444444444,1,1,False,False,True,Non-decreasing with W,Persistent at 1 scale,0.06482324143927097,Cross industry
600030,中信证券,非银金融,600887,伊利股份,食品饮料,False,0.5555555555555556,0.6666666666666666,1.0,0.0402298874290357,0.0186003606026235,0.0448180132716579,10,12,18,0.5555555555555556,1.0,0.7407407407407408,0.18885257457751053,0.4444444444444444,1,1,False,False,True,Non-decreasing with W,Persistent at 1 scale,0.03454942043443904,Cross industry
000001,平安银行,银行,000725,京东方A,电子,False,0.5555555555555556,0.6111111111111112,0.9444444444444444,0.0582869441791001,0.0772063492125184,0.0428807118024779,10,11,17,0.5555555555555556,0.9444444444444444,0.7037037037037037,0.171733675842513,0.38888888888888884,1,0,False,False,True,Non-decreasing with W,Persistent at 1 scale,0.05945800173136547,Cross industry
000568,泸州老窖,食品饮料,600030,中信证券,非银金融,False,0.5,0.9444444444444444,1.0,0.0520400748909913,0.0510098238570913,0.0552133048951844,9,17,18,0.5,1.0,0.8148148148148149,0.2237601106221217,0.5,2,1,False,False,True,Non-decreasing with W,Persistent at 2 scales,0.052754401214422326,Cross industry
000001,平安银行,银行,000568,泸州老窖,食品饮料,False,0.5,0.8333333333333334,1.0,0.0326133296935539,0.0394761798875731,0.0396900540735581,9,15,18,0.5,1.0,0.7777777777777778,0.20786985482077452,0.5,2,1,False,False,True,Non-decreasing with W,Persistent at 2 scales,0.0372598545515617,Cross industry
002460,赣锋锂业,新能源,603501,韦尔股份,电子,False,0.4444444444444444,0.6666666666666666,1.0,0.0967731682080747,0.0782644157706766,0.0718394887912922,8,12,18,0.4444444444444444,1.0,0.7037037037037037,0.2283116297395917,0.5555555555555556,1,1,False,False,True,Non-decreasing with W,Persistent at 1 scale,0.0822923575900145,Cross industry
002415,海康威视,电子,601318,中国平安,非银金融,False,0.4444444444444444,0.5555555555555556,1.0,0.0872553933258177,0.1202294029723466,0.0963690039214068,8,10,18,0.4444444444444444,1.0,0.6666666666666666,0.24002743327436518,0.5555555555555556,1,1,False,False,True,Non-decreasing with W,Persistent at 1 scale,0.10128460007319036,Cross industry
002475,立讯精密,电子,600030,中信证券,非银金融,False,0.6666666666666666,0.4444444444444444,0.6111111111111112,0.0775832823810242,0.0621929857508165,0.0100718885873497,12,8,11,0.4444444444444444,0.6666666666666666,0.5740740740740741,0.09442628728875528,0.2222222222222222,0,0,False,False,False,Non-monotonic,Not persistent at any scale,0.049949385573063464,Cross industry
000858,五粮液,食品饮料,002415,海康威视,电子,False,0.3888888888888889,0.8333333333333334,1.0,0.023712156601198,0.0336902904221726,0.0495196509884233,7,15,18,0.3888888888888889,1.0,0.7407407407407408,0.25793311624415033,0.6111111111111112,2,1,False,False,True,Non-decreasing with W,Persistent at 2 scales,0.03564069933726463,Cross industry
000858,五粮液,食品饮料,002460,赣锋锂业,新能源,False,0.3888888888888889,0.6666666666666666,1.0,0.0410901757183116,0.0254456907788958,0.0460629736751751,7,12,18,0.3888888888888889,1.0,0.6851851851851851,0.24982847339318595,0.6111111111111112,1,1,False,False,True,Non-decreasing with W,Persistent at 1 scale,0.0375329467241275,Cross industry
002415,海康威视,电子,600887,伊利股份,食品饮料,False,0.3888888888888889,0.3888888888888889,0.9444444444444444,0.0337468267733365,0.0287345313706755,0.0248768987408417,7,7,17,0.3888888888888889,0.9444444444444444,0.5740740740740741,0.261891400439462,0.5555555555555556,1,0,False,False,True,Non-decreasing with W,Persistent at 1 scale,0.0291194189616179,Cross industry
000568,泸州老窖,食品饮料,002460,赣锋锂业,新能源,False,0.3333333333333333,0.5,1.0,0.0363459023180473,0.0617230554301448,0.0398375568267124,6,9,18,0.3333333333333333,1.0,0.611111111111111,0.28327886186626583,0.6666666666666667,1,1,False,False,True,Non-decreasing with W,Persistent at 1 scale,0.04596883819163483,Cross industry
000725,京东方A,电子,600887,伊利股份,食品饮料,False,0.2222222222222222,0.5,0.8888888888888888,0.0306126337425891,0.012110587853279,0.0158296599601054,4,9,16,0.2222222222222222,0.8888888888888888,0.5370370370370371,0.27342264926358145,0.6666666666666666,1,0,False,False,True,Non-decreasing with W,Persistent at 1 scale,0.0195176271853245,Cross industry
601288,农业银行,银行,603501,韦尔股份,电子,False,0.6111111111111112,0.2222222222222222,0.3888888888888889,0.0705707990003745,0.0456346918642522,0.0102765682567858,11,4,7,0.2222222222222222,0.6111111111111112,0.40740740740740744,0.15930231976004866,0.38888888888888895,0,0,False,False,False,Non-monotonic,Not persistent at any scale,0.042160686373804164,Cross industry
002415,海康威视,电子,600519,贵州茅台,食品饮料,False,0.2777777777777778,0.5,0.2222222222222222,0.0336359767916699,0.0405435196677077,0.0075290379071145,5,9,4,0.2222222222222222,0.5,0.3333333333333333,0.12001371663718259,0.2777777777777778,0,0,False,False,False,Non-monotonic,Not persistent at any scale,0.027236178122164032,Cross industry
000725,京东方A,电子,000858,五粮液,食品饮料,False,0.1666666666666666,0.6111111111111112,0.8333333333333334,0.0246532621465221,0.0208256160892146,0.0222178685359665,3,11,15,0.1666666666666666,0.8333333333333334,0.5370370370370371,0.2771598064276994,0.6666666666666667,1,0,False,False,True,Non-decreasing with W,Persistent at 1 scale,0.022565582257234398,Cross industry
002475,立讯精密,电子,601318,中国平安,非银金融,False,0.1666666666666666,0.5,0.3333333333333333,0.0819735475462686,0.0189431720461928,0.0075431674775377,3,9,6,0.1666666666666666,0.5,0.3333333333333333,0.13608276348795437,0.33333333333333337,0,0,False,False,False,Non-monotonic,Not persistent at any scale,0.0361532956899997,Cross industry
000568,泸州老窖,食品饮料,000725,京东方A,电子,False,0.2222222222222222,0.2222222222222222,0.1666666666666666,0.015922160125677,0.0042614986602472,0.0024578097041093,4,4,3,0.1666666666666666,0.2222222222222222,0.2037037037037037,0.02618914004394623,0.05555555555555561,0,0,False,False,False,Non-increasing with W,Not persistent at any scale,0.0075471561633445,Cross industry
002460,赣锋锂业,新能源,600887,伊利股份,食品饮料,False,0.1111111111111111,0.4444444444444444,0.7222222222222222,0.0572582213802091,0.0394271182068001,0.0145128706031842,2,8,13,0.1111111111111111,0.7222222222222222,0.4259259259259259,0.24982847339318595,0.6111111111111112,0,0,False,False,False,Non-decreasing with W,Not persistent at any scale,0.0370660700633978,Cross industry
000568,泸州老窖,食品饮料,002415,海康威视,电子,False,0.1111111111111111,0.3333333333333333,0.8333333333333334,0.0453986506136514,0.0078894966458467,0.0145389076362878,2,6,15,0.1111111111111111,0.8333333333333334,0.4259259259259259,0.3020278968574091,0.7222222222222223,1,0,False,False,True,Non-decreasing with W,Persistent at 1 scale,0.0226090182985953,Cross industry
000858,五粮液,食品饮料,002475,立讯精密,电子,False,0.1111111111111111,0.1111111111111111,0.3888888888888889,0.0310581347112282,0.0437031061250294,0.0100489481363227,2,2,7,0.1111111111111111,0.3888888888888889,0.20370370370370372,0.13094570021973104,0.2777777777777778,0,0,False,False,False,Non-decreasing with W,Not persistent at any scale,0.0282700629908601,Cross industry
000001,平安银行,银行,600030,中信证券,非银金融,False,0.4444444444444444,0.0555555555555555,0.2222222222222222,0.0447617842755521,0.0039986701212457,0.0256146047772284,8,1,4,0.0555555555555555,0.4444444444444444,0.2407407407407407,0.15930231976004866,0.38888888888888895,0,0,False,False,False,Non-monotonic,Not persistent at any scale,0.024791686391342067,Cross industry
000568,泸州老窖,食品饮料,600036,招商银行,银行,False,0.1666666666666666,0.0555555555555555,0.4444444444444444,0.0197058943687411,0.0014782562789477,0.0054257469583459,3,1,8,0.0555555555555555,0.4444444444444444,0.22222222222222218,0.1635511271542194,0.38888888888888895,0,0,False,False,False,Non-monotonic,Not persistent at any scale,0.008869965868678234,Cross industry
002460,赣锋锂业,新能源,601288,农业银行,银行,False,0.1111111111111111,0.2777777777777778,0.0555555555555555,0.0164140956323513,0.020316963176551,0.0074455016225557,2,5,1,0.0555555555555555,0.2777777777777778,0.14814814814814814,0.0944262872887553,0.2222222222222223,0,0,False,False,False,Non-monotonic,Not persistent at any scale,0.014725520143819336,Cross industry
601398,工商银行,银行,603501,韦尔股份,电子,False,0.5555555555555556,0.2777777777777778,0.0,0.036140593871737,0.0385094264815822,,10,5,0,0.0,0.5555555555555556,0.2777777777777778,0.22680460581325726,0.5555555555555556,0,0,False,False,False,Non-increasing with W,Not persistent at any scale,0.037325010176659595,Cross industry
002460,赣锋锂业,新能源,601398,工商银行,银行,False,0.4444444444444444,0.1111111111111111,0.0,0.0193544074440266,0.0217888705906786,,8,2,0,0.0,0.4444444444444444,0.1851851851851852,0.18885257457751053,0.4444444444444444,0,0,False,False,False,Non-increasing with W,Not persistent at any scale,0.0205716390173526,Cross industry
002460,赣锋锂业,新能源,600519,贵州茅台,食品饮料,False,0.3333333333333333,0.1666666666666666,0.0,0.0269494773292153,0.006364144678031,,6,3,0,0.0,0.3333333333333333,0.16666666666666663,0.13608276348795434,0.3333333333333333,0,0,False,False,False,Non-increasing with W,Not persistent at any scale,0.01665681100362315,Cross industry
600036,招商银行,银行,600887,伊利股份,食品饮料,False,0.1666666666666666,0.0,0.2222222222222222,0.0162815230126581,,0.0224250511773061,3,0,4,0.0,0.2222222222222222,0.12962962962962962,0.09442628728875525,0.2222222222222222,0,0,False,False,False,Non-monotonic,Not persistent at any scale,0.0193532870949821,Cross industry
002460,赣锋锂业,新能源,601318,中国平安,非银金融,False,0.0555555555555555,0.0,0.2222222222222222,0.0410492569458901,,0.0177257157026315,1,0,4,0.0,0.2222222222222222,0.09259259259259256,0.09442628728875527,0.2222222222222222,0,0,False,False,False,Non-monotonic,Not persistent at any scale,0.029387486324260803,Cross industry
000858,五粮液,食品饮料,600036,招商银行,银行,False,0.0555555555555555,0.0,0.2222222222222222,0.018951050237532,,0.0098320275569726,1,0,4,0.0,0.2222222222222222,0.09259259259259256,0.09442628728875527,0.2222222222222222,0,0,False,False,False,Non-monotonic,Not persistent at any scale,0.0143915388972523,Cross industry
000001,平安银行,银行,600519,贵州茅台,食品饮料,False,0.1666666666666666,0.0555555555555555,0.0,0.0200787337891552,0.0097527854902443,,3,1,0,0.0,0.1666666666666666,0.07407407407407403,0.06928995160692482,0.1666666666666666,0,0,False,False,False,Non-increasing with W,Not persistent at any scale,0.01491575963969975,Cross industry
600036,招商银行,银行,603501,韦尔股份,电子,False,0.1666666666666666,0.0,0.0,0.049165738056299,,,3,0,0,0.0,0.1666666666666666,0.05555555555555553,0.07856742013183858,0.1666666666666666,0,0,False,False,False,Non-increasing with W,Not persistent at any scale,0.049165738056299,Cross industry
600030,中信证券,非银金融,600036,招商银行,银行,False,0.1111111111111111,0.0,0.0,0.0106970288782652,,,2,0,0,0.0,0.1111111111111111,0.037037037037037035,0.05237828008789241,0.1111111111111111,0,0,False,False,False,Non-increasing with W,Not persistent at any scale,0.0106970288782652,Cross industry
000725,京东方A,电子,601398,工商银行,银行,False,0.0555555555555555,0.0555555555555555,0.0,0.0473631301292497,0.0036533596194692,,1,1,0,0.0,0.0555555555555555,0.037037037037037,0.02618914004394618,0.0555555555555555,0,0,False,False,False,Non-increasing with W,Not persistent at any scale,0.02550824487435945,Cross industry
000001,平安银行,银行,002415,海康威视,电子,False,0.0555555555555555,0.0,0.0555555555555555,0.0057862759673491,,0.0118023805161484,1,0,1,0.0,0.0555555555555555,0.037037037037037,0.02618914004394618,0.0555555555555555,0,0,False,False,False,Non-monotonic,Not persistent at any scale,0.00879432824174875,Cross industry
000001,平安银行,银行,002475,立讯精密,电子,False,0.0555555555555555,0.0555555555555555,0.0,0.0050763427563118,0.0049988498826869,,1,1,0,0.0,0.0555555555555555,0.037037037037037,0.02618914004394618,0.0555555555555555,0,0,False,False,False,Non-increasing with W,Not persistent at any scale,0.00503759631949935,Cross industry
