analysis_date,window,density_fraction,density_percent,common_node_count,common_valid_pair_count,edge_budget_k,raw_positive_pair_count,residual_positive_pair_count,raw_edge_threshold,residual_edge_threshold,raw_residual_overlap_count,raw_residual_overlap_fraction,raw_residual_jaccard,common_industry_labeled_pair_count,common_same_industry_pair_share,raw_same_industry_edge_share,residual_same_industry_edge_share,raw_industry_enrichment,residual_industry_enrichment
2025-05-30,60,0.005,0.5,5066,12826318,64131,12368653,6307354,0.8495873212814331,0.5038287043571472,10108,0.1576148820383278,0.08554936777426071,12826318,0.05476357283516595,0.2075595265940029,0.3642700098236422,3.7901019938699174,6.651684522484797
2025-06-30,60,0.005,0.5,5084,12917182,64585,12468298,6345683,0.8635647296905518,0.522830605506897,9363,0.14497174266470542,0.07815069236355138,12917182,0.054859411286455516,0.19654718587907408,0.3417666640860881,3.582743257173824,6.229863866046779
2025-07-31,60,0.005,0.5,5093,12965019,64825,10764225,6254071,0.6386943459510803,0.47622451186180115,26536,0.4093482452757424,0.25734623814418994,12965019,0.05489224504800186,0.2842267643655997,0.3378326263015812,5.177903802569027,6.154469105902941
2025-08-29,60,0.005,0.5,5108,13041467,65207,11068816,6342854,0.6366093158721924,0.4766976535320282,30444,0.4668823899274618,0.30453135940782233,13041467,0.055078619606214546,0.22646341650436302,0.2977594430045854,4.111639291679181,5.40608034720952
2025-09-30,60,0.005,0.5,5119,13097795,65488,11252488,6472783,0.6272735595703125,0.4819629490375519,36775,0.5615532616662595,0.3903886370633008,13097795,0.055124469424051914,0.25726850720742733,0.28730454434400193,4.667047318466813,5.211923984861888
2025-10-31,60,0.005,0.5,5118,13093141,65465,11376728,6557185,0.6311926245689392,0.4778830409049988,33205,0.5072175971893378,0.33977999488360194,13093141,0.05517843273817948,0.2689070495684717,0.2922172153058886,4.873408616812842,5.295859284232542
2025-11-28,60,0.005,0.5,5119,13097949,65489,11576484,6500804,0.6587005853652954,0.47674402594566345,30124,0.45998564644444107,0.2986891942808416,13097949,0.055153520600820787,0.2814365771350914,0.3554031974835469,5.102785353849254,6.44388959420766
2025-12-31,60,0.005,0.5,5119,13096908,65484,11438031,6468281,0.6488819718360901,0.47335973381996155,31762,0.4850345122472665,0.32016208697054616,13096908,0.05522990617327388,0.25862806181662695,0.34275548225520736,4.682753959516571,6.205976182176986
2026-01-30,60,0.005,0.5,5126,13132440,65662,11155455,6418053,0.6351057887077332,0.49485650658607483,36215,0.5515366574274314,0.3807736386672134,13132440,0.05537912223471038,0.3180226005909049,0.39616520971033475,5.742644299110533,7.1536924697233175
2026-02-27,60,0.005,0.5,5126,13132703,65663,10797483,6402990,0.6164911985397339,0.5061250925064087,42812,0.6519957967196138,0.4836748988860519,13132703,0.05537336830049381,0.36279183101594503,0.39035682195452537,6.551738536965788,7.04954085213278
2026-03-31,60,0.005,0.5,5145,13231226,66156,12283860,6453276,0.748021125793457,0.5278589725494385,28420,0.42959066448999333,0.27355330535556155,13231226,0.05544096971815008,0.2796420581655481,0.42173045528750225,5.043960442740954,7.606837640674195
2026-04-30,60,0.005,0.5,5150,13255454,66277,12454328,6513112,0.7675434947013855,0.4963679313659668,23430,0.3535163027898064,0.21470987133902716,13255454,0.055422847078644005,0.23208654586055494,0.40271889192329163,4.187560872346171,7.266297441411497
2026-05-29,60,0.005,0.5,5149,13250232,66251,12365510,6533287,0.7599289417266846,0.4850099980831146,18791,0.2836334545893647,0.16525226231411208,13250232,0.055483405875459385,0.20656291980498406,0.364960528897677,3.7229675530129627,6.577832112846213
2026-06-30,60,0.005,0.5,5156,13285441,66427,11310675,6705408,0.6824555397033691,0.5178933143615723,32437,0.4883104761618017,0.3230229941145424,13285441,0.05552521741656901,0.23199903653634818,0.3438059825071131,4.1782643514173525,6.191888992127019
2026-07-31,60,0.005,0.5,5172,13369845,66849,11503542,6977548,0.7416695952415466,0.6214780211448669,37380,0.5591706682224117,0.3880894536846695,13369845,0.05577431899921054,0.21553052401681402,0.29687803856452605,3.8643326872330754,5.322844705082428
2026-08-31,60,0.005,0.5,5175,13385801,66929,11712414,6978238,0.7454812526702881,0.6206850409507751,36819,0.5501202767111416,0.37942476736157627,13385801,0.05583229572888466,0.22109997161170794,0.3176500470648,3.960073085393882,5.689360305140825
2026-09-03,60,0.005,0.5,5176,13390845,66954,11597247,6987698,0.7452130913734436,0.6279178261756897,38076,0.5686889506228157,0.397320310543451,13390845,0.055819629007728785,0.22261552707829255,0.3125877468112435,3.9881226556964253,5.599961023889332
2015-04-30,60,0.01,1.0,1993,1968378,19683,1855596,962724,0.6251991987228394,0.39349883794784546,6624,0.33653406492912663,0.2023089609675646,1968378,0.04823463785919168,0.1495706955240563,0.18665853782451863,3.100898071644874,3.8698028244644247
