trade_date,window,min_valid_ratio,required_valid_days,current_universe_count,eligible_stock_count,eligible_stock_ratio,p_over_w,possible_pair_count,dense_matrix_memory_mb_float64,covariance_dimensionally_singular,covariance_rank_upper_bound,minimum_rank_deficiency,eligible_jaccard_vs_previous_day,entered_count,exited_count
2024-06-24,120,0.8,96,5115,5077,0.9925708699902248,42.30833333333333,12885426,196.65473175048828,True,119,4958,0.9996060665747488,2.0,0.0
2024-06-24,120,0.9,108,5115,5064,0.9900293255131964,42.2,12819516,195.64892578125,True,119,4945,1.0,0.0,0.0
2024-06-24,120,0.95,114,5115,5043,0.9859237536656892,42.025,12713403,194.02960968017578,True,119,4924,0.9994053518334985,1.0,2.0
2024-06-25,120,0.8,96,5115,5076,0.992375366568915,42.3,12880350,196.5772705078125,True,119,4957,0.9998030332873744,0.0,1.0
2024-06-25,120,0.9,108,5115,5064,0.9900293255131964,42.2,12819516,195.64892578125,True,119,4945,1.0,0.0,0.0
2024-06-25,120,0.95,114,5115,5042,0.9857282502443793,42.016666666666666,12708361,193.95266723632812,True,119,4923,0.9994052339413164,1.0,2.0
2024-06-26,120,0.8,96,5116,5076,0.9921813917122753,42.3,12880350,196.5772705078125,True,119,4957,1.0,0.0,0.0
2024-06-26,120,0.9,108,5116,5065,0.9900312744331509,42.208333333333336,12824580,195.72620391845703,True,119,4946,0.9998025666337611,1.0,0.0
2024-06-26,120,0.95,114,5116,5042,0.9855355746677091,42.016666666666666,12708361,193.95266723632812,True,119,4923,1.0,0.0,0.0
2024-06-27,120,0.8,96,5115,5073,0.9917888563049854,42.275,12865128,196.34497833251953,True,119,4954,0.9994089834515366,0.0,3.0
2024-06-27,120,0.9,108,5115,5067,0.9906158357771261,42.225,12834711,195.88080596923828,True,119,4948,0.9996052891257154,2.0,0.0
2024-06-27,120,0.95,114,5115,5043,0.9859237536656892,42.025,12713403,194.02960968017578,True,119,4924,0.9998017053341265,1.0,0.0
2024-06-28,120,0.8,96,5113,5074,0.9923723841189126,42.28333333333333,12870201,196.42239379882812,True,119,4955,0.9998029168309026,1.0,0.0
2024-06-28,120,0.9,108,5113,5065,0.9906121650694308,42.208333333333336,12824580,195.72620391845703,True,119,4946,0.9996052891257154,0.0,2.0
2024-06-28,120,0.95,114,5113,5041,0.9859182476041463,42.00833333333333,12703320,193.87574005126953,True,119,4922,0.999603410668253,0.0,2.0
2024-07-01,120,0.8,96,5113,5074,0.9923723841189126,42.28333333333333,12870201,196.42239379882812,True,119,4955,1.0,0.0,0.0
2024-07-01,120,0.9,108,5113,5065,0.9906121650694308,42.208333333333336,12824580,195.72620391845703,True,119,4946,1.0,0.0,0.0
2024-07-01,120,0.95,114,5113,5042,0.9861138274985332,42.016666666666666,12708361,193.95266723632812,True,119,4923,0.9998016660055533,1.0,0.0
