year,window,analysis_month_count,mean_corr,median_corr,mean_abs_corr,q95_corr,q99_corr,share_negative,share_corr_gt_0_3,share_corr_gt_0_5,eligible_stock_count
2020,252,12,0.31790257640672676,0.3192670261560275,0.31824030588331503,0.5085599519949232,0.5897250961308479,0.004815512543821944,0.5614018753234314,0.06371827334595828,3633.1666666666665
2021,60,12,0.15207475830694825,0.1496605780200214,0.18329068042457886,0.42767804953071087,0.5472891608334348,0.18134102221484424,0.18575730993825693,0.02340795590883352,4241.333333333333
2021,120,12,0.15515517139829135,0.1508006566937454,0.16796292905559654,0.3729508142234292,0.4769945323783003,0.11264795657834258,0.13488063284522567,0.00853300073664782,4150.666666666667
2021,252,12,0.1893309766141056,0.18528854803614545,0.1920835615743897,0.36673972297909924,0.4556600884881439,0.03644171167964804,0.16082590654037301,0.007161620062983285,3921.9166666666665
2022,60,12,0.289095028741202,0.2898063265482626,0.2992679168925078,0.5853773920647559,0.6964501107257496,0.06661635592935194,0.4707008153950223,0.14856027942999175,4643.916666666667
2022,120,12,0.2658656699638165,0.2635983789573599,0.2701472620057381,0.5063492686705764,0.6093454959405887,0.038742894137646575,0.4076424654002045,0.07025870963619904,4578.333333333333
2022,252,12,0.22002273279596427,0.2167886861930529,0.2219125975144999,0.40509983088812923,0.4942273282648663,0.024791294480524192,0.24406770936869573,0.013609033568320937,4372.833333333333
2023,60,12,0.19900796984438796,0.1937151797240763,0.22178577918395895,0.5038064240636512,0.6260889412527683,0.13631279329381954,0.2849543974755077,0.05605373086653304,4937.666666666667
2023,120,12,0.19015604247507908,0.18212631326862813,0.2000144288145194,0.4402976198322707,0.5531761365563066,0.08687282917512318,0.21905966994911005,0.025269097649192038,4882.916666666667
2023,252,12,0.21095425090736175,0.20357711344225157,0.21338471982714227,0.4161146579409236,0.5171295135931739,0.031057673395438603,0.2290461411926272,0.01647570381036743,4726.583333333333
2024,60,12,0.4395436052383513,0.4545119564276414,0.4448122914334085,0.747015473638852,0.8287304212305456,0.029259247358599222,0.7396324416310617,0.4195329105583984,5068.25
2024,120,12,0.4172398183892434,0.4274857216809644,0.41971437470206646,0.6909283348272518,0.7782947751055703,0.01688139607487937,0.7464054109353006,0.3454571778479378,5060.5
2024,252,12,0.35774673353769587,0.36171137568397355,0.35919881288556393,0.5953429968603549,0.686112744328571,0.013542837035806476,0.6425684174903302,0.1949132112334866,4974.333333333333
2025,60,12,0.27659763302027957,0.2781459332098132,0.29114905929868845,0.5740466461370907,0.6854016181657672,0.0871386737516595,0.44278284631621756,0.15091974690475754,5091.833333333333
2025,120,12,0.307397005789639,0.30739810244484783,0.3121620787969284,0.5538515502195317,0.6509947697885344,0.0396474732141423,0.5080093079227727,0.1575382074499895,5102.75
2025,252,12,0.3580965317042715,0.3594630563701962,0.35861564250737454,0.5675770626549228,0.6498327484372743,0.005863004855228743,0.662418598634568,0.15857906041916783,5062.833333333333
2026,60,9,0.23886386354608502,0.2402154897243244,0.2603106487467192,0.5498248401432658,0.677707725606663,0.11195863370603368,0.37650132354984744,0.09507102773494268,5152.777777777777
2026,120,9,0.22468772985893715,0.22174619955107389,0.2330362423998327,0.4746506876120367,0.5933858518115552,0.06312989139598447,0.2987759621231632,0.04065578918938103,5152.333333333333
2026,252,9,0.21363652733519944,0.20925844976778285,0.21734409094385532,0.41750399759128903,0.5202286468893689,0.03413872325778658,0.22560616123339855,0.015374440718498377,5115.111111111111
