analysis_date,window,window_start,stock_min_valid_ratio,pair_min_common_ratio,required_stock_valid_days,required_pair_common_days,current_pit_universe_count,eligible_stock_count,eligible_stock_ratio,possible_pair_count,sampled_pair_count,valid_pair_count,valid_pair_ratio,mean_corr,median_corr,std_corr,mean_abs_corr,q01_corr,q05_corr,q10_corr,q25_corr,q50_corr,q75_corr,q90_corr,q95_corr,q99_corr,median_abs_corr,q90_abs_corr,q95_abs_corr,q99_abs_corr,share_corr_negative,share_corr_gt_0_1,share_corr_gt_0_2,share_corr_gt_0_3,share_corr_gt_0_5,share_abs_corr_gt_0_3,share_abs_corr_gt_0_5,mean_common_obs,median_common_obs,mean_common_ratio,min_common_obs
2016-12-30,60,2016-10-10,0.9,0.9,54,54,3037,2499,0.8228514981890023,3121251,20000,19931,0.99655,0.2969536759174261,0.29793703883542016,0.1754431842445776,0.3038895551133307,-0.11435513734702094,0.003946529439107617,0.07058678672785888,0.1765440895112761,0.29793703883542016,0.4191608383265829,0.5231727460609144,0.5795881786603673,0.6890359035760625,0.29810127651354934,0.5231727460609144,0.5795881786603673,0.6890359035760625,0.04751392303446892,0.8678440620139481,0.7078420550900607,0.4955596808991019,0.1273894937534494,0.49581054638502836,0.1273894937534494,59.45241081731975,60.0,0.990873513621996,54
2017-01-26,60,2016-11-03,0.9,0.9,54,54,3090,2537,0.8210355987055016,3216916,20000,19933,0.99665,0.33807118390867263,0.34402746941362666,0.18500268660725222,0.34430170763272105,-0.11792901673095829,0.023348632271516255,0.09521164786221174,0.21433752330842734,0.34402746941362666,0.46859230095229404,0.5741174295400403,0.6336526707093932,0.7296863922506397,0.34402746941362666,0.5741174295400403,0.6336526707093932,0.7296863922506397,0.03852907239251493,0.8967541263231826,0.7732905232528972,0.5921838157828726,0.19806351276777204,0.5925851602869613,0.19806351276777204,59.46887071690162,60.0,0.9911478452816936,54
2017-02-28,60,2016-11-29,0.9,0.9,54,54,3122,2579,0.8260730301089045,3324331,20000,19947,0.99735,0.3555633039714929,0.36226560899912424,0.19419020350721644,0.3620463491861339,-0.11762824256430016,0.023329301978362683,0.10062329236878452,0.22219537578031215,0.36226560899912424,0.49625178589801494,0.6044693379272823,0.6625340289348838,0.7517524923964584,0.36231381784691935,0.6044693379272823,0.6625340289348838,0.7517524923964584,0.038953226049029926,0.9005865543690781,0.7852308617837269,0.6194415200280744,0.24394645811400212,0.6200932471048278,0.24394645811400212,59.530906903293726,60.0,0.9921817817215621,54
2017-03-31,60,2016-12-30,0.9,0.9,54,54,3170,2663,0.8400630914826498,3544453,20000,19956,0.9978,0.27556029862940096,0.2785083208671278,0.1841407781813692,0.2870518261932625,-0.15937882723668492,-0.03183131653786754,0.03600258525159401,0.14837097324485898,0.2785083208671278,0.40489570909687367,0.513266252232875,0.5758851288069919,0.6731389253964392,0.2789293164461379,0.513266252232875,0.5758851288069919,0.6731389253964392,0.07040489075967128,0.8269693325315695,0.6626578472639808,0.45249549007817197,0.11435157346161555,0.45309681298857485,0.11435157346161555,59.509270394868715,60.0,0.9918211732478118,54
2017-04-28,60,2017-01-26,0.9,0.9,54,54,3208,2696,0.8403990024937655,3632860,20000,19940,0.997,0.23798898680234845,0.2395930347652917,0.1651876318746608,0.24911669793345517,-0.14384653340698766,-0.03449343989463246,0.024257695200513938,0.1249245902086273,0.2395930347652917,0.3537033998127006,0.4505778450779253,0.5067481323729487,0.611792492589159,0.24063108723077575,0.4505778450779253,0.5067481323729487,0.611792492589159,0.0769307923771314,0.7942828485456369,0.5876629889669007,0.3579237713139418,0.0541123370110331,0.3582246740220662,0.0541123370110331,59.489669007021064,60.0,0.9914944834503511,54
2017-05-31,60,2017-03-02,0.9,0.9,54,54,3246,2699,0.8314849044978435,3640951,20000,19930,0.9965,0.26764680906277627,0.2698280901370382,0.17254331774038395,0.27751672746890943,-0.14315198190204648,-0.01832283788629596,0.04411893209890981,0.15234749154879937,0.2698280901370382,0.38647983383248713,0.48816547372626606,0.5492664713022788,0.6516584827543004,0.27029042625386857,0.48816547372626606,0.5492664713022788,0.6516584827543004,0.06216758655293527,0.8318615153035624,0.656196688409433,0.43191169091821374,0.088509784244857,0.4327646763672855,0.088509784244857,59.4607626693427,60.0,0.9910127111557115,54
2017-06-30,60,2017-04-05,0.9,0.9,54,54,3282,2750,0.837903717245582,3779875,20000,19920,0.996,0.31357890951600115,0.322970737411841,0.18908071893638592,0.32310235376915886,-0.14813458979649843,-0.010874638452217367,0.06279225619748828,0.18805273491148214,0.322970737411841,0.4465065406438395,0.5520320957382394,0.609979728780832,0.7096224086401778,0.32327131144472615,0.5520320957382394,0.609979728780832,0.7096224086401778,0.054969879518072286,0.8644076305220884,0.7313253012048193,0.5458333333333333,0.16681726907630523,0.5466867469879518,0.16681726907630523,59.418222891566266,60.0,0.9903037148594377,54
2017-07-31,60,2017-05-05,0.9,0.9,54,54,3311,2783,0.840531561461794,3871153,20000,19944,0.9972,0.3623849246834245,0.37506750109565656,0.2011495054595344,0.37294053498733204,-0.17316229111311374,0.009392152706536793,0.09957052827493297,0.2369500428570772,0.37506750109565656,0.5045591466912459,0.6106971148265523,0.6672803177715311,0.7616477493963985,0.3758165341700899,0.6106971148265523,0.6672803177715311,0.7616477493963985,0.045878459687123944,0.8996690734055355,0.8006417970316887,0.645808263136783,0.2586241476133173,0.6486662655435219,0.25877456879261934,59.50090252707581,60.0,0.9916817087845968,54
2017-08-31,60,2017-06-09,0.9,0.9,54,54,3347,2834,0.846728413504631,4014361,20000,19971,0.99855,0.3086335603018217,0.31267230946825897,0.19224856151990746,0.3189220048719454,-0.1601288130037554,-0.0102268515935294,0.06144477334445482,0.18048106021967975,0.31267230946825897,0.44134814164773184,0.5537687153469742,0.6198950035595212,0.7283627040407405,0.313553320824619,0.5537687153469742,0.6198950035595212,0.7283627040407405,0.05578088227930499,0.8592959791697962,0.7147363677332131,0.5257623554153522,0.1627860397576486,0.5275649692053478,0.1628861849682039,59.58955485453908,60.0,0.9931592475756514,54
2017-09-29,60,2017-07-10,0.9,0.9,54,54,3384,2897,0.8560874704491725,4194856,20000,19958,0.9979,0.2754519099275123,0.28010173591748816,0.18672778135703072,0.2892441043389909,-0.1905450110388613,-0.03931610312180525,0.033681431484024985,0.1526367487893943,0.28010173591748816,0.40700221438539075,0.5107436221068267,0.5718965262563986,0.6786026198809428,0.2812462697633905,0.5108262539787275,0.5718965262563986,0.6786026198809428,0.0735544643751879,0.8261348832548352,0.6634432307846477,0.4579617196111835,0.11213548451748673,0.45991582322878044,0.11223569495941477,59.549353642649564,60.0,0.9924892273774927,54
