window_id,window_start,network_date,window_size,step,stock_1,name_1,industry_1,stock_2,name_2,industry_2,same_industry,partial_correlation,abs_partial_correlation,selected_threshold_020,abs_partial_rank,density_match_rank,selected_density_matched,glasso_edge_count_target
1,2023-01-04,2024-01-16,252,20,600887,伊利股份,食品饮料,601318,中国平安,非银金融,False,0.0716020882010273,0.0716020882010273,False,57,57,False,52
1,2023-01-04,2024-01-16,252,20,000568,泸州老窖,食品饮料,603501,韦尔股份,电子,False,-0.0697883607970124,0.0697883607970124,False,58,58,False,52
1,2023-01-04,2024-01-16,252,20,002415,海康威视,电子,600036,招商银行,银行,False,0.0687611156691028,0.0687611156691028,False,59,59,False,52
1,2023-01-04,2024-01-16,252,20,000858,五粮液,食品饮料,600036,招商银行,银行,False,0.067131861754852,0.067131861754852,False,60,60,False,52
1,2023-01-04,2024-01-16,252,20,600030,中信证券,非银金融,601398,工商银行,银行,False,0.0662844520817599,0.0662844520817599,False,61,61,False,52
1,2023-01-04,2024-01-16,252,20,002475,立讯精密,电子,600519,贵州茅台,食品饮料,False,0.0629888629180465,0.0629888629180465,False,62,62,False,52
1,2023-01-04,2024-01-16,252,20,002475,立讯精密,电子,601288,农业银行,银行,False,-0.0629084916396936,0.0629084916396936,False,63,63,False,52
1,2023-01-04,2024-01-16,252,20,601398,工商银行,银行,603501,韦尔股份,电子,False,-0.0619261900163556,0.0619261900163556,False,64,64,False,52
1,2023-01-04,2024-01-16,252,20,000568,泸州老窖,食品饮料,601288,农业银行,银行,False,0.0569937035388897,0.0569937035388897,False,65,65,False,52
1,2023-01-04,2024-01-16,252,20,000725,京东方A,电子,601398,工商银行,银行,False,-0.0551953214461815,0.0551953214461815,False,66,66,False,52
1,2023-01-04,2024-01-16,252,20,000001,平安银行,银行,000568,泸州老窖,食品饮料,False,-0.0550511894355429,0.0550511894355429,False,67,67,False,52
1,2023-01-04,2024-01-16,252,20,600030,中信证券,非银金融,600887,伊利股份,食品饮料,False,0.0538600964249096,0.0538600964249096,False,68,68,False,52
1,2023-01-04,2024-01-16,252,20,000725,京东方A,电子,600887,伊利股份,食品饮料,False,-0.0500685925742391,0.0500685925742391,False,69,69,False,52
1,2023-01-04,2024-01-16,252,20,000001,平安银行,银行,002415,海康威视,电子,False,-0.0493865806255765,0.0493865806255765,False,70,70,False,52
1,2023-01-04,2024-01-16,252,20,000858,五粮液,食品饮料,601288,农业银行,银行,False,-0.0485847453692687,0.0485847453692687,False,71,71,False,52
