design,window_size,step,replacement_ratio,overlap_ratio,window_id,window_start,network_date,edge_count,density,same_edges,cross_edges,same_industry_ratio,mean_abs_partial
same_step,126,20,0.15873015873015872,0.8412698412698413,15,2025-09-19,2026-04-02,39,0.37142857142857144,16,23,0.41025641025641024,0.13007276714023405
same_step,126,20,0.15873015873015872,0.8412698412698413,16,2025-10-27,2026-05-06,40,0.38095238095238093,18,22,0.45,0.12325200126475791
same_step,126,20,0.15873015873015872,0.8412698412698413,17,2025-11-24,2026-06-03,39,0.37142857142857144,17,22,0.4358974358974359,0.12312777771713956
same_step,126,20,0.15873015873015872,0.8412698412698413,18,2025-12-22,2026-07-02,41,0.3904761904761905,18,23,0.43902439024390244,0.12392455809529582
same_step,126,20,0.15873015873015872,0.8412698412698413,19,2026-01-21,2026-07-30,46,0.4380952380952381,19,27,0.41304347826086957,0.11828714186730042
same_step,252,20,0.07936507936507936,0.9206349206349207,1,2024-01-17,2025-02-07,59,0.5619047619047619,19,40,0.3220338983050847,0.10770560109957596
same_step,252,20,0.07936507936507936,0.9206349206349207,2,2024-02-22,2025-03-07,55,0.5238095238095238,19,36,0.34545454545454546,0.11502588752054779
same_step,252,20,0.07936507936507936,0.9206349206349207,3,2024-03-21,2025-04-07,55,0.5238095238095238,19,36,0.34545454545454546,0.11586459666479408
same_step,252,20,0.07936507936507936,0.9206349206349207,4,2024-04-22,2025-05-08,55,0.5238095238095238,19,36,0.34545454545454546,0.11550307570516072
same_step,252,20,0.07936507936507936,0.9206349206349207,5,2024-05-23,2025-06-06,54,0.5142857142857142,19,35,0.35185185185185186,0.11845872384508555
same_step,252,20,0.07936507936507936,0.9206349206349207,6,2024-06-21,2025-07-04,53,0.5047619047619047,19,34,0.3584905660377358,0.12071779002504857
same_step,252,20,0.07936507936507936,0.9206349206349207,7,2024-07-19,2025-08-01,55,0.5238095238095238,19,36,0.34545454545454546,0.11644867086478378
same_step,252,20,0.07936507936507936,0.9206349206349207,8,2024-08-16,2025-08-29,54,0.5142857142857142,19,35,0.35185185185185186,0.1178053132468721
same_step,252,20,0.07936507936507936,0.9206349206349207,9,2024-09-13,2025-09-26,53,0.5047619047619047,19,34,0.3584905660377358,0.11930047076736681
same_step,252,20,0.07936507936507936,0.9206349206349207,10,2024-10-22,2025-11-03,44,0.41904761904761906,19,25,0.4318181818181818,0.13036903935687852
same_step,252,20,0.07936507936507936,0.9206349206349207,11,2024-11-19,2025-12-01,45,0.42857142857142855,18,27,0.4,0.12652500038229203
same_step,252,20,0.07936507936507936,0.9206349206349207,12,2024-12-17,2025-12-29,42,0.4,19,23,0.4523809523809524,0.13021043078647546
