design,window_size,step,overlap_ratio,previous_date,network_date,common_edges,lost_edges,gained_edges,gross_edge_changes,net_edge_change,jaccard,turnover,same_edge_changes,cross_edge_changes,cross_change_share
same_step,252,20,0.9206349206349207,2026-03-05,2026-04-02,41,3,2,5,-1,0.8913043478260869,0.10869565217391308,0,5,1.0
same_step,252,20,0.9206349206349207,2026-04-02,2026-05-06,38,5,2,7,-3,0.8444444444444444,0.15555555555555556,0,7,1.0
same_step,252,20,0.9206349206349207,2026-05-06,2026-06-03,38,2,3,5,1,0.8837209302325582,0.11627906976744184,1,4,0.8
same_step,252,20,0.9206349206349207,2026-06-03,2026-07-02,39,2,0,2,-2,0.9512195121951219,0.04878048780487809,0,2,1.0
same_step,252,20,0.9206349206349207,2026-07-02,2026-07-30,38,1,3,4,2,0.9047619047619048,0.09523809523809523,1,3,0.75
same_step,504,20,0.9603174603174603,2025-02-07,2025-03-07,55,2,3,5,1,0.9166666666666666,0.08333333333333337,1,4,0.8
same_step,504,20,0.9603174603174603,2025-03-07,2025-04-07,56,2,1,3,-1,0.9491525423728814,0.05084745762711862,0,3,1.0
same_step,504,20,0.9603174603174603,2025-04-07,2025-05-08,56,1,1,2,0,0.9655172413793104,0.03448275862068961,0,2,1.0
same_step,504,20,0.9603174603174603,2025-05-08,2025-06-06,55,2,3,5,1,0.9166666666666666,0.08333333333333337,0,5,1.0
same_step,504,20,0.9603174603174603,2025-06-06,2025-07-04,54,4,0,4,-4,0.9310344827586207,0.06896551724137934,0,4,1.0
same_step,504,20,0.9603174603174603,2025-07-04,2025-08-01,54,0,2,2,2,0.9642857142857143,0.0357142857142857,0,2,1.0
same_step,504,20,0.9603174603174603,2025-08-01,2025-08-29,55,1,0,1,-1,0.9821428571428571,0.017857142857142905,0,1,1.0
same_step,504,20,0.9603174603174603,2025-08-29,2025-09-26,52,3,0,3,-3,0.9454545454545454,0.054545454545454564,0,3,1.0
same_step,504,20,0.9603174603174603,2025-09-26,2025-11-03,50,2,2,4,0,0.9259259259259259,0.07407407407407407,0,4,1.0
same_step,504,20,0.9603174603174603,2025-11-03,2025-12-01,50,2,2,4,0,0.9259259259259259,0.07407407407407407,0,4,1.0
same_step,504,20,0.9603174603174603,2025-12-01,2025-12-29,52,0,1,1,1,0.9811320754716981,0.018867924528301883,0,1,1.0
same_step,504,20,0.9603174603174603,2025-12-29,2026-01-28,52,1,1,2,0,0.9629629629629629,0.03703703703703709,0,2,1.0
same_step,504,20,0.9603174603174603,2026-01-28,2026-03-05,52,1,2,3,1,0.9454545454545454,0.054545454545454564,0,3,1.0
same_step,504,20,0.9603174603174603,2026-03-05,2026-04-02,53,1,1,2,0,0.9636363636363636,0.036363636363636376,0,2,1.0
same_step,504,20,0.9603174603174603,2026-04-02,2026-05-06,53,1,1,2,0,0.9636363636363636,0.036363636363636376,0,2,1.0
same_step,504,20,0.9603174603174603,2026-05-06,2026-06-03,53,1,2,3,1,0.9464285714285714,0.0535714285714286,0,3,1.0
same_step,504,20,0.9603174603174603,2026-06-03,2026-07-02,50,5,0,5,-5,0.9090909090909091,0.09090909090909094,0,5,1.0
same_step,504,20,0.9603174603174603,2026-07-02,2026-07-30,48,2,2,4,0,0.9230769230769231,0.07692307692307687,0,4,1.0
