stock_1,stock_2,name_1,name_2,industry_1,industry_2,same_industry,p_GLasso_W126,p_GLasso_W252,p_GLasso_W504,p_Partial_W252,mean_persistence_all_settings,min_persistence_all_settings,max_persistence_all_settings,persistence_range_all_settings,p_GLasso_W126_persistent08,p_GLasso_W252_persistent08,p_GLasso_W504_persistent08,p_Partial_W252_persistent08,n_settings_persistent08,glasso_multiscale_persistent,cross_method_W252_persistent,full_structural_consensus_core,always_in_all_settings,structural_robustness_class
000858,002475,五粮液,立讯精密,食品饮料,电子,False,0.1081081081081081,0.1578947368421052,0.4,0.3548387096774194,0.25521038865690815,0.1081081081081081,0.4,0.2918918918918919,False,False,False,False,0,False,False,False,False,Nonpersistent edge
000858,600036,五粮液,招商银行,食品饮料,银行,False,0.054054054054054,0.0,0.2,0.6129032258064516,0.2167393199651264,0.0,0.6129032258064516,0.6129032258064516,False,False,False,False,0,False,False,False,False,Nonpersistent edge
002460,601288,赣锋锂业,农业银行,新能源,银行,False,0.1621621621621621,0.2631578947368421,0.0,0.4193548387096774,0.2111687239021704,0.0,0.4193548387096774,0.4193548387096774,False,False,False,False,0,False,False,False,False,Nonpersistent edge
600036,600887,招商银行,伊利股份,银行,食品饮料,False,0.1891891891891892,0.0,0.2,0.3870967741935484,0.1940714908456844,0.0,0.3870967741935484,0.3870967741935484,False,False,False,False,0,False,False,False,False,Nonpersistent edge
000725,601398,京东方A,工商银行,电子,银行,False,0.054054054054054,0.0526315789473684,0.0,0.6129032258064516,0.1798972147019685,0.0,0.6129032258064516,0.6129032258064516,False,False,False,False,0,False,False,False,False,Nonpersistent edge
000725,601288,京东方A,农业银行,电子,银行,False,0.0,0.0,0.0,0.7096774193548387,0.1774193548387097,0.0,0.7096774193548387,0.7096774193548387,False,False,False,False,0,False,False,False,False,Nonpersistent edge
002460,601318,赣锋锂业,中国平安,新能源,非银金融,False,0.1081081081081081,0.0,0.3,0.2903225806451613,0.17460767218831735,0.0,0.3,0.3,False,False,False,False,0,False,False,False,False,Nonpersistent edge
000568,000725,泸州老窖,京东方A,食品饮料,电子,False,0.1891891891891892,0.2105263157894736,0.2,0.0967741935483871,0.1741224246317625,0.0967741935483871,0.2105263157894736,0.1137521222410865,False,False,False,False,0,False,False,False,False,Nonpersistent edge
000001,002460,平安银行,赣锋锂业,银行,新能源,False,0.0,0.0,0.0,0.5806451612903226,0.14516129032258066,0.0,0.5806451612903226,0.5806451612903226,False,False,False,False,0,False,False,False,False,Nonpersistent edge
000568,002475,泸州老窖,立讯精密,食品饮料,电子,False,0.0,0.0,0.0,0.5806451612903226,0.14516129032258066,0.0,0.5806451612903226,0.5806451612903226,False,False,False,False,0,False,False,False,False,Nonpersistent edge
600519,603501,贵州茅台,韦尔股份,食品饮料,电子,False,0.0,0.0,0.0,0.5806451612903226,0.14516129032258066,0.0,0.5806451612903226,0.5806451612903226,False,False,False,False,0,False,False,False,False,Nonpersistent edge
600519,601398,贵州茅台,工商银行,食品饮料,银行,False,0.027027027027027,0.0,0.0,0.5483870967741935,0.14385353095030512,0.0,0.5483870967741935,0.5483870967741935,False,False,False,False,0,False,False,False,False,Nonpersistent edge
002475,600036,立讯精密,招商银行,电子,银行,False,0.0,0.0,0.0,0.5483870967741935,0.13709677419354838,0.0,0.5483870967741935,0.5483870967741935,False,False,False,False,0,False,False,False,False,Nonpersistent edge
600030,600036,中信证券,招商银行,非银金融,银行,False,0.081081081081081,0.0,0.0,0.4516129032258064,0.13317349607672185,0.0,0.4516129032258064,0.4516129032258064,False,False,False,False,0,False,False,False,False,Nonpersistent edge
600887,601288,伊利股份,农业银行,食品饮料,银行,False,0.0,0.0,0.0,0.5161290322580645,0.12903225806451613,0.0,0.5161290322580645,0.5161290322580645,False,False,False,False,0,False,False,False,False,Nonpersistent edge
000568,601398,泸州老窖,工商银行,食品饮料,银行,False,0.0,0.0,0.0,0.5161290322580645,0.12903225806451613,0.0,0.5161290322580645,0.5161290322580645,False,False,False,False,0,False,False,False,False,Nonpersistent edge
601318,603501,中国平安,韦尔股份,非银金融,电子,False,0.0,0.0,0.0,0.4838709677419355,0.12096774193548387,0.0,0.4838709677419355,0.4838709677419355,False,False,False,False,0,False,False,False,False,Nonpersistent edge
000725,600519,京东方A,贵州茅台,电子,食品饮料,False,0.1351351351351351,0.0526315789473684,0.0,0.2580645161290322,0.11145780755288393,0.0,0.2580645161290322,0.2580645161290322,False,False,False,False,0,False,False,False,False,Nonpersistent edge
601288,601318,农业银行,中国平安,银行,非银金融,False,0.1891891891891892,0.0526315789473684,0.0,0.1935483870967742,0.10884228880833294,0.0,0.1935483870967742,0.1935483870967742,False,False,False,False,0,False,False,False,False,Nonpersistent edge
002460,600519,赣锋锂业,贵州茅台,新能源,食品饮料,False,0.2972972972972973,0.1052631578947368,0.0,0.032258064516129,0.10870462992704077,0.0,0.2972972972972973,0.2972972972972973,False,False,False,False,0,False,False,False,False,Nonpersistent edge
600887,601398,伊利股份,工商银行,食品饮料,银行,False,0.1081081081081081,0.0,0.0,0.3225806451612903,0.1076721883173496,0.0,0.3225806451612903,0.3225806451612903,False,False,False,False,0,False,False,False,False,Nonpersistent edge
002475,600887,立讯精密,伊利股份,电子,食品饮料,False,0.0,0.0,0.1,0.3225806451612903,0.10564516129032259,0.0,0.3225806451612903,0.3225806451612903,False,False,False,False,0,False,False,False,False,Nonpersistent edge
002475,600519,立讯精密,贵州茅台,电子,食品饮料,False,0.0,0.0526315789473684,0.0,0.3548387096774194,0.10186757215619695,0.0,0.3548387096774194,0.3548387096774194,False,False,False,False,0,False,False,False,False,Nonpersistent edge
