window_id,window_start,network_date,window_size,step,stock_1,name_1,industry_1,stock_2,name_2,industry_2,same_industry,partial_correlation,abs_partial_correlation,selected_threshold_020,abs_partial_rank
6,2023-06-06,2024-06-20,252,20,000858,五粮液,食品饮料,000568,泸州老窖,食品饮料,True,0.6494558984515117,0.6494558984515117,True,2
6,2023-06-06,2024-06-20,252,20,002460,赣锋锂业,新能源,000725,京东方A,电子,False,0.22887826144016077,0.22887826144016077,True,10
6,2023-06-06,2024-06-20,252,20,000725,京东方A,电子,603501,韦尔股份,电子,True,0.2015375839985482,0.2015375839985482,True,12
6,2023-06-06,2024-06-20,252,20,603501,韦尔股份,电子,002475,立讯精密,电子,True,0.26549287065426364,0.26549287065426364,True,7
6,2023-06-06,2024-06-20,252,20,601318,中国平安,非银金融,600030,中信证券,非银金融,True,0.2765425899941711,0.2765425899941711,True,6
7,2023-07-06,2024-07-18,252,20,000001,平安银行,银行,600036,招商银行,银行,True,0.4200993460155202,0.4200993460155202,True,3
7,2023-07-06,2024-07-18,252,20,000001,平安银行,银行,601398,工商银行,银行,True,0.2149600796096374,0.2149600796096374,True,11
7,2023-07-06,2024-07-18,252,20,600036,招商银行,银行,601318,中国平安,非银金融,False,0.3619986264386995,0.3619986264386995,True,4
7,2023-07-06,2024-07-18,252,20,601398,工商银行,银行,601288,农业银行,银行,True,0.8309442644870133,0.8309442644870133,True,1
7,2023-07-06,2024-07-18,252,20,601398,工商银行,银行,000568,泸州老窖,食品饮料,False,-0.2230679608365011,0.2230679608365011,True,10
7,2023-07-06,2024-07-18,252,20,600519,贵州茅台,食品饮料,000858,五粮液,食品饮料,True,0.2804942470621492,0.2804942470621492,True,7
7,2023-07-06,2024-07-18,252,20,600519,贵州茅台,食品饮料,000568,泸州老窖,食品饮料,True,0.29218407985945916,0.29218407985945916,True,5
7,2023-07-06,2024-07-18,252,20,000858,五粮液,食品饮料,000568,泸州老窖,食品饮料,True,0.6303525006576745,0.6303525006576745,True,2
7,2023-07-06,2024-07-18,252,20,002460,赣锋锂业,新能源,000725,京东方A,电子,False,0.20850158819609074,0.20850158819609074,True,12
7,2023-07-06,2024-07-18,252,20,002415,海康威视,电子,601318,中国平安,非银金融,False,0.26245336330313823,0.26245336330313823,True,8
7,2023-07-06,2024-07-18,252,20,603501,韦尔股份,电子,002475,立讯精密,电子,True,0.2862150840923373,0.2862150840923373,True,6
7,2023-07-06,2024-07-18,252,20,601318,中国平安,非银金融,600030,中信证券,非银金融,True,0.25039057932091363,0.25039057932091363,True,9
8,2023-08-03,2024-08-15,252,20,000001,平安银行,银行,600036,招商银行,银行,True,0.43050039996215295,0.43050039996215295,True,3
8,2023-08-03,2024-08-15,252,20,000001,平安银行,银行,601318,中国平安,非银金融,False,0.21934494409937927,0.21934494409937927,True,10
8,2023-08-03,2024-08-15,252,20,600036,招商银行,银行,601318,中国平安,非银金融,False,0.34972350950944453,0.34972350950944453,True,4
