design,window_size,step,overlap_ratio,stock_1,name_1,industry_1,stock_2,name_2,industry_2,same_industry,n_windows,windows_selected,persistence,persistent_08,always_selected,mean_abs_partial_when_selected
fixed_overlap,126,10,0.9206349206349207,600519,贵州茅台,食品饮料,002460,赣锋锂业,新能源,False,37,11,0.2972972972972973,False,False,0.03512019652118735
fixed_overlap,126,10,0.9206349206349207,600519,贵州茅台,食品饮料,002475,立讯精密,电子,False,37,0,0.0,False,False,
fixed_overlap,126,10,0.9206349206349207,600519,贵州茅台,食品饮料,600030,中信证券,非银金融,False,37,26,0.7027027027027027,False,False,0.03765209121688501
fixed_overlap,126,10,0.9206349206349207,600519,贵州茅台,食品饮料,600887,伊利股份,食品饮料,True,37,37,1.0,True,True,0.14503548311829015
fixed_overlap,126,10,0.9206349206349207,600519,贵州茅台,食品饮料,601318,中国平安,非银金融,False,37,37,1.0,True,True,0.11706841504009233
fixed_overlap,126,10,0.9206349206349207,600519,贵州茅台,食品饮料,603501,韦尔股份,电子,False,37,0,0.0,False,False,
fixed_overlap,126,10,0.9206349206349207,600887,伊利股份,食品饮料,000725,京东方A,电子,False,37,11,0.2972972972972973,False,False,0.03173297049918678
fixed_overlap,126,10,0.9206349206349207,600887,伊利股份,食品饮料,002415,海康威视,电子,False,37,10,0.2702702702702703,False,False,0.04168462172659802
fixed_overlap,126,10,0.9206349206349207,600887,伊利股份,食品饮料,002460,赣锋锂业,新能源,False,37,5,0.13513513513513514,False,False,0.05461285318072381
fixed_overlap,126,10,0.9206349206349207,600887,伊利股份,食品饮料,002475,立讯精密,电子,False,37,0,0.0,False,False,
fixed_overlap,126,10,0.9206349206349207,600887,伊利股份,食品饮料,600030,中信证券,非银金融,False,37,16,0.43243243243243246,False,False,0.04362686187036746
fixed_overlap,126,10,0.9206349206349207,600887,伊利股份,食品饮料,601318,中国平安,非银金融,False,37,32,0.8648648648648649,True,False,0.04406005878655763
fixed_overlap,126,10,0.9206349206349207,600887,伊利股份,食品饮料,603501,韦尔股份,电子,False,37,0,0.0,False,False,
fixed_overlap,126,10,0.9206349206349207,601288,农业银行,银行,000568,泸州老窖,食品饮料,False,37,0,0.0,False,False,
fixed_overlap,126,10,0.9206349206349207,601288,农业银行,银行,000725,京东方A,电子,False,37,0,0.0,False,False,
fixed_overlap,126,10,0.9206349206349207,601288,农业银行,银行,000858,五粮液,食品饮料,False,37,0,0.0,False,False,
fixed_overlap,126,10,0.9206349206349207,601288,农业银行,银行,002415,海康威视,电子,False,37,0,0.0,False,False,
fixed_overlap,126,10,0.9206349206349207,601288,农业银行,银行,002460,赣锋锂业,新能源,False,37,6,0.16216216216216217,False,False,0.0148590060611095
fixed_overlap,126,10,0.9206349206349207,601288,农业银行,银行,002475,立讯精密,电子,False,37,1,0.02702702702702703,False,False,0.01005814454456268
fixed_overlap,126,10,0.9206349206349207,601288,农业银行,银行,600030,中信证券,非银金融,False,37,0,0.0,False,False,
fixed_overlap,126,10,0.9206349206349207,601288,农业银行,银行,600519,贵州茅台,食品饮料,False,37,0,0.0,False,False,
fixed_overlap,126,10,0.9206349206349207,601288,农业银行,银行,600887,伊利股份,食品饮料,False,37,0,0.0,False,False,
fixed_overlap,126,10,0.9206349206349207,601288,农业银行,银行,601318,中国平安,非银金融,False,37,7,0.1891891891891892,False,False,0.00764302499581656
fixed_overlap,126,10,0.9206349206349207,601288,农业银行,银行,603501,韦尔股份,电子,False,37,23,0.6216216216216216,False,False,0.06446822711309903
fixed_overlap,126,10,0.9206349206349207,601318,中国平安,非银金融,600030,中信证券,非银金融,True,37,37,1.0,True,True,0.29857233988323373
fixed_overlap,126,10,0.9206349206349207,601398,工商银行,银行,000568,泸州老窖,食品饮料,False,37,0,0.0,False,False,
fixed_overlap,126,10,0.9206349206349207,601398,工商银行,银行,000725,京东方A,电子,False,37,2,0.05405405405405406,False,False,0.0509842714836374
fixed_overlap,126,10,0.9206349206349207,601398,工商银行,银行,000858,五粮液,食品饮料,False,37,0,0.0,False,False,
fixed_overlap,126,10,0.9206349206349207,601398,工商银行,银行,002415,海康威视,电子,False,37,0,0.0,False,False,
fixed_overlap,126,10,0.9206349206349207,601398,工商银行,银行,002460,赣锋锂业,新能源,False,37,13,0.35135135135135137,False,False,0.024585154881602494
fixed_overlap,126,10,0.9206349206349207,601398,工商银行,银行,002475,立讯精密,电子,False,37,1,0.02702702702702703,False,False,0.038452550017650265
fixed_overlap,126,10,0.9206349206349207,601398,工商银行,银行,600030,中信证券,非银金融,False,37,0,0.0,False,False,
fixed_overlap,126,10,0.9206349206349207,601398,工商银行,银行,600519,贵州茅台,食品饮料,False,37,1,0.02702702702702703,False,False,0.007108481077689325
fixed_overlap,126,10,0.9206349206349207,601398,工商银行,银行,600887,伊利股份,食品饮料,False,37,4,0.10810810810810811,False,False,0.010865729710023364
fixed_overlap,126,10,0.9206349206349207,601398,工商银行,银行,601288,农业银行,银行,True,37,37,1.0,True,True,0.5267625878226301
fixed_overlap,126,10,0.9206349206349207,601398,工商银行,银行,601318,中国平安,非银金融,False,37,1,0.02702702702702703,False,False,0.0006384844689781199
fixed_overlap,126,10,0.9206349206349207,601398,工商银行,银行,603501,韦尔股份,电子,False,37,22,0.5945945945945946,False,False,0.03229585452518283
fixed_overlap,126,10,0.9206349206349207,603501,韦尔股份,电子,002475,立讯精密,电子,True,37,37,1.0,True,True,0.22791222119819315
fixed_overlap,126,10,0.9206349206349207,603501,韦尔股份,电子,600030,中信证券,非银金融,False,37,36,0.972972972972973,True,False,0.12554243662237602
fixed_overlap,126,10,0.9206349206349207,603501,韦尔股份,电子,601318,中国平安,非银金融,False,37,0,0.0,False,False,
fixed_overlap,252,20,0.9206349206349207,000001,平安银行,银行,000568,泸州老窖,食品饮料,False,19,15,0.7894736842105263,False,False,0.03868382956402464
fixed_overlap,252,20,0.9206349206349207,000001,平安银行,银行,000725,京东方A,电子,False,19,11,0.5789473684210527,False,False,0.07740786738080858
fixed_overlap,252,20,0.9206349206349207,000001,平安银行,银行,000858,五粮液,食品饮料,False,19,17,0.8947368421052632,True,False,0.03028124429971962
fixed_overlap,252,20,0.9206349206349207,000001,平安银行,银行,002415,海康威视,电子,False,19,0,0.0,False,False,
fixed_overlap,252,20,0.9206349206349207,000001,平安银行,银行,002460,赣锋锂业,新能源,False,19,0,0.0,False,False,
fixed_overlap,252,20,0.9206349206349207,000001,平安银行,银行,002475,立讯精密,电子,False,19,1,0.05263157894736842,False,False,0.013524515982070343
fixed_overlap,252,20,0.9206349206349207,000001,平安银行,银行,600030,中信证券,非银金融,False,19,1,0.05263157894736842,False,False,0.0033698900640926626
fixed_overlap,252,20,0.9206349206349207,000001,平安银行,银行,600036,招商银行,银行,True,19,19,1.0,True,True,0.30596310919698966
fixed_overlap,252,20,0.9206349206349207,000001,平安银行,银行,600519,贵州茅台,食品饮料,False,19,0,0.0,False,False,
fixed_overlap,252,20,0.9206349206349207,000001,平安银行,银行,600887,伊利股份,食品饮料,False,19,19,1.0,True,True,0.05438030857669103
fixed_overlap,252,20,0.9206349206349207,000001,平安银行,银行,601288,农业银行,银行,True,19,19,1.0,True,True,0.050990081637452465
fixed_overlap,252,20,0.9206349206349207,000001,平安银行,银行,601318,中国平安,非银金融,False,19,19,1.0,True,True,0.2400469427780324
fixed_overlap,252,20,0.9206349206349207,000001,平安银行,银行,601398,工商银行,银行,True,19,19,1.0,True,True,0.07089765723584733
fixed_overlap,252,20,0.9206349206349207,000001,平安银行,银行,603501,韦尔股份,电子,False,19,0,0.0,False,False,
fixed_overlap,252,20,0.9206349206349207,000568,泸州老窖,食品饮料,000725,京东方A,电子,False,19,4,0.21052631578947367,False,False,0.009656194759019604
fixed_overlap,252,20,0.9206349206349207,000568,泸州老窖,食品饮料,002415,海康威视,电子,False,19,7,0.3684210526315789,False,False,0.009140473429889773
fixed_overlap,252,20,0.9206349206349207,000568,泸州老窖,食品饮料,002460,赣锋锂业,新能源,False,19,10,0.5263157894736842,False,False,0.0593352880341513
fixed_overlap,252,20,0.9206349206349207,000568,泸州老窖,食品饮料,002475,立讯精密,电子,False,19,0,0.0,False,False,
fixed_overlap,252,20,0.9206349206349207,000568,泸州老窖,食品饮料,600030,中信证券,非银金融,False,19,17,0.8947368421052632,True,False,0.05061151203569584
fixed_overlap,252,20,0.9206349206349207,000568,泸州老窖,食品饮料,600887,伊利股份,食品饮料,True,19,19,1.0,True,True,0.09782761867520541
fixed_overlap,252,20,0.9206349206349207,000568,泸州老窖,食品饮料,601318,中国平安,非银金融,False,19,13,0.6842105263157895,False,False,0.07324785062905022
fixed_overlap,252,20,0.9206349206349207,000568,泸州老窖,食品饮料,603501,韦尔股份,电子,False,19,1,0.05263157894736842,False,False,0.00039713635946791
fixed_overlap,252,20,0.9206349206349207,000725,京东方A,电子,002475,立讯精密,电子,True,19,17,0.8947368421052632,True,False,0.16148060513326076
fixed_overlap,252,20,0.9206349206349207,000725,京东方A,电子,600030,中信证券,非银金融,False,19,17,0.8947368421052632,True,False,0.137468803823604
fixed_overlap,252,20,0.9206349206349207,000725,京东方A,电子,601318,中国平安,非银金融,False,19,13,0.6842105263157895,False,False,0.035387261114478104
fixed_overlap,252,20,0.9206349206349207,000725,京东方A,电子,603501,韦尔股份,电子,True,19,19,1.0,True,True,0.1004940118819267
fixed_overlap,252,20,0.9206349206349207,000858,五粮液,食品饮料,000568,泸州老窖,食品饮料,True,19,19,1.0,True,True,0.4058173360188075
fixed_overlap,252,20,0.9206349206349207,000858,五粮液,食品饮料,000725,京东方A,电子,False,19,10,0.5263157894736842,False,False,0.022513883797407847
fixed_overlap,252,20,0.9206349206349207,000858,五粮液,食品饮料,002415,海康威视,电子,False,19,14,0.7368421052631579,False,False,0.0343493603527187
fixed_overlap,252,20,0.9206349206349207,000858,五粮液,食品饮料,002460,赣锋锂业,新能源,False,19,13,0.6842105263157895,False,False,0.0244083734651063
fixed_overlap,252,20,0.9206349206349207,000858,五粮液,食品饮料,002475,立讯精密,电子,False,19,3,0.15789473684210525,False,False,0.0342616543874912
fixed_overlap,252,20,0.9206349206349207,000858,五粮液,食品饮料,600030,中信证券,非银金融,False,19,19,1.0,True,True,0.03994753737688683
fixed_overlap,252,20,0.9206349206349207,000858,五粮液,食品饮料,600887,伊利股份,食品饮料,True,19,19,1.0,True,True,0.15267267524662664
fixed_overlap,252,20,0.9206349206349207,000858,五粮液,食品饮料,601318,中国平安,非银金融,False,19,19,1.0,True,True,0.07656167281666004
fixed_overlap,252,20,0.9206349206349207,000858,五粮液,食品饮料,603501,韦尔股份,电子,False,19,0,0.0,False,False,
fixed_overlap,252,20,0.9206349206349207,002415,海康威视,电子,000725,京东方A,电子,True,19,19,1.0,True,True,0.17381300140408654
fixed_overlap,252,20,0.9206349206349207,002415,海康威视,电子,002475,立讯精密,电子,True,19,17,0.8947368421052632,True,False,0.05928623476538247
fixed_overlap,252,20,0.9206349206349207,002415,海康威视,电子,600030,中信证券,非银金融,False,19,19,1.0,True,True,0.09327907621580206
fixed_overlap,252,20,0.9206349206349207,002415,海康威视,电子,601318,中国平安,非银金融,False,19,11,0.5789473684210527,False,False,0.11625411800018726
fixed_overlap,252,20,0.9206349206349207,002415,海康威视,电子,603501,韦尔股份,电子,True,19,19,1.0,True,True,0.16225760312060145
fixed_overlap,252,20,0.9206349206349207,002460,赣锋锂业,新能源,000725,京东方A,电子,False,19,16,0.8421052631578947,True,False,0.08966828000118056
fixed_overlap,252,20,0.9206349206349207,002460,赣锋锂业,新能源,002415,海康威视,电子,False,19,19,1.0,True,True,0.09917112634569442
fixed_overlap,252,20,0.9206349206349207,002460,赣锋锂业,新能源,002475,立讯精密,电子,False,19,19,1.0,True,True,0.0552859916745036
fixed_overlap,252,20,0.9206349206349207,002460,赣锋锂业,新能源,600030,中信证券,非银金融,False,19,19,1.0,True,True,0.07395004187507578
fixed_overlap,252,20,0.9206349206349207,002460,赣锋锂业,新能源,601318,中国平安,非银金融,False,19,0,0.0,False,False,
fixed_overlap,252,20,0.9206349206349207,002460,赣锋锂业,新能源,603501,韦尔股份,电子,False,19,11,0.5789473684210527,False,False,0.09363766952319823
fixed_overlap,252,20,0.9206349206349207,002475,立讯精密,电子,600030,中信证券,非银金融,False,19,9,0.47368421052631576,False,False,0.056048269691197944
fixed_overlap,252,20,0.9206349206349207,002475,立讯精密,电子,601318,中国平安,非银金融,False,19,9,0.47368421052631576,False,False,0.020242861437524254
fixed_overlap,252,20,0.9206349206349207,600036,招商银行,银行,000568,泸州老窖,食品饮料,False,19,2,0.10526315789473684,False,False,0.0022190805261527767
fixed_overlap,252,20,0.9206349206349207,600036,招商银行,银行,000725,京东方A,电子,False,19,0,0.0,False,False,
fixed_overlap,252,20,0.9206349206349207,600036,招商银行,银行,000858,五粮液,食品饮料,False,19,0,0.0,False,False,
fixed_overlap,252,20,0.9206349206349207,600036,招商银行,银行,002415,海康威视,电子,False,19,0,0.0,False,False,
fixed_overlap,252,20,0.9206349206349207,600036,招商银行,银行,002460,赣锋锂业,新能源,False,19,0,0.0,False,False,
fixed_overlap,252,20,0.9206349206349207,600036,招商银行,银行,002475,立讯精密,电子,False,19,0,0.0,False,False,
fixed_overlap,252,20,0.9206349206349207,600036,招商银行,银行,600030,中信证券,非银金融,False,19,0,0.0,False,False,
