factor_order,factor_name,neutralization,window,month_count,mean_q1_return,mean_q5_return,mean_q5_minus_q1,mean_q5_minus_q1_bps,positive_spread_share,negative_spread_share,mean_portfolio_spearman,hac_lag,hac_spread_se,hac_spread_t_stat
2,delta_degree_percentile,INDUSTRY_SIZE_NEUTRAL,60,136,0.0025670725449441637,-0.005313683072481462,-0.007880755617425626,-78.80755617425626,0.2867647058823529,0.7132352941176471,-0.3110294117647059,4,0.0011498837256409954,-6.853523918718433
2,delta_degree_percentile,INDUSTRY_SIZE_NEUTRAL,120,133,0.0032426433661641623,-0.003806744230416538,-0.007049387596580701,-70.493875965807,0.3157894736842105,0.6842105263157895,-0.22105263157894736,4,0.001218672847163934,-5.784479085577287
2,delta_degree_percentile,INDUSTRY_SIZE_NEUTRAL,252,127,0.00289211025970589,-0.003925980250304575,-0.006818090510010464,-68.18090510010464,0.3228346456692913,0.6771653543307087,-0.18425196850393696,4,0.0012998321479380727,-5.245362272987339
2,delta_degree_percentile,RAW,60,136,0.004760656945578119,-0.007701975547491837,-0.012462632493069958,-124.62632493069958,0.3014705882352941,0.6985294117647058,-0.30588235294117644,4,0.0024623232088860428,-5.061330879754029
2,delta_degree_percentile,RAW,120,133,0.005876405851519762,-0.005617164177581249,-0.011493570029101011,-114.93570029101011,0.3233082706766917,0.6766917293233082,-0.24887218045112783,4,0.0025477548253273136,-4.511254346314275
2,delta_degree_percentile,RAW,252,127,0.005105834134204597,-0.004499044907955134,-0.00960487904215973,-96.0487904215973,0.3464566929133858,0.6535433070866141,-0.19291338582677164,4,0.0028112103798106436,-3.416634738950662
3,cross_industry_degree_percentile,INDUSTRY_NEUTRAL,60,136,-0.001764566090044585,-0.0023625294556145785,-0.000597963365569993,-5.97963365569993,0.47794117647058826,0.5220588235294118,-0.026470588235294107,4,0.001746992340334576,-0.34228161839305704
3,cross_industry_degree_percentile,INDUSTRY_NEUTRAL,120,133,-0.0002428698676089569,-0.0015734329727417993,-0.0013305631051328418,-13.305631051328417,0.49624060150375937,0.5037593984962406,-0.03157894736842106,4,0.001572759621818995,-0.846005382306269
3,cross_industry_degree_percentile,INDUSTRY_NEUTRAL,252,127,-0.0005590588906545842,-0.0012314890935176484,-0.000672430202863064,-6.724302028630641,0.49606299212598426,0.5039370078740157,-0.018110236220472434,4,0.0016162002943116971,-0.41605623091996574
3,cross_industry_degree_percentile,INDUSTRY_SIZE_NEUTRAL,60,136,-0.0026917484959635136,-0.0009718691786754901,0.0017198793172880245,17.198793172880244,0.5,0.5,0.011029411764705876,4,0.0015753549168516054,1.0917408508333193
3,cross_industry_degree_percentile,INDUSTRY_SIZE_NEUTRAL,120,133,-0.001879213113719844,0.0002134725276209712,0.0020926856413408155,20.926856413408153,0.518796992481203,0.48120300751879697,0.014285714285714261,4,0.001492714020538583,1.401933399530714
3,cross_industry_degree_percentile,INDUSTRY_SIZE_NEUTRAL,252,127,-0.0021540100966428114,0.00022573948714665968,0.0023797495837894716,23.797495837894715,0.5590551181102362,0.4409448818897638,0.040944881889763765,4,0.0014715124520849024,1.6172133510781643
3,cross_industry_degree_percentile,RAW,60,133,-0.0017198886247928107,-0.003129905149165017,-0.0014100165243722063,-14.100165243722063,0.48120300751879697,0.518796992481203,-0.01729323308270676,4,0.0026324994659935,-0.5356189213280881
3,cross_industry_degree_percentile,RAW,120,121,-0.0007270620375647924,-0.0013752126213796645,-0.000648150583814872,-6.48150583814872,0.5041322314049587,0.49586776859504134,-0.039669421487603274,4,0.002331015344538977,-0.2780550481288495
3,cross_industry_degree_percentile,RAW,252,104,-0.000537299623480494,0.00019499561634716016,0.0007322952398276538,7.322952398276538,0.5384615384615384,0.46153846153846156,0.028846153846153813,4,0.002688521020194928,0.2723784691757997
