factor_order,factor_name,neutralization,target_name,window,month_count,mean_risk_ic,median_risk_ic,positive_ic_share,negative_ic_share,hac_lag,hac_risk_ic_se,hac_risk_ic_t_stat
1,residual_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_max_drawdown,252,127,-0.056942060446082965,-0.05487504238473782,0.25196850393700787,0.7480314960629921,4,0.011624981708092563,-4.898249466185703
1,residual_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_realized_vol_annualized,60,136,-0.07450813430410486,-0.08073355542146912,0.19117647058823528,0.8088235294117647,4,0.013582682192867268,-5.485524379215147
1,residual_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_realized_vol_annualized,120,133,-0.06860339432458992,-0.07820546252454248,0.21804511278195488,0.7819548872180451,4,0.01416700381648148,-4.842477295359992
1,residual_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_realized_vol_annualized,252,127,-0.061940114165578465,-0.06662776904510993,0.2125984251968504,0.7874015748031497,4,0.01407408891214793,-4.401003471856383
1,residual_degree_percentile,RAW,future_downside_vol_annualized,60,136,-0.10528824471258051,-0.11244901449017963,0.18382352941176472,0.8161764705882353,4,0.0178049901487657,-5.913412129569722
1,residual_degree_percentile,RAW,future_downside_vol_annualized,120,133,-0.10718472092522464,-0.1046294297790196,0.17293233082706766,0.8270676691729323,4,0.018963624047384116,-5.652122223969629
1,residual_degree_percentile,RAW,future_downside_vol_annualized,252,127,-0.10815748099556619,-0.10148330892764616,0.18110236220472442,0.8188976377952756,4,0.01947282007836662,-5.554279275436023
1,residual_degree_percentile,RAW,future_idio_vol_annualized,60,136,-0.10793537876102077,-0.11144073046969225,0.09558823529411764,0.9044117647058824,4,0.011735694933818173,-9.197186819332591
1,residual_degree_percentile,RAW,future_idio_vol_annualized,120,133,-0.08913504512951623,-0.08297060091384033,0.15037593984962405,0.849624060150376,4,0.012501091036038758,-7.130181267583233
1,residual_degree_percentile,RAW,future_idio_vol_annualized,252,127,-0.06732298389070492,-0.06109150717474288,0.1732283464566929,0.8267716535433071,4,0.01324500973306219,-5.082894255838355
1,residual_degree_percentile,RAW,future_max_drawdown,60,136,-0.09037251737740695,-0.10760212911955572,0.22794117647058823,0.7720588235294118,4,0.014666877510460382,-6.161673970001692
1,residual_degree_percentile,RAW,future_max_drawdown,120,133,-0.09003659079367198,-0.09208815431284673,0.18045112781954886,0.8195488721804511,4,0.014645674695593804,-6.147657425489572
1,residual_degree_percentile,RAW,future_max_drawdown,252,127,-0.09129331157121288,-0.09488574413357481,0.1889763779527559,0.8110236220472441,4,0.015054278276966856,-6.064276871438748
1,residual_degree_percentile,RAW,future_realized_vol_annualized,60,136,-0.11365251990354765,-0.11264509040193599,0.15441176470588236,0.8455882352941176,4,0.01690211049789316,-6.724161454139966
1,residual_degree_percentile,RAW,future_realized_vol_annualized,120,133,-0.11348052502748182,-0.1221384555465376,0.15789473684210525,0.8421052631578947,4,0.018615508450270105,-6.096020709326114
1,residual_degree_percentile,RAW,future_realized_vol_annualized,252,127,-0.11048417215519192,-0.09646805136213517,0.1889763779527559,0.8110236220472441,4,0.019199055091456477,-5.754667176529799
2,delta_degree_percentile,INDUSTRY_NEUTRAL,future_downside_vol_annualized,60,136,0.08023476822063996,0.08743702968001893,0.8602941176470589,0.13970588235294118,4,0.013912845413889775,5.766956063533793
2,delta_degree_percentile,INDUSTRY_NEUTRAL,future_downside_vol_annualized,120,133,0.08115901583326442,0.10241557480676845,0.7744360902255639,0.22556390977443608,4,0.017184431198281586,4.722822355701839
2,delta_degree_percentile,INDUSTRY_NEUTRAL,future_downside_vol_annualized,252,127,0.08048227869605051,0.08835831186315936,0.7480314960629921,0.25196850393700787,4,0.019922621571984007,4.03974338443631
2,delta_degree_percentile,INDUSTRY_NEUTRAL,future_idio_vol_annualized,60,136,0.13813890525096642,0.1400378093510751,0.9632352941176471,0.03676470588235294,4,0.00883247379341974,15.63988849351367
2,delta_degree_percentile,INDUSTRY_NEUTRAL,future_idio_vol_annualized,120,133,0.14803743080943654,0.156380179829847,0.9624060150375939,0.03759398496240601,4,0.010920267042746071,13.556209773072567
2,delta_degree_percentile,INDUSTRY_NEUTRAL,future_idio_vol_annualized,252,127,0.15916875518837276,0.16297807332564027,0.9763779527559056,0.023622047244094488,4,0.011406358785152941,13.954387915234998
2,delta_degree_percentile,INDUSTRY_NEUTRAL,future_max_drawdown,60,136,0.07641473106366077,0.07958630854295753,0.8308823529411765,0.16911764705882354,4,0.011083245569268348,6.894616796684875
2,delta_degree_percentile,INDUSTRY_NEUTRAL,future_max_drawdown,120,133,0.08021344260782895,0.08500048175067558,0.8120300751879699,0.18796992481203006,4,0.013588138893507016,5.903195664724792
2,delta_degree_percentile,INDUSTRY_NEUTRAL,future_max_drawdown,252,127,0.0823378327330758,0.08074391355077976,0.8110236220472441,0.1889763779527559,4,0.015687398227932407,5.248660838256026
2,delta_degree_percentile,INDUSTRY_NEUTRAL,future_realized_vol_annualized,60,136,0.06853150723661439,0.07453314694601598,0.8529411764705882,0.14705882352941177,4,0.01435212812041086,4.775006651393558
2,delta_degree_percentile,INDUSTRY_NEUTRAL,future_realized_vol_annualized,120,133,0.07349100064933321,0.08021052451733529,0.7593984962406015,0.24060150375939848,4,0.016863678360613227,4.357946058849097
2,delta_degree_percentile,INDUSTRY_NEUTRAL,future_realized_vol_annualized,252,127,0.07706025185412177,0.0902054953895468,0.7637795275590551,0.23622047244094488,4,0.018928371556953753,4.071150633442209
2,delta_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_downside_vol_annualized,60,136,0.11375917934320041,0.1162502722159879,0.9632352941176471,0.03676470588235294,4,0.00878783612905334,12.945072902202035
2,delta_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_downside_vol_annualized,120,133,0.12251463956571602,0.12137896246840106,0.9473684210526315,0.05263157894736842,4,0.010870954269734364,11.269906626946902
2,delta_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_downside_vol_annualized,252,127,0.1291232986116727,0.12790198255299337,0.952755905511811,0.047244094488188976,4,0.012388856293495287,10.422535829999765
2,delta_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_idio_vol_annualized,60,136,0.1359523348845652,0.1339833677598821,0.9926470588235294,0.007352941176470588,4,0.007657533722980138,17.7540628357371
2,delta_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_idio_vol_annualized,120,133,0.1467027487825824,0.14680893545942533,0.9924812030075187,0.007518796992481203,4,0.008937746614361633,16.41384065944014
