factor_order,factor_name,neutralization,window,month_count,mean_alpha_ic,median_alpha_ic,std_alpha_ic,positive_ic_share,negative_ic_share,hac_lag,hac_alpha_ic_se,hac_alpha_ic_t_stat
6,delta_cross_industry_degree_percentile_1m,INDUSTRY_NEUTRAL,252,126,0.0049557582270713905,0.007598474915238513,0.033082067682745214,0.6031746031746031,0.3968253968253968,4,0.0028561575026425515,1.7351137752334256
6,delta_cross_industry_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,60,135,0.008119385314345246,0.007461823221248214,0.03297750113973159,0.6074074074074074,0.3925925925925926,4,0.0034066163245879267,2.383416428713142
6,delta_cross_industry_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,120,132,0.006811870490322528,0.005969123578720136,0.03177274362519948,0.5833333333333334,0.4166666666666667,4,0.003127382933489547,2.178137642620507
6,delta_cross_industry_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,252,126,0.007331037480516453,0.007545598079344544,0.03119183811232819,0.6111111111111112,0.3888888888888889,4,0.002839695644433544,2.581627892019686
6,delta_cross_industry_degree_percentile_1m,RAW,60,135,0.010319540785240475,0.012320123094697584,0.04828026811958151,0.6,0.4,4,0.004602728996959738,2.242048313523757
6,delta_cross_industry_degree_percentile_1m,RAW,120,132,0.00880883224934801,0.012785039916142382,0.046331925697719045,0.5757575757575758,0.42424242424242425,4,0.00447430408691226,1.9687602984148158
6,delta_cross_industry_degree_percentile_1m,RAW,252,126,0.002500401661542386,0.003583074717480778,0.046301593610516424,0.5317460317460317,0.46825396825396826,4,0.003951719342174069,0.6327376630362548
7,neighbor_jaccard_1m,INDUSTRY_NEUTRAL,60,135,0.0053822989791729925,0.004844994303812294,0.055806556043538874,0.5407407407407407,0.45925925925925926,4,0.004619345217737574,1.1651649152580745
7,neighbor_jaccard_1m,INDUSTRY_NEUTRAL,120,132,0.006831254081052582,0.005250737666133818,0.06256072047699789,0.5303030303030303,0.4696969696969697,4,0.004451283832795973,1.5346705215069794
7,neighbor_jaccard_1m,INDUSTRY_NEUTRAL,252,126,0.012210873098035641,0.01453163255855532,0.05460556858014475,0.6349206349206349,0.36507936507936506,4,0.004665496400717392,2.617272000500961
7,neighbor_jaccard_1m,INDUSTRY_SIZE_NEUTRAL,60,135,0.01011719944717236,0.009785903160947696,0.049649088522188925,0.6074074074074074,0.3925925925925926,4,0.004475642833276118,2.260501971236764
7,neighbor_jaccard_1m,INDUSTRY_SIZE_NEUTRAL,120,132,0.01210119588646786,0.013478761548315722,0.055839464251447264,0.5984848484848485,0.4015151515151515,4,0.0041720270368334105,2.900555480496773
7,neighbor_jaccard_1m,INDUSTRY_SIZE_NEUTRAL,252,126,0.01589285664048503,0.011965506438945766,0.0496952278435994,0.6190476190476191,0.38095238095238093,4,0.004345207856653284,3.6575595839794515
7,neighbor_jaccard_1m,RAW,60,135,0.0009102697031392186,0.0030459423555580767,0.07880846052698723,0.5185185185185185,0.48148148148148145,4,0.0062861162685666555,0.14480637395954116
7,neighbor_jaccard_1m,RAW,120,132,0.005229172999009267,0.00031202477913236154,0.08911343525545377,0.5,0.5,4,0.005992944578040356,0.8725548736376206
7,neighbor_jaccard_1m,RAW,252,126,0.01490626047167526,0.019958051447473344,0.08004249756599209,0.5873015873015873,0.4126984126984127,4,0.006292112380463061,2.369039135085863
8,neighbor_retention_1m,INDUSTRY_NEUTRAL,60,135,0.009302777333060532,0.007565210338812925,0.055974097709436434,0.5777777777777777,0.4222222222222222,4,0.004368423786944263,2.1295501047456473
8,neighbor_retention_1m,INDUSTRY_NEUTRAL,120,132,0.009691273499536718,0.009866820467910688,0.05547757384502066,0.553030303030303,0.44696969696969696,4,0.0036564750002257033,2.6504416135590985
8,neighbor_retention_1m,INDUSTRY_NEUTRAL,252,126,0.010961102900729082,0.011916676030944639,0.047035560709749076,0.5952380952380952,0.40476190476190477,4,0.003582690361398524,3.059461408897852
8,neighbor_retention_1m,INDUSTRY_SIZE_NEUTRAL,60,135,0.01298881957898474,0.010664309887885675,0.050340520875818084,0.6222222222222222,0.37777777777777777,4,0.0044358298416085455,2.928160015776138
8,neighbor_retention_1m,INDUSTRY_SIZE_NEUTRAL,120,132,0.013881284135949178,0.0157990647981533,0.05138311368580229,0.5909090909090909,0.4090909090909091,4,0.0038198576742465165,3.6339794096352875
8,neighbor_retention_1m,INDUSTRY_SIZE_NEUTRAL,252,126,0.015543120678449589,0.005000927295965792,0.04864117967440111,0.5396825396825397,0.4603174603174603,4,0.004316215151866997,3.601099604992199
8,neighbor_retention_1m,RAW,60,135,0.005112226131812953,0.0011370171807636895,0.0771137054974059,0.5185185185185185,0.48148148148148145,4,0.005305209807003478,0.9636237430354282
8,neighbor_retention_1m,RAW,120,132,0.008270288950840591,0.0005684516538063057,0.07951035410411733,0.5075757575757576,0.49242424242424243,4,0.005069300323993018,1.631445845040445
8,neighbor_retention_1m,RAW,252,126,0.009201149692294677,0.013933118778152403,0.06941185263412586,0.5714285714285714,0.42857142857142855,4,0.004671831655781467,1.9694951295832988
9,outside_community_degree_percentile,INDUSTRY_NEUTRAL,60,136,0.012224702329756417,0.011619118253411206,0.07901237479458956,0.5808823529411765,0.41911764705882354,4,0.0065290538389281404,1.8723543458730796
9,outside_community_degree_percentile,INDUSTRY_NEUTRAL,120,133,0.00819872043615398,0.01077406195211061,0.0805788288071344,0.5639097744360902,0.43609022556390975,4,0.006673872172504508,1.2284802921355986
9,outside_community_degree_percentile,INDUSTRY_NEUTRAL,252,127,0.013582402841364843,0.01829979060558375,0.07398092501911033,0.5826771653543307,0.41732283464566927,4,0.006086565920518432,2.231537950747758
9,outside_community_degree_percentile,INDUSTRY_SIZE_NEUTRAL,60,136,0.01624861323509099,0.013789815637507365,0.07114094367631717,0.5882352941176471,0.4117647058823529,4,0.0054952466142918046,2.95684877778411
9,outside_community_degree_percentile,INDUSTRY_SIZE_NEUTRAL,120,133,0.017261604972296524,0.01887553226632353,0.0703628499782992,0.6390977443609023,0.3609022556390977,4,0.005876603060995631,2.9373440392572667
9,outside_community_degree_percentile,INDUSTRY_SIZE_NEUTRAL,252,127,0.02367503883229099,0.025645114262721865,0.06216543504166299,0.7007874015748031,0.2992125984251969,4,0.0058590763537244295,4.040745913345456
9,outside_community_degree_percentile,RAW,60,136,0.012553241272110235,0.013701220608172691,0.1207390576401691,0.5514705882352942,0.4485294117647059,4,0.008675565033220022,1.4469652667050523
9,outside_community_degree_percentile,RAW,120,133,0.007086863271454523,0.007118556548732583,0.12291541338160412,0.5263157894736842,0.47368421052631576,4,0.00922565473164575,0.7681691411174574
9,outside_community_degree_percentile,RAW,252,127,0.012519981552235186,0.011914711649213717,0.11551129019200723,0.5511811023622047,0.44881889763779526,4,0.008509399466855949,1.471312000453196
