analysis_date,window,factor_order,factor_name,neutralization,target_name,pair_n,alpha_rank_ic,ic_status
2015-08-31,120,4,cross_industry_degree_ratio,RAW,future_excess_return,1193,0.08297075338475038,PASS
2015-08-31,120,4,cross_industry_degree_ratio,INDUSTRY_NEUTRAL,future_excess_return,1193,0.07634238680381805,PASS
2015-08-31,120,4,cross_industry_degree_ratio,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1193,0.06413388460216189,PASS
2015-08-31,120,5,delta_residual_degree_percentile_1m,RAW,future_excess_return,1437,0.07802518600978109,PASS
2015-08-31,120,5,delta_residual_degree_percentile_1m,INDUSTRY_NEUTRAL,future_excess_return,1437,0.06483642236547402,PASS
2015-08-31,120,5,delta_residual_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1437,0.08409368648010423,PASS
2015-08-31,120,6,delta_cross_industry_degree_percentile_1m,RAW,future_excess_return,1437,0.08348022677824386,PASS
2015-08-31,120,6,delta_cross_industry_degree_percentile_1m,INDUSTRY_NEUTRAL,future_excess_return,1437,0.07410783759251559,PASS
2015-08-31,120,6,delta_cross_industry_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1437,0.09185220566956726,PASS
2015-08-31,120,7,neighbor_jaccard_1m,RAW,future_excess_return,1263,0.014279658799125147,PASS
2015-08-31,120,7,neighbor_jaccard_1m,INDUSTRY_NEUTRAL,future_excess_return,1263,0.022783910848844312,PASS
2015-08-31,120,7,neighbor_jaccard_1m,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1263,0.05152146265441131,PASS
2015-08-31,120,8,neighbor_retention_1m,RAW,future_excess_return,1194,0.035099510690696785,PASS
2015-08-31,120,8,neighbor_retention_1m,INDUSTRY_NEUTRAL,future_excess_return,1194,0.03592628654806107,PASS
2015-08-31,120,8,neighbor_retention_1m,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1194,0.07312506115289613,PASS
2015-08-31,120,9,outside_community_degree_percentile,RAW,future_excess_return,1506,-0.13923584458910235,PASS
2015-08-31,120,9,outside_community_degree_percentile,INDUSTRY_NEUTRAL,future_excess_return,1506,-0.09583997394563236,PASS
2015-08-31,120,9,outside_community_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1506,-0.024868607914997506,PASS
2015-09-30,60,1,residual_degree_percentile,RAW,future_excess_return,1769,-0.17682008671858948,PASS
2015-09-30,60,1,residual_degree_percentile,INDUSTRY_NEUTRAL,future_excess_return,1769,-0.14148148182796721,PASS
2015-09-30,60,1,residual_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1769,-0.061496390876425965,PASS
2015-09-30,60,2,delta_degree_percentile,RAW,future_excess_return,1769,-0.2480807235636889,PASS
2015-09-30,60,2,delta_degree_percentile,INDUSTRY_NEUTRAL,future_excess_return,1769,-0.20266215164314308,PASS
2015-09-30,60,2,delta_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1769,-0.08858045071816881,PASS
2015-09-30,60,3,cross_industry_degree_percentile,RAW,future_excess_return,1769,-0.15598511241123525,PASS
2015-09-30,60,3,cross_industry_degree_percentile,INDUSTRY_NEUTRAL,future_excess_return,1769,-0.11970359344039944,PASS
2015-09-30,60,3,cross_industry_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1769,-0.04321086476763794,PASS
2015-09-30,60,4,cross_industry_degree_ratio,RAW,future_excess_return,1529,0.10108480145044155,PASS
2015-09-30,60,4,cross_industry_degree_ratio,INDUSTRY_NEUTRAL,future_excess_return,1529,0.07997949123834824,PASS
2015-09-30,60,4,cross_industry_degree_ratio,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1529,0.05726192972165222,PASS
2015-09-30,60,5,delta_residual_degree_percentile_1m,RAW,future_excess_return,1570,0.06756294884433615,PASS
2015-09-30,60,5,delta_residual_degree_percentile_1m,INDUSTRY_NEUTRAL,future_excess_return,1570,0.05819287213688568,PASS
2015-09-30,60,5,delta_residual_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1570,0.058009758074903904,PASS
2015-09-30,60,6,delta_cross_industry_degree_percentile_1m,RAW,future_excess_return,1570,0.06238946796180812,PASS
2015-09-30,60,6,delta_cross_industry_degree_percentile_1m,INDUSTRY_NEUTRAL,future_excess_return,1570,0.059792605524786394,PASS
2015-09-30,60,6,delta_cross_industry_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1570,0.06145246390659572,PASS
2015-09-30,60,7,neighbor_jaccard_1m,RAW,future_excess_return,1478,-0.20084129378060966,PASS
2015-09-30,60,7,neighbor_jaccard_1m,INDUSTRY_NEUTRAL,future_excess_return,1478,-0.13941307175195666,PASS
2015-09-30,60,7,neighbor_jaccard_1m,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1478,-0.05791830574298036,PASS
2015-09-30,60,8,neighbor_retention_1m,RAW,future_excess_return,1385,-0.18301932223461917,PASS
2015-09-30,60,8,neighbor_retention_1m,INDUSTRY_NEUTRAL,future_excess_return,1385,-0.12915933690058923,PASS
2015-09-30,60,8,neighbor_retention_1m,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1385,-0.06140314313771807,PASS
2015-09-30,60,9,outside_community_degree_percentile,RAW,future_excess_return,1769,-0.181208330200175,PASS
2015-09-30,60,9,outside_community_degree_percentile,INDUSTRY_NEUTRAL,future_excess_return,1769,-0.12615324342304604,PASS
2015-09-30,60,9,outside_community_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1769,-0.04374114892122339,PASS
2015-09-30,120,1,residual_degree_percentile,RAW,future_excess_return,1562,-0.3072166779213615,PASS
2015-09-30,120,1,residual_degree_percentile,INDUSTRY_NEUTRAL,future_excess_return,1562,-0.2558278689834477,PASS
2015-09-30,120,1,residual_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1562,-0.142155674364184,PASS
2015-09-30,120,2,delta_degree_percentile,RAW,future_excess_return,1562,-0.25233059363607574,PASS
2015-09-30,120,2,delta_degree_percentile,INDUSTRY_NEUTRAL,future_excess_return,1562,-0.2106012834319789,PASS
2015-09-30,120,2,delta_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1562,-0.057644193763114304,PASS
2015-09-30,120,3,cross_industry_degree_percentile,RAW,future_excess_return,1562,-0.28396505052246146,PASS
2015-09-30,120,3,cross_industry_degree_percentile,INDUSTRY_NEUTRAL,future_excess_return,1562,-0.2252753119460348,PASS
2015-09-30,120,3,cross_industry_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1562,-0.12032066784950028,PASS
2015-09-30,120,4,cross_industry_degree_ratio,RAW,future_excess_return,1161,0.16230646347821182,PASS
