analysis_date,window,factor_order,factor_name,neutralization,target_name,pair_n,risk_rank_ic,ic_status
2015-04-30,60,6,delta_cross_industry_degree_percentile_1m,INDUSTRY_NEUTRAL,future_realized_vol_annualized,0,,INSUFFICIENT_OBS
2015-04-30,60,6,delta_cross_industry_degree_percentile_1m,INDUSTRY_NEUTRAL,future_downside_vol_annualized,0,,INSUFFICIENT_OBS
2015-04-30,60,6,delta_cross_industry_degree_percentile_1m,INDUSTRY_NEUTRAL,future_max_drawdown,0,,INSUFFICIENT_OBS
2015-04-30,60,6,delta_cross_industry_degree_percentile_1m,INDUSTRY_NEUTRAL,future_idio_vol_annualized,0,,INSUFFICIENT_OBS
2015-04-30,60,6,delta_cross_industry_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,future_realized_vol_annualized,0,,INSUFFICIENT_OBS
2015-04-30,60,6,delta_cross_industry_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,future_downside_vol_annualized,0,,INSUFFICIENT_OBS
2015-04-30,60,6,delta_cross_industry_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,future_max_drawdown,0,,INSUFFICIENT_OBS
2015-04-30,60,6,delta_cross_industry_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,future_idio_vol_annualized,0,,INSUFFICIENT_OBS
2015-04-30,60,7,neighbor_jaccard_1m,RAW,future_realized_vol_annualized,0,,INSUFFICIENT_OBS
2015-04-30,60,7,neighbor_jaccard_1m,RAW,future_downside_vol_annualized,0,,INSUFFICIENT_OBS
2015-04-30,60,7,neighbor_jaccard_1m,RAW,future_max_drawdown,0,,INSUFFICIENT_OBS
2015-04-30,60,7,neighbor_jaccard_1m,RAW,future_idio_vol_annualized,0,,INSUFFICIENT_OBS
2015-04-30,60,7,neighbor_jaccard_1m,INDUSTRY_NEUTRAL,future_realized_vol_annualized,0,,INSUFFICIENT_OBS
2015-04-30,60,7,neighbor_jaccard_1m,INDUSTRY_NEUTRAL,future_downside_vol_annualized,0,,INSUFFICIENT_OBS
2015-04-30,60,7,neighbor_jaccard_1m,INDUSTRY_NEUTRAL,future_max_drawdown,0,,INSUFFICIENT_OBS
2015-04-30,60,7,neighbor_jaccard_1m,INDUSTRY_NEUTRAL,future_idio_vol_annualized,0,,INSUFFICIENT_OBS
2015-04-30,60,7,neighbor_jaccard_1m,INDUSTRY_SIZE_NEUTRAL,future_realized_vol_annualized,0,,INSUFFICIENT_OBS
2015-04-30,60,7,neighbor_jaccard_1m,INDUSTRY_SIZE_NEUTRAL,future_downside_vol_annualized,0,,INSUFFICIENT_OBS
2015-04-30,60,7,neighbor_jaccard_1m,INDUSTRY_SIZE_NEUTRAL,future_max_drawdown,0,,INSUFFICIENT_OBS
2015-04-30,60,7,neighbor_jaccard_1m,INDUSTRY_SIZE_NEUTRAL,future_idio_vol_annualized,0,,INSUFFICIENT_OBS
2015-04-30,60,8,neighbor_retention_1m,RAW,future_realized_vol_annualized,0,,INSUFFICIENT_OBS
2015-04-30,60,8,neighbor_retention_1m,RAW,future_downside_vol_annualized,0,,INSUFFICIENT_OBS
2015-04-30,60,8,neighbor_retention_1m,RAW,future_max_drawdown,0,,INSUFFICIENT_OBS
2015-04-30,60,8,neighbor_retention_1m,RAW,future_idio_vol_annualized,0,,INSUFFICIENT_OBS
2015-04-30,60,8,neighbor_retention_1m,INDUSTRY_NEUTRAL,future_realized_vol_annualized,0,,INSUFFICIENT_OBS
2015-04-30,60,8,neighbor_retention_1m,INDUSTRY_NEUTRAL,future_downside_vol_annualized,0,,INSUFFICIENT_OBS
2015-04-30,60,8,neighbor_retention_1m,INDUSTRY_NEUTRAL,future_max_drawdown,0,,INSUFFICIENT_OBS
2015-04-30,60,8,neighbor_retention_1m,INDUSTRY_NEUTRAL,future_idio_vol_annualized,0,,INSUFFICIENT_OBS
2015-04-30,60,8,neighbor_retention_1m,INDUSTRY_SIZE_NEUTRAL,future_realized_vol_annualized,0,,INSUFFICIENT_OBS
2015-04-30,60,8,neighbor_retention_1m,INDUSTRY_SIZE_NEUTRAL,future_downside_vol_annualized,0,,INSUFFICIENT_OBS
2015-04-30,60,8,neighbor_retention_1m,INDUSTRY_SIZE_NEUTRAL,future_max_drawdown,0,,INSUFFICIENT_OBS
2015-04-30,60,8,neighbor_retention_1m,INDUSTRY_SIZE_NEUTRAL,future_idio_vol_annualized,0,,INSUFFICIENT_OBS
2015-04-30,60,9,outside_community_degree_percentile,RAW,future_realized_vol_annualized,1993,-0.14557786124097707,PASS
2015-04-30,60,9,outside_community_degree_percentile,RAW,future_downside_vol_annualized,1993,0.10400053876302605,PASS
