stock_1,stock_2,name_1,name_2,industry_1,industry_2,same_industry,industry_relation,persistence_before,core_before,always_before,mean_abs_partial_before,persistence_after,core_after,always_after,mean_abs_partial_after,delta_persistence,abs_delta_persistence,core_transition,regime_before,regime_after
000858,603501,五粮液,韦尔股份,食品饮料,电子,False,Cross industry,0.0,False,False,,0.0,False,False,,0.0,0.0,Non-core both,1,2
002415,002460,海康威视,赣锋锂业,电子,新能源,False,Cross industry,0.8571428571428571,True,False,0.028340895714001585,1.0,True,True,0.06878245600657168,0.1428571428571429,0.1428571428571429,Persistent core,1,2
002415,002475,海康威视,立讯精密,电子,电子,True,Same industry,1.0,True,True,0.1243052251236442,1.0,True,True,0.0802452192521863,0.0,0.0,Persistent core,1,2
002415,600030,海康威视,中信证券,电子,非银金融,False,Cross industry,1.0,True,True,0.059169698484008715,1.0,True,True,0.10863648268755506,0.0,0.0,Persistent core,1,2
002415,600036,海康威视,招商银行,电子,银行,False,Cross industry,0.0,False,False,,0.0,False,False,,0.0,0.0,Non-core both,1,2
002415,600519,海康威视,贵州茅台,电子,食品饮料,False,Cross industry,0.0,False,False,,0.0,False,False,,0.0,0.0,Non-core both,1,2
002415,600887,海康威视,伊利股份,电子,食品饮料,False,Cross industry,0.2857142857142857,False,False,0.024923904257263003,1.0,True,True,0.0820470916709439,0.7142857142857143,0.7142857142857143,Gained core,1,2
002415,601288,海康威视,农业银行,电子,银行,False,Cross industry,0.0,False,False,,0.0,False,False,,0.0,0.0,Non-core both,1,2
002415,601318,海康威视,中国平安,电子,非银金融,False,Cross industry,1.0,True,True,0.0943516394738878,1.0,True,True,0.1509804832159553,0.0,0.0,Persistent core,1,2
002415,601398,海康威视,工商银行,电子,银行,False,Cross industry,0.0,False,False,,0.0,False,False,,0.0,0.0,Non-core both,1,2
002415,603501,海康威视,韦尔股份,电子,电子,True,Same industry,1.0,True,True,0.0968666903668161,1.0,True,True,0.17493568766929682,0.0,0.0,Persistent core,1,2
002460,002475,赣锋锂业,立讯精密,新能源,电子,False,Cross industry,0.7142857142857143,False,False,0.01040804862351638,0.8,True,False,0.026326697015308275,0.08571428571428574,0.08571428571428574,Gained core,1,2
002460,600030,赣锋锂业,中信证券,新能源,非银金融,False,Cross industry,1.0,True,True,0.06754515024281686,1.0,True,True,0.13205920097626273,0.0,0.0,Persistent core,1,2
002460,600036,赣锋锂业,招商银行,新能源,银行,False,Cross industry,0.42857142857142855,False,False,0.009090593009362734,0.0,False,False,,-0.42857142857142855,0.42857142857142855,Non-core both,1,2
002460,600519,赣锋锂业,贵州茅台,新能源,食品饮料,False,Cross industry,0.0,False,False,,0.0,False,False,,0.0,0.0,Non-core both,1,2
002460,600887,赣锋锂业,伊利股份,新能源,食品饮料,False,Cross industry,0.0,False,False,,0.8,True,False,0.023106767221903326,0.8,0.8,Gained core,1,2
002460,601288,赣锋锂业,农业银行,新能源,银行,False,Cross industry,0.0,False,False,,1.0,True,True,0.05344889773236072,1.0,1.0,Gained core,1,2
002460,601318,赣锋锂业,中国平安,新能源,非银金融,False,Cross industry,0.7142857142857143,False,False,0.0637700262183682,0.0,False,False,,-0.7142857142857143,0.7142857142857143,Non-core both,1,2
002460,601398,赣锋锂业,工商银行,新能源,银行,False,Cross industry,0.0,False,False,,0.4,False,False,0.01890502296589955,0.4,0.4,Non-core both,1,2
002460,603501,赣锋锂业,韦尔股份,新能源,电子,False,Cross industry,0.7142857142857143,False,False,0.06120526833951569,1.0,True,True,0.1056694880610974,0.2857142857142857,0.2857142857142857,Gained core,1,2
002475,600030,立讯精密,中信证券,电子,非银金融,False,Cross industry,0.42857142857142855,False,False,0.035281062838589866,0.4,False,False,0.041864059029677755,-0.028571428571428525,0.028571428571428525,Non-core both,1,2
002475,600036,立讯精密,招商银行,电子,银行,False,Cross industry,0.0,False,False,,0.0,False,False,,0.0,0.0,Non-core both,1,2
002475,600519,立讯精密,贵州茅台,电子,食品饮料,False,Cross industry,0.14285714285714285,False,False,0.0172074184669836,0.6,False,False,0.011153061314710734,0.45714285714285713,0.45714285714285713,Non-core both,1,2
002475,600887,立讯精密,伊利股份,电子,食品饮料,False,Cross industry,0.14285714285714285,False,False,0.024921350596135,0.0,False,False,,-0.14285714285714285,0.14285714285714285,Non-core both,1,2
002475,601288,立讯精密,农业银行,电子,银行,False,Cross industry,0.0,False,False,,0.0,False,False,,0.0,0.0,Non-core both,1,2
002475,601318,立讯精密,中国平安,电子,非银金融,False,Cross industry,0.0,False,False,,0.0,False,False,,0.0,0.0,Non-core both,1,2
002475,601398,立讯精密,工商银行,电子,银行,False,Cross industry,0.0,False,False,,0.0,False,False,,0.0,0.0,Non-core both,1,2
002475,603501,立讯精密,韦尔股份,电子,电子,True,Same industry,1.0,True,True,0.19468763796624797,1.0,True,True,0.21658126196606053,0.0,0.0,Persistent core,1,2
600030,600036,中信证券,招商银行,非银金融,银行,False,Cross industry,1.0,True,True,0.06599087666532231,0.0,False,False,,-1.0,1.0,Lost core,1,2
600030,600519,中信证券,贵州茅台,非银金融,食品饮料,False,Cross industry,1.0,True,True,0.03608058443882755,1.0,True,True,0.012684067332869604,0.0,0.0,Persistent core,1,2
600030,600887,中信证券,伊利股份,非银金融,食品饮料,False,Cross industry,1.0,True,True,0.06959441442117537,1.0,True,True,0.06982530711647192,0.0,0.0,Persistent core,1,2
600030,601288,中信证券,农业银行,非银金融,银行,False,Cross industry,0.5714285714285714,False,False,0.01502084490165995,0.0,False,False,,-0.5714285714285714,0.5714285714285714,Non-core both,1,2
600030,601318,中信证券,中国平安,非银金融,非银金融,True,Same industry,1.0,True,True,0.22224575366116336,1.0,True,True,0.13633548186419459,0.0,0.0,Persistent core,1,2
600030,601398,中信证券,工商银行,非银金融,银行,False,Cross industry,0.42857142857142855,False,False,0.024993122532607968,0.0,False,False,,-0.42857142857142855,0.42857142857142855,Non-core both,1,2
600030,603501,中信证券,韦尔股份,非银金融,电子,False,Cross industry,0.0,False,False,,1.0,True,True,0.12848244506855397,1.0,1.0,Gained core,1,2
600036,600519,招商银行,贵州茅台,银行,食品饮料,False,Cross industry,1.0,True,True,0.05594307563580607,1.0,True,True,0.051685991463891676,0.0,0.0,Persistent core,1,2
600036,600887,招商银行,伊利股份,银行,食品饮料,False,Cross industry,0.8571428571428571,True,False,0.08238680749119276,0.0,False,False,,-0.8571428571428571,0.8571428571428571,Lost core,1,2
600036,601288,招商银行,农业银行,银行,银行,True,Same industry,1.0,True,True,0.03253725491562753,0.0,False,False,,-1.0,1.0,Lost core,1,2
600036,601318,招商银行,中国平安,银行,非银金融,False,Cross industry,1.0,True,True,0.18610363246353925,1.0,True,True,0.2547529944373087,0.0,0.0,Persistent core,1,2
600036,601398,招商银行,工商银行,银行,银行,True,Same industry,1.0,True,True,0.06588888630932085,1.0,True,True,0.12723122679021975,0.0,0.0,Persistent core,1,2
600036,603501,招商银行,韦尔股份,银行,电子,False,Cross industry,0.0,False,False,,0.0,False,False,,0.0,0.0,Non-core both,1,2
600519,600887,贵州茅台,伊利股份,食品饮料,食品饮料,True,Same industry,1.0,True,True,0.08332338607560079,1.0,True,True,0.17967206831333157,0.0,0.0,Persistent core,1,2
600519,601288,贵州茅台,农业银行,食品饮料,银行,False,Cross industry,0.0,False,False,,0.0,False,False,,0.0,0.0,Non-core both,1,2
600519,601318,贵州茅台,中国平安,食品饮料,非银金融,False,Cross industry,1.0,True,True,0.0506967212477566,1.0,True,True,0.06376487588188937,0.0,0.0,Persistent core,1,2
600519,601398,贵州茅台,工商银行,食品饮料,银行,False,Cross industry,0.0,False,False,,0.0,False,False,,0.0,0.0,Non-core both,1,2
600519,603501,贵州茅台,韦尔股份,食品饮料,电子,False,Cross industry,0.0,False,False,,0.0,False,False,,0.0,0.0,Non-core both,1,2
600887,601288,伊利股份,农业银行,食品饮料,银行,False,Cross industry,0.14285714285714285,False,False,0.0037142858313939,0.0,False,False,,-0.14285714285714285,0.14285714285714285,Non-core both,1,2
600887,601318,伊利股份,中国平安,食品饮料,非银金融,False,Cross industry,1.0,True,True,0.0937449148752334,0.8,True,False,0.035141505835506875,-0.19999999999999996,0.19999999999999996,Persistent core,1,2
600887,601398,伊利股份,工商银行,食品饮料,银行,False,Cross industry,0.0,False,False,,0.0,False,False,,0.0,0.0,Non-core both,1,2
600887,603501,伊利股份,韦尔股份,食品饮料,电子,False,Cross industry,0.14285714285714285,False,False,0.0009054138581179,0.2,False,False,0.0009520194232689,0.05714285714285716,0.05714285714285716,Non-core both,1,2
601288,601318,农业银行,中国平安,银行,非银金融,False,Cross industry,0.2857142857142857,False,False,0.0042378548424869995,0.0,False,False,,-0.2857142857142857,0.2857142857142857,Non-core both,1,2
601288,601398,农业银行,工商银行,银行,银行,True,Same industry,1.0,True,True,0.6560462756892803,1.0,True,True,0.6554633569134373,0.0,0.0,Persistent core,1,2
