regime_before,regime_after,stock_code,stock_name,industry,mean_degree_before,mean_degree_after,delta_mean_degree,mean_strength_before,mean_strength_after,delta_mean_strength,delta_mean_same_degree,delta_mean_cross_degree,delta_mean_same_strength,delta_mean_cross_strength,mean_degree_rank_before,mean_degree_rank_after,degree_rank_improvement,mean_strength_rank_before,mean_strength_rank_after,strength_rank_improvement,rank_shift_magnitude,delta_degree_top5_share,delta_strength_top5_share
1,2,600887,伊利股份,食品饮料,7.571428571428571,8.6,1.0285714285714285,0.5597330765692811,0.6742498724265589,0.11451679585727781,0.0,1.0285714285714285,0.16282284389168578,-0.04830604803440802,6.857142857142857,5.6,1.2571428571428571,11.714285714285714,11.6,0.11428571428571388,1.2623269733928297,0.45714285714285713,0.0
1,2,601288,农业银行,银行,3.142857142857143,2.6,-0.5428571428571427,0.6998943268279677,0.71201114677451,0.012116819946542345,-1.1428571428571428,0.6000000000000001,-0.03410620203981507,0.046223021986357304,14.214285714285714,14.8,-0.5857142857142872,8.857142857142858,11.2,-2.3428571428571416,2.4149618664332,0.0,0.0
1,2,601318,中国平安,非银金融,10.0,8.8,-1.1999999999999993,1.056521557609241,1.0506841400265154,-0.005837417582725601,0.0,-1.2000000000000002,-0.08591027179696878,0.08007285421424293,2.0714285714285716,4.9,-2.8285714285714287,2.4285714285714284,2.0,0.4285714285714284,2.860854731704909,-0.4,0.0
1,2,601398,工商银行,银行,3.4285714285714284,3.4,-0.02857142857142847,0.7949502825691416,0.8180267148180445,0.02307643224890288,0.0,-0.028571428571428525,0.026225761290803562,-0.003149329041900739,14.0,14.2,-0.1999999999999993,6.428571428571429,7.8,-1.371428571428571,1.385935181215417,0.0,0.0
1,2,603501,韦尔股份,电子,3.857142857142857,6.6,2.7428571428571424,0.49823416177817315,0.7340731318707994,0.23583897009262622,0.0,2.742857142857143,0.02821645888638874,0.20762251120623743,13.428571428571429,10.5,2.928571428571429,13.142857142857142,10.0,3.1428571428571423,4.2958214153585415,0.0,0.0
2,3,000001,平安银行,银行,7.4,8.2,0.7999999999999989,0.8606460188854526,0.9043235273810211,0.04367750849556851,1.0,-0.20000000000000018,-0.010432268593810579,0.05410977708937903,8.3,7.55,0.7500000000000009,5.4,5.5,-0.09999999999999964,0.7566372975210786,0.1,0.0
2,3,000568,泸州老窖,食品饮料,8.8,8.4,-0.40000000000000036,0.9809804590211696,0.998554292952886,0.01757383393171641,0.0,-0.39999999999999947,-0.035136562838226415,0.052710396769942824,4.8,6.65,-1.8500000000000005,3.0,3.2,-0.20000000000000018,1.86077940659284,-0.19999999999999996,0.0
2,3,000725,京东方A,电子,8.6,9.6,1.0,0.6676400176534489,0.8441455027482048,0.17650548509475583,0.0,1.0,0.09876759855581041,0.07773788653894531,5.1,3.2,1.8999999999999995,11.8,7.7,4.1000000000000005,4.518849411078002,0.5,0.2
2,3,000858,五粮液,食品饮料,10.2,9.3,-0.8999999999999986,1.1970130931306433,1.1503332226352898,-0.04667987049535349,0.0,-0.9000000000000004,0.019197128881134784,-0.0658769993764885,1.5,3.7,-2.2,1.0,1.2,-0.19999999999999996,2.209072203437452,0.0,0.0
2,3,002415,海康威视,电子,8.2,9.1,0.9000000000000004,0.8542439657614874,0.8977941685930773,0.043550202831589835,0.0,0.8999999999999995,0.051669417066665724,-0.008119214235075722,6.7,4.45,2.25,6.0,5.7,0.2999999999999998,2.2699118925632336,0.49999999999999994,-0.19999999999999996
2,3,002460,赣锋锂业,新能源,9.2,8.7,-0.5,0.6759512255166025,0.6411740572917415,-0.03477716822486099,0.0,-0.5,0.0,-0.03477716822486099,3.8,5.9,-2.1000000000000005,12.0,14.1,-2.0999999999999996,2.9698484809834995,-0.30000000000000004,0.0
2,3,002475,立讯精密,电子,5.8,5.4,-0.39999999999999947,0.4918115952277341,0.5594501803018241,0.06763858507409004,0.0,-0.3999999999999999,0.06151163948188759,0.00612694559220231,11.8,11.7,0.10000000000000142,15.0,14.9,0.09999999999999964,0.14142135623731025,0.0,0.0
2,3,600030,中信证券,非银金融,9.2,8.8,-0.3999999999999986,0.7092094153928893,0.748030533291322,0.03882111789843268,0.0,-0.39999999999999947,-0.01596748279848595,0.05478860069691871,4.7,5.55,-0.8499999999999996,10.8,11.2,-0.3999999999999986,0.9394147114027959,-0.09999999999999998,-0.2
2,3,600036,招商银行,银行,4.8,5.1,0.2999999999999998,0.8299297875217059,0.8396259866958964,0.009696199174190512,1.0,-0.6999999999999997,0.03779544302103344,-0.028099243846843036,12.9,12.1,0.8000000000000007,6.4,8.3,-1.9000000000000004,2.0615528128088307,0.0,-0.4
2,3,600519,贵州茅台,食品饮料,6.6,7.3,0.7000000000000002,0.8541168104941743,0.9439217570172472,0.08980494652307291,0.0,0.6999999999999997,0.04744979942797345,0.04235514709509958,10.4,9.25,1.1500000000000004,6.0,4.4,1.5999999999999996,1.970406049523803,0.0,0.6
2,3,600887,伊利股份,食品饮料,8.6,8.2,-0.40000000000000036,0.6742498724265589,0.6888695129976573,0.014619640571098436,0.0,-0.39999999999999947,0.11715448207580087,-0.10253484150470263,5.6,7.45,-1.8500000000000005,11.6,12.7,-1.0999999999999996,2.1523243250030886,-0.39999999999999997,0.0
2,3,601288,农业银行,银行,2.6,3.7,1.1,0.71201114677451,0.7189121198060253,0.006900973031515267,2.0,-0.9000000000000001,0.04852029104947053,-0.04161931801795504,14.8,14.15,0.6500000000000004,11.2,11.9,-0.7000000000000011,0.955248658727141,0.0,0.0
2,3,601318,中国平安,非银金融,8.8,10.0,1.1999999999999993,1.0506841400265154,1.119036854632884,0.06835271460636849,0.0,1.2000000000000002,-0.01596748279848595,0.08432019740485475,4.9,1.6,3.3000000000000003,2.0,1.8,0.19999999999999996,3.306055050963308,0.4,0.0
2,3,601398,工商银行,银行,3.4,3.0,-0.3999999999999999,0.8180267148180445,0.8373641363401838,0.019337421522139353,0.0,-0.4,0.026899430708499206,-0.00756200918635982,14.2,14.85,-0.6500000000000004,7.8,8.0,-0.20000000000000018,0.6800735254367726,0.0,0.0
2,3,603501,韦尔股份,电子,6.6,5.2,-1.3999999999999995,0.7340731318707994,0.8066422198177412,0.07256908794694183,0.0,-1.4,0.002816195435736857,0.06975289251120498,10.5,11.9,-1.4000000000000004,10.0,9.4,0.5999999999999996,1.523154621172782,0.0,0.0
3,4,000001,平安银行,银行,8.2,7.0,-1.1999999999999993,0.9043235273810211,0.6801627708071568,-0.22416075657386425,0.0,-1.2000000000000002,0.030668247365089663,-0.25482900393895386,7.55,4.0,3.55,5.5,9.0,-3.5,4.985228179331413,0.65,-0.4
3,4,000568,泸州老窖,食品饮料,8.4,4.75,-3.6500000000000004,0.998554292952886,0.7613903598293429,-0.2371639331235431,0.0,-3.6500000000000004,0.04906877819995992,-0.28623271132350303,6.65,10.375,-3.7249999999999996,3.2,7.75,-4.55,5.880316743169537,-0.4,-1.0
3,4,000725,京东方A,电子,9.6,6.75,-2.8499999999999996,0.8441455027482048,0.7981627200111894,-0.04598278273701539,0.0,-2.8499999999999996,0.013695304652895923,-0.059678087389911094,3.2,4.875,-1.6749999999999998,7.7,6.25,1.4500000000000002,2.2154288523895325,-0.4,0.04999999999999999
3,4,000858,五粮液,食品饮料,9.3,7.75,-1.5500000000000007,1.1503332226352898,1.0985570803135336,-0.0517761423217562,0.0,-1.5499999999999998,0.017351127012326772,-0.06912726933408297,3.7,2.5,1.2000000000000002,1.2,1.25,-0.050000000000000044,1.2010412149464316,-0.25,0.0
3,4,002415,海康威视,电子,9.1,5.5,-3.5999999999999996,0.8977941685930773,0.5790827651322493,-0.31871140346082794,-0.5,-3.0999999999999996,-0.11890362938923121,-0.19980777407159683,4.45,7.875,-3.425,5.7,12.0,-6.3,7.170817596341438,-0.7,-0.4
3,4,002460,赣锋锂业,新能源,8.7,5.25,-3.4499999999999993,0.6411740572917415,0.32506342118087594,-0.31611063611086554,0.0,-3.4499999999999993,0.0,-0.31611063611086554,5.9,8.875,-2.9749999999999996,14.1,15.0,-0.9000000000000004,3.1081545971846376,-0.5,0.0
3,4,002475,立讯精密,电子,5.4,4.25,-1.1500000000000004,0.5594501803018241,0.5197922627447149,-0.039657917557109235,-0.5,-0.6499999999999999,-0.07273103235241568,0.03307311479530671,11.7,11.375,0.3249999999999993,14.9,13.0,1.9000000000000004,1.9275956526201237,0.0,0.0
3,4,600030,中信证券,非银金融,8.8,8.75,-0.05000000000000071,0.748030533291322,1.04245419761782,0.29442366432649814,0.0,-0.04999999999999982,0.23068809894379957,0.06373556538269853,5.55,1.75,3.8,11.2,2.25,8.95,9.723296766015114,0.5,1.0
3,4,600036,招商银行,银行,5.1,5.0,-0.09999999999999964,0.8396259866958964,0.7768896507544972,-0.06273633594139916,0.0,-0.10000000000000009,0.040962097492338256,-0.1036984334337373,12.1,9.75,2.3499999999999996,8.3,6.75,1.5500000000000007,2.8151376520518494,0.0,0.0
3,4,600519,贵州茅台,食品饮料,7.3,6.25,-1.0499999999999998,0.9439217570172472,0.9736936868704849,0.029771929853237622,0.0,-1.0499999999999998,-0.0539628170098162,0.08373474686305377,9.25,5.625,3.625,4.4,3.25,1.1500000000000004,3.803041545920844,0.25,0.0
3,4,600887,伊利股份,食品饮料,8.2,5.25,-2.9499999999999993,0.6888695129976573,0.45280044050045953,-0.23606907249719777,0.0,-2.95,-0.1288800145496926,-0.107189057947505,7.45,9.0,-1.5499999999999998,12.7,14.0,-1.3000000000000007,2.022992832414391,-0.2,0.0
3,4,601288,农业银行,银行,3.7,3.0,-0.7000000000000002,0.7189121198060253,0.6170249014825218,-0.10188721832350356,0.0,-0.7,-0.08695874648038604,-0.01492847184311764,14.15,14.375,-0.22499999999999964,11.9,10.25,1.6500000000000004,1.665270248338089,0.0,0.0
3,4,601318,中国平安,非银金融,10.0,7.25,-2.75,1.119036854632884,0.9495421007399079,-0.16949475389297608,0.0,-2.75,0.23068809894379957,-0.4001828528367757,1.6,3.375,-1.775,1.8,3.25,-1.45,2.2919696769372844,0.0,0.0
3,4,601398,工商银行,银行,3.0,3.0,0.0,0.8373641363401838,0.8501006719851345,0.012736535644950697,0.0,0.0,0.012736535644950697,0.0,14.85,14.375,0.47499999999999964,8.0,5.25,2.75,2.7907212329431976,0.0,0.75
3,4,603501,韦尔股份,电子,5.2,4.25,-0.9500000000000002,0.8066422198177412,0.6126844033903561,-0.19395781642738508,0.0,-0.9500000000000002,-0.01244426366509399,-0.18151355276229117,11.9,11.875,0.025000000000000355,9.4,10.75,-1.3499999999999996,1.3502314616390774,0.0,0.0
4,5,000001,平安银行,银行,7.0,6.8,-0.20000000000000018,0.6801627708071568,0.765470284621034,0.08530751381387713,0.0,-0.20000000000000018,0.028630322234750982,0.056677191579125985,4.0,4.1,-0.09999999999999964,9.0,6.6,2.4000000000000004,2.402082429892863,-0.15000000000000002,0.4
4,5,000568,泸州老窖,食品饮料,4.75,5.0,0.25,0.7613903598293429,0.7911255160840469,0.02973515625470402,0.0,0.25,0.03119328874364191,-0.0014581324889379396,10.375,10.4,-0.025000000000000355,7.75,6.2,1.5499999999999998,1.5502015997927494,0.0,0.2
4,5,000725,京东方A,电子,6.75,4.6,-2.1500000000000004,0.7981627200111894,0.4652059345895284,-0.33295678542166096,-0.20000000000000018,-1.95,-0.17021404935926704,-0.16274273606239398,4.875,11.0,-6.125,6.25,11.4,-5.15,8.002382457743444,-0.3,-0.25
4,5,000858,五粮液,食品饮料,7.75,6.6,-1.1500000000000004,1.0985570803135336,0.9784602935127268,-0.12009678680080682,0.0,-1.15,-0.04274985128745279,-0.07734693551335413,2.5,4.1,-1.5999999999999996,1.25,1.6,-0.3500000000000001,1.6378339354159197,0.050000000000000044,0.0
4,5,002415,海康威视,电子,5.5,6.2,0.7000000000000002,0.5790827651322493,0.5169509635352129,-0.06213180159703646,0.5,0.20000000000000018,-0.0721817337207748,0.010049932123738281,7.875,5.6,2.2750000000000004,12.0,12.2,-0.1999999999999993,2.2837742883218564,0.4,0.0
4,5,002460,赣锋锂业,新能源,5.25,4.4,-0.8499999999999996,0.32506342118087594,0.2003212507586337,-0.12474217042224225,0.0,-0.8499999999999996,0.0,-0.12474217042224225,8.875,12.6,-3.7249999999999996,15.0,15.0,0.0,3.7249999999999996,0.0,0.0
4,5,002475,立讯精密,电子,4.25,4.8,0.5499999999999998,0.5197922627447149,0.4782702243730402,-0.04152203837167473,0.2999999999999998,0.25,-0.03512246180564932,-0.006399576566025633,11.375,11.1,0.27500000000000036,13.0,12.6,0.40000000000000036,0.48541219597369045,0.0,0.0
4,5,600030,中信证券,非银金融,8.75,9.0,0.25,1.04245419761782,0.8706543355105879,-0.1717998621072322,0.0,0.25,0.010303332729537873,-0.18210319483676995,1.75,1.0,0.75,2.25,4.6,-2.3499999999999996,2.4667792767088015,0.0,-0.4
4,5,600036,招商银行,银行,5.0,5.0,0.0,0.7768896507544972,0.7541565313520213,-0.02273311940247591,0.0,0.0,0.03749250551067984,-0.06022562491315578,9.75,10.4,-0.6500000000000004,6.75,7.0,-0.25,0.6964194138592064,0.0,0.0
4,5,600519,贵州茅台,食品饮料,6.25,5.4,-0.8499999999999996,0.9736936868704849,0.8643431104485412,-0.10935057642194368,0.0,-0.8500000000000001,-0.06246026446870734,-0.04689031195323634,5.625,8.6,-2.9749999999999996,3.25,4.2,-0.9500000000000002,3.1229993595900716,-0.25,-0.19999999999999996
4,5,600887,伊利股份,食品饮料,5.25,6.2,0.9500000000000002,0.45280044050045953,0.46571531139428857,0.012914870893829034,0.0,0.9500000000000002,-0.0826282363509015,0.09554310724473047,9.0,5.4,3.5999999999999996,14.0,12.8,1.1999999999999993,3.7947331922020546,0.4,0.0
4,5,601288,农业银行,银行,3.0,3.6,0.6000000000000001,0.6170249014825218,0.5766894963214824,-0.040335405161039395,0.0,0.6,-0.0742165762915653,0.033881171130526,14.375,14.1,0.27500000000000036,10.25,10.6,-0.34999999999999964,0.4451123453691213,0.0,0.0
4,5,601318,中国平安,非银金融,7.25,6.6,-0.6500000000000004,0.9495421007399079,0.8623449365542559,-0.08719716418565193,0.0,-0.6500000000000004,0.010303332729537873,-0.0975004969151898,3.375,4.2,-0.8250000000000002,3.25,4.0,-0.75,1.114955156048888,-0.4,0.0
4,5,601398,工商银行,银行,3.0,4.6,1.5999999999999996,0.8501006719851345,0.9148566574840838,0.06475598549894934,0.0,1.6,0.01680036100290816,0.04795562449604111,14.375,11.4,2.9749999999999996,5.25,2.4,2.85,4.119845264084562,0.2,0.25
4,5,603501,韦尔股份,电子,4.25,6.0,1.75,0.6126844033903561,0.6858736574216826,0.07318925403132648,0.0,1.75,0.03520466517221832,0.03798458885910841,11.875,6.0,5.875,10.75,8.8,1.9499999999999993,6.190163568113527,0.2,0.0
