regime,stock_1,name_1,industry_1,stock_2,name_2,industry_2,same_industry,industry_relation,n_regime_windows,windows_selected,persistence,is_core_edge,is_always_edge,mean_partial_when_selected,mean_abs_partial_when_selected,max_abs_partial_when_selected
1,600887,伊利股份,食品饮料,601318,中国平安,非银金融,False,Cross industry,7,7,1.0,True,True,0.0937449148752334,0.0937449148752334,0.1307360626106011
1,600887,伊利股份,食品饮料,601398,工商银行,银行,False,Cross industry,7,0,0.0,False,False,,,
1,600887,伊利股份,食品饮料,603501,韦尔股份,电子,False,Cross industry,7,1,0.14285714285714285,False,False,0.0009054138581179,0.0009054138581179,0.0009054138581179
1,601288,农业银行,银行,601318,中国平安,非银金融,False,Cross industry,7,2,0.2857142857142857,False,False,0.0042378548424869995,0.0042378548424869995,0.0067794943679336
1,601288,农业银行,银行,601398,工商银行,银行,True,Same industry,7,7,1.0,True,True,0.6560462756892803,0.6560462756892803,0.6677036292662993
1,601288,农业银行,银行,603501,韦尔股份,电子,False,Cross industry,7,0,0.0,False,False,,,
1,601318,中国平安,非银金融,601398,工商银行,银行,False,Cross industry,7,0,0.0,False,False,,,
1,601318,中国平安,非银金融,603501,韦尔股份,电子,False,Cross industry,7,0,0.0,False,False,,,
1,601398,工商银行,银行,603501,韦尔股份,电子,False,Cross industry,7,0,0.0,False,False,,,
2,000001,平安银行,银行,000568,泸州老窖,食品饮料,False,Cross industry,5,5,1.0,True,True,0.04260841977224478,0.04260841977224478,0.061982956206215
2,000001,平安银行,银行,000725,京东方A,电子,False,Cross industry,5,4,0.8,True,False,0.052247420712052434,0.052247420712052434,0.0664530151568633
2,000001,平安银行,银行,000858,五粮液,食品饮料,False,Cross industry,5,5,1.0,True,True,0.07235079853733636,0.07235079853733636,0.0784584517008925
2,000001,平安银行,银行,002415,海康威视,电子,False,Cross industry,5,0,0.0,False,False,,,
2,000001,平安银行,银行,002460,赣锋锂业,新能源,False,Cross industry,5,1,0.2,False,False,0.001477287213686,0.001477287213686,0.001477287213686
2,000001,平安银行,银行,002475,立讯精密,电子,False,Cross industry,5,0,0.0,False,False,,,
2,000001,平安银行,银行,600030,中信证券,非银金融,False,Cross industry,5,2,0.4,False,False,0.02529315469899555,0.02529315469899555,0.0501459074563381
2,000001,平安银行,银行,600036,招商银行,银行,True,Same industry,5,5,1.0,True,True,0.38230992773431605,0.38230992773431605,0.397445551016737
2,000001,平安银行,银行,600519,贵州茅台,食品饮料,False,Cross industry,5,0,0.0,False,False,,,
2,000001,平安银行,银行,600887,伊利股份,食品饮料,False,Cross industry,5,5,1.0,True,True,0.04210103394520394,0.04210103394520394,0.0744241478449506
2,000001,平安银行,银行,601288,农业银行,银行,True,Same industry,5,0,0.0,False,False,,,
2,000001,平安银行,银行,601318,中国平安,非银金融,False,Cross industry,5,5,1.0,True,True,0.24129506107634652,0.24129506107634652,0.2587357731393246
2,000001,平安银行,银行,601398,工商银行,银行,True,Same industry,5,5,1.0,True,True,0.02777012192802756,0.02777012192802756,0.0457869838239187
2,000001,平安银行,银行,603501,韦尔股份,电子,False,Cross industry,5,0,0.0,False,False,,,
2,000568,泸州老窖,食品饮料,000725,京东方A,电子,False,Cross industry,5,2,0.4,False,False,0.0122519526371869,0.0122519526371869,0.0147039514753507
2,000568,泸州老窖,食品饮料,000858,五粮液,食品饮料,True,Same industry,5,5,1.0,True,True,0.41444035173707805,0.41444035173707805,0.4447891641811225
2,000568,泸州老窖,食品饮料,002415,海康威视,电子,False,Cross industry,5,1,0.2,False,False,0.0036245227488263,0.0036245227488263,0.0036245227488263
2,000568,泸州老窖,食品饮料,002460,赣锋锂业,新能源,False,Cross industry,5,5,1.0,True,True,0.06185756301919847,0.06185756301919847,0.0828555063637118
2,000568,泸州老窖,食品饮料,002475,立讯精密,电子,False,Cross industry,5,0,0.0,False,False,,,
2,000568,泸州老窖,食品饮料,600030,中信证券,非银金融,False,Cross industry,5,5,1.0,True,True,0.053631024058511126,0.053631024058511126,0.0727295366873275
2,000568,泸州老窖,食品饮料,600036,招商银行,银行,False,Cross industry,5,2,0.4,False,False,0.00536971620717475,0.00536971620717475,0.0074710875553186
2,000568,泸州老窖,食品饮料,600519,贵州茅台,食品饮料,True,Same industry,5,5,1.0,True,True,0.24141647437913627,0.24141647437913627,0.2773208562709064
2,000568,泸州老窖,食品饮料,600887,伊利股份,食品饮料,True,Same industry,5,5,1.0,True,True,0.06464737342566021,0.06464737342566021,0.0763730673593577
2,000568,泸州老窖,食品饮料,601288,农业银行,银行,False,Cross industry,5,0,0.0,False,False,,,
2,000568,泸州老窖,食品饮料,601318,中国平安,非银金融,False,Cross industry,5,5,1.0,True,True,0.0805770048277967,0.0805770048277967,0.1022614902848247
2,000568,泸州老窖,食品饮料,601398,工商银行,银行,False,Cross industry,5,0,0.0,False,False,,,
2,000568,泸州老窖,食品饮料,603501,韦尔股份,电子,False,Cross industry,5,4,0.8,True,False,0.0175358446425426,0.0175358446425426,0.0247557505011857
2,000725,京东方A,电子,000858,五粮液,食品饮料,False,Cross industry,5,5,1.0,True,True,0.030120429837727537,0.030120429837727537,0.0395581432948349
2,000725,京东方A,电子,002415,海康威视,电子,True,Same industry,5,5,1.0,True,True,0.1655823619836579,0.1655823619836579,0.1732524790919274
2,000725,京东方A,电子,002460,赣锋锂业,新能源,False,Cross industry,5,5,1.0,True,True,0.14438756516022402,0.14438756516022402,0.1619098645818906
2,000725,京东方A,电子,002475,立讯精密,电子,True,Same industry,5,5,1.0,True,True,0.1123642358259167,0.1123642358259167,0.133372758707303
2,000725,京东方A,电子,600030,中信证券,非银金融,False,Cross industry,5,3,0.6,False,False,0.02098876112662393,0.02098876112662393,0.0308985415129593
2,000725,京东方A,电子,600036,招商银行,银行,False,Cross industry,5,0,0.0,False,False,,,
2,000725,京东方A,电子,600519,贵州茅台,食品饮料,False,Cross industry,5,0,0.0,False,False,,,
