window_id,window_start,network_date,edge_count,density,mean_abs_partial,median_abs_partial,total_abs_partial,same_edges,cross_edges,same_industry_ratio,cross_industry_ratio,mean_abs_partial_same,mean_abs_partial_cross,positive_edges,negative_edges,edge_count_change,common_edges,lost_edges,gained_edges,gross_edge_changes,jaccard,turnover,lost_same,gained_same,lost_cross,gained_cross,same_edge_changes,cross_edge_changes,cross_change_share,edge_count_z,density_z,mean_abs_partial_z,same_edges_z,cross_edges_z,same_industry_ratio_z,turnover_z,gross_edge_changes_z,high_turnover_z1,high_turnover_z1_5,high_gross_change_z1
11,2023-11-03,2024-11-18,56,0.5333333333333333,0.1121972537283819,0.06872555382667214,6.283046208789386,17,39,0.30357142857142855,0.6964285714285714,0.20796358230352102,0.07045295665716739,54,2,1.0,54.0,1.0,2.0,3.0,0.9473684210526315,0.052631578947368474,0.0,0.0,1.0,2.0,0.0,3.0,1.0,0.9722198833697425,0.9722198833697414,-0.4092058693140877,-1.8237155375534573,1.181169673699645,-1.3015757761154596,-0.8224397917294367,-0.7194340149292847,False,False,False
12,2023-12-01,2024-12-16,54,0.5142857142857142,0.11688296495428642,0.07377808323967411,6.311680107531466,17,37,0.3148148148148148,0.6851851851851852,0.20895660084691603,0.0745788619765917,53,1,-2.0,54.0,2.0,0.0,2.0,0.9642857142857143,0.0357142857142857,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.6197191069432861,0.6197191069432842,0.1572854257236827,-1.8237155375534573,0.8389616373941405,-1.0795314188741958,-1.1196659560324975,-1.0368313744569102,False,False,False
13,2023-12-29,2025-01-14,57,0.5428571428571428,0.11115851949940757,0.0700694911167504,6.336035611466231,19,38,0.3333333333333333,0.6666666666666666,0.1915030245646656,0.07098626696677855,56,1,3.0,53.0,1.0,4.0,5.0,0.9137931034482759,0.08620689655172409,0.0,2.0,1.0,2.0,2.0,3.0,0.6,1.1484702715829707,1.148470271582969,-0.5347863565021633,0.8058277956631562,1.0100656555468928,-0.7138113010650572,-0.23254265338083763,-0.08463929587403347,False,False,False
14,2024-01-29,2025-02-19,57,0.5428571428571428,0.11096084095951993,0.0629754556775309,6.324767934692636,19,38,0.3333333333333333,0.6666666666666666,0.19254987462290138,0.07016632412782921,56,1,0.0,56.0,1.0,1.0,2.0,0.9655172413793104,0.03448275862068961,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.1484702715829707,1.148470271582969,-0.5586852198045019,0.8058277956631562,1.0100656555468928,-0.7138113010650572,-1.1413031097557091,-1.0368313744569102,False,False,False
15,2024-03-05,2025-03-19,56,0.5333333333333333,0.11290404423178534,0.0656738709139877,6.322626476979979,19,37,0.3392857142857143,0.6607142857142857,0.19406463340017122,0.07122698492910069,55,1,-1.0,55.0,2.0,1.0,3.0,0.9482758620689655,0.051724137931034475,0.0,0.0,2.0,1.0,0.0,3.0,1.0,0.9722198833697425,0.9722198833697414,-0.32375658567494864,0.8058277956631562,0.8389616373941405,-0.596258406054976,-0.8383829576307513,-0.7194340149292847,False,False,False
16,2024-04-02,2025-04-17,54,0.5142857142857142,0.11809805082047672,0.0846585724216603,6.377294744305743,19,35,0.35185185185185186,0.6481481481481481,0.19610875063396896,0.07574938520743807,53,1,-2.0,54.0,2.0,0.0,2.0,0.9642857142857143,0.0357142857142857,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.6197191069432861,0.6197191069432842,0.30418640462200586,0.8058277956631562,0.49675360108863603,-0.3480911832559175,-1.1196659560324975,-1.0368313744569102,False,False,False
17,2024-05-07,2025-05-20,55,0.5238095238095238,0.11600089936532594,0.0777649517519126,6.3800494650929265,19,36,0.34545454545454546,0.6545454545454545,0.19716271575408276,0.07316549627125984,54,1,1.0,54.0,0.0,1.0,1.0,0.9818181818181818,0.018181818181818188,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7959694951565144,0.7959694951565138,0.05064580289843763,0.8058277956631562,0.6678576192413883,-0.47443086031725656,-1.4277003444920315,-1.354228733984536,False,False,False
18,2024-06-04,2025-06-18,54,0.5142857142857142,0.11836331412202339,0.07492648128572721,6.391618962589263,19,35,0.35185185185185186,0.6481481481481481,0.19822144073586268,0.07501175967451065,53,1,-1.0,54.0,1.0,0.0,1.0,0.9818181818181818,0.018181818181818188,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.6197191069432861,0.6197191069432842,0.3362561041776281,0.8058277956631562,0.49675360108863603,-0.3480911832559175,-1.4277003444920315,-1.354228733984536,False,False,False
19,2024-07-03,2025-07-16,54,0.5142857142857142,0.11843953640571962,0.08473553887246674,6.39573496590886,19,35,0.35185185185185186,0.6481481481481481,0.20109696217321232,0.07356836241765216,54,0,0.0,53.0,1.0,1.0,2.0,0.9636363636363636,0.036363636363636376,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.6197191069432861,0.6197191069432842,0.34547119621383876,0.8058277956631562,0.49675360108863603,-0.3480911832559175,-1.10825727497844,-1.0368313744569102,False,False,False
20,2024-07-31,2025-08-13,55,0.5238095238095238,0.11611222008506973,0.0796553282792604,6.386172104678836,19,36,0.34545454545454546,0.6545454545454545,0.2008551816731779,0.07138676813579045,55,0,1.0,53.0,1.0,2.0,3.0,0.9464285714285714,0.0535714285714286,0.0,0.0,1.0,2.0,0.0,3.0,1.0,0.7959694951565144,0.7959694951565138,0.06410421201754057,0.8058277956631562,0.6678576192413883,-0.47443086031725656,-0.8059272270459338,-0.7194340149292847,False,False,False
