regime_before,regime_after,stock_code,stock_name,industry,mean_degree_before,mean_degree_after,delta_mean_degree,mean_strength_before,mean_strength_after,delta_mean_strength,delta_mean_same_degree,delta_mean_cross_degree,delta_mean_same_strength,delta_mean_cross_strength,mean_degree_rank_before,mean_degree_rank_after,degree_rank_improvement,mean_strength_rank_before,mean_strength_rank_after,strength_rank_improvement,rank_shift_magnitude,delta_degree_top5_share,delta_strength_top5_share,lost_core_incident,gained_core_incident,lost_same_core_incident,lost_cross_core_incident,gained_same_core_incident,gained_cross_core_incident,persistence_drop_burden,persistence_gain_burden,abs_persistence_shift_burden,cross_persistence_drop_burden,cross_persistence_gain_burden,cross_abs_persistence_shift_burden,major_persistence_drop_count,major_persistence_gain_count,total_core_change_incident,net_core_incident_change,net_persistence_shift,persistence_shift_share,core_change_incident_share,cross_shift_ratio,node_transition_mode
4,5,000725,京东方A,电子,6.75,4.6,-2.1500000000000004,0.7981627200111894,0.4652059345895284,-0.33295678542166096,-0.20000000000000018,-1.95,-0.17021404935926704,-0.16274273606239398,4.875,11.0,-6.125,6.25,11.4,-5.15,8.002382457743444,-0.3,-0.25,3,0,0,3,0,0,2.3499999999999996,0.2,2.55,2.1500000000000004,0.2,2.3500000000000005,2,0,3,-3,-2.1499999999999995,0.11915887850467288,0.13636363636363635,0.9215686274509807,Loss-dominated
4,5,600030,中信证券,非银金融,8.75,9.0,0.25,1.04245419761782,0.8706543355105879,-0.1717998621072322,0.0,0.25,0.010303332729537873,-0.18210319483676995,1.75,1.0,0.75,2.25,4.6,-2.3499999999999996,2.4667792767088015,0.0,-0.4,2,3,0,2,0,3,1.0,1.25,2.25,1.0,1.25,2.25,1,1,5,1,0.25,0.10514018691588783,0.22727272727272727,1.0,Rewiring
4,5,002460,赣锋锂业,新能源,5.25,4.4,-0.8499999999999996,0.32506342118087594,0.2003212507586337,-0.12474217042224225,0.0,-0.8499999999999996,0.0,-0.12474217042224225,8.875,12.6,-3.7249999999999996,15.0,15.0,0.0,3.7249999999999996,0.0,0.0,1,0,0,1,0,0,1.4,0.55,1.9499999999999997,1.4,0.55,1.9499999999999997,1,0,1,-1,-0.8499999999999999,0.09112149532710279,0.045454545454545456,1.0,Loss-dominated
4,5,601318,中国平安,非银金融,7.25,6.6,-0.6500000000000004,0.9495421007399079,0.8623449365542559,-0.08719716418565193,0.0,-0.6500000000000004,0.010303332729537873,-0.0975004969151898,3.375,4.2,-0.8250000000000002,3.25,4.0,-0.75,1.114955156048888,-0.4,0.0,1,0,0,1,0,0,1.25,0.6,1.8499999999999999,1.25,0.6,1.8499999999999999,1,1,1,-1,-0.65,0.0864485981308411,0.045454545454545456,1.0,Loss-dominated
4,5,603501,韦尔股份,电子,4.25,6.0,1.75,0.6126844033903561,0.6858736574216826,0.07318925403132648,0.0,1.75,0.03520466517221832,0.03798458885910841,11.875,6.0,5.875,10.75,8.8,1.9499999999999993,6.190163568113527,0.2,0.0,0,1,0,0,0,1,0.0,1.75,1.75,0.0,1.75,1.75,0,2,1,1,1.75,0.08177570093457943,0.045454545454545456,1.0,Gain-dominated
4,5,000858,五粮液,食品饮料,7.75,6.6,-1.1500000000000004,1.0985570803135336,0.9784602935127268,-0.12009678680080682,0.0,-1.15,-0.04274985128745279,-0.07734693551335413,2.5,4.1,-1.5999999999999996,1.25,1.6,-0.3500000000000001,1.6378339354159197,0.050000000000000044,0.0,0,1,0,0,0,1,1.4,0.25,1.65,1.4,0.25,1.65,2,0,1,1,-1.15,0.07710280373831775,0.045454545454545456,1.0,Gain-dominated
4,5,601398,工商银行,银行,3.0,4.6,1.5999999999999996,0.8501006719851345,0.9148566574840838,0.06475598549894934,0.0,1.6,0.01680036100290816,0.04795562449604111,14.375,11.4,2.9749999999999996,5.25,2.4,2.85,4.119845264084562,0.2,0.25,0,1,0,0,0,1,0.0,1.6,1.6,0.0,1.6,1.6,0,1,1,1,1.6,0.07476635514018691,0.045454545454545456,1.0,Gain-dominated
4,5,002415,海康威视,电子,5.5,6.2,0.7000000000000002,0.5790827651322493,0.5169509635352129,-0.06213180159703646,0.5,0.20000000000000018,-0.0721817337207748,0.010049932123738281,7.875,5.6,2.2750000000000004,12.0,12.2,-0.1999999999999993,2.2837742883218564,0.4,0.0,0,1,0,0,1,0,0.4,1.1,1.5,0.4,0.6,1.0,0,2,1,1,0.7000000000000001,0.07009345794392523,0.045454545454545456,0.6666666666666666,Gain-dominated
4,5,000568,泸州老窖,食品饮料,4.75,5.0,0.25,0.7613903598293429,0.7911255160840469,0.02973515625470402,0.0,0.25,0.03119328874364191,-0.0014581324889379396,10.375,10.4,-0.025000000000000355,7.75,6.2,1.5499999999999998,1.5502015997927494,0.0,0.2,1,1,0,1,0,1,0.6,0.85,1.45,0.6,0.85,1.45,1,1,2,0,0.25,0.06775700934579439,0.09090909090909091,1.0,Rewiring
4,5,600887,伊利股份,食品饮料,5.25,6.2,0.9500000000000002,0.45280044050045953,0.46571531139428857,0.012914870893829034,0.0,0.9500000000000002,-0.0826282363509015,0.09554310724473047,9.0,5.4,3.5999999999999996,14.0,12.8,1.1999999999999993,3.7947331922020546,0.4,0.0,0,1,0,0,0,1,0.1999999999999999,1.15,1.3499999999999999,0.1999999999999999,1.15,1.3499999999999999,0,2,1,1,0.95,0.0630841121495327,0.045454545454545456,1.0,Gain-dominated
