regime,stock_code,stock_name,industry,n_networks,mean_degree,sd_degree,mean_strength,sd_strength,mean_same_degree,mean_cross_degree,mean_same_strength,mean_cross_strength,mean_degree_rank,mean_strength_rank,degree_top5_share,strength_top5_share
3,002460,赣锋锂业,新能源,10,8.7,0.6749485577105528,0.6411740572917415,0.05220674097204873,0.0,8.7,0.0,0.6411740572917415,5.9,14.1,0.5,0.0
3,002475,立讯精密,电子,10,5.4,0.699205898780101,0.5594501803018241,0.024587838931964777,3.0,2.4,0.4707023565260511,0.0887478237757729,11.7,14.9,0.0,0.0
3,600030,中信证券,非银金融,10,8.8,0.4216370213557839,0.748030533291322,0.040071364095386544,1.0,7.8,0.12036799906570864,0.6276625342256132,5.55,11.2,0.5,0.0
3,600036,招商银行,银行,10,5.1,0.31622776601683794,0.8396259866958964,0.014158401674922591,3.0,2.1,0.5473365975455693,0.292289389150327,12.1,8.3,0.0,0.0
3,600519,贵州茅台,食品饮料,10,7.3,0.6749485577105528,0.9439217570172472,0.027143745091639696,3.0,4.3,0.7667398384546706,0.17718191856257665,9.25,4.4,0.0,1.0
3,600887,伊利股份,食品饮料,10,8.2,1.0327955589886446,0.6888695129976573,0.037027714998667687,3.0,5.2,0.5220000059755308,0.1668695070221264,7.45,12.7,0.2,0.0
3,601288,农业银行,银行,10,3.7,0.48304589153964794,0.7189121198060253,0.018532730493784517,3.0,0.7,0.7039836479629078,0.01492847184311764,14.15,11.9,0.0,0.0
3,601318,中国平安,非银金融,10,10.0,0.0,1.119036854632884,0.02472634058311106,1.0,9.0,0.12036799906570864,0.9986688555671753,1.6,1.8,1.0,1.0
3,601398,工商银行,银行,10,3.0,0.0,0.8373641363401838,0.018671219686740355,3.0,0.0,0.8373641363401838,0.0,14.85,8.0,0.0,0.0
3,603501,韦尔股份,电子,10,5.2,0.4216370213557839,0.8066422198177412,0.02403079751871445,3.0,2.2,0.4854194224494851,0.32122279736825615,11.9,9.4,0.0,0.0
4,000001,平安银行,银行,4,7.0,0.816496580927726,0.6801627708071568,0.04281739889316064,3.0,4.0,0.4303160284336227,0.24984674237353416,4.0,9.0,0.75,0.0
4,000568,泸州老窖,食品饮料,4,4.75,0.5,0.7613903598293429,0.028386507287577006,3.0,1.75,0.734436414903608,0.0269539449257349,10.375,7.75,0.0,0.0
4,000725,京东方A,电子,4,6.75,0.9574271077563381,0.7981627200111894,0.11167157062260008,3.0,3.75,0.48149577839667185,0.3166669416145176,4.875,6.25,0.5,0.25
4,000858,五粮液,食品饮料,4,7.75,1.2583057392117916,1.0985570803135336,0.030029375447539346,3.0,4.75,0.909716186125507,0.18884089418802658,2.5,1.25,0.75,1.0
4,002415,海康威视,电子,4,5.5,1.0,0.5790827651322493,0.05038041190110833,2.5,3.0,0.3535290565825755,0.22555370854967388,7.875,12.0,0.0,0.0
4,002460,赣锋锂业,新能源,4,5.25,0.9574271077563381,0.32506342118087594,0.01925584132728163,0.0,5.25,0.0,0.32506342118087594,8.875,15.0,0.0,0.0
4,002475,立讯精密,电子,4,4.25,0.9574271077563381,0.5197922627447149,0.02666214334901353,2.5,1.75,0.3979713241736354,0.1218209385710796,11.375,13.0,0.0,0.0
4,600030,中信证券,非银金融,4,8.75,0.9574271077563381,1.04245419761782,0.06578767611896269,1.0,7.75,0.3510560980095082,0.6913980996083118,1.75,2.25,1.0,1.0
4,600036,招商银行,银行,4,5.0,0.0,0.7768896507544972,0.02890358560100667,3.0,2.0,0.5882986950379075,0.18859095571658968,9.75,6.75,0.0,0.0
4,600519,贵州茅台,食品饮料,4,6.25,0.5,0.9736936868704849,0.010128382753622213,3.0,3.25,0.7127770214448544,0.2609166654256304,5.625,3.25,0.25,1.0
4,600887,伊利股份,食品饮料,4,5.25,0.5,0.45280044050045953,0.04022209615365698,3.0,2.25,0.39311999142583814,0.059680449074621424,9.0,14.0,0.0,0.0
4,601288,农业银行,银行,4,3.0,0.0,0.6170249014825218,0.025251381463669592,3.0,0.0,0.6170249014825218,0.0,14.375,10.25,0.0,0.0
4,601318,中国平安,非银金融,4,7.25,0.5,0.9495421007399079,0.0898722597722377,1.0,6.25,0.3510560980095082,0.5984860027303996,3.375,3.25,1.0,1.0
4,601398,工商银行,银行,4,3.0,0.0,0.8501006719851345,0.00217217825899202,3.0,0.0,0.8501006719851345,0.0,14.375,5.25,0.0,0.75
4,603501,韦尔股份,电子,4,4.25,0.5,0.6126844033903561,0.04589668787063208,3.0,1.25,0.4729751587843911,0.13970924460596498,11.875,10.75,0.0,0.0
5,000001,平安银行,银行,5,6.8,1.0954451150103321,0.765470284621034,0.08885213340504239,3.0,3.8,0.4589463506683737,0.30652393395266014,4.1,6.6,0.6,0.4
5,000568,泸州老窖,食品饮料,5,5.0,0.0,0.7911255160840469,0.025683898648779735,3.0,2.0,0.7656297036472499,0.02549581243679696,10.4,6.2,0.0,0.2
5,000725,京东方A,电子,5,4.6,1.6733200530681511,0.4652059345895284,0.24553136341427062,2.8,1.8,0.3112817290374048,0.1539242055521236,11.0,11.4,0.2,0.0
5,000858,五粮液,食品饮料,5,6.6,0.5477225575051662,0.9784602935127268,0.062081029495661195,3.0,3.6,0.8669663348380542,0.11149395867467245,4.1,1.6,0.8,1.0
5,002415,海康威视,电子,5,6.2,0.8366600265340756,0.5169509635352129,0.07457530929841806,3.0,3.2,0.2813473228618007,0.23560364067341216,5.6,12.2,0.4,0.0
5,002460,赣锋锂业,新能源,5,4.4,0.5477225575051662,0.2003212507586337,0.08178701173008741,0.0,4.4,0.0,0.2003212507586337,12.6,15.0,0.0,0.0
5,002475,立讯精密,电子,5,4.8,0.4472135954999579,0.4782702243730402,0.039906166226128977,2.8,2.0,0.3628488623679861,0.11542136200505397,11.1,12.6,0.0,0.0
5,600030,中信证券,非银金融,5,9.0,1.4142135623730951,0.8706543355105879,0.17222743626789094,1.0,8.0,0.3613594307390461,0.5092949047715418,1.0,4.6,1.0,0.6
5,600036,招商银行,银行,5,5.0,0.0,0.7541565313520213,0.029957433140433247,3.0,2.0,0.6257912005485874,0.1283653308034339,10.4,7.0,0.0,0.0
5,600519,贵州茅台,食品饮料,5,5.4,0.5477225575051662,0.8643431104485412,0.0568629508534705,3.0,2.4,0.6503167569761471,0.21402635347239407,8.6,4.2,0.0,0.8
5,600887,伊利股份,食品饮料,5,6.2,0.4472135954999579,0.46571531139428857,0.057643559517623906,3.0,3.2,0.31049175507493665,0.1552235563193519,5.4,12.8,0.4,0.0
5,601288,农业银行,银行,5,3.6,0.5477225575051661,0.5766894963214824,0.01073014063478353,3.0,0.6,0.5428083251909565,0.033881171130526,14.1,10.6,0.0,0.0
5,601318,中国平安,非银金融,5,6.6,0.5477225575051662,0.8623449365542559,0.025711069259835753,1.0,5.6,0.3613594307390461,0.5009855058152098,4.2,4.0,0.6,1.0
5,601398,工商银行,银行,5,4.6,0.8944271909999159,0.9148566574840838,0.04448413398834542,3.0,1.6,0.8669010329880427,0.04795562449604111,11.4,2.4,0.2,1.0
5,603501,韦尔股份,电子,5,6.0,0.0,0.6858736574216826,0.012535467790851984,3.0,3.0,0.5081798239566094,0.1776938334650734,6.0,8.8,0.2,0.0
