network_date,regime,stock_code,stock_name,industry,degree,strength,same_degree,cross_degree,same_strength,cross_strength,degree_rank,strength_rank,degree_top5,strength_top5
2024-07-18,1,000858,五粮液,食品饮料,10,1.1992713661555698,3,7,0.8421274847180502,0.35714388143751974,1.0,1.0,True,True
2024-07-18,1,002415,海康威视,电子,9,0.6881712366222655,3,6,0.2915593025385416,0.3966119340837239,3.0,9.0,True,False
2024-07-18,1,002460,赣锋锂业,新能源,8,0.5482675039370695,0,8,0.0,0.5482675039370695,6.0,12.0,False,False
2024-07-18,1,002475,立讯精密,电子,6,0.46788205535664423,3,3,0.3694239732839193,0.09845808207272491,11.0,15.0,False,False
2024-07-18,1,600030,中信证券,非银金融,9,0.732483250686494,1,8,0.2116538026530667,0.5208294480334272,3.0,8.0,True,False
2024-07-18,1,600036,招商银行,银行,7,0.867761035824048,3,4,0.46437081560321286,0.40339022022083515,8.5,5.0,False,True
2024-07-18,1,600519,贵州茅台,食品饮料,6,0.7387377985651798,3,3,0.5809879247493106,0.1577498738158693,11.0,7.0,False,False
2024-07-18,1,600887,伊利股份,食品饮料,7,0.518851403370165,3,4,0.22746844306088349,0.2913829603092816,8.5,13.0,False,False
2024-07-18,1,601288,农业银行,银行,2,0.6596960744475064,2,0,0.6596960744475064,0.0,15.0,10.0,False,False
2024-07-18,1,601318,中国平安,非银金融,9,1.1352594876276008,1,8,0.2116538026530667,0.9236056849745341,3.0,2.0,True,True
2024-07-18,1,601398,工商银行,银行,3,0.8013324511503762,3,0,0.8013324511503762,0.0,14.0,6.0,False,False
2024-07-18,1,603501,韦尔股份,电子,4,0.4971563214503549,3,1,0.4288369034403279,0.068319418010027,13.0,14.0,False,False
2024-08-15,2,000001,平安银行,银行,7,0.8423167808082814,2,5,0.4267191054634109,0.4155976753448705,8.5,4.0,False,True
2024-08-15,2,000568,泸州老窖,食品饮料,8,0.8987750143273717,3,5,0.786640480285454,0.1121345340419179,7.0,3.0,False,True
2024-08-15,2,000725,京东方A,电子,7,0.6470022662278384,3,4,0.4034538962453682,0.2435483699824703,8.5,11.0,False,False
2024-08-15,2,000858,五粮液,食品饮料,10,1.1701330421414355,3,7,0.8322945439296577,0.33783849821177775,1.0,1.0,True,True
2024-08-15,2,002415,海康威视,电子,9,0.7219059424846798,3,6,0.3732954261375308,0.3486105163471489,4.0,9.0,True,False
2024-08-15,2,002460,赣锋锂业,新能源,9,0.6349186332584174,0,9,0.0,0.6349186332584174,4.0,12.0,True,False
2024-08-15,2,002475,立讯精密,电子,6,0.4902657972629053,3,3,0.4075394524771435,0.0827263447857618,11.0,15.0,False,False
2024-08-15,2,600030,中信证券,非银金融,9,0.744682068783287,1,8,0.1981299459708411,0.5465521228124459,4.0,8.0,True,False
2024-08-15,2,600036,招商银行,银行,5,0.8309647219304753,2,3,0.46856939636010486,0.3623953255703705,13.0,5.0,False,True
2024-08-15,2,600519,贵州茅台,食品饮料,6,0.7829084224301057,3,3,0.6459661294078886,0.1369422930222173,11.0,7.0,False,False
2024-08-15,2,600887,伊利股份,食品饮料,9,0.5795484862297067,3,6,0.2798299453865647,0.2997185408431421,4.0,13.0,True,False
2024-08-15,2,601288,农业银行,银行,2,0.6842616776825727,1,1,0.6578650293833774,0.0263966482991953,15.0,10.0,False,False
2024-08-15,2,601318,中国平安,非银金融,9,1.0519689000205514,1,8,0.1981299459708411,0.8538389540497103,4.0,2.0,True,True
2024-08-15,2,601398,工商银行,银行,4,0.8124957486046189,3,1,0.7912892879279088,0.0212064606767102,14.0,6.0,False,False
2024-08-15,2,603501,韦尔股份,电子,6,0.5737047099855286,3,3,0.4671871128786613,0.1065175971068673,11.0,14.0,False,False
2024-09-12,2,000001,平安银行,银行,8,0.7894570330390608,2,6,0.4115952897281389,0.37786174331092204,6.0,6.0,False,False
2024-09-12,2,000568,泸州老窖,食品饮料,8,0.94784265351433,3,5,0.7852252044828089,0.16261744903152112,6.0,3.0,False,True
2024-09-12,2,000725,京东方A,电子,8,0.5612113442657632,3,5,0.361857192426925,0.19935415183883817,6.0,13.0,False,False
2024-09-12,2,000858,五粮液,食品饮料,11,1.2000488864625118,3,8,0.8581527743238929,0.341896112138619,1.5,1.0,True,True
2024-09-12,2,002415,海康威视,电子,8,0.7677690171955576,3,5,0.36638220159824114,0.4013868155973165,6.0,9.0,False,False
2024-09-12,2,002460,赣锋锂业,新能源,9,0.6101945656311727,0,9,0.0,0.6101945656311727,3.0,12.0,True,False
2024-09-12,2,002475,立讯精密,电子,5,0.46194488626145075,3,2,0.3923092482692765,0.0696356379921743,12.5,15.0,False,False
2024-09-12,2,600030,中信证券,非银金融,11,0.8228455151199731,1,10,0.1956073329575754,0.6272381821623977,1.5,4.0,True,True
2024-09-12,2,600036,招商银行,银行,5,0.7937051174538415,2,3,0.5075297127340387,0.2861754047198028,12.5,5.0,False,True
