factor_name,window,transition_count,mean_temporal_spearman,median_temporal_spearman,p10_temporal_spearman,p90_temporal_spearman,mean_common_obs
neighbor_turnover_1m,60,136,0.3096184486010181,0.3096092280103385,0.18205015613151748,0.4578939295870454,3771.485294117647
neighbor_turnover_1m,120,133,0.4555410878526452,0.4554559990127281,0.3713517098450236,0.5386228704062366,3706.5413533834585
neighbor_turnover_1m,252,127,0.45462178469617015,0.46620879710215957,0.3844986049858825,0.5167980172864153,3469.165354330709
new_neighbor_count_1m,60,136,0.4669553399555972,0.461358907451314,0.3140346963063123,0.6068370449912924,3817.8382352941176
new_neighbor_count_1m,120,133,0.5929546007929383,0.5976520495393427,0.46248350610754446,0.6913420946636313,3823.4887218045114
new_neighbor_count_1m,252,127,0.644322852844866,0.6594038705892175,0.5566782107373583,0.7199847933012874,3739.4409448818897
outside_community_degree_percentile,60,137,0.5110571077446019,0.5139979453547984,0.37515288732447394,0.6514950198028095,3859.3795620437954
outside_community_degree_percentile,120,134,0.7088653785140396,0.7074971219233603,0.5985274373348529,0.8106009211638334,3848.8880597014927
outside_community_degree_percentile,252,128,0.827937893252203,0.8373916693850789,0.7573313516041799,0.8907738737932652,3759.6328125
outside_community_degree_ratio,60,137,0.3547898512558143,0.3676004907817222,0.21383440939161605,0.4673518105456437,3730.8540145985403
outside_community_degree_ratio,120,134,0.517310236538906,0.5219003160291033,0.39934043154257587,0.6356404322982767,3625.313432835821
outside_community_degree_ratio,252,128,0.638783755503374,0.6432672253787011,0.5235146071497905,0.7494242322854503,3375.7421875
outside_community_strength_percentile,60,137,0.5145795232492139,0.5224607603802057,0.37830557764270434,0.6532740836791749,3859.3795620437954
outside_community_strength_percentile,120,134,0.7145283250829254,0.7143057461427607,0.6075527815204286,0.814357581685026,3848.8880597014927
outside_community_strength_percentile,252,128,0.833884946959561,0.8426978176940696,0.7618815966537216,0.8945484524001157,3759.6328125
participation_coefficient_percentile,60,137,0.37236092843190777,0.3814312640121001,0.2341994625876109,0.49458320510657783,3730.8540145985403
participation_coefficient_percentile,120,134,0.5409911502119672,0.5476562948082844,0.41743406311217734,0.6570801402837829,3625.313432835821
participation_coefficient_percentile,252,128,0.6601404938948896,0.6625920370884213,0.5476771121492388,0.7634848563019955,3375.7421875
residual_degree_percentile,60,137,0.7263125096376198,0.7427687253522433,0.5977779244958508,0.8260466930732426,3859.3795620437954
residual_degree_percentile,120,134,0.8900819637260933,0.8989885921800564,0.8190222189552829,0.9402273451957274,3848.8880597014927
residual_degree_percentile,252,128,0.9581093276873143,0.9664943699768236,0.9284753959678903,0.9790359354272972,3759.6328125
residual_strength_percentile,60,137,0.7321864399012403,0.7490528883168985,0.6051366877732974,0.8282017454396878,3859.3795620437954
residual_strength_percentile,120,134,0.894893087704346,0.9019095354012138,0.8251583507374207,0.9426392280092707,3848.8880597014927
residual_strength_percentile,252,128,0.9612738602224371,0.9696602491803497,0.9333411820838066,0.9806507354566275,3759.6328125
same_industry_degree_percentile,60,137,0.7821990886006036,0.7890028140047459,0.6972825448655133,0.8622508188915607,3859.3795620437954
same_industry_degree_percentile,120,134,0.8998857996281998,0.908022505890919,0.8434312822217028,0.9442429437629173,3848.8880597014927
same_industry_degree_percentile,252,128,0.9569463568057879,0.9656443105597339,0.9230591037846694,0.9786919680843033,3759.6328125
same_industry_strength_percentile,60,137,0.7886932633865215,0.7964890002430423,0.70548645997831,0.864926556896304,3859.3795620437954
same_industry_strength_percentile,120,134,0.9067087155521775,0.9160028236868718,0.8536112056732749,0.947875706327169,3848.8880597014927
same_industry_strength_percentile,252,128,0.9619811147970042,0.9701855787322099,0.9333840025067426,0.980788604178454,3759.6328125
weighted_participation_coefficient_percentile,60,137,0.3777999097313299,0.3897165512906234,0.2417376292317124,0.49953361524780066,3730.8540145985403
weighted_participation_coefficient_percentile,120,134,0.5468226473264896,0.5533691164123363,0.4250664836086299,0.6610646782900387,3625.313432835821
weighted_participation_coefficient_percentile,252,128,0.6622895695838358,0.6665235441873172,0.5508872886431303,0.7650642398132669,3375.7421875
within_community_degree_percentile,60,137,0.69553290317777,0.7073372210625428,0.5537045111625594,0.811872677607681,3859.3795620437954
within_community_degree_percentile,120,134,0.872178843136837,0.8846011363536339,0.7841134474394947,0.929600656254479,3848.8880597014927
within_community_degree_percentile,252,128,0.9497058789562747,0.9579448714075312,0.9149815515038447,0.9753562726058076,3759.6328125
within_community_strength_percentile,60,137,0.7029795984517377,0.7126355818181973,0.5631362641298906,0.8159966051609054,3859.3795620437954
within_community_strength_percentile,120,134,0.8786563864904582,0.8885047112689692,0.7950471999040062,0.9326762568081044,3848.8880597014927
within_community_strength_percentile,252,128,0.9542146529131341,0.962323871540468,0.9213447505790591,0.9775015257413074,3759.6328125
