analysis_date,window,factor_name,family,tier,row_count,eligible_count,nonmissing_count,eligible_nonmissing_share,mean,std,q01,q25,median,q75,q99,iqr,unique_count,zero_share,varying,range_violation_count
2026-03-31,60,cross_industry_strength_percentile,industry,auxiliary,5145,5145,5145,1.0,0.5000971817298347,0.28866172328004525,0.022740524781341108,0.2501457725947522,0.5000971817298347,0.7500485908649174,0.9900019436345967,0.4999028182701652,4905,0.0,True,0
2026-04-30,60,cross_industry_strength_percentile,industry,auxiliary,5150,5150,5150,1.0,0.5000970873786408,0.2886742232446902,0.009320388349514564,0.25014563106796117,0.5000970873786408,0.7500485436893204,0.9900019417475728,0.4999029126213592,5055,0.0,True,0
2026-05-29,60,cross_industry_strength_percentile,industry,auxiliary,5149,5149,5149,1.0,0.5000971062342202,0.2886748388498416,0.006409011458535638,0.2501456593513304,0.5000971062342202,0.7500485531171102,0.9900019421246843,0.4999028937657798,5085,0.0,True,0
2026-06-30,60,cross_industry_strength_percentile,industry,auxiliary,5156,5156,5156,1.0,0.5000969743987588,0.28865683349009863,0.0252133436772692,0.2501454615981381,0.5000969743987587,0.7500484871993793,0.9900019394879751,0.4999030256012412,4890,0.0,True,0
2026-07-31,60,cross_industry_strength_percentile,industry,auxiliary,5172,5172,5172,1.0,0.5000966744006187,0.285231166130774,0.14375483372003092,0.14375483372003092,0.5000966744006188,0.7500483372003094,0.9900019334880124,0.6062935034802784,3642,0.0,True,0
2026-08-31,60,cross_industry_strength_percentile,industry,auxiliary,5175,5175,5175,1.0,0.500096618357488,0.2868287619909857,0.11690821256038647,0.2501449275362319,0.500096618357488,0.750048309178744,0.9900019323671497,0.4999033816425121,3935,0.0,True,0
2026-09-03,60,cross_industry_strength_percentile,industry,auxiliary,5176,5176,5176,1.0,0.5000965996908809,0.2864632651000067,0.1241306027820711,0.25021734930448225,0.500096599690881,0.7500482998454405,0.9900019319938176,0.4998309505409583,3858,0.0,True,0
2015-04-30,60,cross_industry_strength_ratio,industry,auxiliary,1993,1986,1986,1.0,0.841133011922715,0.17831583047547586,0.30002369741816765,0.7496081388799496,0.8959481753299094,0.9999999804652323,1.0000000465473389,0.2503918415852827,1882,0.0005035246727089627,True,271
2015-05-29,60,cross_industry_strength_ratio,industry,auxiliary,1914,1898,1898,1.0,0.8436205348528047,0.18441834161129553,0.28036095966802677,0.7459717696493449,0.899555615037766,0.9999999865671075,1.000000048093623,0.2540282169177627,1762,0.003161222339304531,True,282
2015-06-30,60,cross_industry_strength_ratio,industry,auxiliary,1802,1780,1780,1.0,0.8535443285429574,0.17841861138959475,0.3044276644261091,0.7700778717878018,0.9111452817141545,0.9999999961438898,1.0000000461609235,0.22992212435608794,1621,0.0016853932584269663,True,284
