factor_a,factor_b,window,valid_month_count,mean_rho,median_rho,mean_abs_rho,median_abs_rho,p90_abs_rho,share_abs_rho_ge_090,median_pair_obs
delta_strength_percentile,delta_cross_industry_degree_percentile_1m,60,137,0.20952397169323808,0.20017315797789015,0.21038720511925438,0.20017315797789015,0.333801758105646,0.0,3989.0
delta_strength_percentile,delta_cross_industry_degree_percentile_1m,120,134,0.13180982646025188,0.13111613636879688,0.1345029668260344,0.13111613636879688,0.23379454944861827,0.0,3943.5
delta_strength_percentile,delta_cross_industry_degree_percentile_1m,252,128,0.0849261452983426,0.07638974959589168,0.0958341927329131,0.07800846286298158,0.19965809109887217,0.0,3816.5
delta_strength_percentile,delta_cross_industry_degree_ratio_1m,60,137,0.0027975898475521236,0.0028386795779937967,0.03150254265608733,0.02927373769771959,0.06367333452679316,0.0,3790.0
delta_strength_percentile,delta_cross_industry_degree_ratio_1m,120,134,0.009623443752437824,0.00349537879953096,0.031723906218057096,0.024339424176525876,0.06556453592014204,0.0,3898.0
delta_strength_percentile,delta_cross_industry_degree_ratio_1m,252,128,0.011246599236130063,0.00826086565948149,0.0335294993888791,0.029275198622639963,0.06530340773003235,0.0,3539.0
delta_strength_percentile,delta_residual_degree_percentile_1m,60,137,0.22290507982346075,0.21930438881244316,0.22378456180150677,0.21930438881244316,0.3511781133542653,0.0,3989.0
delta_strength_percentile,delta_residual_degree_percentile_1m,120,134,0.14589031961038604,0.15690525298761623,0.14735775142491894,0.15690525298761623,0.2435637897223761,0.0,3943.5
delta_strength_percentile,delta_residual_degree_percentile_1m,252,128,0.0973294846621565,0.09376753819554631,0.1050797786106609,0.09614272983635336,0.20356595464887528,0.0,3816.5
delta_strength_percentile,delta_residual_strength_percentile_1m,60,137,0.2218913959498305,0.21676975264026627,0.22295939444237495,0.21676975264026627,0.34826836056799654,0.0,3989.0
delta_strength_percentile,delta_residual_strength_percentile_1m,120,134,0.14451051322016528,0.15363664603543872,0.14623066821928382,0.15363664603543872,0.23961906002419237,0.0,3943.5
delta_strength_percentile,delta_residual_strength_percentile_1m,252,128,0.09788676626135791,0.09387268351220542,0.10649975785919974,0.09687338042171911,0.21265926866661464,0.0,3816.5
delta_strength_percentile,delta_same_industry_degree_percentile_1m,60,137,0.12238644629466097,0.12270560664127327,0.12400185173523261,0.12270560664127327,0.20500140476700876,0.0,3989.0
delta_strength_percentile,delta_same_industry_degree_percentile_1m,120,134,0.08201836437339596,0.08556242199307429,0.08662064338617936,0.08556242199307429,0.150713759478473,0.0,3943.5
delta_strength_percentile,delta_same_industry_degree_percentile_1m,252,128,0.05684099455701766,0.049007715087670836,0.06981579442324312,0.05601412953432376,0.1578515651048908,0.0,3816.5
delta_strength_percentile,external_community_count,60,138,0.14471600748420213,0.1286298510223093,0.15018497241097015,0.1286298510223093,0.29667856918685404,0.0,4017.0
delta_strength_percentile,external_community_count,120,135,0.20003777699361613,0.17305077146829825,0.20218629116275982,0.17305077146829825,0.39150463791395573,0.0,3971.0
delta_strength_percentile,external_community_count,252,129,0.25705785455700747,0.23912210265026457,0.25705785455700747,0.23912210265026457,0.41801418301410664,0.0,3829.0
delta_strength_percentile,lost_neighbor_count_1m,60,137,0.17372977978333667,0.18025039818042798,0.18101168506560728,0.18025039818042798,0.3079864173710911,0.0,3989.0
delta_strength_percentile,lost_neighbor_count_1m,120,134,0.23413844897287334,0.24447312219585804,0.23428216635529925,0.24447312219585804,0.3425905502897316,0.0,3943.5
delta_strength_percentile,lost_neighbor_count_1m,252,128,0.2773364338622881,0.27975596068516506,0.2773364338622881,0.27975596068516506,0.3568943077954252,0.0,3816.5
delta_strength_percentile,neighbor_jaccard_1m,60,137,0.3550564492667047,0.3570588276806035,0.3550564492667047,0.3570588276806035,0.48519156846221667,0.0,3989.0
delta_strength_percentile,neighbor_jaccard_1m,120,134,0.3578437430593941,0.3578748717125788,0.3578437430593941,0.3578748717125788,0.4597036666655306,0.0,3939.5
delta_strength_percentile,neighbor_jaccard_1m,252,128,0.29476763701338116,0.30409932924711025,0.2947978370991815,0.30409932924711025,0.3646262250372844,0.0,3691.0
delta_strength_percentile,neighbor_retention_1m,60,137,0.38356048625089467,0.37978003905775354,0.38356048625089467,0.37978003905775354,0.5056925103421308,0.0,3850.0
delta_strength_percentile,neighbor_retention_1m,120,134,0.34500653130901365,0.34343279954405376,0.3455130061593807,0.34343279954405376,0.44648579976850916,0.0,3922.0
delta_strength_percentile,neighbor_retention_1m,252,128,0.2310161689310832,0.23734966006311264,0.23374996811021365,0.23734966006311264,0.337056742590935,0.0,3619.0
delta_strength_percentile,neighbor_turnover_1m,60,137,-0.3550564492667047,-0.3570588276806035,0.3550564492667047,0.3570588276806035,0.48519156846221667,0.0,3989.0
delta_strength_percentile,neighbor_turnover_1m,120,134,-0.3578437430593941,-0.3578748717125788,0.3578437430593941,0.3578748717125788,0.4597036666655306,0.0,3939.5
delta_strength_percentile,neighbor_turnover_1m,252,128,-0.29476763701338116,-0.30409932924711025,0.2947978370991815,0.30409932924711025,0.3646262250372844,0.0,3691.0
delta_strength_percentile,new_neighbor_count_1m,60,137,0.4202637581960215,0.42063673817110286,0.4202637581960215,0.42063673817110286,0.5411587322660354,0.0,3989.0
delta_strength_percentile,new_neighbor_count_1m,120,134,0.38506957050981205,0.38293068911996675,0.38506957050981205,0.38293068911996675,0.4943509166749939,0.0,3943.5
delta_strength_percentile,new_neighbor_count_1m,252,128,0.37896248593553117,0.37821404129265723,0.37896248593553117,0.37821404129265723,0.47346536612633466,0.0,3816.5
delta_strength_percentile,outside_community_degree_percentile,60,138,0.26744008456117435,0.2658552758723135,0.26744008456117435,0.2658552758723135,0.3866930011816308,0.0,4017.0
delta_strength_percentile,outside_community_degree_percentile,120,135,0.2859865966812351,0.27735972311899615,0.2859865966812351,0.27735972311899615,0.45557534605038486,0.0,3971.0
delta_strength_percentile,outside_community_degree_percentile,252,129,0.3139784370972494,0.297250229249333,0.3139784370972494,0.297250229249333,0.44899228428077337,0.0,3829.0
delta_strength_percentile,outside_community_degree_ratio,60,138,-0.17235100532458175,-0.1999749985572854,0.2062065907171953,0.21068842555673917,0.35029602848806074,0.0,3892.5
delta_strength_percentile,outside_community_degree_ratio,120,135,-0.1102067904020018,-0.14490373469884157,0.1719451027904146,0.17156506464033547,0.30264872152493905,0.0,3944.0
delta_strength_percentile,outside_community_degree_ratio,252,129,-0.006396915858722677,-0.02181276315573859,0.09950206816261009,0.07213538190452327,0.21126717087401686,0.0,3621.0
delta_strength_percentile,outside_community_strength_percentile,60,138,0.2677375804723008,0.26525215217290765,0.2677375804723008,0.26525215217290765,0.38650424653971877,0.0,4017.0
delta_strength_percentile,outside_community_strength_percentile,120,135,0.2855628734711152,0.2744004084349517,0.2855628734711152,0.2744004084349517,0.45769997910445165,0.0,3971.0
delta_strength_percentile,outside_community_strength_percentile,252,129,0.3135566318135022,0.29640788873587476,0.3135566318135022,0.29640788873587476,0.4482653089605784,0.0,3829.0
delta_strength_percentile,participation_coefficient_percentile,60,138,-0.16268649212779746,-0.19759006568069415,0.19905029988106884,0.2025512781539134,0.34888145908225837,0.0,3892.5
delta_strength_percentile,participation_coefficient_percentile,120,135,-0.09735119523470585,-0.1213959926237577,0.1640047126883988,0.15667426367351303,0.2965488400739481,0.0,3944.0
delta_strength_percentile,participation_coefficient_percentile,252,129,0.0028355364626462824,-0.012942980258656601,0.10101625446377889,0.08746952617216522,0.21148689244859858,0.0,3621.0
delta_strength_percentile,same_industry_degree_percentile,60,138,0.3759719490665021,0.3781859357406812,0.3759719490665021,0.3781859357406812,0.44849213385936737,0.0,4017.0
delta_strength_percentile,same_industry_degree_percentile,120,135,0.4066161115477098,0.40557448063529683,0.4066161115477098,0.40557448063529683,0.46628713199958494,0.0,3971.0
delta_strength_percentile,same_industry_degree_percentile,252,129,0.4258756995286654,0.42100546682691053,0.4258756995286654,0.42100546682691053,0.48830766014480703,0.0,3829.0
delta_strength_percentile,same_industry_strength_percentile,60,138,0.37956874409783586,0.3810982704116247,0.37956874409783586,0.3810982704116247,0.4501887556305238,0.0,4017.0
delta_strength_percentile,same_industry_strength_percentile,120,135,0.41002255492894246,0.4109456474866559,0.41002255492894246,0.4109456474866559,0.4685264734411702,0.0,3971.0
delta_strength_percentile,same_industry_strength_percentile,252,129,0.4301295434471486,0.42218825598688586,0.4301295434471486,0.42218825598688586,0.49421629359559677,0.0,3829.0
