scope,portfolio_scope,factor_family,factor_name,method,window,scenario_order,scenario_id,liquidity_basis,participation_cap,target_executable_share,execution_days,is_primary,rebalance_n,trade_rebalance_n,no_trade_rebalance_n,constant_no_trade_share,baseline_executable_share,capacity_status,solver_used,capacity_cny,capacity_yi_cny,gross_notional_at_capacity_cny,executable_share_at_capacity,step5_primary_capacity_cny,capacity_minus_primary_cny,capacity_ratio_to_primary,mean_coverage_capacity_cny,capacity_abs_difference_cny,capacity_relative_difference
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,5,ADV20_P05_E95,ADV20,0.05,0.95,1,True,134,134,0,0.0,0.988480316155188,PASS_EXACT,EXACT_PIECEWISE,874327947.8862323,8.743279478862323,1748655895.7724645,0.9500000000000616,874327947.8862323,0.0,1.0,874327947.8824549,0.0037773847579956055,4.3203294223227085e-12
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,252,5,ADV20_P05_E95,ADV20,0.05,0.95,1,True,128,128,0,0.0,0.9882435365762914,PASS_EXACT,EXACT_PIECEWISE,781261052.5712591,7.812610525712591,1562522105.1425183,0.9500000000001168,781261052.5712591,0.0,1.0,781261052.568747,0.0025120973587036133,3.2154391293972273e-12
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,5,ADV20_P05_E95,ADV20,0.05,0.95,1,True,134,134,0,0.0,0.9885475846851071,PASS_EXACT,EXACT_PIECEWISE,867374456.5275598,8.673744565275598,1734748913.0551195,0.9499999999998696,867374456.5275598,0.0,1.0,867374456.5197134,0.007846355438232422,9.046099270337566e-12
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,5,ADV20_P05_E95,ADV20,0.05,0.95,1,True,134,134,0,0.0,0.9855846312438907,PASS_EXACT,EXACT_PIECEWISE,850948955.2312088,8.509489552312088,1701897910.4624176,0.9500000000000681,850948955.2312088,0.0,1.0,850948955.226074,0.0051348209381103516,6.0342290880963234e-12
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,252,5,ADV20_P05_E95,ADV20,0.05,0.95,1,True,128,128,0,0.0,0.9846959907912141,PASS_EXACT,EXACT_PIECEWISE,763408800.9600163,7.634088009600163,1526817601.9200325,0.9500000000000937,763408800.9600163,0.0,1.0,763408800.9594871,0.000529170036315918,6.931673248341293e-13
PORTFOLIO_LEG,Q1,STRUCTURAL,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,5,ADV20_P05_E95,ADV20,0.05,0.95,1,True,134,134,0,0.0,0.9876421158069549,PASS_EXACT,EXACT_PIECEWISE,858484619.509726,8.58484619509726,858484619.509726,0.9499999999999919,858484619.509726,0.0,1.0,858484619.505975,0.003751039505004883,4.369372985579476e-12
PORTFOLIO_LEG,Q1,STRUCTURAL,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,5,ADV20_P05_E95,ADV20,0.05,0.95,1,True,134,134,0,0.0,0.9848173359262671,PASS_EXACT,EXACT_PIECEWISE,821306797.1053979,8.21306797105398,821306797.1053979,0.9499999999999387,821306797.1053979,0.0,1.0,821306797.1012782,0.004119753837585449,5.016096119167303e-12
PORTFOLIO_LEG,Q1,STRUCTURAL,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,252,5,ADV20_P05_E95,ADV20,0.05,0.95,1,True,128,128,0,0.0,0.9847968361743213,PASS_EXACT,EXACT_PIECEWISE,725905199.9425108,7.259051999425108,725905199.9425108,0.949999999999996,725905199.9425108,0.0,1.0,725905199.9404132,0.002097606658935547,2.889642695916397e-12
PORTFOLIO_LEG,Q1,STRUCTURAL,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,60,5,ADV20_P05_E95,ADV20,0.05,0.95,1,True,134,134,0,0.0,0.9908688990714793,PASS_EXACT,EXACT_PIECEWISE,978917676.6918839,9.789176766918839,978917676.6918839,0.9499999999999375,978917676.6918839,0.0,1.0,978917676.6870688,0.004815101623535156,4.9188013846381926e-12
PORTFOLIO_LEG,Q1,STRUCTURAL,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,120,5,ADV20_P05_E95,ADV20,0.05,0.95,1,True,134,134,0,0.0,0.9890771865219017,PASS_EXACT,EXACT_PIECEWISE,910980509.8509593,9.109805098509593,910980509.8509593,0.9500000000000424,910980509.8509593,0.0,1.0,910980509.8495468,0.001412510871887207,1.5505390692941286e-12
