scope,portfolio_scope,factor_family,factor_name,method,window,scenario_order,scenario_id,liquidity_basis,participation_cap,target_executable_share,execution_days,is_primary,rebalance_n,trade_rebalance_n,no_trade_rebalance_n,constant_no_trade_share,baseline_executable_share,capacity_status,solver_used,capacity_cny,capacity_yi_cny,gross_notional_at_capacity_cny,executable_share_at_capacity,step5_primary_capacity_cny,capacity_minus_primary_cny,capacity_ratio_to_primary
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,15,ADV60_P05_E97p5,ADV60,0.05,0.975,1,False,134,134,0,0.0,0.9862180553067241,PASS_EXACT,EXACT_PIECEWISE,573455460.4295052,5.734554604295052,1146910920.8590105,0.9749999999999134,850161392.2160816,-276705931.7865764,0.6745254085635456
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,16,ADV60_P10_E90,ADV60,0.1,0.9,1,False,134,134,0,0.0,0.9862180553067241,PASS_EXACT,EXACT_PIECEWISE,3156673513.8862667,31.56673513886267,6313347027.772533,0.8999999999999131,850161392.2160816,2306512121.670185,3.7130285411548654
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,17,ADV60_P10_E95,ADV60,0.1,0.95,1,False,134,134,0,0.0,0.9862180553067241,PASS_EXACT,EXACT_PIECEWISE,1932431940.5164483,19.324319405164484,3864863881.0328965,0.9499999999999137,850161392.2160816,1082270548.3003666,2.273017756639425
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,18,ADV60_P10_E97p5,ADV60,0.1,0.975,1,False,134,134,0,0.0,0.9862180553067241,PASS_EXACT,EXACT_PIECEWISE,1146910920.8590105,11.469109208590105,2293821841.718021,0.9749999999999134,850161392.2160816,296749528.64292884,1.3490508171270912
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,252,1,ADV20_P01_E90,ADV20,0.01,0.9,1,False,128,128,0,0.0,0.9861399713123853,PASS_EXACT,EXACT_PIECEWISE,258178824.4702978,2.5817882447029783,516357648.9405956,0.8999999999999385,769538635.5574601,-511359811.08716226,0.335498196634755
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,252,2,ADV20_P01_E95,ADV20,0.01,0.95,1,False,128,128,0,0.0,0.9861399713123853,PASS_EXACT,EXACT_PIECEWISE,153907727.111492,1.53907727111492,307815454.222984,0.9499999999999349,769538635.5574601,-615630908.445968,0.19999999999999998
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,252,3,ADV20_P01_E97p5,ADV20,0.01,0.975,1,False,128,128,0,0.0,0.9861399713123853,PASS_EXACT,EXACT_PIECEWISE,89724098.96657935,0.8972409896657935,179448197.9331587,0.974999999999934,769538635.5574601,-679814536.5908808,0.11659466441419472
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,252,4,ADV20_P05_E90,ADV20,0.05,0.9,1,False,128,128,0,0.0,0.9861399713123853,PASS_EXACT,EXACT_PIECEWISE,1290894122.351489,12.90894122351489,2581788244.702978,0.8999999999999385,769538635.5574601,521355486.794029,1.677490983173775
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,252,5,ADV20_P05_E95,ADV20,0.05,0.95,1,True,128,128,0,0.0,0.9861399713123853,PASS_EXACT,EXACT_PIECEWISE,769538635.5574601,7.695386355574601,1539077271.1149201,0.9499999999999348,769538635.5574601,0.0,1.0
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,252,6,ADV20_P05_E97p5,ADV20,0.05,0.975,1,False,128,128,0,0.0,0.9861399713123853,PASS_EXACT,EXACT_PIECEWISE,448620494.8328967,4.486204948328967,897240989.6657934,0.974999999999934,769538635.5574601,-320918140.72456336,0.5829733220709735
