scope,portfolio_scope,factor_family,window,scenario_order,scenario_id,liquidity_basis,participation_cap,target_executable_share,is_primary,factor_n,mean_capacity_yi_cny,median_capacity_yi_cny,mean_capacity_ratio_to_primary
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,252,7,ADV20_P10_E90,ADV20,0.1,0.9,False,5,25.240669424947164,25.781238102783355,3.3397391365672098
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,252,8,ADV20_P10_E95,ADV20,0.1,0.95,False,5,15.111773217078541,15.390772711149202,2.0
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,252,9,ADV20_P10_E97p5,ADV20,0.1,0.975,False,5,8.878901359153625,8.972409896657934,1.1752178028456304
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,252,10,ADV60_P01_E90,ADV60,0.01,0.9,False,5,2.8266795774046116,2.896071060743606,0.37398354301720127
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,252,11,ADV60_P01_E95,ADV60,0.01,0.95,False,5,1.7344872380412728,1.759656419876788,0.22954617626952994
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,252,12,ADV60_P01_E97p5,ADV60,0.01,0.975,False,5,1.0387202112887934,1.0451783307011002,0.13750629872505662
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,252,13,ADV60_P05_E90,ADV60,0.05,0.9,False,5,14.13339788702306,14.480355303718033,1.8699177150860067
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,252,14,ADV60_P05_E95,ADV60,0.05,0.95,False,5,8.672436190206364,8.798282099383941,1.1477308813476497
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,252,15,ADV60_P05_E97p5,ADV60,0.05,0.975,False,5,5.193601056443967,5.225891653505501,0.6875314936252831
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,252,16,ADV60_P10_E90,ADV60,0.1,0.9,False,5,28.26679577404612,28.960710607436067,3.7398354301720134
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,252,17,ADV60_P10_E95,ADV60,0.1,0.95,False,5,17.344872380412728,17.596564198767883,2.2954617626952993
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,252,18,ADV60_P10_E97p5,ADV60,0.1,0.975,False,5,10.387202112887934,10.451783307011002,1.3750629872505662
