regime_type,sample_scope,factor_name,window,low_n,high_n,mean_high_minus_low_yi,median_high_minus_low_yi,zero_share_high_minus_low,hac_se_yi,hac_t,p_nominal,small_sample,q_bh
NETWORK,NATIVE,delta_degree_percentile,252,28,47,9.536919080988568,7.702653763068856,0.0,2.462108234171897,3.873476782468178,0.0001072936324974185,False,0.0009259759548190656
NETWORK,NATIVE,outside_community_degree_percentile,252,28,47,8.878186665242199,6.114510522870264,0.0,2.3900680048107414,3.714616758758386,0.00020351188800417296,False,0.0009259759548190656
NETWORK,NATIVE,residual_degree_percentile,252,28,47,9.110719987206409,7.666899085867335,0.0,2.475873356559856,3.679800488610392,0.00023341649966223175,False,0.0009259759548190656
NETWORK,NATIVE,delta_cross_industry_degree_percentile_1m,252,28,47,8.882902405674608,7.095149215810632,0.0,2.3065934414223808,3.851091504100042,0.00011759254809616868,False,0.0009259759548190656
NETWORK,NATIVE,delta_residual_degree_percentile_1m,252,28,47,8.707133643048815,6.346423313139772,0.0,2.2597121194985577,3.8532048254805904,0.00011658178601337837,False,0.0009259759548190656
NETWORK,NATIVE,neighbor_jaccard_1m,252,28,47,7.676556200961843,5.669049813561999,0.0,2.0446068589258473,3.754539004625462,0.00017366080188658463,False,0.0009259759548190656
NETWORK,NATIVE,neighbor_retention_1m,252,28,47,7.566208305853872,5.514290682152279,0.0,2.0601613141050663,3.67262905775931,0.00024006784013827625,False,0.0009259759548190656
NETWORK,COMMON_DATE,cross_industry_degree_percentile,60,32,29,6.606714604707651,7.419684470333131,0.0,2.8168586872929917,2.345419255325414,0.019005694707244895,False,0.021381406545650506
NETWORK,COMMON_DATE,cross_industry_degree_ratio,60,32,29,6.2237171488332415,5.585582785707889,0.0,2.958307848947954,2.1038098354255275,0.03539503851079418,False,0.03539503851079418
NETWORK,COMMON_DATE,delta_cross_industry_degree_percentile_1m,60,32,29,6.60253454208879,7.588364342848848,0.0,2.7687132529125513,2.3846942384312446,0.01709332170014853,False,0.02006607330017436
NETWORK,COMMON_DATE,delta_degree_percentile,60,32,29,7.682759010344217,9.844307572081288,0.0,2.820468491071325,2.7239300969556313,0.006451015882078538,False,0.009167233095585292
NETWORK,COMMON_DATE,delta_residual_degree_percentile_1m,60,32,29,6.623720974422643,7.664160702801258,0.0,2.724755744780376,2.4309411906411214,0.015059658717990216,False,0.019362418351701705
NETWORK,COMMON_DATE,neighbor_jaccard_1m,60,32,29,6.36345370947128,7.1830468598389565,0.0,2.6394308633988213,2.410918883200827,0.015912387058379218,False,0.01952883866255631
NETWORK,COMMON_DATE,neighbor_retention_1m,60,32,29,5.862853203377998,6.236116588375731,0.0,2.5994790535615673,2.2553954398460165,0.024108518728191683,False,0.02503576944850675
NETWORK,COMMON_DATE,outside_community_degree_percentile,60,32,29,6.471210425767024,8.762586858733908,0.0,2.618363496533683,2.4714713729907736,0.013455832406947135,False,0.018165373749378634
NETWORK,COMMON_DATE,residual_degree_percentile,60,32,29,6.394962531619807,7.705139183417504,0.0,2.777927749591378,2.302062223382333,0.02133166340611008,False,0.023038196478598887
