metric,regime_type,sample_scope,factor_name,method,window,total_date_n,estimate_type,regime,estimate,hac_se,hac_t,regime_date_n
IC,MARKET,NATIVE,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,60,100,REGIME_MEAN,LOW,0.0115717971321532,0.006668010731966746,1.735419692214573,33
IC,MARKET,NATIVE,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,60,100,REGIME_MEAN,MEDIUM,0.012259053039060264,0.008199301243889595,1.495133874755015,34
IC,MARKET,NATIVE,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,60,100,REGIME_MEAN,HIGH,0.009340066617003082,0.007649775300350971,1.2209596034245032,33
IC,MARKET,NATIVE,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,60,100,HIGH_MINUS_LOW,HIGH_MINUS_LOW,-0.0022317305151501182,0.010097729859158508,-0.2210130936634206,66
IC,MARKET,NATIVE,neighbor_retention_1m,RAW_COMMON,60,100,REGIME_MEAN,LOW,0.0062376432480276515,0.012784136156794735,0.48792058935576654,33
IC,MARKET,NATIVE,neighbor_retention_1m,RAW_COMMON,60,100,REGIME_MEAN,MEDIUM,0.02249531883173644,0.010266851635088966,2.1910630085326552,34
IC,MARKET,NATIVE,neighbor_retention_1m,RAW_COMMON,60,100,REGIME_MEAN,HIGH,0.0012909251500118023,0.013240863760420012,0.09749553906525907,33
IC,MARKET,NATIVE,neighbor_retention_1m,RAW_COMMON,60,100,HIGH_MINUS_LOW,HIGH_MINUS_LOW,-0.004946718098015849,0.02150965857870598,-0.22997659771843032,66
IC,MARKET,NATIVE,neighbor_retention_1m,INDUSTRY_SIZE_COMMON,60,100,REGIME_MEAN,LOW,0.01726937267355261,0.008251949237925552,2.092762834044522,33
IC,MARKET,NATIVE,neighbor_retention_1m,INDUSTRY_SIZE_COMMON,60,100,REGIME_MEAN,MEDIUM,0.014496106040030408,0.008263644149857948,1.7542025984116942,34
IC,MARKET,NATIVE,neighbor_retention_1m,INDUSTRY_SIZE_COMMON,60,100,REGIME_MEAN,HIGH,0.019354507629714062,0.008550077257863924,2.263664648399846,33
IC,MARKET,NATIVE,neighbor_retention_1m,INDUSTRY_SIZE_COMMON,60,100,HIGH_MINUS_LOW,HIGH_MINUS_LOW,0.002085134956161451,0.013237843628783122,0.15751318829810995,66
IC,MARKET,NATIVE,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,60,100,REGIME_MEAN,LOW,0.014093346789500178,0.00665432507020504,2.1179228007065065,33
IC,MARKET,NATIVE,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,60,100,REGIME_MEAN,MEDIUM,0.010771404931792076,0.0074571565315617264,1.4444386256615507,34
IC,MARKET,NATIVE,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,60,100,REGIME_MEAN,HIGH,0.0122411758984368,0.008017180146305763,1.5268680103287204,33
