network_date,regime,edge_count,same_edge_ratio,same_cross_strength_ratio,mean_abs_partial,edge_count_expanding_z,mean_abs_partial_expanding_z,same_cross_strength_ratio_expanding_z,same_edge_ratio_expanding_z,edge_count_robust_z,mean_abs_partial_robust_z,same_cross_strength_ratio_robust_z,same_edge_ratio_robust_z,edge_count_historical_percentile,mean_abs_partial_historical_percentile,same_cross_strength_ratio_historical_percentile,same_edge_ratio_historical_percentile,edge_count_range_break,mean_abs_partial_range_break,same_cross_strength_ratio_range_break,same_edge_ratio_range_break,edge_count_support_excursion_sd,mean_abs_partial_support_excursion_sd,same_cross_strength_ratio_support_excursion_sd,same_edge_ratio_support_excursion_sd,joint_max_abs_z,joint_max_abs_robust_z,n_range_breaks,max_support_excursion_sd,joint_moderate_ood,joint_extreme_ood,ood_severity_rank
2025-07-16,3,54,0.2962962962962963,3.4445816385472634,0.1035285263807728,0.10715692804148501,-0.4666787894619261,1.3266852748743838,0.4892719033904714,0.0,-0.5691236582930091,1.293428331198445,0.5675165619112623,0.6111111111111112,0.3333333333333333,0.8888888888888888,0.7777777777777778,False,False,False,False,0.0,0.0,0.0,0.0,1.3266852748743838,1.293428331198445,0,0.0,False,False,20.0
2025-08-13,3,55,0.2545454545454545,3.186964630434855,0.1089444476084889,0.6004542014276493,1.8713570842235734,-0.44229364986052633,-1.9001936418407899,0.3372453797382976,1.4614221640404197,-0.526187445473928,-2.141201574629352,0.7894736842105263,1.0,0.2631578947368421,0.0,False,True,False,True,0.0,0.41932923126919935,0.0,0.268032553533775,1.9001936418407899,2.141201574629352,1,0.268032553533775,True,False,11.0
2025-09-10,3,54,0.2592592592592592,3.353269290815703,0.1053339449007783,0.07572586373645192,0.21595791101642553,0.6767300484799709,-1.4473725919840252,0.0,0.0610629573167122,0.6646411387019552,-1.7150914882069663,0.6,0.55,0.75,0.1,False,False,False,False,0.0,0.0,0.0,0.0,1.4473725919840252,1.7150914882069663,0,0.0,False,False,18.0
2025-10-16,3,54,0.2777777777777778,3.280212414178752,0.1086494340649781,0.0739827936030808,1.5866260207293585,0.1608345108680661,-0.377683608507163,0.0,1.275487658381677,0.13847362393279117,-0.4777642879625859,0.6190476190476191,0.9523809523809523,0.5714285714285714,0.42857142857142855,False,False,False,False,0.0,0.0,0.0,0.0,0.377683608507163,0.4777642879625859,0,0.0,False,False,23.0
2025-11-13,4,44,0.3636363636363636,3.9846334060099946,0.0996322344487252,-5.233638845891122,-2.1565600042386466,5.02468012831237,4.2136770566350945,-6.7449075947659525,-2.0131886482280357,5.783008688602341,4.5210761934311465,0.0,0.0,1.0,1.0,True,True,True,True,3.7141953099872462,0.3235031119183499,3.6524670797146164,1.959205247046852,5.233638845891122,6.7449075947659525,3,3.7141953099872462,True,True,1.0
2025-12-11,4,42,0.3809523809523809,3.982835001016988,0.0989651775959356,-4.142234278367914,-2.167132115126082,3.346284309649741,3.7706800394038287,-8.093889113719143,-2.096680738670824,5.988247012660591,5.733171455551048,0.0,0.0,0.9565217391304348,1.0,True,True,False,True,0.7244972502088368,0.249186635221572,0.0,0.7032678018728943,4.142234278367914,8.093889113719143,2,0.7244972502088368,True,True,2.0
2026-01-12,4,42,0.3809523809523809,3.6220109289035887,0.1031206589870285,-3.0704745121354375,-0.48863730181450177,1.2292838289629258,2.903481337215026,-5.395926075812762,-0.6655330737190981,2.679743753717057,4.70034598519092,0.041666666666666664,0.2916666666666667,0.9166666666666666,1.0,False,False,False,False,0.0,0.0,0.0,0.0,3.0704745121354375,5.395926075812762,0,0.0,True,True,3.0
2026-02-09,4,40,0.35,3.606091908192432,0.10154967553337,-3.035653317505139,-1.0325315020815218,1.1054158151088636,1.5614545612133501,-4.721435316336167,-1.1397622452477512,2.3571896144879934,2.9750511336913736,0.0,0.16,0.88,0.88,True,False,False,False,0.48492864496887195,0.0,0.0,0.0,3.035653317505139,4.721435316336167,1,0.48492864496887195,True,True,4.0
2026-03-17,5,44,0.3409090909090909,3.73427496960456,0.0994240312661018,-1.700011971464107,-1.743869577312021,1.570899192105581,1.2086881276538717,-3.3724537973829762,-1.6170901531574662,2.39747373969288,2.150397998476372,0.15384615384615385,0.038461538461538464,0.9230769230769231,0.8461538461538461,False,False,False,False,0.0,0.0,0.0,0.0,1.700011971464107,3.3724537973829762,0,0.0,False,False,16.0
2026-04-15,5,45,0.3777777777777777,3.238208556623135,0.11170107256673,-1.3790618772959367,2.5678971908707697,-0.45564474049935705,2.1766658962466616,-3.0352084176446783,1.8389848573712326,-0.6008160274794387,3.2225669619437296,0.18518518518518517,1.0,0.3333333333333333,0.9259259259259259,False,True,False,False,0.0,0.9403894965553826,0.0,0.0,2.1766658962466616,3.2225669619437296,0,0.0,True,False,7.0
2026-05-18,5,42,0.3333333333333333,3.0148512489914983,0.1141043221238276,-1.9142324086394822,3.010771099827896,-1.3281172665666832,0.8150437735106023,-4.046944556859572,2.4748997081812973,-1.6833741907709476,1.4571545652843432,0.10714285714285714,1.0,0.03571428571428571,0.7857142857142857,False,True,False,False,0.0,0.7488865436774582,0.0,0.0,1.9142324086394822,4.046944556859572,0,0.0,False,False,10.0
2026-06-15,5,41,0.3170731707317073,2.9577058637714533,0.1145887693778708,-1.962701652792941,2.7061559919078477,-1.4894170015438661,0.3657890767122023,-4.384189936597869,2.601001970373644,-1.7289309934672106,0.7896477184116237,0.034482758620689655,1.0,0.034482758620689655,0.7241379310344828,False,True,False,False,0.0,0.13359539723663674,0.0,0.0,1.962701652792941,4.384189936597869,0,0.0,False,False,9.0
2026-07-14,5,40,0.4,3.1045286585661214,0.1136661686743124,-1.9984755256507256,2.147173508390998,-0.8504597054238231,2.5662261617848072,-3.642250101173614,2.228760229856232,-0.8909858391520898,3.4838914011225883,0.03333333333333333,0.9333333333333333,0.2,1.0,False,False,False,True,0.0,0.0,0.0,0.5069757974373356,2.5662261617848072,3.642250101173614,1,0.5069757974373356,True,False,5.0
