analysis_date,window,sampler,eligible_stock_count,sampled_pair_count,mean_first_index_ratio,mean_second_index_ratio,valid_pair_count,mean_corr,same_mean_corr,cross_mean_corr,same_cross_gap,top1_threshold,top1_same_share,top1_same_enrichment
2019-04-30,252,uniform,3237,20000,0.335780129789864,0.6706349196538937,19948,0.38868843708084194,0.42445246620206867,0.38681287282282256,0.037639593379246106,0.6403831029876562,0.19,3.7650956296041254
2019-05-31,252,legacy,3300,20000,0.2296620491057896,0.6150668990603213,19940,0.407716900779071,0.43614229588634573,0.40607479928462387,0.030067496601721866,0.65680257858859,0.14,2.7681703759939267
2019-05-31,252,uniform,3300,20000,0.3332870263716277,0.6653097908457108,19943,0.40660203212141593,0.438153375701959,0.40491011465870197,0.03324326104325703,0.6622378785244512,0.19,3.756802653134615
2019-06-28,252,legacy,3356,20000,0.23376259314456035,0.6196748137108793,19959,0.4091315080987003,0.44279987315006025,0.40729385507650573,0.035506018073554524,0.6673275642034809,0.14,2.7650736738703343
2019-06-28,252,uniform,3356,20000,0.33648931445603575,0.6697892846497765,19956,0.40868851864396966,0.44569407351791374,0.4067999431621741,0.03889413035573963,0.655285140073332,0.18,3.555094723547572
2019-07-31,252,legacy,3401,20000,0.22916367647058825,0.6176623382352942,19969,0.39120085553545925,0.42559551824586667,0.38930346965066853,0.036292048595198134,0.6397075797573826,0.18,3.541358142320466
2019-07-31,252,uniform,3401,20000,0.3340904117647059,0.6670547352941176,19965,0.39250054137489554,0.4291135110899642,0.39060856269334887,0.038504948396615335,0.6428261420345052,0.205,4.0332134398649755
2019-08-30,252,legacy,3451,20000,0.2285443768115942,0.6151073623188406,19963,0.39138330989752246,0.4185597873596717,0.3899727908596778,0.02858699649999391,0.6405201297796144,0.1,1.9780677124695547
2019-08-30,252,uniform,3451,20000,0.33299449275362314,0.6656562173913043,19966,0.39132387187224144,0.42492552825132546,0.38955219326952695,0.03537333498179851,0.6474159427462067,0.165,3.263811725574765
2019-09-30,252,legacy,3482,20000,0.22910221200804368,0.6143014938236139,19970,0.39087413839248975,0.4206039191431991,0.3892672928584072,0.03133662628479189,0.6401799517364964,0.155,3.0765875765982047
2019-09-30,252,uniform,3482,20000,0.3328935507038207,0.6666079862108589,19983,0.3917947012273693,0.4257396923399002,0.3900102871567712,0.035729405183129004,0.6501106989569191,0.155,3.0765875765982047
2019-10-31,252,legacy,3517,20000,0.23110234641638225,0.6151660551763368,19976,0.3654608414877334,0.40329431529778936,0.3633555385272098,0.039938776770579554,0.6256047628787695,0.18,3.568753924149674
2019-10-31,252,uniform,3517,20000,0.3329390073947668,0.6665328213879408,19982,0.3649571158794461,0.4039024362332012,0.3630410347467883,0.04086140148641293,0.6228536904452144,0.125,2.4783013362150514
2019-11-29,252,legacy,3534,20000,0.23124595244834417,0.6139527172374752,19991,0.35465129040632815,0.38118756065935533,0.35313136335513134,0.028056197304223984,0.6096978567623739,0.18,3.5604483409799497
2019-11-29,252,uniform,3534,20000,0.33298787149731107,0.6674653127653553,19992,0.3517691904633835,0.3891863666302977,0.34988801170889244,0.039298354921405265,0.611879843843975,0.165,3.263744312564954
2019-12-31,252,legacy,3552,20000,0.23000980005632218,0.6153926358772177,19978,0.34024440914698895,0.37538592121203734,0.3382636111424764,0.03712231006956096,0.6011794088347436,0.145,2.865700165777194
2019-12-31,252,uniform,3552,20000,0.33187793579273445,0.6670162630245002,19980,0.33960012356199737,0.37772570395147737,0.33778500050234717,0.0399407034491302,0.6057551394186962,0.14,2.7668829186814294
2020-01-23,252,legacy,3560,20000,0.22837445911772972,0.6131050576004495,19990,0.3406309168989178,0.3779499684822868,0.3385682527481609,0.03938171573412591,0.600311552273321,0.18,3.553377146649964
2020-01-23,252,uniform,3560,20000,0.333518572632762,0.6641905450969374,19988,0.3395196027975506,0.3764660494749109,0.3375758722045398,0.03889017727037114,0.6029389535147623,0.17,3.3559673051694108
2020-02-28,252,legacy,3566,20000,0.22945514726507715,0.6179412061711079,19989,0.3662474978826552,0.4067285318996441,0.36409098374042864,0.042637548159215444,0.641203741688201,0.19,3.7518097122726797
2020-02-28,252,uniform,3566,20000,0.333068793828892,0.665796353436185,19991,0.3646411054501233,0.40394278872364375,0.3625061582547366,0.041436630468907165,0.6354143115315711,0.13,2.5670276978707807
2020-03-31,252,legacy,3579,20000,0.229344703745109,0.6141027249860258,19992,0.3490658946952298,0.3935719459277379,0.3465988186845586,0.04697312724317931,0.6192890390467779,0.19,3.7479909360905035
2020-03-31,252,uniform,3579,20000,0.3343316517607602,0.6652655533817775,19993,0.3505382477303747,0.3899257537575758,0.3484448009551194,0.041480952802456394,0.6157440959863834,0.16,3.156202893549898
2020-04-30,252,legacy,3591,20000,0.2289667409470752,0.6141210306406686,19990,0.3529878059748245,0.3964291673280527,0.35055527332641345,0.04587389400163927,0.6339442253458449,0.205,4.04258030715575
2020-04-30,252,uniform,3591,20000,0.3315966713091922,0.6666325208913649,19990,0.35408730047311726,0.3960864439323837,0.35177531933478323,0.04431112459760045,0.6329267083670721,0.14,2.760786551228317
2020-05-29,252,legacy,3599,20000,0.2271075319622012,0.6130197609783213,19991,0.31554085617701727,0.3639107950906947,0.3128971602279501,0.05101363486274457,0.5868489301916874,0.19,3.741678802588997
2020-05-29,252,uniform,3599,20000,0.3324545302946081,0.6646558921623124,19986,0.31716389719878785,0.36348195869784555,0.3147114630906506,0.04877049560719493,0.6027153950800772,0.19,3.741678802588997
