config_id,description,return_column,stock_valid_ratio,pair_valid_ratio,analysis_date,window,eligible_stock_count,exact_same_pair_share,market_r2_median,raw_mean_corr,raw_same_cross_gap,raw_top1_same_enrichment,residual_mean_corr,residual_same_cross_gap,residual_top1_same_enrichment,raw_residual_top1_overlap,residual_gap_positive,residual_enrichment_gt_1
BASE,Baseline specification,return_network,0.9,0.9,2025-12-31,60,5119,0.0552291950217111,0.20116528591526228,0.19003523813274045,0.09525392366086058,4.345527757658858,0.0007342516530897558,0.09794089872613622,5.250846040504453,0.485,True,True
BASE,Baseline specification,return_network,0.9,0.9,2026-09-03,60,5176,0.05581980004330653,0.25351490668572857,0.23752200475687796,0.13610647028599937,3.672531966093669,0.017192959569113053,0.15013803546946972,5.464010973944239,0.555,True,True
BASE,Baseline specification,return_network,0.9,0.9,2015-12-31,120,1836,0.050287023680195664,0.6607097528248955,0.6270202583874264,0.03604583669577621,2.290516273259986,0.004999351602987233,0.05681375948444217,3.1234312817181626,0.22631578947368422,True,True
BASE,Baseline specification,return_network,0.9,0.9,2016-12-30,120,2394,0.04950180158573059,0.3008162244557873,0.2905615859896074,0.025609955308467547,2.050891874385011,0.001695857253404085,0.03279676657930298,3.383971592735268,0.23469387755102042,True,True
BASE,Baseline specification,return_network,0.9,0.9,2017-12-29,120,2851,0.04970296664143698,0.2883214849887141,0.2664285057230111,0.049859836691697745,2.830887713463692,0.0027047364558784636,0.04560554552592164,5.156259763808868,0.26262626262626265,True,True
BASE,Baseline specification,return_network,0.9,0.9,2018-12-28,120,3343,0.05033875728072611,0.43124496331739337,0.4156390237039298,0.03729427451251116,3.2777924786628736,0.0011127252833945706,0.0590636554328671,5.363660419630157,0.215,True,True
BASE,Baseline specification,return_network,0.9,0.9,2019-12-31,120,3635,0.051072137742352336,0.2707655639225931,0.25961539527745925,0.04711315530277593,2.6433199385748294,0.0017697206515171029,0.05689448457081528,4.601334707889517,0.37,True,True
BASE,Baseline specification,return_network,0.9,0.9,2020-12-31,120,3879,0.05242667536719653,0.2589461060071101,0.2537261184677652,0.050786561144392006,4.196337045199216,0.001703161622267803,0.05699324445166974,5.24542130649902,0.375,True,True
BASE,Baseline specification,return_network,0.9,0.9,2021-12-31,120,4390,0.04954662489730227,0.13754742865582117,0.1382031535994232,0.09126849727872088,5.146667417378097,0.002782627667915094,0.09467000070398594,6.862223223170797,0.485,True,True
BASE,Baseline specification,return_network,0.9,0.9,2022-12-30,120,4729,0.05169358592748992,0.24048363101502637,0.23670230156088706,0.1337373633387383,5.416532727923988,0.0013821747843591606,0.1575196215994662,8.318246689311838,0.41,True,True
BASE,Baseline specification,return_network,0.9,0.9,2023-12-29,120,5014,0.05370909985851704,0.22097811736425993,0.2127758806170293,0.13938640934819896,7.261339345238625,0.0012906702379756958,0.15658298036788085,8.564656663614787,0.48,True,True
BASE,Baseline specification,return_network,0.9,0.9,2024-12-31,120,5073,0.054502450344839165,0.4754378234074908,0.44860199315517607,0.07409353149167647,4.953905710508414,0.003452096482351952,0.11309435504174115,6.7886856032893075,0.24,True,True
BASE,Baseline specification,return_network,0.9,0.9,2025-12-31,120,5132,0.05523309554671504,0.17162641055328223,0.16896534636922508,0.08868372576214928,5.793627839115961,0.0024015332742319106,0.0952569042234657,6.517831319005455,0.585,True,True
BASE,Baseline specification,return_network,0.9,0.9,2026-09-03,120,5170,0.05580141694291927,0.25057816116782994,0.24607738398845222,0.11110188026482665,3.852948756120819,0.013004559907993478,0.12195608024250965,6.003431782792904,0.49,True,True
BASE,Baseline specification,return_network,0.9,0.9,2016-12-30,252,2092,0.04887375833605372,0.5603161334206794,0.5381166955232262,0.033362086722369955,2.636711064767451,0.003446625561056925,0.052771856162002154,4.640611473990714,0.19170984455958548,True,True
BASE,Baseline specification,return_network,0.9,0.9,2017-12-29,252,2485,0.048910208432559936,0.27266715958172455,0.25808334411335804,0.04211160775557993,2.5946230320092365,0.0033136926691053428,0.04692776916880526,5.085461142738104,0.2436548223350254,True,True
BASE,Baseline specification,return_network,0.9,0.9,2018-12-28,252,3008,0.050659056173892124,0.4037795943120899,0.3907033230833077,0.04023833918386299,3.6702154024146143,0.0015496215790714689,0.0576890725500694,7.340430804829229,0.23618090452261306,True,True
BASE,Baseline specification,return_network,0.9,0.9,2019-12-31,252,3552,0.0505984546923719,0.3495075749509716,0.33960012356199737,0.0399407034491302,2.7668829186814294,0.0023946718935942226,0.05483817648570735,5.237314096075562,0.275,True,True
BASE,Baseline specification,return_network,0.9,0.9,2020-12-31,252,3737,0.05149615025163608,0.2998144198252016,0.2874868163397316,0.049187847833146725,4.175069377990431,0.0009599456918532132,0.07738408648327859,7.3791923890063424,0.425,True,True
