security_id,stock_code,stock_name,exchange,list_date,delist_date,security_type,list_status,board,is_standard_a_share_code,_source_file,missing_list_date_class,severity,note
920033.XBEI,920033,康普化学,BSE,,,,L,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv,REVIEW_STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,缺少 listDate；当前不进入正式股票池。非标准代码通常属于申报/未上市记录；标准 A 股代码需在 Stage 2 与 daily_temp3 交叉检查是否曾实际交易。
920033.XBEI,920033,康普化学,BSE,,,,L,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv,REVIEW_STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,缺少 listDate；当前不进入正式股票池。非标准代码通常属于申报/未上市记录；标准 A 股代码需在 Stage 2 与 daily_temp3 交叉检查是否曾实际交易。
920039.XBEI,920039,国义招标,BSE,,,,L,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv,REVIEW_STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,缺少 listDate；当前不进入正式股票池。非标准代码通常属于申报/未上市记录；标准 A 股代码需在 Stage 2 与 daily_temp3 交叉检查是否曾实际交易。
920039.XBEI,920039,国义招标,BSE,,,,L,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv,REVIEW_STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,缺少 listDate；当前不进入正式股票池。非标准代码通常属于申报/未上市记录；标准 A 股代码需在 Stage 2 与 daily_temp3 交叉检查是否曾实际交易。
920046.XBEI,920046,亿能电力,BSE,,,,L,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv,REVIEW_STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,缺少 listDate；当前不进入正式股票池。非标准代码通常属于申报/未上市记录；标准 A 股代码需在 Stage 2 与 daily_temp3 交叉检查是否曾实际交易。
920046.XBEI,920046,亿能电力,BSE,,,,L,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv,REVIEW_STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,缺少 listDate；当前不进入正式股票池。非标准代码通常属于申报/未上市记录；标准 A 股代码需在 Stage 2 与 daily_temp3 交叉检查是否曾实际交易。
920047.XBEI,920047,诺思兰德,BSE,,,,L,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv,REVIEW_STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,缺少 listDate；当前不进入正式股票池。非标准代码通常属于申报/未上市记录；标准 A 股代码需在 Stage 2 与 daily_temp3 交叉检查是否曾实际交易。
920047.XBEI,920047,诺思兰德,BSE,,,,L,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv,REVIEW_STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,缺少 listDate；当前不进入正式股票池。非标准代码通常属于申报/未上市记录；标准 A 股代码需在 Stage 2 与 daily_temp3 交叉检查是否曾实际交易。
920057.XBEI,920057,百甲科技,BSE,,,,L,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv,REVIEW_STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,缺少 listDate；当前不进入正式股票池。非标准代码通常属于申报/未上市记录；标准 A 股代码需在 Stage 2 与 daily_temp3 交叉检查是否曾实际交易。
920057.XBEI,920057,百甲科技,BSE,,,,L,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv,REVIEW_STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,缺少 listDate；当前不进入正式股票池。非标准代码通常属于申报/未上市记录；标准 A 股代码需在 Stage 2 与 daily_temp3 交叉检查是否曾实际交易。
