security_id,stock_code,stock_name,exchange,board,list_date,delist_date,code_count,issue_type,severity,note
A19291,A19291,健耕医药,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A19301,A19301,芯愿景,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A19303,A19303,慧捷科技,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A19309,A19309,智神信息,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A19313,A19313,光华科技,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A19317,A19317,盛诺基,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A19320,A19320,森根科技,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A19321,A19321,兴嘉生物,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A19323,A19323,柯菲平,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A19329,A19329,锦波生物,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A19330,A19330,翼捷股份,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A19339,A19339,国网智能,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A19350,A19350,中数智汇,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A19351,A19351,秋乐种业,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A20004,A20004,万佳安,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A20007,A20007,泽生科技,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A20018,A20018,晶云药物,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A20020,A20020,微众信科,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A20025,A20025,溢信科技,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A20030,A20030,亿腾景昂,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A20039,A20039,汇川物联,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A20041,A20041,华卓精科,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A20043,A20043,百合医疗,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A20045,A20045,德冠新材,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A20046,A20046,创尔生物,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A20047,A20047,康代智能,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A20051,A20051,锐芯微,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A20052,A20052,蓝箭电子,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A20057,A20057,泰丰智能,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A20058,A20058,博科资讯,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A20062,A20062,赛克赛斯,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A20063,A20063,固安信通,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A20068,A20068,东软医疗,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A20069,A20069,紫光照明,SSE,SSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
A20085,A20085,沃福百瑞,SZSE,SZSE_MAIN,,,1,missing_list_date,HIGH,缺少上市日期，无法构造历史股票池。
