window_id,network_date,regime,n_prior_states,centroid_novelty,nearest_state_distance,nearest_prior_window,nearest_prior_regime,nearest_prior_date,max_historical_support_jaccard,support_novelty,same_centroid_novelty,cross_centroid_novelty,same_novelty_energy_share,cross_novelty_energy_share,centroid_novelty_percentile,centroid_novelty_robust_z,is_regime_start,is_first_R4_state,TI_total,transition_type,transition_cross_energy_share,transition_support_energy_share,transition_persistent_energy_share,transition_novelty_class
12,2024-12-16,R2,11,0.3872432153264531,0.06353057670408452,11.0,R2,2024-11-18,0.9642857142857143,0.0357142857142857,0.24660396400646944,0.2985695777413795,0.40553885602009665,0.5944611439799032,0.8,1.2030018737259738,False,False,0.0635305767040845,Within R2,0.8996710188040802,0.0146731778428194,0.9853268221571804,Low transition / High novelty
13,2025-01-14,R3,12,0.3697077627006471,0.08842509092100963,12.0,R2,2024-12-16,0.9137931034482759,0.08620689655172409,0.23925214020769522,0.2818550038710602,0.41878828444631755,0.5812117155536827,0.7272727272727273,0.7768109227796773,True,False,0.0884250909210096,R2→R3 Boundary,0.696319149351048,0.0916628817577083,0.908337118242292,Low transition / High novelty
14,2025-02-19,R3,13,0.3312369009845993,0.0764103916452585,13.0,R3,2025-01-14,0.9655172413793104,0.03448275862068961,0.22417501869220474,0.24385127756120306,0.45803324773191634,0.5419667522680837,0.6666666666666666,0.35745432843853486,False,False,0.0764103916452585,Within R3,0.636442373360712,0.0770931929589008,0.9229068070410992,Low transition / High novelty
15,2025-03-19,R3,14,0.3250155546395864,0.12418318886543414,14.0,R3,2025-02-19,0.9482758620689655,0.051724137931034475,0.21453340301283857,0.24415267712930974,0.43569397218551,0.56430602781449,0.6153846153846154,0.2778812801796537,False,False,0.1241831888654341,Within R3,0.8712075423033431,0.0122115641885011,0.9877884358114988,Low transition / High novelty
16,2025-04-17,R3,15,0.3471985643724203,0.12192218144326036,15.0,R3,2025-03-19,0.9642857142857143,0.0357142857142857,0.21885118997511954,0.269538494001773,0.39732142394547765,0.6026785760545225,0.7142857142857143,0.5247964782729175,False,False,0.1219221814432603,Within R3,0.6184057740318953,0.1024716478243938,0.8975283521756059,Low transition / High novelty
17,2025-05-20,R3,16,0.3345420362006814,0.07459445269854767,16.0,R3,2025-04-17,0.9818181818181818,0.018181818181818188,0.2186910250277732,0.2531651823565,0.4273271914581308,0.5726728085418691,0.6666666666666666,0.18177158322261097,False,False,0.0745944526985476,Within R3,0.6718514463969393,0.0004751642155189,0.9995248357844808,Low transition / High novelty
18,2025-06-18,R3,17,0.31774444263238105,0.04770243266549787,17.0,R3,2025-05-20,0.9818181818181818,0.018181818181818188,0.21607443466892765,0.23296645575332472,0.4624351566043021,0.5375648433956979,0.4375,-0.07069640940580905,False,False,0.0477024326654978,Within R3,0.6640596367600221,0.0002374034529973,0.9997625965470024,Routine evolution
19,2025-07-16,R3,18,0.2981996261305287,0.09133997347799039,18.0,R3,2025-06-18,0.9636363636363636,0.036363636363636376,0.19958899222087523,0.2215564289490208,0.4479803671620774,0.5520196328379225,0.4117647058823529,-0.31553510930950807,False,False,0.0913399734779903,Within R3,0.4433241681042247,0.0145208796109999,0.985479120389,Routine evolution
20,2025-08-13,R3,19,0.29334106655519093,0.08831047930672163,19.0,R3,2025-07-16,0.9464285714285714,0.0535714285714286,0.19834136075656897,0.21612423728256283,0.4571732840965874,0.5428267159034126,0.3333333333333333,-0.3772421960317293,False,False,0.0883104793067216,Within R3,0.7511080924632935,0.0278460154506436,0.9721539845493564,Routine evolution
21,2025-09-10,R3,20,0.29833563170681643,0.09262642938696511,20.0,R3,2025-08-13,0.9818181818181818,0.018181818181818188,0.2061967376598122,0.2156085678361502,0.47769789419424485,0.522302105805755,0.47368421052631576,-0.30599731574470435,False,False,0.0926264293869651,Within R3,0.6418004063151328,0.0024472390342466,0.9975527609657536,Routine evolution
