window_id,network_date,regime,stock,name,industry,node_novelty_score,node_novelty_share,same_node_novelty_score,cross_node_novelty_score,cross_node_novelty_share,node_novelty_rank
5,2024-05-22,R1,002475,立讯精密,电子,0.005034148055541866,0.029179728816661647,0.003869397691028094,0.0011647503645137716,0.23136990641972688,9
5,2024-05-22,R1,600030,中信证券,非银金融,0.013950994522730761,0.08086497107447461,2.3010007595728125e-05,0.013927984515135033,0.9983506546749598,3
5,2024-05-22,R1,600036,招商银行,银行,0.04865684700866176,0.2820325475377225,0.0015790091298967868,0.047077837878764975,0.9675480589686443,1
5,2024-05-22,R1,600519,贵州茅台,食品饮料,0.0012473865951734533,0.007230300375578131,0.0008327023579201489,0.00041468423725330453,0.3324424351342667,13
5,2024-05-22,R1,600887,伊利股份,食品饮料,0.010663332502375947,0.06180850210765847,0.0013717987180326067,0.009291533784343338,0.8713536581807843,5
5,2024-05-22,R1,601288,农业银行,银行,0.0003303353262815563,0.0019147421039490508,0.00010021969130533495,0.00023011563497622134,0.6966122502444252,15
5,2024-05-22,R1,601318,中国平安,非银金融,0.04555506921257486,0.2640535302460636,2.3010007595728125e-05,0.045532059204979124,0.999494896879898,2
5,2024-05-22,R1,601398,工商银行,银行,0.0005123281241058751,0.002969637674859617,0.00016095902627027482,0.00035136909783560033,0.6858282442503355,14
5,2024-05-22,R1,603501,韦尔股份,电子,0.0054945006371118705,0.0318480975936735,0.002223897404475584,0.0032706032326362865,0.5952503145682492,8
6,2024-06-20,R1,000001,平安银行,银行,0.006399326991318784,0.04232104472357689,0.0009940038992732104,0.005405323092045574,0.8446705566660903,8
6,2024-06-20,R1,000568,泸州老窖,食品饮料,0.006099941570078777,0.04034110154844713,0.0026971147463099917,0.0034028268237687857,0.5578458063369351,10
6,2024-06-20,R1,000725,京东方A,电子,0.010265270165080614,0.06788791357986954,0.002389305287413579,0.007875964877667035,0.7672437988489302,6
6,2024-06-20,R1,000858,五粮液,食品饮料,0.0029555247978742365,0.01954594558492771,0.0010956240167397532,0.0018599007811344833,0.6292962868970744,12
