analysis_date,window,next_analysis_date,is_last_date,expected_rows,actual_rows,expected_trade_days,market_trade_day_count,market_date_coverage,min_market_stock_count,suspension_zero_stock_days,reopen_stock_days,reopen_return_recovered_stock_days,unresolved_open_missing_stock_days,unresolved_reopen_missing_stock_days,mean_return_coverage,return_label_valid_share,risk_label_valid_share,mean_suspended_days_per_stock,mean_unresolved_open_missing_days,row_count_ok,key_unique,security_unique,coverage_range_ok,last_date_policy_ok,forward_direction_ok,market_calendar_ok,market_count_ok,reopen_recovery_ok,return_label_complete,risk_label_complete,vol_nonnegative,drawdown_range_ok,total_return_range_ok,qa_pass,qa_errors
2026-06-30,60,2026-07-31,False,5156,5156,23,23,1.0,5200.0,145,36,36,0,0,1.0,1.0,1.0,0.028122575640031032,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2026-07-31,60,2026-08-31,False,5172,5172,21,21,1.0,5203.0,94,29,29,0,0,1.0,1.0,1.0,0.01817478731631864,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2026-08-31,60,2026-09-03,False,5175,5175,3,3,1.0,5212.0,17,3,3,0,0,1.0,0.0,0.0,0.003285024154589372,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2026-09-03,60,,True,5176,5176,0,0,,,0,0,0,0,0,,,,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2015-07-31,120,2015-08-31,False,1534,1534,21,21,1.0,2780.0,1713,70,70,0,0,1.0,1.0,1.0,1.1166883963494132,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2015-08-31,120,2015-09-30,False,1506,1506,20,20,1.0,2780.0,996,39,39,0,0,1.0,1.0,1.0,0.6613545816733067,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2015-09-30,120,2015-10-30,False,1562,1562,17,17,1.0,2780.0,1154,54,54,0,0,1.0,1.0,1.0,0.7387964148527529,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2015-10-30,120,2015-11-30,False,1618,1618,21,21,1.0,2780.0,1058,70,70,0,0,1.0,1.0,1.0,0.65389369592089,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2015-11-30,120,2015-12-31,False,1723,1723,23,23,1.0,2781.0,1179,60,60,0,0,1.0,1.0,1.0,0.6842716192687174,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2015-12-31,120,2016-01-29,False,1836,1836,20,20,1.0,2809.0,1001,44,44,0,0,1.0,1.0,1.0,0.5452069716775599,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2016-01-29,120,2016-02-29,False,1972,1972,16,16,1.0,2810.0,976,33,33,0,0,1.0,1.0,1.0,0.4949290060851927,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2016-02-29,120,2016-03-31,False,2013,2013,23,23,1.0,2817.0,1869,77,77,0,0,1.0,1.0,1.0,0.9284649776453056,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2016-03-31,120,2016-04-29,False,2061,2061,20,20,1.0,2833.0,2240,127,127,0,0,1.0,1.0,1.0,1.0868510431829208,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2016-04-29,120,2016-05-31,False,2077,2077,21,21,1.0,2844.0,1493,79,79,0,0,1.0,1.0,1.0,0.7188252286952335,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2016-05-31,120,2016-06-30,False,2124,2124,20,20,1.0,2856.0,1354,55,55,0,0,1.0,1.0,1.0,0.6374764595103578,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2016-06-30,120,2016-07-29,False,2171,2171,21,21,1.0,2869.0,1082,65,65,0,0,1.0,1.0,1.0,0.49838783970520495,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2016-07-29,120,2016-08-31,False,2198,2198,23,23,1.0,2882.0,1058,58,58,0,0,1.0,1.0,1.0,0.4813466787989081,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2016-08-31,120,2016-09-30,False,2258,2258,20,20,1.0,2912.0,1317,88,88,0,0,1.0,1.0,1.0,0.58325952170062,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2016-09-30,120,2016-10-31,False,2294,2294,16,16,1.0,2934.0,993,57,57,0,0,1.0,1.0,1.0,0.4328683522231909,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2016-10-31,120,2016-11-30,False,2315,2315,22,22,1.0,2956.0,1353,76,76,0,0,1.0,1.0,1.0,0.5844492440604752,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
