stock_i,stock_j,industry_i,industry_j,same_industry,relation,edge_R3,edge_R4,partial_R3,partial_R4,abs_partial_R3,abs_partial_R4,delta_partial,delta_abs_partial,abs_delta_partial,change_type,name_i,name_j
002415,603501,电子,电子,True,Same,1,1,0.1420135253117916,0.1421516599331627,0.1420135253117916,0.1421516599331627,0.00013813462137110544,0.00013813462137110544,0.00013813462137110544,Strengthened,海康威视,韦尔股份
000725,002415,电子,电子,True,Same,1,1,0.2578229568475072,0.0174791198872818,0.2578229568475072,0.0174791198872818,-0.24034383696022543,-0.24034383696022543,0.24034383696022543,Weakened,京东方A,海康威视
000725,600030,电子,非银金融,False,Cross,1,1,0.2761587584959613,0.1366264835715621,0.2761587584959613,0.1366264835715621,-0.13953227492439918,-0.13953227492439918,0.13953227492439918,Weakened,京东方A,中信证券
000858,601318,食品饮料,非银金融,False,Cross,1,1,0.1444148903381914,0.0146430191959959,0.1444148903381914,0.0146430191959959,-0.12977187114219552,-0.12977187114219552,0.12977187114219552,Weakened,五粮液,中国平安
000001,601288,银行,银行,True,Same,1,1,0.1103132464401675,0.0004548971675013,0.1103132464401675,0.0004548971675013,-0.1098583492726662,-0.1098583492726662,0.1098583492726662,Weakened,平安银行,农业银行
600036,601318,银行,非银金融,False,Cross,1,1,0.1316040471682775,0.048559726763031,0.1316040471682775,0.048559726763031,-0.08304432040524651,-0.08304432040524651,0.08304432040524651,Weakened,招商银行,中国平安
600036,600519,银行,食品饮料,False,Cross,1,1,0.0798151720677484,0.0146322286277326,0.0798151720677484,0.0146322286277326,-0.0651829434400158,-0.0651829434400158,0.0651829434400158,Weakened,招商银行,贵州茅台
000858,600887,食品饮料,食品饮料,True,Same,1,1,0.1577348434165993,0.0930582830472756,0.1577348434165993,0.0930582830472756,-0.06467656036932369,-0.06467656036932369,0.06467656036932369,Weakened,五粮液,伊利股份
000568,000858,食品饮料,食品饮料,True,Same,1,1,0.440731516278582,0.3806363353536651,0.440731516278582,0.3806363353536651,-0.06009518092491689,-0.06009518092491689,0.06009518092491689,Weakened,泸州老窖,五粮液
600519,600887,食品饮料,食品饮料,True,Same,1,1,0.1653710363086468,0.1345151991789016,0.1653710363086468,0.1345151991789016,-0.03085583712974521,-0.03085583712974521,0.03085583712974521,Weakened,贵州茅台,伊利股份
002460,002475,新能源,电子,False,Cross,1,1,0.0545082461689354,0.0367394235764457,0.0545082461689354,0.0367394235764457,-0.0177688225924897,-0.0177688225924897,0.0177688225924897,Weakened,赣锋锂业,立讯精密
