window_prev,window_curr,date_prev,date_curr,regime_prev,regime_curr,transition_type,is_boundary,edges_prev,edges_curr,persistent,lost,gained,absent,gross_support_change,net_edge_change,rewiring,jaccard,cross_support_change_share,transition_energy,TI_total,TI_same,TI_cross,same_energy_share,cross_energy_share,support_change_energy,persistent_change_energy,support_energy_share,persistent_energy_share
11,12,2024-11-18,2024-12-16,R2,R2,Within R2,False,56,54,54,2,0,49,2,-2,0,0.9642857142857143,1.0,0.004036134176353565,0.0635305767040845,0.02012315158924133,0.06025938056825658,0.10032898119591975,0.8996710188040802,5.92229145671176e-05,0.003976911261786447,0.014673177842819485,0.9853268221571805
12,13,2024-12-16,2025-01-14,R2,R3,R2→R3 Boundary,True,54,57,53,1,4,47,5,3,2,0.9137931034482759,0.6,0.00781899670438882,0.08842509092100963,0.04872863193657452,0.07378697130238285,0.3036808506489521,0.696319149351048,0.0007167117703783032,0.007102284934010518,0.0916628817577083,0.9083371182422919
13,14,2025-01-14,2025-02-19,R3,R3,Within R3,False,57,57,56,1,1,47,2,0,2,0.9655172413793104,1.0,0.005838547951381789,0.0764103916452585,0.04607221110630617,0.060958176770288565,0.3635576266392882,0.636442373360712,0.00045011230381567153,0.0053884356475661175,0.07709319295890085,0.9229068070410992
14,15,2025-02-19,2025-03-19,R3,R3,Within R3,False,57,56,55,2,1,47,3,-1,2,0.9482758620689655,1.0,0.015421464396788081,0.12418318886543413,0.04456644815266112,0.11591072468000642,0.12879245769665706,0.8712075423033431,0.00018832020236206272,0.01523314419442602,0.012211564188501143,0.9877884358114989
15,16,2025-03-19,2025-04-17,R3,R3,Within R3,False,56,54,54,2,0,49,2,-2,0,0.9642857142857143,1.0,0.014865018327883303,0.12192218144326036,0.07531537135824477,0.09587811619474479,0.3815942259681045,0.6184057740318953,0.0015232429229980182,0.013341775404885282,0.10247164782439389,0.8975283521756059
16,17,2025-04-17,2025-05-20,R3,R3,Within R3,False,54,55,54,0,1,50,1,1,0,0.9818181818181818,1.0,0.005564332373395866,0.07459445269854767,0.04273087431935531,0.061142495478180535,0.3281485536030606,0.6718514463969393,2.6439716270914932e-06,0.005561688401768774,0.00047516421551897683,0.9995248357844809
17,18,2025-05-20,2025-06-18,R3,R3,Within R3,False,55,54,54,1,0,50,1,-1,0,0.9818181818181818,1.0,0.002275522082206358,0.04770243266549787,0.027648502940611355,0.038872642916958494,0.33594036323997795,0.6640596367600221,5.402167996874222e-07,0.00227498186540667,0.0002374034529973118,0.9997625965470025
18,19,2025-06-18,2025-07-16,R3,R3,Within R3,False,54,54,53,1,1,50,2,0,2,0.9636363636363636,1.0,0.008342990754959988,0.09133997347799039,0.06814940439223305,0.06081652272157522,0.5566758318957753,0.44332416810422476,0.00012114756434845962,0.00822184319061153,0.014520879610999954,0.9854791203890001
19,20,2025-07-16,2025-08-13,R3,R3,Within R3,False,54,55,53,1,2,49,3,1,2,0.9464285714285714,1.0,0.00779874075538291,0.08831047930672163,0.044057274802142596,0.07653559493720162,0.24889190753670662,0.7511080924632935,0.0002171638555699568,0.007581576899812954,0.027846015450643642,0.9721539845493564
20,21,2025-08-13,2025-09-10,R3,R3,Within R3,False,55,54,54,1,0,50,1,-1,0,0.9818181818181818,1.0,0.008579655420978433,0.09262642938696511,0.055436712436350705,0.07420529856572096,0.358199593684867,0.6418004063151328,2.0996467646603964e-05,0.00855865895333183,0.002447239034246611,0.9975527609657535
