window_prev,window_curr,date_prev,date_curr,regime_prev,regime_curr,transition_type,stock,name,industry,driver_score,driver_share,same_driver_score,cross_driver_score,same_driver_share,cross_driver_share,support_change_score,persistent_change_score,support_change_share,persistent_change_share,support_turnover,driver_rank
18,19,2025-06-18,2025-07-16,R3,R3,Within R3,000568,泸州老窖,食品饮料,0.00022199335803665168,0.013304183389192568,5.289420160449456e-05,0.0001690991564321571,0.23826929811008846,0.7617307018899115,0.0,0.00022199335803665165,0.0,0.9999999999999999,0,14
18,19,2025-06-18,2025-07-16,R3,R3,Within R3,000725,京东方A,电子,0.0008876081952410406,0.05319484470921587,0.0004750221743735949,0.00041258602086744557,0.5351710100475098,0.46482898995249017,0.0,0.0008876081952410406,0.0,1.0,0,6
18,19,2025-06-18,2025-07-16,R3,R3,Within R3,000858,五粮液,食品饮料,0.0005328096108531324,0.03193157145334075,0.0003067114002781411,0.00022609821057499114,0.5756491512738221,0.4243508487261776,0.0,0.0005328096108531323,0.0,0.9999999999999998,0,10
18,19,2025-06-18,2025-07-16,R3,R3,Within R3,002415,海康威视,电子,0.00372340756645898,0.22314585235788367,0.002495408798312866,0.001227998768146114,0.6701949098433078,0.32980509015669224,0.0,0.00372340756645898,0.0,1.0,0,1
18,19,2025-06-18,2025-07-16,R3,R3,Within R3,002460,赣锋锂业,新能源,0.000780635725874764,0.04678392610052148,0.0,0.000780635725874764,0.0,1.0,2.5964401120447947e-05,0.000754671324754316,0.03326058526382813,0.966739414736172,1,8
18,19,2025-06-18,2025-07-16,R3,R3,Within R3,002475,立讯精密,电子,0.002576045771981022,0.15438383234750308,0.0021505670940198856,0.0004254786779611365,0.8348326405574944,0.16516735944250568,0.0,0.002576045771981022,0.0,1.0,0,3
18,19,2025-06-18,2025-07-16,R3,R3,Within R3,600030,中信证券,非银金融,0.0004076477535762029,0.02443055287660797,7.030077560021044e-05,0.0003373469779759925,0.17245471116540542,0.8275452888345946,0.0,0.00040764775357620287,0.0,0.9999999999999999,0,12
18,19,2025-06-18,2025-07-16,R3,R3,Within R3,600036,招商银行,银行,0.0005375122484411593,0.03221340309658159,0.00023296595593327022,0.00030454629250788905,0.43341515771760625,0.5665848422823937,0.0,0.0005375122484411592,0.0,0.9999999999999998,0,9
18,19,2025-06-18,2025-07-16,R3,R3,Within R3,600519,贵州茅台,食品饮料,0.0027057673477140815,0.16215811734571783,0.0014870513776993552,0.0012187159700147265,0.5495858241306901,0.45041417586930993,9.518316322801167e-05,0.0026105841844860696,0.035177881538272476,0.9648221184617275,1,2
18,19,2025-06-18,2025-07-16,R3,R3,Within R3,600887,伊利股份,食品饮料,0.0016393246992525607,0.09824562602313604,0.0011577918366730347,0.00048153286257952626,0.7062614485104276,0.2937385514895725,0.0,0.001639324699252561,0.0,1.0000000000000002,0,4
18,19,2025-06-18,2025-07-16,R3,R3,Within R3,601288,农业银行,银行,0.00029125271091894224,0.01745493429594116,0.0002652883097984943,2.5964401120447947e-05,0.9108526714188283,0.08914732858117166,2.5964401120447947e-05,0.0002652883097984943,0.08914732858117166,0.9108526714188283,1,13
18,19,2025-06-18,2025-07-16,R3,R3,Within R3,601318,中国平安,非银金融,0.001026491756889631,0.06151821253543712,7.030077560021044e-05,0.0009561909812894207,0.0684864492367952,0.9315135507632049,0.0,0.001026491756889631,0.0,1.0,0,5
18,19,2025-06-18,2025-07-16,R3,R3,Within R3,601398,工商银行,银行,6.267408201870848e-05,0.003756092021404203,6.267408201870848e-05,0.0,1.0,0.0,0.0,6.267408201870848e-05,0.0,1.0,0,15
18,19,2025-06-18,2025-07-16,R3,R3,Within R3,603501,韦尔股份,电子,0.0004617118893412418,0.02767064610893579,0.0003900624244070921,7.164946493414967e-05,0.8448178039418105,0.15518219605818948,0.0,0.0004617118893412418,0.0,1.0,0,11
19,20,2025-07-16,2025-08-13,R3,R3,Within R3,000001,平安银行,银行,0.0003311743985890799,0.021232555932859675,0.00015224781566727265,0.00017892658292180722,0.45972096972441767,0.5402790302755821,9.518316322801167e-05,0.0002359912353610682,0.2874109944292965,0.7125890055707034,1,11
19,20,2025-07-16,2025-08-13,R3,R3,Within R3,000568,泸州老窖,食品饮料,0.0006157520235628589,0.03947765689850952,0.0001663721156760874,0.0004493799078867715,0.27019337218483913,0.7298066278151608,1.2634641097442335e-05,0.0006031173824654166,0.020519041130122293,0.9794809588698776,1,8
19,20,2025-07-16,2025-08-13,R3,R3,Within R3,000725,京东方A,电子,0.0013333520911483576,0.0854850887451311,0.00045399276015978995,0.0008793593309885678,0.34048977998660945,0.6595102200133907,1.2634641097442335e-05,0.0013207174500509155,0.009475847513435609,0.9905241524865646,1,5
19,20,2025-07-16,2025-08-13,R3,R3,Within R3,000858,五粮液,食品饮料,0.00013573192413085305,0.00870216925964407,5.467924901643922e-05,8.105267511441382e-05,0.4028473726175532,0.5971526273824467,0.0,0.00013573192413085302,0.0,0.9999999999999998,0,15
19,20,2025-07-16,2025-08-13,R3,R3,Within R3,002415,海康威视,电子,0.0024833822149116142,0.15921687185187647,0.0007554847809220883,0.0017278974339895257,0.30421607128606126,0.6957839287139387,0.0,0.002483382214911614,0.0,0.9999999999999998,0,2
19,20,2025-07-16,2025-08-13,R3,R3,Within R3,002460,赣锋锂业,新能源,0.0038308246377406156,0.24560533282866678,0.0,0.0038308246377406156,0.0,1.0,0.0001093460512445028,0.0037214785864961124,0.028543737076149243,0.9714562629238507,1,1
19,20,2025-07-16,2025-08-13,R3,R3,Within R3,002475,立讯精密,电子,0.0018073592465522859,0.11587506901705867,0.0004965076959151848,0.001310851550637101,0.2747144469824257,0.7252855530175742,0.0,0.0018073592465522859,0.0,1.0,0,4
19,20,2025-07-16,2025-08-13,R3,R3,Within R3,600030,中信证券,非银金融,0.0018793230475649164,0.1204888780453277,0.00034885097676658563,0.001530472070798331,0.18562587055940177,0.8143741294405983,0.0,0.0018793230475649164,0.0,1.0,0,3
