window_prev,window_curr,date_prev,date_curr,regime_prev,regime_curr,transition_type,pair_key,stock_i,name_i,industry_i,stock_j,name_j,industry_j,relation,partial_prev,partial_curr,delta_partial,abs_delta_partial,transition_energy,selected_prev,selected_curr,support_change
22,23,2025-10-16,2025-11-13,R3,R4,R3→R4 Boundary,000858|600887,000858,五粮液,食品饮料,600887,伊利股份,食品饮料,Same,0.1864776780609628,0.1563529389950752,-0.030124739065887585,0.030124739065887585,0.0009074999037878136,True,True,Persistent
22,23,2025-10-16,2025-11-13,R3,R4,R3→R4 Boundary,000725|603501,000725,京东方A,电子,603501,韦尔股份,电子,Same,0.1128965324171543,0.1429834417876937,0.0300869093705394,0.0300869093705394,0.0009052221154710516,True,True,Persistent
22,23,2025-10-16,2025-11-13,R3,R4,R3→R4 Boundary,000858|002415,000858,五粮液,食品饮料,002415,海康威视,电子,Cross,0.0549842704006325,0.0250935030897137,-0.0298907673109188,0.0298907673109188,0.0008934579704354919,True,True,Persistent
22,23,2025-10-16,2025-11-13,R3,R4,R3→R4 Boundary,002460|603501,002460,赣锋锂业,新能源,603501,韦尔股份,电子,Cross,0.052785298712864,0.024428524029738,-0.028356774683125998,0.028356774683125998,0.0008041066704295755,True,True,Persistent
22,23,2025-10-16,2025-11-13,R3,R4,R3→R4 Boundary,000568|600519,600519,贵州茅台,食品饮料,000568,泸州老窖,食品饮料,Same,0.2032980233977688,0.2303659259469768,0.02706790254920799,0.02706790254920799,0.0007326713484134204,True,True,Persistent
22,23,2025-10-16,2025-11-13,R3,R4,R3→R4 Boundary,002415|600519,600519,贵州茅台,食品饮料,002415,海康威视,电子,Cross,0.0261064303717066,0.0,-0.0261064303717066,0.0261064303717066,0.0006815457067527648,True,False,Lost
22,23,2025-10-16,2025-11-13,R3,R4,R3→R4 Boundary,600887|601318,600887,伊利股份,食品饮料,601318,中国平安,非银金融,Cross,0.0357737996936277,0.0588764414800048,0.023102641786377102,0.023102641786377102,0.0005337320575096574,True,True,Persistent
22,23,2025-10-16,2025-11-13,R3,R4,R3→R4 Boundary,000725|000858,000858,五粮液,食品饮料,000725,京东方A,电子,Cross,0.0289555595967936,0.00651793832494,-0.0224376212718536,0.0224376212718536,0.0005034468483391372,True,True,Persistent
22,23,2025-10-16,2025-11-13,R3,R4,R3→R4 Boundary,000725|600887,600887,伊利股份,食品饮料,000725,京东方A,电子,Cross,0.0142472357976238,0.0,-0.0142472357976238,0.0142472357976238,0.0002029837278730931,True,False,Lost
22,23,2025-10-16,2025-11-13,R3,R4,R3→R4 Boundary,000858|601318,000858,五粮液,食品饮料,601318,中国平安,非银金融,Cross,0.1116224003251151,0.1256873298563444,0.0140649295312293,0.0140649295312293,0.00019782224271844607,True,True,Persistent
