analysis_date,window,eligible_stock_count,possible_unordered_pairs,density_fraction,density_percent,approximate_edge_count,approximate_mean_degree,is_primary_density,important_note
2017-09-29,60,2897,4194856,0.002,0.2,8389,5.791508457024508,False,Approximation only. Step 2 will use the exact common valid pair universe.
2017-09-29,60,2897,4194856,0.005,0.5,20974,14.479806696582672,False,Approximation only. Step 2 will use the exact common valid pair universe.
2017-09-29,60,2897,4194856,0.01,1.0,41948,28.959613393165345,True,Approximation only. Step 2 will use the exact common valid pair universe.
2017-09-29,60,2897,4194856,0.02,2.0,83897,57.919917155678284,False,Approximation only. Step 2 will use the exact common valid pair universe.
2017-10-31,60,2941,4323270,0.002,0.2,8646,5.879632777966678,False,Approximation only. Step 2 will use the exact common valid pair universe.
2017-10-31,60,2941,4323270,0.005,0.5,21616,14.699761985719142,False,Approximation only. Step 2 will use the exact common valid pair universe.
2017-10-31,60,2941,4323270,0.01,1.0,43232,29.399523971438285,True,Approximation only. Step 2 will use the exact common valid pair universe.
2017-10-31,60,2941,4323270,0.02,2.0,86465,58.79972798367902,False,Approximation only. Step 2 will use the exact common valid pair universe.
2017-11-30,60,2959,4376361,0.002,0.2,8752,5.915511997296384,False,Approximation only. Step 2 will use the exact common valid pair universe.
2017-11-30,60,2959,4376361,0.005,0.5,21881,14.789455897262588,False,Approximation only. Step 2 will use the exact common valid pair universe.
2017-11-30,60,2959,4376361,0.01,1.0,43763,29.579587698546806,True,Approximation only. Step 2 will use the exact common valid pair universe.
2017-11-30,60,2959,4376361,0.02,2.0,87527,59.15985130111524,False,Approximation only. Step 2 will use the exact common valid pair universe.
2017-12-29,60,2995,4483515,0.002,0.2,8967,5.987979966611018,False,Approximation only. Step 2 will use the exact common valid pair universe.
2017-12-29,60,2995,4483515,0.005,0.5,22417,14.969616026711185,False,Approximation only. Step 2 will use the exact common valid pair universe.
2017-12-29,60,2995,4483515,0.01,1.0,44835,29.93989983305509,True,Approximation only. Step 2 will use the exact common valid pair universe.
2017-12-29,60,2995,4483515,0.02,2.0,89670,59.87979966611018,False,Approximation only. Step 2 will use the exact common valid pair universe.
2018-01-31,60,3026,4576825,0.002,0.2,9153,6.049570389953734,False,Approximation only. Step 2 will use the exact common valid pair universe.
2018-01-31,60,3026,4576825,0.005,0.5,22884,15.12491738268341,False,Approximation only. Step 2 will use the exact common valid pair universe.
2018-01-31,60,3026,4576825,0.01,1.0,45768,30.24983476536682,True,Approximation only. Step 2 will use the exact common valid pair universe.
2018-01-31,60,3026,4576825,0.02,2.0,91536,60.49966953073364,False,Approximation only. Step 2 will use the exact common valid pair universe.
2018-02-28,60,2961,4382280,0.002,0.2,8764,5.919621749408983,False,Approximation only. Step 2 will use the exact common valid pair universe.
2018-02-28,60,2961,4382280,0.005,0.5,21911,14.799729821006416,False,Approximation only. Step 2 will use the exact common valid pair universe.
2018-02-28,60,2961,4382280,0.01,1.0,43822,29.59945964201283,True,Approximation only. Step 2 will use the exact common valid pair universe.
2018-02-28,60,2961,4382280,0.02,2.0,87645,59.19959473150963,False,Approximation only. Step 2 will use the exact common valid pair universe.
2018-03-30,60,3008,4522528,0.002,0.2,9045,6.013962765957447,False,Approximation only. Step 2 will use the exact common valid pair universe.
2018-03-30,60,3008,4522528,0.005,0.5,22612,15.034574468085106,False,Approximation only. Step 2 will use the exact common valid pair universe.
2018-03-30,60,3008,4522528,0.01,1.0,45225,30.069813829787233,True,Approximation only. Step 2 will use the exact common valid pair universe.
2018-03-30,60,3008,4522528,0.02,2.0,90450,60.139627659574465,False,Approximation only. Step 2 will use the exact common valid pair universe.
2018-04-27,60,3025,4573800,0.002,0.2,9147,6.047603305785124,False,Approximation only. Step 2 will use the exact common valid pair universe.
2018-04-27,60,3025,4573800,0.005,0.5,22869,15.12,False,Approximation only. Step 2 will use the exact common valid pair universe.
2018-04-27,60,3025,4573800,0.01,1.0,45738,30.24,True,Approximation only. Step 2 will use the exact common valid pair universe.
2018-04-27,60,3025,4573800,0.02,2.0,91476,60.48,False,Approximation only. Step 2 will use the exact common valid pair universe.
2018-05-31,60,3097,4794156,0.002,0.2,9588,6.191798514691637,False,Approximation only. Step 2 will use the exact common valid pair universe.
2018-05-31,60,3097,4794156,0.005,0.5,23970,15.479496286729093,False,Approximation only. Step 2 will use the exact common valid pair universe.
2018-05-31,60,3097,4794156,0.01,1.0,47941,30.95963835970294,True,Approximation only. Step 2 will use the exact common valid pair universe.
2018-05-31,60,3097,4794156,0.02,2.0,95883,61.91992250565063,False,Approximation only. Step 2 will use the exact common valid pair universe.
2018-06-29,60,3080,4741660,0.002,0.2,9483,6.157792207792208,False,Approximation only. Step 2 will use the exact common valid pair universe.
2018-06-29,60,3080,4741660,0.005,0.5,23708,15.394805194805194,False,Approximation only. Step 2 will use the exact common valid pair universe.
2018-06-29,60,3080,4741660,0.01,1.0,47416,30.789610389610388,True,Approximation only. Step 2 will use the exact common valid pair universe.
2018-06-29,60,3080,4741660,0.02,2.0,94833,61.57987012987013,False,Approximation only. Step 2 will use the exact common valid pair universe.
2018-07-31,60,3166,5010195,0.002,0.2,10020,6.329753632343651,False,Approximation only. Step 2 will use the exact common valid pair universe.
2018-07-31,60,3166,5010195,0.005,0.5,25050,15.824384080859128,False,Approximation only. Step 2 will use the exact common valid pair universe.
2018-07-31,60,3166,5010195,0.01,1.0,50101,31.64939987365761,True,Approximation only. Step 2 will use the exact common valid pair universe.
2018-07-31,60,3166,5010195,0.02,2.0,100203,63.29943145925458,False,Approximation only. Step 2 will use the exact common valid pair universe.
2018-08-31,60,3263,5321953,0.002,0.2,10643,6.5234446828072326,False,Approximation only. Step 2 will use the exact common valid pair universe.
