analysis_date,window,raw_all_mean_corr,residual_all_mean_corr,raw_same_cross_gap,residual_same_cross_gap,raw_top1_same_enrichment,residual_top1_same_enrichment,raw_residual_top1_overlap,raw_residual_top5_overlap,raw_residual_pair_corr,raw_residual_sign_change_share,overall_corr_reduction_fraction,pc1_evr,ew_market_r2_median,pc1_ew_factor_corr
2024-06-28,120,0.4237654794930852,0.0016796993386081,0.0853865555352804,0.1074139500928476,2.85177923281524,4.783629680851369,0.205,0.302,0.4457105827555331,0.4968739058670535,0.9960362525503084,0.4561340209395148,0.4740043560458763,0.9991216458086276
2024-07-31,120,0.4080529785803991,0.0018585834054027,0.0860086040781073,0.1081235169161569,2.9555203231507194,4.525640494824539,0.265,0.275,0.4567379141902375,0.4926238935840376,0.9954452399493108,0.4430801543259435,0.4571667746785304,0.9990574266749428
2024-08-30,120,0.3311549926361131,0.0020286737125196,0.0886287786315322,0.1210825006827073,3.687065368567455,7.742837273991654,0.31,0.326,0.4708696956985988,0.4902245112255612,0.993873944957403,0.3654576137195202,0.3622011440869636,0.9988603686512338
2024-09-30,120,0.4218361646797786,0.0019270495955652,0.0839563031844576,0.1175774713315756,3.772605523104331,6.809092895359036,0.295,0.354,0.4687177953162482,0.5067006700670067,0.9954317582110864,0.4447580685951062,0.4516420093258562,0.9991745830450878
2024-10-31,120,0.4580915560589089,0.0029003685324396,0.0803526886541345,0.121564879976414,4.781931002845613,6.713095446302495,0.31,0.349,0.4457919144977296,0.5105255262763139,0.9936685832906584,0.4812729516378318,0.4926168873028156,0.9985771944132932
2024-11-29,120,0.4598562998969082,0.0035707694575861,0.0742977171368965,0.1170607925149598,4.132043133039224,5.876683566989119,0.29,0.3653653653653653,0.4630542422660809,0.5044274350892991,0.9922350319906748,0.4815586290006264,0.494189015721411,0.9983985249843308
2024-12-31,120,0.448601993155176,0.0034520964823519,0.0740935314916764,0.1130943550417411,4.953905710508414,6.788685603289308,0.24,0.329,0.45700311595674,0.5122536761028309,0.9923047678453852,0.4676638943768909,0.4756149445403565,0.9985026480235428
2025-01-27,120,0.4455624034147973,0.0032563924042068,0.0737010659514948,0.1059283393322021,3.665245361399279,5.314605774028953,0.265,0.315,0.4724813822912534,0.5139298754564098,0.9926915009452104,0.4656683833472755,0.4725700781413191,0.9981018529187348
2025-02-28,120,0.441075915029845,0.0046604423922697,0.0842973245797785,0.1072651879063096,4.030177758102552,5.587291891914901,0.22,0.334,0.4867485261466542,0.5143285821455363,0.9894339222944094,0.4609600449627255,0.4627649350763793,0.9978675567509616
2025-03-31,120,0.4184321512472934,0.00277267725915,0.0751778956097467,0.0995990736595127,3.6665324259339513,5.591461949549275,0.26,0.3413413413413413,0.4990473482942095,0.5098814229249012,0.9933736514967002,0.4398884294438248,0.4360258047166502,0.9974420645071064
2025-04-30,120,0.3600952689941025,0.0027018773347139,0.089551631732536,0.0980185127433198,3.656745809819174,5.850793295710679,0.225,0.3043043043043043,0.5088734127955239,0.5034531077970174,0.992496770806622,0.3830318454357282,0.3766040566356976,0.9976022958780212
2025-05-30,120,0.3524316282291587,0.0035377419104716,0.0861156436719429,0.0964001725625372,4.931958021782512,6.849941696920155,0.205,0.3333333333333333,0.506886570673981,0.4946430359467307,0.9899619057226858,0.376635601542493,0.3676449030217361,0.997730740343696
2025-06-30,120,0.3421061938173383,0.0008925611867158,0.0885625452019267,0.110727005546912,3.647494925665576,6.9302403587645935,0.225,0.2922922922922923,0.4922221153413469,0.4988235294117647,0.9973909820902208,0.3692610963653343,0.3569965983642528,0.9981618258700272
2025-07-31,120,0.310917574040844,0.0021698384519204,0.0930543677536521,0.0962808519635411,3.552094251061793,6.193395104415433,0.22,0.3093093093093093,0.5098803308317315,0.4895906315684116,0.9930211778519942,0.3394055099280406,0.3209935646011566,0.998472318174544
2025-08-29,120,0.3056867682442207,0.0008965205806716,0.0859365032195615,0.0981017137893924,3.27317058566324,6.000812740382608,0.22,0.3353353353353353,0.5107884655734313,0.4940193183524348,0.9970671920612688,0.3353982559636775,0.3164290572476646,0.9984203965510768
2025-09-30,120,0.1690953875106796,0.0016802462284957,0.0905387033652162,0.0923176709833584,4.994360145568753,6.538071463290003,0.465,0.4784784784784784,0.7076522535173077,0.4257896581068228,0.9900633231146556,0.1944951584914151,0.1703296950265019,0.9953561192009022
2025-10-31,120,0.1611371311727611,0.0024674528019593,0.0952588595617147,0.0936406911928867,5.988261502536303,6.623380146744697,0.48,0.5095095095095095,0.7271069765480788,0.4176923846692685,0.9846872487799606,0.1857420383313665,0.1624471299081464,0.9940221272244796
2025-11-28,120,0.1754633725927038,0.0026400659070057,0.0872343763153652,0.0901944750028981,4.892327350758141,5.979511206482171,0.53,0.499,0.7291942075577852,0.4290145072536268,0.9849537492184532,0.1983016060499362,0.1760248060028307,0.992562248119705
2025-12-31,120,0.168965346369225,0.0024015332742319,0.0886837257621492,0.0952569042234657,5.793627839115961,6.517831319005455,0.585,0.5715715715715716,0.7638262110168754,0.4251613871791022,0.9857868295136444,0.1910414809455254,0.1717995187734452,0.990800043377448
2026-01-30,120,0.1642761391239808,0.0029846412156874,0.0905080552409749,0.0928299602777128,5.613705750299824,5.885336673701428,0.555,0.595,0.7690347834834673,0.4203891751288079,0.9818315597651408,0.1857504456561856,0.1664123077401793,0.9909272307153362
2026-02-27,120,0.1700586768693101,0.0016982705613892,0.1068724559780908,0.1067982555519579,6.156855184233077,6.066313196229649,0.56,0.587,0.7690542114424609,0.4251200480192076,0.9900136200477772,0.192603100010209,0.1730039750755333,0.9912897757248498
2026-03-31,120,0.2289597436613077,0.0033350600375265,0.1047581251903466,0.1088505262962109,6.239196156635243,6.872158085569254,0.52,0.4934934934934935,0.6719871839907279,0.4642517636463701,0.9854338584408094,0.2543486664219686,0.2345317274728736,0.9937524657233888
2026-04-30,120,0.2383058664872775,0.0019058267165147,0.1003964689481488,0.1083616363674369,4.692378003130743,7.85070935139182,0.45,0.4514514514514514,0.6417788943206403,0.4781237484981978,0.9920026026022464,0.265436519820562,0.2493758030444711,0.9952055883966306
2026-05-29,120,0.227081796559846,0.0017862669739659,0.0909971986641149,0.0988469995074125,4.416699675958407,6.3997076937356505,0.375,0.4654654654654654,0.6334631278779927,0.4705705705705705,0.992133816972444,0.2543678374580442,0.2374040128211471,0.9951417250053786
2026-06-30,120,0.2155667764983711,0.0059205501120048,0.0999101729219132,0.113395408430474,5.136202967310781,6.848270623081041,0.495,0.5225225225225225,0.7025075658644593,0.448113679575703,0.9725349601261511,0.2404000716586136,0.2174546496458369,0.9888827275703184
2026-07-31,120,0.2463836239252627,0.0093647736918028,0.1167154189504622,0.1326511378553065,4.749896186153411,6.183827110275194,0.495,0.5195195195195195,0.7252439099198366,0.4362426183565209,0.96199108714042,0.2726190576137308,0.2500982221805122,0.980784095608421
2026-08-31,120,0.2438826176576967,0.0088719209747826,0.1019979371324354,0.1161839115323185,3.9425522155654895,6.451449080016255,0.455,0.539,0.717981882384639,0.4263205282112845,0.9636221676641388,0.2721745920409255,0.2536657270144894,0.9796816654112523
2026-09-03,120,0.2460773839884522,0.0130045599079934,0.1111018802648266,0.1219560802425096,3.852948756120819,6.003431782792904,0.49,0.509,0.736513732895273,0.4113645458183273,0.9471525595029744,0.2703361446151474,0.2507290765282091,0.9781469242466808
2016-01-29,252,0.6039212173791945,0.0093425510781088,0.0331097947272689,0.0466210227582892,3.3679775183853,3.5925093529443206,0.1648351648351648,0.2398239823982398,0.4400204447656682,0.4999449702839533,0.9845301823992004,0.5876752432184006,0.6285229997054015,0.9957840523451325
2016-02-29,252,0.6129216122421404,0.0102253506565983,0.0350398983805757,0.0456927853767884,2.9027259271096746,2.7910826222208414,0.1530054644808743,0.2617743702081051,0.4395732947069866,0.4931236644567421,0.9833170336102316,0.5961471900009128,0.6363527374296984,0.99592204863315
2016-03-31,252,0.618635503934936,0.009037726653255,0.038612840084098,0.052955529957316,2.81621088774226,3.604749936310092,0.1878453038674033,0.2444690265486725,0.4288050080140855,0.4972354307198938,0.9853908697516244,0.6015944314536621,0.6454588742325962,0.995843348512436
2016-04-29,252,0.6244981406767315,0.0063313827971739,0.0359509683809047,0.0448313606645796,2.5432698624211247,2.653846812961173,0.154696132596685,0.2480620155038759,0.4349791780380705,0.5079479368595957,0.9898616466811048,0.6077786949498653,0.6519083371697113,0.9955399335183762
2016-05-31,252,0.6305900850804651,0.0042589413263762,0.0318630391563748,0.0449099279068237,2.000550702145235,3.889959698615735,0.1813186813186813,0.2835164835164835,0.4301625474515312,0.5130501675916259,0.9932461016639158,0.6120948704850909,0.6602189432244241,0.9950990854505216
2016-06-30,252,0.6412496337120346,0.006037136599819,0.0316635536542333,0.0514288864792636,3.012831211296072,2.58242675253949,0.1720430107526881,0.2478540772532189,0.4081636562876264,0.5165996245642264,0.9905853566498408,0.6215466359743399,0.6749093982932481,0.994499080969764
2016-07-29,252,0.6136328496911692,0.0052813959380315,0.0364211522423101,0.0576859611879217,4.046782069671421,4.046782069671421,0.1947368421052631,0.270241850683491,0.4166636306018985,0.5135873850197109,0.9913932314075272,0.6087743489030212,0.6397528065281292,0.9996149281640884
