analysis_date,window,density_fraction,degree_spearman_raw_residual,strength_spearman_raw_residual,median_abs_degree_percentile_change,p90_abs_degree_percentile_change,median_abs_strength_percentile_change,p90_abs_strength_percentile_change,top1pct_degree_hub_overlap,top1pct_degree_hub_jaccard,top1pct_strength_hub_overlap,top1pct_strength_hub_jaccard,top5pct_degree_hub_overlap,top5pct_degree_hub_jaccard,top5pct_strength_hub_overlap,top5pct_strength_hub_jaccard
2025-07-31,60,0.01,0.6064146642385145,0.6116602154925829,0.1465737223625183,0.4305909276008606,0.14411938190460205,0.42250144481658936,0.0,0.0,0.0,0.0,0.12941176470588237,0.06918238993710692,0.12156862745098039,0.06471816283924843
2025-08-29,60,0.01,0.6678932582815528,0.6725842383765603,0.12451058626174927,0.39333376288414,0.12490212917327881,0.3867657780647278,0.07692307692307693,0.04,0.057692307692307696,0.0297029702970297,0.32421875,0.19347319347319347,0.33203125,0.1990632318501171
2025-09-30,60,0.01,0.6953836900118255,0.700070071583797,0.11730805039405823,0.37472155690193176,0.11681967973709106,0.37257272005081177,0.23076923076923078,0.13043478260869565,0.25,0.14285714285714285,0.5,0.3333333333333333,0.50390625,0.3368146214099217
2025-10-31,60,0.01,0.6341868754352024,0.6404228024994543,0.1356486976146698,0.4091147482395172,0.13530674576759338,0.40627193450927734,0.28846153846153844,0.16853932584269662,0.2692307692307692,0.15555555555555556,0.4140625,0.26108374384236455,0.42578125,0.2704714640198511
2025-11-28,60,0.01,0.6635959319666164,0.6677969763928993,0.12482906877994537,0.3998241424560547,0.12404769659042358,0.3956630825996399,0.25,0.14285714285714285,0.2692307692307692,0.15555555555555556,0.41015625,0.257985257985258,0.41015625,0.257985257985258
2025-12-31,60,0.01,0.6826082783721799,0.6861358034624966,0.12365696579217911,0.3835710287094116,0.12287557125091553,0.37819886207580566,0.36538461538461536,0.2235294117647059,0.40384615384615385,0.25301204819277107,0.44921875,0.28967254408060455,0.4375,0.28
2026-01-30,60,0.01,0.734851514408498,0.7396802250494956,0.11509948968887329,0.35080960392951965,0.11392897367477417,0.34510338306427,0.23076923076923078,0.13043478260869565,0.28846153846153844,0.16853932584269662,0.3735408560311284,0.22966507177033493,0.38132295719844356,0.23557692307692307
2026-02-27,60,0.01,0.7874649008157156,0.7927762025032591,0.10022435337305069,0.3072570860385895,0.10066330432891846,0.3037456274032593,0.36538461538461536,0.2235294117647059,0.36538461538461536,0.2235294117647059,0.4708171206225681,0.30788804071246817,0.4708171206225681,0.30788804071246817
2026-03-31,60,0.01,0.682433814494037,0.6851315690435152,0.12410107254981995,0.3882799446582794,0.12332363426685333,0.3854227662086487,0.19230769230769232,0.10638297872340426,0.21153846153846154,0.11827956989247312,0.3953488372093023,0.2463768115942029,0.3953488372093023,0.2463768115942029
2026-04-30,60,0.01,0.6125545802804063,0.6154426346430512,0.14504852890968323,0.42672818899154663,0.14543688297271729,0.42761170864105225,0.07692307692307693,0.04,0.11538461538461539,0.061224489795918366,0.38372093023255816,0.23741007194244604,0.3682170542635659,0.22565320665083136
2026-05-29,60,0.01,0.5286473993685681,0.534209486901057,0.1614876389503479,0.4806755483150482,0.15906000137329102,0.47970476746559143,0.019230769230769232,0.009708737864077669,0.019230769230769232,0.009708737864077669,0.21705426356589147,0.12173913043478261,0.2364341085271318,0.13406593406593406
2026-06-30,60,0.01,0.6600406535706548,0.6679724163618859,0.12587279081344604,0.39977696537971497,0.12228474020957947,0.3931342363357544,0.07692307692307693,0.04,0.1346153846153846,0.07216494845360824,0.44573643410852715,0.286783042394015,0.45348837209302323,0.2932330827067669
2026-07-31,60,0.01,0.77298120887896,0.776170243872479,0.08299493789672852,0.3288863003253937,0.08101314306259155,0.3266434669494629,0.23076923076923078,0.13043478260869565,0.25,0.14285714285714285,0.5019305019305019,0.33505154639175255,0.5135135135135135,0.34545454545454546
2026-08-31,60,0.01,0.7193384103258953,0.7226417568652147,0.0987439751625061,0.3680773079395294,0.10260868072509766,0.3661835789680481,0.25,0.14285714285714285,0.2692307692307692,0.15555555555555556,0.5521235521235521,0.38133333333333336,0.5598455598455598,0.38873994638069703
2026-09-03,60,0.01,0.73357752142384,0.737117390182093,0.10340994596481323,0.3588678538799286,0.09727588295936584,0.35394126176834106,0.25,0.14285714285714285,0.28846153846153844,0.16853932584269662,0.5444015444015444,0.3740053050397878,0.5444015444015444,0.3740053050397878
2015-07-31,120,0.01,0.3030942957113967,0.31068303687785603,0.22213169932365417,0.5633310675621033,0.20616033673286438,0.5599086880683899,0.0625,0.03225806451612903,0.0625,0.03225806451612903,0.11688311688311688,0.06206896551724138,0.15584415584415584,0.08450704225352113
2015-08-31,120,0.01,0.2616748990014974,0.2718783196455705,0.22343957424163818,0.5876493453979492,0.22974766790866852,0.5876493453979492,0.0,0.0,0.0625,0.03225806451612903,0.10526315789473684,0.05555555555555555,0.10526315789473684,0.05555555555555555
2015-09-30,120,0.01,0.16763958079079908,0.17789973869251866,0.2647247016429901,0.6136360168457031,0.24967989325523376,0.6177335977554321,0.0,0.0,0.0,0.0,0.05063291139240506,0.025974025974025976,0.05063291139240506,0.025974025974025976
2015-10-30,120,0.01,0.18256692390585777,0.1891368409272772,0.2688504457473755,0.6180469393730164,0.250309020280838,0.6177069544792175,0.0,0.0,0.0,0.0,0.04938271604938271,0.02531645569620253,0.04938271604938271,0.02531645569620253
2015-11-30,120,0.01,0.1736121825087096,0.1807552848333536,0.22983169555664062,0.6224027872085571,0.23447471857070923,0.6199650168418884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-31,120,0.01,0.28647622616454405,0.2939009007682195,0.21269062161445618,0.5950435996055603,0.2117374837398529,0.5900053977966309,0.0,0.0,0.0,0.0,0.08695652173913043,0.045454545454545456,0.08695652173913043,0.045454545454545456
2016-01-29,120,0.01,0.3249501527501739,0.33017875764961957,0.2114604413509369,0.5704867839813232,0.20410749316215515,0.5698781609535217,0.0,0.0,0.0,0.0,0.04040404040404041,0.020618556701030927,0.04040404040404041,0.020618556701030927
2016-02-29,120,0.01,0.3368698237160375,0.34233547116932517,0.19324390590190887,0.5537008047103882,0.19721806049346924,0.553700864315033,0.0,0.0,0.0,0.0,0.04950495049504951,0.025380710659898477,0.04950495049504951,0.025380710659898477
2016-03-31,120,0.01,0.42903306491616744,0.4340818054540285,0.17831146717071533,0.5356622934341431,0.17370206117630005,0.5259582996368408,0.09523809523809523,0.05,0.09523809523809523,0.05,0.17307692307692307,0.09473684210526316,0.16346153846153846,0.08900523560209424
