analysis_date,window,density_fraction,network_id,n_nodes,n_edges,realized_density,isolated_node_count,isolated_node_share,n_connected_components,giant_component_size,giant_component_share,second_largest_component_size,second_largest_component_share,degree_mean,degree_median,degree_std,degree_cv,degree_p90,degree_p95,degree_p99,degree_max,degree_gini,degree_hhi,top1pct_degree_share,top5pct_degree_share,strength_mean,strength_median,strength_std,strength_cv,strength_p95,strength_p99,strength_max,strength_gini,strength_hhi,top1pct_strength_share,top5pct_strength_share,degree_assortativity,triangle_count,transitivity,mean_local_clustering,mean_local_clustering_degree_ge2
2017-09-29,120,0.01,M1_RESIDUAL_POSITIVE,2754,37513,0.009895588914555746,33,0.011982570806100218,34,2721,0.9880174291938998,1,0.00036310820624546115,27.242556281771968,14.0,33.41044442694558,1.226406365150856,67.0,106.0,161.0,202,0.5641408823832381,0.0009092493001025908,0.06481752992296004,0.25560472369578546,10.725013443132891,5.088727727532387,14.29863022746136,1.3332039445243415,41.72573969662188,71.17064245343205,97.22324243187904,0.5917200320106024,0.0010085086266141117,0.0741734182757192,0.2795579509294215,0.5052420732901667,399147.0,0.47488780594592794,0.2649483326997284,0.2748277620546335
2017-10-31,120,0.01,M1_RESIDUAL_POSITIVE,2795,38654,0.00989956756299917,25,0.008944543828264758,26,2770,0.9910554561717353,1,0.00035778175313059033,27.659391771019678,15.0,33.76305811636258,1.2206724716100974,65.0,103.0,167.0,216,0.5465519193120416,0.000890891335580216,0.06749624877114917,0.26157706834997674,10.716328110315292,5.547067701816559,14.551250059889636,1.3578578324680948,40.377262896299364,76.12657698512075,105.20645835995674,0.5782964876813264,0.0010174518401413067,0.08016154694701784,0.29024614802597887,0.5969572567445935,422333.0,0.48293047167898323,0.2530439480610091,0.2585951864096967
2017-11-30,120,0.01,M1_RESIDUAL_POSITIVE,2837,39831,0.009901150075592873,21,0.007402185407120197,22,2816,0.9925978145928798,1,0.00035248501938667606,28.07966161438139,16.0,34.340701058629385,1.2229741771902733,65.0,108.0,172.27999999999975,207,0.5489497409247053,0.0008796848213162589,0.06816298862694886,0.26115337300092895,10.906218450465252,5.71302804350853,14.846329149375732,1.361271940114348,41.497656267881375,78.43208033204078,102.49406972527504,0.5810717819167868,0.001005661365859246,0.08154093493532096,0.2903914385437828,0.6209227450068189,457385.0,0.49870721488218467,0.2606364444170974,0.26752011317341
2017-12-29,120,0.01,M1_RESIDUAL_POSITIVE,2851,40274,0.00991317297101048,21,0.0073658365485794455,22,2830,0.9926341634514205,1,0.00035075412136092597,28.252542967379867,16.0,34.83376451296977,1.2329426258439293,68.0,111.0,172.0,207,0.5570816929637037,0.0008839521285945014,0.06730148482892188,0.26162040025823113,11.044520338975685,5.748315125703812,15.20134833705197,1.3763701700477655,43.311927020549774,78.71344892680645,101.53900748491287,0.589656892693786,0.001015220920728627,0.08137570054982879,0.29310275756379256,0.6013692266063695,476159.0,0.5052517315363507,0.2633157373543763,0.2720961098939206
2018-01-31,120,0.01,M1_RESIDUAL_POSITIVE,2901,41679,0.009908355026209749,9,0.0031023784901758012,10,2892,0.9968976215098242,1,0.0003447087211306446,28.73422957600827,18.0,30.673279626995726,1.0674822356332279,68.0,95.0,152.0,179,0.5091029229081387,0.0007375106250922146,0.05821876724489551,0.2258691427337508,10.881151769005895,6.275664687156677,13.054495703708938,1.1997347322085556,37.09720188379288,68.15180644392967,85.04528281092644,0.5442156161291645,0.0008408698475241415,0.07113448103296505,0.25320699290306514,0.5846315013966367,393327.0,0.4681279104734595,0.2571301278099099,0.26163960041267936
2018-02-28,120,0.01,M1_RESIDUAL_POSITIVE,2854,40287,0.009895532825329734,21,0.007358093903293623,22,2833,0.9926419060967063,1,0.000350385423966363,28.231955150665733,17.0,30.709243223708736,1.0877476625271767,70.0,95.34999999999991,143.0,210,0.5246442009833823,0.0007649596977341754,0.0568173356169484,0.2218457566957083,10.955154926900523,6.222902864217758,13.124390373512767,1.1980104764457196,39.8883655771613,63.20553439080711,93.32507383823395,0.5543725704893874,0.0008532687812451646,0.06717716497356768,0.2469105866640529,0.5062876937152008,347452.0,0.42669895699139976,0.2636908926419434,0.26964306972415136
2018-03-30,120,0.01,M1_RESIDUAL_POSITIVE,2901,41688,0.009910494597582285,26,0.008962426749396759,28,2873,0.9903481558083419,2,0.0006894174422612892,28.740434332988624,18.0,31.68264920998056,1.1023719698492804,71.0,98.0,146.0,225,0.5313861888028739,0.0007636070182383257,0.06079687200153521,0.22508875455766647,11.331172444478515,6.402715504169464,13.719388810890106,1.210765159396663,41.1323598921299,64.9115703701973,100.40743386745453,0.5597820166635963,0.0008500352537776033,0.0708020458017807,0.24976732551154723,0.5130880039424734,362141.0,0.4158650855655687,0.27352133517054006,0.2832864667367857
2018-04-27,120,0.01,M1_RESIDUAL_POSITIVE,2942,42860,0.009907052614863214,29,0.009857239972807614,31,2911,0.9894629503738953,2,0.0006798096532970768,29.13664174031271,17.0,33.054355817110675,1.134460042159818,69.0,103.0,160.59000000000015,222,0.5372377792081027,0.0007773621982519567,0.062214185720951935,0.23584927671488568,11.409404095766254,6.260341078042984,14.172094263297055,1.2421414952386485,42.59235436469308,69.2565328571201,100.69621443748474,0.5652584963657281,0.0008643492502357938,0.07140745103504056,0.26032867025913203,0.5483705026087174,389278.0,0.41513584301084516,0.2623359171980762,0.27233319280054347
2018-05-31,120,0.01,M1_RESIDUAL_POSITIVE,2966,43584,0.009911998717334967,26,0.008766014834794335,28,2938,0.9905596763317599,2,0.0006743088334457181,29.38907619689818,17.0,34.843194674537344,1.1855831888385389,73.0,105.75,172.04999999999973,228,0.54888633836441,0.0008110611927365335,0.06587279735682819,0.24619126284875184,11.4321804689099,6.0201859921216965,14.71448736047234,1.2871111858747117,42.53765445947647,75.14056656956672,102.32838854193687,0.574379801200237,0.0008957030360093752,0.0751526233835891,0.26808074293074113,0.5145955944114077,419782.0,0.41456634086557026,0.2615100233616278,0.2697873841010741
2018-06-29,120,0.01,M1_RESIDUAL_POSITIVE,2972,43806,0.009922295061321805,25,0.008411843876177659,26,2947,0.9915881561238223,1,0.00033647375504710633,29.47913862718708,16.0,36.86707100051609,1.2506156121710932,72.0,112.0,183.15999999999985,239,0.5654279614959608,0.0008627319681716281,0.07102908277404922,0.26103730082637083,11.529288520402254,5.760039433836937,15.610973058088891,1.3540274432774997,44.88300164341924,80.12393216460939,110.95406630635262,0.5893556302228125,0.0009533614795251017,0.08113244462340834,0.2830932475076901,0.5403924592683464,471971.0,0.43335873657148105,0.2692363783759935,0.2782234063050948
2018-07-31,120,0.01,M1_RESIDUAL_POSITIVE,3020,45320,0.009941452478672601,49,0.016225165562913906,50,2971,0.9837748344370861,1,0.00033112582781456954,30.013245033112582,15.0,41.20985491905902,1.3730556250613222,76.0,123.0,203.42999999999984,266,0.5967626605215013,0.0009553913077856085,0.07726169461606355,0.29051191526919684,12.003850982303652,5.533501476049423,17.898683513814543,1.4910784497575975,50.43255716711267,91.64490395963182,123.87280932068825,0.6206505238730204,0.001067322828917722,0.08866687863999068,0.317454285433468,0.5532971882326656,614668.0,0.475351750509958,0.2798741645094165,0.2936831052183592
2018-08-31,120,0.01,M1_RESIDUAL_POSITIVE,3102,47925,0.009964340447986766,20,0.006447453255963894,22,3080,0.9929078014184397,2,0.0006447453255963894,30.899419729206965,18.0,33.149032498139455,1.072804369423355,81.0,106.0,146.97999999999956,225,0.5233018561736973,0.000693394331094082,0.05536776212832551,0.21376108502869065,11.70632333122554,6.495840549468994,13.529006855395282,1.155700767234739,42.13781045228242,61.735464001595965,89.88741651177406,0.5474185432024963,0.0007529478605373837,0.06143667090273242,0.23332354036317418,0.4482298128275625,397697.0,0.3802972594867048,0.25691721760360103,0.26181248653297323
2018-09-28,120,0.01,M1_RESIDUAL_POSITIVE,3146,49338,0.009973145802022807,22,0.006993006993006993,23,3124,0.993006993006993,1,0.0003178639542275906,31.365543547361728,20.0,32.897148592905694,1.048830814719702,80.0,106.0,145.0,224,0.5135289967716752,0.0006675289503832147,0.05222141148810248,0.20909846365884308,11.762975937287214,6.882063612341881,13.33193618882945,1.1333812344688066,42.43341314047575,61.43464355766775,84.30592978000641,0.5378008256259825,0.0007261770574208634,0.058361749121379425,0.2299076976457696,0.45908043224145006,404060.0,0.37874576903500723,0.2451753832553625,0.24978036130873396
2018-10-31,120,0.01,M1_RESIDUAL_POSITIVE,3207,51298,0.009978561790033149,8,0.002494543186778921,9,3199,0.9975054568132211,1,0.0003118178983473651,31.991269098846274,21.0,30.544552336467877,0.9547777627105587,77.0,101.0,135.0,182,0.48072779019607026,0.0005960712741398754,0.04687317244337011,0.19240516199461968,12.003413992988234,7.5282720029354095,12.50227896318792,1.0415602569811468,41.2262108415365,57.95831232368948,80.05122217535973,0.5069209012665146,0.0006500928496796485,0.052680797477168056,0.21419256202238396,0.43610901870566815,366443.0,0.3562533236848578,0.24298741767669804,0.24574602601361425
2018-11-30,120,0.01,M1_RESIDUAL_POSITIVE,3273,53462,0.00998426034450946,8,0.002444240757714635,9,3265,0.9975557592422853,1,0.00030553009471432935,32.668499847234955,22.0,29.910086883573335,0.9155635252135678,75.0,99.0,136.0,182,0.4660799873924688,0.000561642703544606,0.04587370468744155,0.18508473308144102,12.177986849621826,7.827014088630676,12.151582818459895,0.9978318229861818,39.61354767680163,57.7395931184291,77.86214381456375,0.49172073172181596,0.0006097367390662776,0.05186502050892019,0.20492474635686778,0.44126115735227023,358081.0,0.3402630138583052,0.23905303036399453,0.24119006423592912
2018-12-28,120,0.01,M1_RESIDUAL_POSITIVE,3343,55801,0.0099891642781714,3,0.0008973975471133712,4,3340,0.9991026024528866,1,0.0002991325157044571,33.38378701764882,25.0,27.923095325277387,0.8364268352932949,75.80000000000018,95.0,120.0,154,0.4401467710807705,0.000508408570385509,0.03984695614773929,0.1651762513216609,12.215494228932018,8.55444946885109,11.11088942275305,0.9095734658395773,37.03094159066668,48.83491878092287,64.31599688529968,0.46614440972028737,0.0005466119921505896,0.044250543984231915,0.18280150751661306,0.3944900993780502,331380.0,0.3196267902125669,0.23490118686564182,0.23588905608045674
2019-01-31,120,0.01,M1_RESIDUAL_POSITIVE,3389,57344,0.009988562900389934,5,0.0014753614635585719,6,3384,0.9985246385364415,1,0.00029507229271171436,33.8412511065211,24.0,30.728820816428414,0.9080285099302097,76.0,97.0,145.1199999999999,209,0.4540097640607217,0.000538364052772522,0.04963902064732143,0.18845040457589285,12.39566862110052,8.17145386338234,12.30917601315153,0.9930223523560676,38.164135259389866,59.405661141872365,88.0471248626709,0.48125052745860275,0.0005860411307992854,0.05583469966242801,0.20719118676562423,0.48595001775490454,385960.0,0.3324091134321554,0.23597465713257512,0.23737551588670142
2019-02-28,120,0.01,M1_RESIDUAL_POSITIVE,3422,58457,0.00998696297885768,3,0.0008766803039158387,4,3419,0.9991233196960841,1,0.0002922267679719462,34.16540035067212,24.0,31.07067782139588,0.9094193980602554,76.0,101.0,147.0,214,0.4504441000041921,0.0005339110583191927,0.04985715996373403,0.19173922712421096,12.608682782746838,8.325535625219345,12.683018312415438,1.0058955825084535,40.8957165032625,61.63698556602001,91.63178527355194,0.48030545668437474,0.0005879093871741733,0.05680485665254486,0.21361142304293418,0.5146043728240078,406368.0,0.3395334445333512,0.23754143899068672,0.23872740212221144
2019-03-29,120,0.01,M1_RESIDUAL_POSITIVE,3470,60086,0.009983194087109955,9,0.0025936599423631124,10,3461,0.9974063400576368,1,0.00028818443804034583,34.63170028818444,23.0,34.695344773935,1.0018377522680362,79.0,110.0,171.0,229,0.488352079598493,0.0005774290725848621,0.054372066704390376,0.20838464867023931,13.249067807764416,8.251467540860176,14.448208104103125,1.0905075220187168,44.897661241888954,71.50414044231174,100.93945595622063,0.5143929838991244,0.0006308952897923349,0.0612505604245492,0.2285386912707121,0.5024008695222147,495066.0,0.3614209615679442,0.2528534426644196,0.25513272638718704
2019-04-30,120,0.01,M1_RESIDUAL_POSITIVE,3516,61630,0.00997350862628391,4,0.0011376564277588168,5,3512,0.9988623435722411,1,0.0002844141069397042,35.056882821387944,22.0,35.53888184378352,1.0137490553524489,80.0,109.25,170.8499999999999,217,0.4908443024050644,0.0005767028291319632,0.05414570825896479,0.21324841797825733,13.255224940346912,8.030400440096855,14.582998074807698,1.100169792699575,44.962720684707165,71.44590046852827,95.66918769478798,0.5157677846899593,0.000628661425702112,0.06149845974799764,0.23210753945235021,0.5097551424905877,513107.0,0.35638197013822376,0.24586131684749754,0.2480483185181639
